queue_id,priority,priority_reason,heading,entry_group,question_kind,thin_flags,material_chars,question_chars,why_chars,answer_chars,answer_point_markers,recommended_action,answer_excerpt
T0076,P1,inserted entry needs parity with legacy thickness,14. 2025丰台期末 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,71,41,111,134,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,事物是普遍联系的，要坚持联系的观点和系统观念，处理好整体与部分的关系。要做到胸中有“数”，需要立足整体把握相互关联的诸多要素——在国家治理中看大数、看长远，把局部数据放到全局背景中考量；同时还要分析矛盾的特殊性，精准分析工作中的“数”，做到一般中有具体、整体中有重点。
T0421,P1,inserted entry needs parity with legacy thickness,14. 2025朝阳一模 第21题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,107,51,179,174,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,价值判断与价值选择必须自觉站在最广大人民的立场上，把人民群众的利益作为最高的价值标准。“造福人民的政绩观”就是要把“人民最关心最直接最现实的利益问题”“突出的民生难题”作为干部工作的核心着力点，把“老百姓口碑”“丰碑立在人民群众心中”作为业绩评价的根本标尺；这是中国共产党人在人民立场上作出的科学的价值判断与价值选择，体现了党性与人民性的高度统一。
T0354,P1,inserted entry needs parity with legacy thickness,14. 2025西城期末 第1题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,46,62,65,106,1,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题正确项包含④。人民广场作为公共生活空间，承载不同时期人们的共同记忆，也反映脱贫攻坚、智慧城市和人民生活方式的变化。社会存在的变化会在社会意识、公共记忆和城市文化表达中反映出来。此条只作为客观选择题正确项挂点。
T0338,P1,inserted entry needs parity with legacy thickness,14. 2026东城一模 第5题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,71,62,65,84,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,本题应选B。通过收集、分析和综合大量数据，人们能够把握对象内部稳定联系和变化规律，使认识由零散材料上升为规律性认识，并服务临床诊断。选择题边界已明示；非主观题评分细则。
T0055,P1,inserted entry needs parity with legacy thickness,14. 2026门头沟一模 第21题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,156,31,113,157,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,尊重客观规律是发挥主观能动性的前提，发挥主观能动性是认识和利用规律的必要条件，二者要相结合。中国之所以能穿越经济周期、保持长期稳健增长，正是因为长期遵循经济社会发展规律，通过14个五年规划“一棒接着一棒跑”地发挥主观能动性，把规律性认识转化为长期稳定的国家治理模式——这是中国能为世界提供宝贵确定性的科学治理基础。
T0127,P1,inserted entry needs parity with legacy thickness,14. 2026门头沟一模 第21题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,91,31,115,154,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,系统观念要求着眼整体、统筹部分、注重内部要素的有机衔接，使整体功能大于部分功能之和。中国通过14个五年规划“一棒接着一棒跑”，把经济、社会、生态、安全、对外开放等领域有机整合为一个系统性国家治理模式——这种用系统观念把握长期发展方向、统筹各领域协同推进的科学治理，使中国能为世界提供穿越经济周期的宝贵确定性。
T0211,P1,inserted entry needs parity with legacy thickness,15. 2024朝阳期中 第17题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,72,46,174,175,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,矛盾就是对立统一，要求我们用对立统一、全面的观点看问题；让农耕文明在新时代迎来全新面貌，要正视农耕文明的柔性和工业文明的刚性这一对矛盾两个方面，既不简单用刚性的工业文明压倒柔性的农耕文明，也不让柔性的农耕文明拒绝接纳刚性的工业文明，而是融通不同资源，找准二者的结合路径，让柔性与刚性在中华民族现代文明的整体形态中相统一，从而推动农耕文明迎来全新面貌。
T0031,P1,inserted entry needs parity with legacy thickness,15. 2025丰台期末 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,86,41,110,127,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,做到胸中有“数”，要尊重客观规律和发挥主观能动性相统一。一方面要尊重事物本身“决定事物质量的数量界限”这一客观规律，承认任何质量都表现为一定的数量；另一方面要主动发挥主观能动性，自觉去注意、去统计、去分析事物的数量方面，避免胸中无“数”造成的盲目与随意。
T0355,P1,inserted entry needs parity with legacy thickness,15. 2026丰台期末 第1题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,51,34,39,58,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,本题只作客观选择题挂点。经典歌曲不是决定社会发展，而是承载时代精神、凝聚奋进力量，体现社会意识对社会存在具有反作用。
T0339,P1,inserted entry needs parity with legacy thickness,15. 2026顺义一模 第5题（选择题）,inserted,choice,WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,96,48,85,136,0,expand material-to-principle recognition path; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,本题应选D。校园博物馆的展品和体验活动为师生提供感性材料，师生通过感觉、知觉、表象形成对历史文化的直接感受，并在此基础上进一步把握中华优秀传统文化的本质、价值和规律性认识。A把比喻式表达误判为本质属性判断，B把活动组织误判为发散思维，C关系判断分析不当，均不进入正文链条。
T0422,P1,inserted entry needs parity with legacy thickness,16. 2024朝阳期中 第17题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,80,46,185,171,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,价值判断与价值选择具有社会历史性和阶级性，必须自觉站在最广大人民立场上做出选择；让农耕文明在新时代迎来全新面貌，要旗帜鲜明地拒绝“扮丑农民、消费农村、污名农业”这类违背人民利益、损害农民形象的价值选择，引导创作者作出尊重劳动者、传播积极农村形象、肩负文化使命的价值判断与价值选择，让农耕文明的传播朝着符合人民利益、符合民族复兴需要的方向发展。
T0014,P1,inserted entry needs parity with legacy thickness,16. 2025丰台期末 第7题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,58,128,73,87,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,正确项是C，因为“从实际出发，从当下做起”最能回应漫画主旨；A把把握当下说成必然成功，B偏离漫画主旨去谈超前思维，D把弄清时间意义夸大为成功关键，都没有抓住从现实出发这一点。
T0118,P1,inserted entry needs parity with legacy thickness,16. 2026石景山二模 第3题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,79,210,109,72,2,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,正确项是B（①③）。本节点处理整体与部分：地区工作既要服务中国式现代化这个整体大局，又要把每一项具体改革发展任务做扎实，以局部落实支撑整体推进。
T0191,P1,inserted entry needs parity with legacy thickness,16. 2026门头沟一模 第5题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,47,224,67,73,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,正确项是C，因为材料体现既肯定又否定、既保留又创新；把系统优化目的窄化为经济社会效益统一，或说矛盾的对立性和同一性可以直接相互转化，都不符合题意。
T0171,P1,inserted entry needs parity with legacy thickness,17. 2024朝阳期中 第10题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,74,131,114,79,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,本题应选D。本节点只处理D项：生态文明建设需要在持续治理中积累量变，推动生态环境质量发生积极变化。A、B、C是逻辑概念或关系判断干扰项，不作为本哲学节点新增。
T0373,P1,inserted entry needs parity with legacy thickness,17. 2025丰台期末 第17题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,101,53,148,166,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,人民群众是社会历史的主体，是历史的创造者；人民性是马克思主义的本质属性。“人民城市人民建”就是依靠人民这一历史的创造者来建设城市——通过接诉即办、社区规划师、市民众创空间、民间湖长等机制让人民群众成为城市建设的真正主体；“人民城市为人民”就是把人民作为城市建设的根本目的——把人民对美好生活的向往作为奋斗目标，让发展成果由人民共享。
T0212,P1,inserted entry needs parity with legacy thickness,17. 2026丰台一模 第21题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,137,28,121,145,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,矛盾就是对立统一，要用矛盾观点看问题。中国式现代化作为前无古人的开创性事业，风险挑战与发展机遇并存、问题困难与重大突破并存——只有用矛盾的观点识变（看清两面）、应变（把握主要矛盾）、求变（推动矛盾向有利方向转化），才能化危为机，在“嫦娥视月”“奋斗者入海”“海南封关”等突破中开辟光明未来。
T0264,P1,inserted entry needs parity with legacy thickness,17. 2026西城期末 第4题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,60,27,42,52,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,不同诗词的具体描写是特殊表现，其中可能蕴含江豚生存与分布的一般规律，要在普遍性与特殊性的统一中提取线索。
T0129,P1,inserted entry needs parity with legacy thickness,17. 2026通州期末 第21题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,41,36,135,52,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,谱写中国式现代化篇章，要坚持联系观与系统观念，统筹改革、开放、创新、民生等多领域，推动国内国际联动发展。
T0285,P1,inserted entry needs parity with legacy thickness,17. 2026通州期末 第21题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,36,36,108,56,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,谱写中国式现代化篇章，必须坚持实践观，在实践中探索道路，用理论创新指导新实践，让党的创新理论持续引领现代化建设。
T0015,P1,inserted entry needs parity with legacy thickness,17. 2026门头沟一模 第4题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,57,235,71,85,2,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,正确项是B，因为①④既说明文化与经济相互交融，也说明项目从北京具体资源实际出发推进“两山”实践；把自在事物联系说成可以被人改变，或把材料硬套为两点论重点论，都不符合题意。
T0172,P1,inserted entry needs parity with legacy thickness,18. 2025海淀期末 第5题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,44,84,84,81,1,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题正确项包含④。治沙成效来自长期持续的量的积累，一代代治沙人久久为功，逐步积累植绿锁沙成果，最终实现防护带锁边合龙这一质的飞跃。此条只作为客观选择题正确项挂点。
T0130,P1,inserted entry needs parity with legacy thickness,18. 2026东城二模 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,108,31,110,120,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,“京彩课堂”的精彩在于把中轴线、故宫、科创基地、临空经济、数字资源和课堂任务组织成同一育人系统，让不同资源围绕铸魂育人的整体目标协同发力。卷面可写：坚持系统观念，优化课程目标、空间资源、实践任务和数字技术的组合，使局部资源服务整体育人效果。
T0213,P1,inserted entry needs parity with legacy thickness,18. 2026丰台期末 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,64,27,106,94,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,留白体现矛盾双方的对立统一。有形内容与空白空间相互对立又相互依存，适当留白能让山林溪谷、高楼绿地等元素形成张弛有度的整体意境；但过度留白又会走向空旷虚无，所以理解留白要看到对立双方的统一。
T0016,P1,inserted entry needs parity with legacy thickness,18. 2026朝阳一模 第1题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,48,294,103,97,1,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选B。本节点处理①：延安时期开展“自己动手、丰衣足食”，是从边区的具体条件和抗战实际出发，把主观奋斗目标同客观现实条件统一起来；这说明想问题、作决策、办事情要坚持一切从实际出发、实事求是。
T0017,P1,inserted entry needs parity with legacy thickness,19. 2024丰台一模 第8题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,76,281,94,82,1,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选D。本节点处理③：战略设想能够推动福州变化，不是因为蓝图本身是根本动力，而是因为规划以福州实际为依据，正确把握本地特点和优势，把主观规划建立在客观条件之上。
T0362,P1,inserted entry needs parity with legacy thickness,2. 2024朝阳期中 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,88,58,178,156,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,改革是社会主义社会发展的直接动力，是社会主义制度的自我完善和发展；中国共产党十次三中全会始终高举改革开放的旗帜、将改革进行到底，正是因为只有持续改革才能不断完善和发展中国特色社会主义制度；在新征程上必须紧紧围绕推进中国式现代化进一步全面深化改革，所以“改革”这一旗帜本身就是十次三中全会决策部署里最深的“不变”。
T0297,P1,inserted entry needs parity with legacy thickness,2. 2025海淀期末 第17题第（2）问（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,43,28,94,62,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,纪念失败者，是因为他们的失败实践是认识发展的动力，正是这些实践推动了人类对能量规律的认识，最终奠定了能量守恒定律的实践基础。
T0328,P1,inserted entry needs parity with legacy thickness,2. 2025海淀期末 第17题第（2）问（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,50,28,98,58,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,纪念失败者，是因为追求真理是一个反复探索、永无止境、不断深化的过程，他们用一次次失败把人类对能量规律的认识向前推进。
T0343,P1,inserted entry needs parity with legacy thickness,2. 2026东城一模 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,94,50,150,133,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,先进的、健康的文艺作为反映时代恢弘深沉情感的社会意识，能够促进时代发展、涵养民族根脉；落后的、仅凭瞬时情绪满足的文艺则不能形成持久的积极反作用；判断文艺是否优秀必须看其作为社会意识对社会存在的反作用方向和力度，仅凭“是否满足大众情绪需求”不能成立，所以题目观点片面。
T0268,P1,inserted entry needs parity with legacy thickness,2. 2026丰台一模 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,93,31,113,132,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,看待人工智能要坚持两点论与重点论的统一：AI推动文物保护、文化传承、跨文化交流，是矛盾的主要方面，是主流；深度伪造、虚假信息、智能鸿沟等是矛盾的次要方面，是支流——必须抓住主流，充分发挥AI促进发展的积极作用，同时不能忽视支流，加强规范引导，妥善处理这一时代命题。
T0023,P1,inserted entry needs parity with legacy thickness,2. 2026海淀期末 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,124,69,186,126,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,“数字原住民”要充分发挥主观能动性，自觉抵制短视频与算法编织的“下一个更精彩”期待陷阱，主动从依赖即时答案转向坚持独立探索，主动从沉溺网络用语转向锤炼规范表达；在与技术相伴成长中保持人的主动性、目的性、自觉性，做技术的主人而不是被技术与算法牵引的对象。
T0002,P1,inserted entry needs parity with legacy thickness,2. 2026西城期末 第16题第（2）问（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,155,27,188,115,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,物质决定意识，意识是对客观存在的反映；新闻、历史、司法、科学、纪录片各领域所追求的“真实”，本质都是对客观存在着的事实、规律和生命体验的如实反映，能够帮助人们形成对世界的正确认识，所以能突破隔阂、引发思想共鸣，产生直抵人心的力量。
T0255,P1,inserted entry needs parity with legacy thickness,2. 2026西城期末 第16题第（2）问（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,146,27,192,147,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,矛盾的普遍性寓于特殊性之中，两者相互联结：“对真实的追求”是各领域普遍存在的共同需要（普遍性），新闻核查、历史考订、司法查明、科学规律发现、纪录片数年跟踪是不同领域特殊的求真方式（特殊性）；通过各领域具体特殊的求真方式得到普遍意义上的真实，正因如此真实能跨越领域、击穿隔阂，产生直抵人心的力量。
T0364,P1,inserted entry needs parity with legacy thickness,2. 2026西城期末 第16题第（2）问（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,98,27,172,111,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,人民群众是历史的创造者，也是社会精神财富的创造者；“真实”的新闻、历史、司法、科学、纪录片内容贴近人民群众的生活实践与情感需求，契合人民群众的根本利益，所以能够唤起共情、凝聚起直抵人心的精神力量，转化为推动社会发展的力量。
T0018,P1,inserted entry needs parity with legacy thickness,20. 2025丰台一模 第18题第（1）问（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,68,36,112,93,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,答案落点：我国推动新一代人工智能发展，坚持从实际出发，根据人工智能技术发展水平、产业应用状况和教育变革需要作出阶段性战略安排；这样才能使主观规划符合客观实际，在实践中检验并完善政策部署。
T0131,P1,inserted entry needs parity with legacy thickness,20. 2026丰台二模 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,104,45,110,99,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,湿地保护要把湖泊、流域、森林、村寨、梯田、水系看成相互影响的生态整体，不能只盯住单个湖泊或单一环节。卷面可写：坚持系统观念，统筹湿地各要素和治理各环节，优化整体生态结构，让局部修复服务流域整体稳定。
T0119,P1,inserted entry needs parity with legacy thickness,20. 2026丰台二模 第4题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,103,49,115,115,4,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选C。龙骨水车不是零散部件的简单相加，而是通过摇柄、木链、刮板、水槽等部分按一定结构发生联系，形成提水、灌溉、析盐等整体功能；正确项③服务于“整体与部分/系统优化”链条，正确项②作为实践智慧补充，错误项①和④不进入正文链条。
T0057,P1,inserted entry needs parity with legacy thickness,20. 2026房山二模 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,123,42,106,100,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,中华工业文化的浪漫在于能工巧匠既尊重天时、地气、材料和工艺规律，又以高超技艺和创造精神把客观条件转化为文明成果。卷面可写：坚持尊重客观规律与发挥主观能动性相统一，在把握材料和工艺规律的基础上追求创造。
T0376,P1,inserted entry needs parity with legacy thickness,20. 2026通州期末 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,28,32,110,55,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,都江堰之所以能跨越千年，根本在于尊重和依靠民众力量——李冰率民修堰、历代百姓接力护堰，治水智慧扎根于人民实践。
T0173,P1,inserted entry needs parity with legacy thickness,20. 2026通州期末 第7题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,52,15,33,34,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,解决难事、大事要从容易处、细微处积累条件，在量的积累中促成质的飞跃。
T0192,P1,inserted entry needs parity with legacy thickness,20. 2026顺义二模 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,118,75,106,93,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,新大众文艺要扎根中华优秀传统文化，又要通过新媒介、新形式、新表达实现创造性转化和创新性发展。卷面可写：坚持辩证否定和守正创新，保留传统文化的合理内核，突破旧传播边界，增强传播力和影响力。
T0058,P1,inserted entry needs parity with legacy thickness,21. 2025海淀一模 第2题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,60,242,80,66,1,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选D。本节点只处理④：农耕实践建立在对季节物候规律的把握上，同时人主动安排生产生活，体现按客观规律办事与发挥主观能动性的统一。
