scope_class,stage_dir,raw_suite,normalized_suite,stage_bucket,raw_path,source_file_count,global_audit_status,matrix_rows_by_normalized_suite,gpt_suite_bundle_present,reconciliation_status,note
exam_suite,2024各区二模,2024顺义思政二模,2024顺义二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模,2,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,raw name normalized by deleting 思政
exam_suite,2024各区期中,2024朝阳期中,2024朝阳期中,midterm_or_final,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中,4,covered_by_batch19_recovery_matrix,28,True,present_in_global_audit,
exam_suite,2024各区期中,2024海淀期中,2024海淀期中,midterm_or_final,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中,2,covered_by_batch20_recovery_matrix,26,True,present_in_global_audit,
exam_suite,2025各区一模,2025东城一模,2025东城一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,2,covered_by_current_audit_or_matrix,31,True,present_in_global_audit,
exam_suite,2025各区一模,2025丰台一模,2025丰台一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,2,covered_by_current_audit_or_matrix,36,True,present_in_global_audit,
exam_suite,2025各区一模,2025延庆一模,2025延庆一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,2,covered_by_current_audit_or_matrix,30,True,present_in_global_audit,
exam_suite,2025各区一模,2025房山一模,2025房山一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,2,covered_by_current_audit_or_matrix,25,True,present_in_global_audit,
exam_suite,2025各区一模,2025朝阳一模,2025朝阳一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模,6,covered_by_current_audit_or_matrix,26,True,present_in_global_audit,
exam_suite,2025各区一模,2025海淀一模,2025海淀一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模,3,covered_by_current_audit_or_matrix,31,True,present_in_global_audit,
exam_suite,2025各区一模,2025石景山一模,2025石景山一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模,2,covered_by_current_audit_or_matrix,28,True,present_in_global_audit,
exam_suite,2025各区一模,2025西城一模,2025西城一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模,2,covered_by_current_audit_or_matrix,27,True,present_in_global_audit,
exam_suite,2025各区一模,2025门头沟一模,2025门头沟一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模,2,covered_by_current_audit_or_matrix,30,True,present_in_global_audit,
exam_suite,2025各区一模,2025顺义一模,2025顺义一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模,2,covered_by_current_audit_or_matrix,25,True,present_in_global_audit,
exam_suite,2025各区二模,2025东城二模,2025东城二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模,2,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区二模,2025丰台二模,2025丰台二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模,9,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区二模,2025昌平二模,2025昌平二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模,2,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区二模,2025朝阳二模,2025朝阳二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模,3,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区二模,2025海淀二模,2025海淀二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模,4,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区二模,2025西城二模,2025西城二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模,2,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2025各区期末,2025东城期末,2025东城期末,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末,3,covered_by_batch21_recovery_matrix,25,True,present_in_global_audit,
exam_suite,2025各区期末,2025丰台期末,2025丰台期末,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末,2,covered_by_batch22_recovery_matrix,35,True,present_in_global_audit,
exam_suite,2025各区期末,2025朝阳期末,2025朝阳期末,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末,3,covered_by_batch23_recovery_matrix,41,True,present_in_global_audit,
exam_suite,2025各区期末,2025海淀期中,2025海淀期中,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中,2,covered_by_batch24_boundary_matrix_no_body,23,True,present_in_global_audit,
exam_suite,2025各区期末,2025海淀期末,2025海淀期末,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末,2,covered_by_batch25_recovery_matrix,46,True,present_in_global_audit,
exam_suite,2025各区期末,2025西城期末,2025西城期末,midterm_or_final,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末,2,covered_by_batch26_recovery_matrix,31,True,present_in_global_audit,
exam_suite,2026各区一模,2026东城一模,2026东城一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模,24,covered_by_current_audit_or_matrix,21,True,present_in_global_audit,
exam_suite,2026各区一模,2026丰台一模,2026丰台一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模,4,covered_by_current_audit_or_matrix,33,True,present_in_global_audit,
exam_suite,2026各区一模,2026延庆一模,2026延庆一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模,4,covered_by_current_audit_or_matrix,20,True,present_in_global_audit,
exam_suite,2026各区一模,2026房山一模,2026房山一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模,4,covered_by_current_audit_or_matrix,32,True,present_in_global_audit,
exam_suite,2026各区一模,2026朝阳一模,2026朝阳一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模,5,covered_by_current_audit_or_matrix,32,True,present_in_global_audit,
exam_suite,2026各区一模,2026海淀一模,2026海淀一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模,4,covered_by_current_audit_or_matrix,12,True,present_in_global_audit,
exam_suite,2026各区一模,2026石景山一模,2026石景山一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模,4,covered_by_current_audit_or_matrix,27,True,present_in_global_audit,
exam_suite,2026各区一模,2026西城一模,2026西城一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模,6,covered_by_current_audit_or_matrix,30,True,present_in_global_audit,
exam_suite,2026各区一模,2026通州一模,2026通州一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模,2,covered_by_current_audit_or_matrix,11,False,present_in_global_audit,
exam_suite,2026各区一模,2026门头沟一模,2026门头沟一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模,4,covered_by_current_audit_or_matrix,30,True,present_in_global_audit,
exam_suite,2026各区一模,2026顺义一模,2026顺义一模,first_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模,4,covered_by_current_audit_or_matrix,15,True,present_in_global_audit,
exam_suite,2026各区二模,2026东城二模,2026东城二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模,8,covered_by_current_audit_or_matrix,27,False,present_in_global_audit,
exam_suite,2026各区二模,2026丰台二模,2026丰台二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模,3,covered_by_current_audit_or_matrix,20,False,present_in_global_audit,
exam_suite,2026各区二模,2026房山二模,2026房山二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模,3,covered_by_current_audit_or_matrix,18,False,present_in_global_audit,
exam_suite,2026各区二模,2026朝阳二模,2026朝阳二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模,2,covered_by_current_audit_or_matrix,32,False,present_in_global_audit,
exam_suite,2026各区二模,2026海淀二模,2026海淀二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模,2,covered_by_current_audit_or_matrix,37,False,present_in_global_audit,
exam_suite,2026各区二模,2026石景山二模,2026石景山二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模,2,covered_by_current_audit_or_matrix,36,False,present_in_global_audit,
exam_suite,2026各区二模,2026西城二模,2026西城二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模,2,covered_by_current_audit_or_matrix,33,False,present_in_global_audit,
exam_suite,2026各区二模,2026顺义二模,2026顺义二模,second_mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模,2,covered_by_current_audit_or_matrix,23,False,present_in_global_audit,
exam_suite,2026各区期末和期中,2026东城期末,2026东城期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末,4,covered_by_batch27_recovery_matrix,33,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026丰台期末,2026丰台期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026丰台期末,4,covered_by_batch28_recovery_matrix,37,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026朝阳期中,2026朝阳期中,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期中,6,covered_by_batch29_recovery_matrix,43,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026朝阳期末,2026朝阳期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期末,4,covered_by_batch30_recovery_matrix,32,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026海淀期中,2026海淀期中,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期中,4,covered_by_batch31_recovery_matrix,28,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026海淀期末,2026海淀期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期末,4,covered_by_batch32_recovery_matrix,42,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026石景山期末,2026石景山期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026石景山期末,2,special_excluded_no_usable_scoring_rubric_user_confirmed,0,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026西城期末,2026西城期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末,6,covered_by_batch33_recovery_matrix,39,True,present_in_global_audit,
exam_suite,2026各区期末和期中,2026通州期末,2026通州期末,midterm_or_final,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末,4,covered_by_batch34_recovery_matrix,49,True,present_in_global_audit,
other_material_not_exam_suite,其他材料,202404各区一模试题分类（按模块）,202404各区一模试题分类（按模块）,other_material,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）,7,,0,False,not_counted_as_exam_suite,"module-classification material, not an independent district paper suite"
