heading,group,material_chars,question_chars,why_chars,answer_chars,answer_point_markers,thin_flags,answer_excerpt
6. 2026朝阳期中 第18题（主观题）,inserted,40,34,139,191,3,,①物质决定意识，要求坚持一切从实际出发、实事求是，使主观认识和行动符合客观实际。②支持适度使用AI提供情绪价值，是因为它能够依据用户当下的真实情绪、表达内容和心理需求，生成更有针对性的回应，而不是用同一套话术机械应付所有人。③这种做法把技术服务建立在用户具体实际之上，有助于缓解部分情绪压力、提供表达空间；但前提仍是尊重真实生活和现实关系，不能脱离实际把AI替代成人的全部情感支持。
7. 2025朝阳期末 第16题（主观题）,inserted,96,31,159,179,0,SHORT_WITHOUT_POINT_MARKERS,用文化同世界对话，要坚持一切从实际出发。文化交流既要符合本民族文化发展的实际，也要满足交流对象的文化需求，更要体现全人类的共同价值取向。中国汉代文物出境展出与当地策展人紧密沟通、贴近普通观众视角、寻找与现代生活的契合点，正是从客观实际出发组织文化对话；春节承载家庭和睦、社会包容、人与自然和谐共生这些全人类共同价值，也是从“人类共同实际”出发达成的文化共鸣。
8. 2025朝阳期末 第22题（主观题）,inserted,68,35,112,123,0,SHORT_WITHOUT_POINT_MARKERS,谱写马克思主义中国化时代化新篇章，要坚持一切从实际出发、实事求是，立足国内外形势新变化和实践新要求这一客观实际，从理论与实践相结合中深入回答党和国家事业发展、党治国理政的重大时代课题，认识和揭示共产党执政规律、社会主义建设规律、人类社会发展规律。
9. 2025丰台期末 第16题（主观题）,inserted,33,146,133,183,4,,①物质决定意识，要求坚持一切从实际出发、实事求是，使主观认识和行动符合客观实际。②“数”首先来自调查统计和客观情况，不能凭主观感觉、经验印象或愿望编造。③“数”还要结合事物质量、数量界限和具体条件来确定，脱离实际条件的数字会误导判断。④胸中有“数”的目的，是把客观数量事实转化为计划制定、政策安排和国家治理的依据，使主观方案同真实情况相符合，避免盲目决策和过犹不及。
10. 2026房山一模 第16题第（2）问（主观题）,inserted,152,40,136,203,3,,①一切从实际出发、实事求是，要求尊重客观实际，使主观认识和实践方案符合具体地区的条件。“因地制宜”首先要看各地真实存在的资源禀赋、产业基础、自然条件和发展定位。②房山区依托能源资源建设战略保障基地，依托农产品禀赋发展特色农业，依托乡村文化资源开展文化活动；“宜林则林、宜草则草、宜沙则沙、宜荒则荒”也体现按不同条件作不同安排。③这种做法避免脱离实际和照搬模式，正是把主观规划建立在客观实际基础上的实事求是。
11. 2026通州期末 第16题（主观题）,inserted,41,32,105,146,3,,①物质决定意识，办事情要坚持一切从实际出发、实事求是。②李冰修建都江堰时不是凭空设计工程，而是从蜀地西北高、东南低的地形、水势和灌溉防洪需要出发，因地制宜、顺势而为，使治水方案符合客观自然条件。③正因为主观设计同客观实际相符合，都江堰才能长期发挥防洪、灌溉和生态效益，体现跨越千年的治水智慧。
12. 2025延庆一模 第16题（主观题）,legacy,55,35,101,56,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,从中老年观众的认知特点和精神文化需要出发，简化操作、优化推荐与付费模式，让作品内容与其审美习惯、生活经验相契合。
13. 2025门头沟一模 第21题第（2）问（主观题）,legacy,108,250,147,92,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,高质量发展要坚持一切从实际出发、实事求是，像门头沟那样立足本地资源禀赋、首都功能定位和发展阶段确定具体路径，避免脱离实际或机械照搬他地经验，做到主观与客观、认识与实践具体的历史的统一。
14. 2024顺义二模 第20题第（2）问（主观题）,legacy,124,51,183,142,0,SHORT_WITHOUT_POINT_MARKERS,一切从实际出发、实事求是，要求把马克思主义基本原理同中国具体实际、同中华优秀传统文化相结合。当今中国面对的百年未有之大变局、深刻的社会变革、中国式现代化的独特实践提出的新考题——这些客观实际要求党继续推进马克思主义中国化时代化，把马克思主义这把“金钥匙”真正用到当下中国的实际问题上。
15. 2024海淀二模 第4题（选择题）,legacy,112,95,139,89,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,中央有关部门以基层干部被工作群束缚、形式主义困扰这一客观实际为出发点制定标准化规范化管理要求，先吃透实际情况再做出工作部署，体现一切从实际出发、实事求是是做好基层治理工作的前提。
16. 2025丰台期末 第7题（选择题）,inserted,58,128,73,87,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,正确项是C，因为“从实际出发，从当下做起”最能回应漫画主旨；A把把握当下说成必然成功，B偏离漫画主旨去谈超前思维，D把弄清时间意义夸大为成功关键，都没有抓住从现实出发这一点。
17. 2026门头沟一模 第4题（选择题）,inserted,57,235,71,85,2,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,正确项是B，因为①④既说明文化与经济相互交融，也说明项目从北京具体资源实际出发推进“两山”实践；把自在事物联系说成可以被人改变，或把材料硬套为两点论重点论，都不符合题意。
18. 2026朝阳一模 第1题（选择题）,inserted,48,294,103,97,1,ANSWER_LT_120_CHARS,本题应选B。本节点处理①：延安时期开展“自己动手、丰衣足食”，是从边区的具体条件和抗战实际出发，把主观奋斗目标同客观现实条件统一起来；这说明想问题、作决策、办事情要坚持一切从实际出发、实事求是。
19. 2024丰台一模 第8题（选择题）,inserted,76,281,94,82,1,ANSWER_LT_120_CHARS,本题应选D。本节点处理③：战略设想能够推动福州变化，不是因为蓝图本身是根本动力，而是因为规划以福州实际为依据，正确把握本地特点和优势，把主观规划建立在客观条件之上。
20. 2025丰台一模 第18题第（1）问（主观题）,inserted,68,36,112,93,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,答案落点：我国推动新一代人工智能发展，坚持从实际出发，根据人工智能技术发展水平、产业应用状况和教育变革需要作出阶段性战略安排；这样才能使主观规划符合客观实际，在实践中检验并完善政策部署。
21. 2026西城二模 第20题（主观题）,inserted,60,35,116,152,3,,①物质决定意识，办事情要坚持一切从实际出发、实事求是，使主观认识符合客观实际。②树立正确政绩观，就要从真实民情、发展基础、资源条件和长期规律出发，按规律办事、科学决策，而不是为了个人声望制造表面工程或短期显绩。③只有把工作建立在客观实际和人民需要之上，苦干实干，才能创造经得起实践、人民和历史检验的实绩。
22. 2025朝阳一模 第21题（主观题）,inserted,61,51,133,142,3,,①物质决定意识，要求一切从实际出发、实事求是。②中国共产党人的“大事小事观”要以人民群众真实需要为尺度，把“来回跑、看病贵、落户难”等具体问题作为工作对象，而不是追求表面声势或个人政绩。③只有求真务实、把难事办妥、把实事办实，才能使政绩经得起群众和实践检验，体现为民造福的正确政绩观。
23. 2026丰台期末 第22题（主观题）,inserted,34,75,141,155,3,,①物质决定意识，制定政策和规划必须坚持一切从实际出发，使主观方案符合客观国情。②我国接续编制和实施五年规划，是在不同历史阶段把现代化目标、发展任务、现实条件和群众意见结合起来，形成分阶段、可执行的战略安排。③这样既发挥顶层设计的引领作用，又避免脱离国情的空想，使国家治理能够沿着符合中国具体实际的方向持续推进。
24. 2026朝阳期中 第7题（选择题）,inserted,47,49,48,69,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题只作客观选择题挂点。推动城市内涵式发展要从具体实际出发，立足前门商圈的历史文化资源和现实消费需求，通过文化挖掘与科技赋能推动创新发展。
25. 2026朝阳期末 第16题（主观题）,inserted,61,38,132,163,3,,①物质决定意识，文化创新也要坚持一切从实际出发，不能脱离传统戏曲自身特点和当代文化生活需要。②传统戏曲要焕发新生命力，必须立足戏曲程式、唱念做打、审美精神等传统根基，同时把当代人的情感、问题意识和表达方式融入其中。③这样才能避免简单复制粘贴或表面包装，在保留传统精髓的基础上赋予时代内涵，使传统戏曲真正被今天的观众理解和喜爱。
26. 2026西城期末 第16题第（2）问（主观题）,inserted,55,27,129,158,3,,①物质决定意识，正确意识必须如实反映客观存在；坚持真实，就是坚持从客观事实出发，使主观认识符合客观实际。②“真实”具有直抵人心的力量，是因为它呈现客观事物及其规律的本来面目，不靠夸饰、虚构和偏见制造感动。③当表达建立在真实生活、真实矛盾和真实情感之上时，受众更容易产生理解、信服和共鸣，也更能接受其中蕴含的价值判断。
27. 2026东城一模 第1题（选择题）,inserted,63,76,71,91,1,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,本题应选B。本节点只处理③：推动经济持续向新向优，必须坚持一切从实际出发、实事求是，把主观决策同客观国情、发展阶段和现实问题具体地历史地统一起来。选择题边界已明示；非主观题评分细则。
28. 2024西城一模 第2题（选择题）,inserted,95,35,112,112,2,ANSWER_LT_120_CHARS,本题应选A。本节点只处理②：走进乡土中国深处，才能在真实生产生活条件中理解怎样实事求是、联系群众，说明想问题、办事情要从客观实际出发，使理论认识同具体实践相结合。①的产业发展和农民致富作为经济线索保留，不扩展成主观题评分链。
1. 2026海淀一模 第16题（主观题）,legacy,79,53,103,118,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,材料把“辨析价值冲突”“人何以为人”“历史意识、伦理意识和文化理解”交给人来完成，说明人工智能不能替代人的价值判断和伦理反思；这体现人必须发挥主观能动性主动思考、主动选择，所以人文学科在人工智能时代具有帮助人把握价值方向的不可替代作用。
2. 2026海淀期末 第16题（主观题）,inserted,124,69,186,126,0,SHORT_WITHOUT_POINT_MARKERS,“数字原住民”要充分发挥主观能动性，自觉抵制短视频与算法编织的“下一个更精彩”期待陷阱，主动从依赖即时答案转向坚持独立探索，主动从沉溺网络用语转向锤炼规范表达；在与技术相伴成长中保持人的主动性、目的性、自觉性，做技术的主人而不是被技术与算法牵引的对象。
3. 2025海淀二模 第16题（主观题）,legacy,134,57,212,202,0,,认识是主体对客体的能动反映，意识具有目的性、自觉选择性和能动创造性。人类记忆不是机械存储信息的被动过程，而是主体在头脑中对信息进行能动的选择、整合、联结、加工，从而形成有意义的认知网络的过程；记忆是人类开展思维活动的内容与基底，没有充足的记忆积累，创造性思维就如同“无米之炊”。AI虽然能在容量和速度上辅助信息存储检索，但无法替代人发挥主观能动性进行的能动反映和创造性思维，所以我们仍然需要记忆大量知识。
4. 2025海淀期末 第16题（主观题）,inserted,79,34,131,139,0,SHORT_WITHOUT_POINT_MARKERS,打造中医药新时尚，要坚持尊重客观规律和发挥主观能动性相结合。一方面尊重中药材自身功效与适用人群的客观规律（石斛之于熬夜、荷叶之于消暑、当归之于调养），另一方面发挥主观能动性，主动把中药融入曲奇、面包、吐司、消暑包等现代烘焙形态，创造出契合当代消费者口味与生活方式的中医药新时尚。
5. 2024海淀一模 第16题（主观题）,legacy,116,36,201,131,0,SHORT_WITHOUT_POINT_MARKERS,中国人意识到登陆月球这一目标，并发挥主观能动性自觉规划路径——把“梦舟”“揽月”命名所承载的航天梦上升为关键技术攻关、飞船与着陆器研制等具体实践方案，使主观目的落到客观工程成果上；这种能动地认识世界、能动地改造世界的实践能力支撑了中国人探索宇宙、登陆月球的自信。
6. 2026西城一模 第16题（主观题）,legacy,131,50,88,141,0,WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,阅读所承载的优秀出版物、优质数字阅读内容是经过正确认识和价值判断筛选的精神产品，国家通过《全民阅读促进条例》让这种正确意识在全社会被推广、被保障，使阅读真正成为提升国民创新能力和文化素养的能动力量；这超出了私人兴趣的范围，所以阅读不仅是私事，也需要国家立法来发挥正确意识的促进作用。
7. 2025西城二模 第16题（主观题）,legacy,62,23,134,219,3,,①规律具有客观性，发挥主观能动性必须以尊重客观规律为前提。野生动物的取水需求、行动能力、栖息条件和生态系统运行都有客观规律，不能凭主观想象随意处理废弃水井。②管理处工作人员通过观察和分析，认识不同动物的需求以及村落遗址条件，在此基础上设计攀爬台阶、蓄水设施等保护方案，体现了正确发挥意识能动作用。③这种做法把对自然规律和动物需求的认识转化为生态保护实践，既避免废弃设施造成伤害，又为动物提供取水和栖息条件，实现了尊重自然与能动改造的统一。
8. 2025东城期末 第16题（主观题）,inserted,104,36,154,178,0,SHORT_WITHOUT_POINT_MARKERS,意识具有能动作用，人可以能动地认识世界、能动地改造世界。要正确发挥主观能动性，提高对器物价值的认识，做好器物的搜集、保护、研究工作。何尊从“被村民装粮食”到“被专家从废品收购站购回博物馆”再到成为镇馆之宝，正是博物馆专家发挥主观能动性、主动认识器物史料价值、主动做好搜集与保护研究的结果，从而让“宅兹中国”这段历史能够被“述”被“载”，让器物真正述史载道。
9. 2026朝阳期中 第18题（主观题）,inserted,74,39,116,94,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,不能把 AI 情绪陪伴当成现实交往的替代品。人要发挥主观能动性，主动在真实生活中理解他人、表达情绪、解决冲突；如果过度依赖 AI 的即时安慰，就可能削弱现实互动能力，模糊虚拟与现实的边界。
10. 2025朝阳二模 第16题（主观题）,legacy,24,34,96,45,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,自学激发学子求知欲与创造力，发挥主观能动性进行兴趣发展、专业深化和创新，从而推动人才成长。
11. 2025朝阳二模 第22题（主观题）,legacy,29,33,170,199,3,,①意识具有能动作用，正确意识、科学理论能够指导人们有效开展实践。推进中国式现代化需要顶层设计，就是要在深刻把握国情、时代趋势和现代化规律的基础上，形成方向、目标、步骤和政策体系。②这样的顶层设计能够为实践探索提供方向和指引，使各地区各部门的行动更具目的性、计划性和自觉性，避免零散推进、重复试错和方向偏移。③同时，顶层设计还要在实践中接受检验并不断完善，才能把科学谋划转化为中国式现代化的现实成果。
12. 2025朝阳期末 第16题（主观题）,inserted,95,31,156,183,0,,用文化同世界对话，要做到尊重客观规律和发挥主观能动性相统一。文化发展、文化传承、文化交流都有其自身规律——春节本身承载着家庭和睦、社会包容、人与自然和谐共生等全人类共同价值，这是客观文化基础；同时也要发挥主观能动性主动作为——我国积极推动联合国大会通过将春节确定为联合国假日的决议，主动申报并促使春节列入人类非物质文化遗产代表作名录，让中华节日借助合规渠道走向世界。
13. 2024朝阳二模 第16题第（2）问（主观题）,legacy,102,40,147,114,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,从主观能动性角度看，未来不能把人与人工智能的关系理解成技术单方面塑造人。人应当主动认识人工智能的发展条件、应用场景和潜在风险，通过科研创新、制度规范、伦理引导和价值选择，能动地塑造人工智能的发展方向，使人工智能更好服务人的发展。
14. 2025丰台二模 第21题（主观题）,legacy,76,25,151,210,0,,意识对物质具有能动的反作用，正确的意识、科学的理论对实践活动具有指导作用，能够能动地推动事物向前发展。我们党始终把马克思主义作为思想指引和行动指南，不断推进马克思主义中国化时代化——这正是发挥科学理论对实践的指导作用、激活“思想之势”的体现；以理想信念凝聚全国人民力量——把价值理念转化为人民群众改造世界的物质力量，是意识能动作用的具体显现。把握“势”的智慧，需要充分发挥思想理论的能动作用、用科学理论凝心铸魂引领前行。
15. 2025丰台期末 第16题（主观题）,inserted,86,41,110,127,0,SHORT_WITHOUT_POINT_MARKERS,做到胸中有“数”，要尊重客观规律和发挥主观能动性相统一。一方面要尊重事物本身“决定事物质量的数量界限”这一客观规律，承认任何质量都表现为一定的数量；另一方面要主动发挥主观能动性，自觉去注意、去统计、去分析事物的数量方面，避免胸中无“数”造成的盲目与随意。
16. 2025房山一模 第20题（主观题）,legacy,60,17,169,74,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,"奋斗就是在认识和把握历史发展规律及现实条件的基础上,自觉确立中华民族伟大复兴这一宏伟目标,充分调动主观能动性,以坚定意志和持续努力把可能转化为现实。"
17. 2025门头沟一模 第21题第（2）问（主观题）,legacy,103,260,120,89,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,高质量发展启示之一是要充分发挥意识的能动作用，像门头沟那样自觉谋划产业方向、主动选择发展路径、能动地把对发展规律和首都功能定位的科学认识转化为新质生产力培育和区域转型的具体实践。
18. 2025海淀期末 第4题（选择题）,inserted,43,110,163,184,0,,正确项是 C。人能动地认识世界、能动地改造世界——人借助AI编曲AI演唱、把科技手段与京西稻文化结合实现“科技与文化的和鸣”，这种创造性的实践活动正是人类主观能动性的发挥。错项A“超越人类生产生活的制约”否认了实践的客观物质性；错项B“人们的思考是AI创作的源头活水”颠倒了实践与意识的关系（实践才是源头活水）；错项D将AI错认为实践主体（实践主体是人，AI是工具）。
19. 2024海淀一模 第2题（选择题）,legacy,62,119,176,128,0,SHORT_WITHOUT_POINT_MARKERS,正确项是 A：科研人员正确发挥主观能动性，从大脑信号—外部设备这一事物固有联系中把握并搭建联系，造福四肢截瘫患者。错项分析：B 颠倒认识发展方向；C 错把“获得正确认识”当作实践的目的；D 把“人脑与万物互联”抬升为人类自由全面发展的决定性因素，过度夸大。
20. 2025西城二模 第2题（选择题）,legacy,83,142,302,256,6,,正确项是 D（③④）。③陷入事务主义的人尊重经验而看轻理论，难以通观客观过程全部——只看到具体事务的局部经验、没有上升到理论高度，无法把握客观过程的整体规律。④眼里只有具体事务，只见一得之功与一孔之见，会缺乏长远目标和大局观念——这是缺乏全局观、缺乏长远把握的具体表现。错项①把“机械做事缺乏能动性”扣到主观唯心主义不对，主观唯心主义是把人的意志、感觉当作世界本原，与机械做事的经验主义错位；错项②“事务多是必然的，思考谋划是偶然的”本身把必然性偶然性颠倒了，“要推动必然和偶然的
22. 2024东城一模 第3题（选择题）,legacy,100,127,175,133,8,,正确项是 A（①②）：①设计是预先目的与特定事物相结合的产物，体现意识活动的目的性；②对现实的描绘和升华，实现艺术性与人文性的统一。错项分析：③“解构春节文化的传统内涵”方向相反——龙辰辰是传承不是解构；④的“美好寓意”本身正确，但与③绑定形成的D项已被③错义拉低。
23. 2025门头沟一模 第7题（选择题）,legacy,79,94,223,181,5,,答案选C。②正确：黄旭华攻克核心技术难题是充分发挥主观能动性、能动认识和改造世界的体现；③正确：他把个人理想融入国家安全、舍家为国，正是在个人与社会的统一中创造和实现人生价值。错项分析：①错把价值创造归于“个人奋斗和自我实现”，忽视社会贡献和社会需要这一前提；④虽然客观条件确实是前提，但本题强调主观能动性的发挥与个人和社会的统一，且 ④非此选项组合中的正确项。
24. 2024石景山一模 第5题（选择题）,legacy,73,116,254,110,4,ANSWER_LT_120_CHARS,正确项是 C（②④）：人能够把握深藏于自然天气现象背后的本质和规律；从事物固有的联系中把握事物，构建方案指导实践。错项分析：①方向错位——题干强调能动应对而非“被客观条件制约”；③把“人民群众利益”当作唯一标准，绝对化。
25. 2024顺义二模 第2题（选择题）,legacy,51,194,64,67,3,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,正确项是D，其中③说明命名体现意识活动的能动创造性；①把形象化命名误说成抽象思维，②把飞行器与名称说成必然联系，都是对材料关系的误判。
26. 2026海淀二模 第3题（选择题）,inserted,55,213,95,79,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题应选C。卷面抓住“自然界本无墨色梅花”与“艺术形象”这组信号：人能够在尊重客观对象的基础上发挥意识的能动创造作用，把自然梅花加工成承载人格之美的艺术符号。
27. 2024朝阳期中 第3题（选择题）,inserted,74,129,105,117,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题应选D。本节点只处理D项：绘画创作可以在尊重艺术规律基础上对现实材料作能动加工，说明意识活动不是被动摹写，而具有自觉选择性和能动创造性。A把艺术创造简单等同于照相式再现，B否认审美评价的客观标准，C割裂特殊规律和一般规律，均不当。
28. 2025海淀期末 第22题（主观题）,inserted,63,67,144,146,3,,①意识具有能动作用，人能够能动地认识世界并通过实践改造世界。②围绕愚公移山写作，应写出面对“大山”不能消极等待，而要树立目标、坚定信念、发挥主观能动性，把改造世界的愿望转化为长期行动。③这种主观能动性必须落实到持之以恒的实践中：一代接着一代干、不断解决困难，才能把改造世界的理想变成现实成果。
29. 2026东城期末 第16题（主观题）,inserted,74,43,133,154,3,,①意识具有能动作用，人不仅能够反映客观对象，还能够在实践和文化活动中进行选择、加工和创造。②“白”作为客观色彩，经过人的审美创造和文化传承，可以成为留白之美、清白品格、简约境界等意义载体。③这种对“白”的能动理解又会反过来影响人的精神追求和行为选择，引导人追求清正、含蓄、和谐的价值境界，所以“白”不止于白。
30. 2026丰台期末 第4题（选择题）,inserted,52,49,38,62,0,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,本题只作客观选择题挂点。机器人不会自行生成治理模式，其作为实践工具的革新，是人在认识水务治理问题基础上发挥主观能动性的结果。
31. 2026朝阳期中 第19题（主观题）,inserted,39,38,126,138,3,,①正确意识对实践具有促进作用，能够指导人们改造世界、推动行动。②伟大抗战精神蕴含爱国情怀、民族气节、英雄气概和必胜信念，是激励新时代青年奋进的正确精神力量。③继承和弘扬抗战精神，就是要把这种精神转化为主动担当、攻坚克难、服务国家和民族复兴的行动自觉，而不是停留在纪念和口号上。
32. 2026海淀期中 第22题第（2）问（主观题）,inserted,69,29,139,139,3,,①发挥主观能动性必须以尊重客观规律和历史大势为基础，不能脱离现实条件空喊目标。②中华民族伟大复兴有历史趋势和发展基础，但这种“势”还需要通过坚定信心、明确目标、主动作为来把握和推动。③把民族复兴的目标、信念和行动统一起来，才能把有利态势转化为现实成果，在主动奋斗中推进复兴进程。
33. 2026海淀期末 第17题（主观题）,inserted,56,34,138,134,3,,①意识对改造世界具有能动作用，正确意识能够指导实践、激励行动。②红色文化通过讲述革命历史、阐释精神意义、呈现先进榜样，帮助青年形成正确历史认识和责任意识，坚定理想信念。③这种精神力量不是停留在感动上，而是引导青年把价值认同转化为学习奋斗、服务社会和参与实践的主动行动。
34. 2026西城期末 第16题第（2）问（主观题）,inserted,59,27,138,151,3,,①真实意味着主观认识同客观事实相符合，能够帮助人们摆脱虚假、偏见和隔阂，形成可靠认识。②正确意识对改造世界具有能动作用，能够指导实践、凝聚共识、推动人们作出正确判断和行动。③新闻、历史、司法、科学和纪录片中的真实之所以直抵人心，就在于它以客观事实支撑正确认识，使人们在事实面前产生理解、信任和行动力量。
35. 2026通州期末 第16题（主观题）,inserted,36,32,124,153,3,,①人能够在尊重客观规律的基础上发挥主观能动性，认识条件、制定方案并改造世界。②都江堰的治水智慧体现为人们依据水势、地形和生产生活需要进行工程设计、修建、维护和治理，使水利工程长期发挥防洪、灌溉和生态调节作用。③今天继续保护利用都江堰，也要发挥人的能动性，在传承、修缮、治理和创新表达中实现人与自然和谐共生。
36. 2026延庆一模 第2题（选择题）,inserted,61,54,94,97,2,ANSWER_LT_120_CHARS,本题应选D。本节点只处理③：人工智能应用体现人发挥意识能动作用，把人的目的、知识和技术方案转化为智能化生产生活实践，推动劳动方式升级。④作为劳动分工信息保留为选择题边界，不扩展为主观题评分链条。
