matrix_row_id,suite,year,stage,question,question_type,in_book_value,baodian_node,evidence_level,evidence_class,formal_signal,objective_key_signal,choice_boundary_disclosed,weak_signal,ordinary_reference_signal,broad_angle_or_level_signal,source_pointer_exists,source_artifact,current_status,misplaced_value,need_thickness_value,proof_status,proof_gap_flags,support_excerpt,note_excerpt
M0011,2026朝阳二模,2026,二模,Q21,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:11,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：系统思维强调整体性、关联性和协同性；要求用联系、全面、整体的观点看问题。,无边界问题；Q21细则亦明确必答党的领导1分，该点属政治模块不列此条目；external repair: 主题已校正为“四个中国”。
M0012,2026朝阳二模,2026,二模,Q21,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,量变与质变 / 适度原则,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:12,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：战略定力的“行动持久”对应“量变与质变、久久为功”。,无边界问题；external repair: 主题已校正为“四个中国”。
M0013,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:13,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,丰台主观题阅卷说明：哲学角度列“矛盾特殊性/具体问题具体分析”。,无边界问题
M0014,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,尊重客观规律与发挥主观能动性相结合,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:14,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,丰台主观题阅卷说明：哲学角度列“尊重规律与主观能动性相结合”。,无边界问题
M0015,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:15,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,丰台主观题阅卷说明：哲学角度列“联系观点/系统优化”。,无边界问题
M0016,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,发展的观点 / 发展的普遍性,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:16,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,丰台二模源包 line 517 明确列出联系观、发展观、价值观均为合法作答角度；line 63 显示 Q16 为 8分 三采分点结构。原 question_prompt 写成从哲学角度，分析（7分），与源包实际题干格式和分值均不符，系复制错误；content 字段全部无误，仅需修正 question_prompt 字段。,无边界问题
M0017,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,强阅卷版,formal_scoring_or_marking_support,true,true,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:17,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,丰台主观题阅卷说明：哲学角度列“正确价值观的导向作用/价值判断与价值选择”。,无边界问题
M0018,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,尊重客观规律与发挥主观能动性相结合,强细则,formal_scoring_or_marking_support,true,true,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:18,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,房山评标：第16题细则列“正确发挥主观能动性与尊重客观规律”。,无边界问题
M0019,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:19,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,房山评标：第16题细则列“系统观念”，并把“中华工业文化（系统观念/量质变/工匠精神）”对应到设问。,无边界问题
M0020,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,量变与质变 / 适度原则,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:20,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,房山评标：第16题细则明确“量的积累促成质变，实现事物的飞跃——将‘极致’奉为圭臬”。,价值观导向与量变质变在细则中均单独列出，此条目聚焦量变质变
M0021,2025海淀一模,2025,一模,Q22,必修四哲学正文条目,是：已由当前DOCX覆盖,系统观念 / 系统优化,正式评分标准-系统观念评分点+现有DOCX正文覆盖,formal_scoring_or_marking_support,true,false,false,false,false,false,true,01_source_inventory/suite_source_bundles/2025海淀一模.md:101-122;203-210;601-616,COVERED_BY_EXISTING_DOCX_BATCH10,否,否,PASS_MACHINE_PROOF_PACK_ROW,,Q22正式评分标准要求阐释系统观念及其重要性，并结合所选领域说明系统观念的表现；源包展开了普遍联系、全面系统、发展变化、全局局部、当前长远等系统观念链条。,重引源证关闭，不新增重复条目。
M0022,2025海淀一模,2025,一模,Q22,必修四哲学正文条目,是：已由当前DOCX覆盖,主要矛盾和次要矛盾,正式评分标准-系统观念展开文本+现有DOCX正文覆盖,formal_scoring_or_marking_support,true,false,false,false,false,false,true,01_source_inventory/suite_source_bundles/2025海淀一模.md:117-122;601-616,COVERED_BY_EXISTING_DOCX_BATCH10,否,否,PASS_MACHINE_PROOF_PACK_ROW,,Q22系统观念材料明确要求把握全局和局部、主要矛盾和次要矛盾、特殊和一般的关系；当前DOCX已有Q22主次矛盾条目。,重引源证关闭，不新增重复条目。
M0023,2026通州一模,2026,一模,Q18,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:23; 01_source_inventory\suite_source_bundles\2026通州一模.md:169-178,KEEP_IN_BODY_LOCAL_THICKNESS_PASS_EXTERNAL_OPEN,否,否：本行已按通州评标细则逐行重引源证；全书厚度外审仍 real_call_pending。,PASS_MACHINE_PROOF_PACK_ROW,,通州一模评标Q18：评分细则写“坚持对立统一（1分），隆福寺在保护古都肌理的同时融入现代科技，实现二者共生共荣（1分）”；本节点只收哲学给分点。,通州Q18评标细则明确对立统一及材料分析各1分，正文已有材料触发、为什么、卷面落地三层。
M0024,2026通州一模,2026,一模,Q18,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:24; 01_source_inventory\suite_source_bundles\2026通州一模.md:169-178,KEEP_IN_BODY_LOCAL_THICKNESS_PASS_EXTERNAL_OPEN,否,否：本行已按通州评标细则逐行重引源证；全书厚度外审仍 real_call_pending。,PASS_MACHINE_PROOF_PACK_ROW,,通州一模评标Q18：评分细则写“辩证否定观（1分），既保留历史记忆，又注入时代元素，实现传统与现代融合（1分）”；“双创”只作文化表达边界，不单独立哲学节点。,通州Q18评标细则明确辩证否定观及材料分析各1分，正文已有材料触发、为什么、卷面落地三层。
M0025,2026海淀二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,联系的普遍性 / 联系的观点（总）,答案和评分参考角度（非逐点细则）,formal_broad_angle_or_level_support,true,false,false,false,false,true,true,04_fusion_audit\student_patch_entries.accepted.jsonl:25,Batch06保留总节点并降格证据表述,否,否,PASS_MACHINE_PROOF_PACK_ROW,,答案和评分参考只列“联系、实践与认识”等角度；当前只保留联系总节点。,海淀讲评第16题表格明确列入联系/整体与部分角度；属于可选角度，不写成多个累加采分点。；Batch06裁决：Q16不再写成讲评逐点细则。
M0026,2026海淀二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践与认识（总）,答案和评分参考角度（非逐点细则）,formal_broad_angle_or_level_support,true,false,false,true,true,true,true,04_fusion_audit\student_patch_entries.accepted.jsonl:26,Batch06保留总节点并降格证据表述,否,否,PASS_MACHINE_PROOF_PACK_ROW,,答案和评分参考只列“联系、实践与认识”等角度；当前只保留实践与认识总节点。,讲评第16题表格明确“实践与认识的辩证关系（决定）”；不再按弱参考答案处理。；Batch06裁决：Q16不单拆实践基础/认识反作用。
M0027,2026西城二模,2026,二模,Q16,必修四哲学正文条目,是：已由当前DOCX覆盖,矛盾的普遍性和特殊性,评标PDF渲染证据-哲学观点明示+现有DOCX正文覆盖,formal_scoring_or_marking_support,true,false,false,false,false,false,true,99_logs/weak_gate_sources/renders/xicheng_rubric/page_001.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_002.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_003.png;BATCH11_2026_XICHENG_ERMO_RUBRIC_TRANSCRIPTION_20260525.md,COVERED_BY_EXISTING_DOCX_BATCH11,否,否,PASS_MACHINE_PROOF_PACK_ROW,,Q16评标PDF渲染页明示哲学观点：矛盾普遍性寓于特殊性，特殊性包含普遍性。,旧强细则来源说明已修正为评标PDF渲染证据。
M0028,2026西城二模,2026,二模,Q16,必修四哲学正文条目,是：已由当前DOCX覆盖,实践是认识的基础,评标PDF渲染证据-哲学观点明示+现有DOCX正文覆盖,formal_scoring_or_marking_support,true,false,false,false,false,false,true,99_logs/weak_gate_sources/renders/xicheng_rubric/page_001.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_002.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_003.png;BATCH11_2026_XICHENG_ERMO_RUBRIC_TRANSCRIPTION_20260525.md,COVERED_BY_EXISTING_DOCX_BATCH11,否,否,PASS_MACHINE_PROOF_PACK_ROW,,Q16评标PDF渲染页明示实践决定认识（来源/动力/标准）。,旧强细则来源说明已修正为评标PDF渲染证据。
M0029,2026顺义二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,人民群众,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:29,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,顺义阅卷版：明确列“人民群众是历史的创造者，是文化创造的主体”。,顺义评标doc为阅卷版，明确人民主体角度；该条纳入哲学人民群众节点。
M0030,2026顺义二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:30; 01_source_inventory\suite_source_bundles\2026顺义二模.md:55-62,KEEP_IN_BODY_LOCAL_THICKNESS_PASS_EXTERNAL_OPEN,否,否：本行已按顺义阅卷版逐行重引源证；全书厚度外审仍 real_call_pending。,PASS_MACHINE_PROOF_PACK_ROW,,顺义二模评标Q16阅卷版：角度3写“价值引领，义利兼顾”，并明确“价值观对人们认识世界和改造世界的活动具有重要导向作用”，要求拒绝低俗化、流量化倾向，聚焦时代正能量。,顺义Q16阅卷版明确价值观导向、反低俗化/流量化、社会效益优先，正文已有材料触发、为什么、卷面落地三层。
M0031,2026顺义二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,两点论与重点论,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:31,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,顺义阅卷版：明确写“矛盾具有普遍性和特殊性，要坚持两点论与重点论统一”。,原候选笼统放在“矛盾就是对立统一”不准；本轮按阅卷版改入两点论与重点论。
M0032,2026顺义二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践是认识的基础,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:32,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,顺义二模评标doc第16题阅卷版：评标说明列“实践观点”；阅卷版明确“一切从实际出发，实事求是/实践是认识的基础/社会存在决定社会意识”，并写“群众的实践活动是新大众文艺创作的源泉”。,顺义评标doc明确实践观点；与人民群众节点相关但落点不同，分别收录。
M0033,2026顺义二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:33,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,顺义阅卷版：明确列“对立统一，守正创新”“继承传统，推陈出新”。,中华优秀传统文化本身属文化线，本条只收“继承传统、推陈出新/守正创新”的哲学方法论。
M0034,2026石景山二模,2026,二模,Q17(3),必修四哲学正文条目,是：已进入当前DOCX/PDF正文,联系的普遍性 / 联系的观点（总）,正式评分参考角度,weak_signal_with_formal_support,true,false,false,true,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:34,Batch04 ClaudeCode correction applied: evidence_level synced to optional scoring-reference angle; not cumulative strong rubric.,否,否,PASS_MACHINE_PROOF_PACK_ROW,,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。,评分细则允许联系、矛盾、实践与认识等角度任选展开；本条为可选路径，不代表三项累计得分。 Batch04 ClaudeCode correction: structured evidence_level synced from strong rubric to optional scoring-reference angle.
M0035,2026石景山二模,2026,二模,Q17(3),必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,正式评分参考角度,weak_signal_with_formal_support,true,false,false,true,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:35,Batch04 ClaudeCode correction applied: evidence_level synced to optional scoring-reference angle; not cumulative strong rubric.,否,否,PASS_MACHINE_PROOF_PACK_ROW,,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。,评分细则允许联系、矛盾、实践与认识等角度任选展开；本条为可选路径，不代表三项累计得分。 Batch04 ClaudeCode correction: structured evidence_level synced from strong rubric to optional scoring-reference angle.
M0036,2026石景山二模,2026,二模,Q17(3),必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践与认识（总）,正式评分参考角度,weak_signal_with_formal_support,true,false,false,true,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:36,Batch04 ClaudeCode correction applied: evidence_level synced to optional scoring-reference angle; not cumulative strong rubric.,否,否,PASS_MACHINE_PROOF_PACK_ROW,,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。,评分细则允许联系、矛盾、实践与认识等角度任选展开；本条为可选路径，不代表三项累计得分。 Batch04 ClaudeCode correction: structured evidence_level synced from strong rubric to optional scoring-reference angle.
M0043,2026顺义二模,2026,二模,Q16,必修四哲学主观题现有正文覆盖,是：已进入当前DOCX/PDF正文，本批关闭弱证据重复候选,实践是认识的基础,正式评标doc/阅卷版-已由强证据行覆盖,weak_signal_with_formal_support,true,false,false,true,true,false,true,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模评标.doc; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_baodian_52_base_insert_second_mock_first_mock_audit_2026-05-24\01_source_inventory\suite_source_bundles\2026顺义二模.md; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模(1).pdf; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_05.png; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_12.png,SOURCE_REVIEW_CLOSED_CURRENT_DOCX_COVERAGE_SHUNYI_2026_ERMO_Q16,否,否：已由M0029-M0033及M0120-M0124强证据行覆盖,PASS_MACHINE_PROOF_PACK_ROW,,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。,弱参考答案候选已由顺义二模评标doc阅卷版修复；本行不再作为独立待补正文。
M0044,2026顺义二模,2026,二模,Q16,必修四哲学主观题现有正文覆盖,是：已进入当前DOCX/PDF正文，本批关闭弱证据重复候选,价值观的导向作用,正式评标doc/阅卷版-已由强证据行覆盖,weak_signal_with_formal_support,true,false,false,true,true,false,true,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模评标.doc; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_baodian_52_base_insert_second_mock_first_mock_audit_2026-05-24\01_source_inventory\suite_source_bundles\2026顺义二模.md; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模(1).pdf; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_05.png; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_12.png,SOURCE_REVIEW_CLOSED_CURRENT_DOCX_COVERAGE_SHUNYI_2026_ERMO_Q16,否,否：已由M0029-M0033及M0120-M0124强证据行覆盖,PASS_MACHINE_PROOF_PACK_ROW,,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。,弱参考答案候选已由顺义二模评标doc阅卷版修复；本行不再作为独立待补正文。
M0045,2026顺义二模,2026,二模,Q16,必修四哲学主观题现有正文覆盖,是：已进入当前DOCX/PDF正文，本批关闭弱证据重复候选,两点论与重点论,正式评标doc/阅卷版-已由强证据行覆盖,weak_signal_with_formal_support,true,false,false,true,true,false,true,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模评标.doc; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_baodian_52_base_insert_second_mock_first_mock_audit_2026-05-24\01_source_inventory\suite_source_bundles\2026顺义二模.md; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模\26顺义二模(1).pdf; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_05.png; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\shunyi_ermo_source_pages_20260525\page_12.png,SOURCE_REVIEW_CLOSED_CURRENT_DOCX_COVERAGE_SHUNYI_2026_ERMO_Q16,否,否：已由M0029-M0033及M0120-M0124强证据行覆盖,PASS_MACHINE_PROOF_PACK_ROW,,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。,弱参考答案候选已由顺义二模评标doc阅卷版修复；本行不再作为独立待补正文。
M0046,2026石景山二模,2026,二模,Q17(3),weak_evidence,是：已进入当前DOCX/PDF正文,联系的普遍性 / 联系的观点（总）,正式答案及评分参考-宽角度+等级赋分+当前DOCX正文覆盖,formal_broad_angle_or_level_support,true,false,false,false,false,true,true,shijingshan_2026_ermo_scoring_extracted_20260525.docx,MATRIX_ONLY_CLOSED_20260525_SHIJINGSHAN_ERMO_Q17_3_CURRENT_DOCX_COVERED,否：已与当前正文联系观点落点对齐,否：正式评分参考宽角度已核验,PASS_MACHINE_PROOF_PACK_ROW,,正式答案及评分参考第17(3)题明示：正确使用1个哲学观点概括二者关系可得1分，运用1个哲学观点进行正确分析可得2-4分，并明示可从联系、矛盾、实践与认识关系等角度回答；等级表给出6-7分水平描述。当前DOCX已分别收“2026石景山二模 第17(3)题”联系观点、矛盾观点、实践与认识关系三处正文条目。本行对应联系观点；证据为宽角度+等级赋分，不是逐点细则。,weak_evidence
M0047,2026石景山二模,2026,二模,Q17(3),weak_evidence,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,正式答案及评分参考-宽角度+等级赋分+当前DOCX正文覆盖,formal_broad_angle_or_level_support,true,false,false,false,false,true,true,shijingshan_2026_ermo_scoring_extracted_20260525.docx,MATRIX_ONLY_CLOSED_20260525_SHIJINGSHAN_ERMO_Q17_3_CURRENT_DOCX_COVERED,否：已与当前正文矛盾观点落点对齐,否：正式评分参考宽角度已核验,PASS_MACHINE_PROOF_PACK_ROW,,正式答案及评分参考第17(3)题明示：正确使用1个哲学观点概括二者关系可得1分，运用1个哲学观点进行正确分析可得2-4分，并明示可从联系、矛盾、实践与认识关系等角度回答；等级表给出6-7分水平描述。当前DOCX已分别收“2026石景山二模 第17(3)题”联系观点、矛盾观点、实践与认识关系三处正文条目。本行对应矛盾观点；证据为宽角度+等级赋分，不是逐点细则。,weak_evidence
M0048,2026石景山二模,2026,二模,Q17(3),weak_evidence,是：已进入当前DOCX/PDF正文,实践是认识的基础,正式答案及评分参考-宽角度+等级赋分+当前DOCX正文覆盖,formal_broad_angle_or_level_support,true,false,false,false,false,true,true,shijingshan_2026_ermo_scoring_extracted_20260525.docx,MATRIX_ONLY_CLOSED_20260525_SHIJINGSHAN_ERMO_Q17_3_CURRENT_DOCX_COVERED,否：已与当前正文实践与认识落点对齐,否：正式评分参考宽角度已核验,PASS_MACHINE_PROOF_PACK_ROW,,正式答案及评分参考第17(3)题明示：正确使用1个哲学观点概括二者关系可得1分，运用1个哲学观点进行正确分析可得2-4分，并明示可从联系、矛盾、实践与认识关系等角度回答；等级表给出6-7分水平描述。当前DOCX已分别收“2026石景山二模 第17(3)题”联系观点、矛盾观点、实践与认识关系三处正文条目。本行对应实践与认识关系；证据为宽角度+等级赋分，不是逐点细则。,weak_evidence
