bline_src_id,ref_question_id,year,district,stage,suite_name,question_no,book_part,question_type,evidence_level,paper_text_status,rubric_or_answer_status,bline_use_policy,note
BSRC0056,Q0056,2024,朝阳,期中,2024朝阳期中,19,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0057,Q0057,2024,顺义,二模,2024顺义二模,16(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0058,Q0058,2024,东城,一模,2024东城一模,18(3),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0059,Q0059,2024,丰台,一模,2024丰台一模,19(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0060,Q0060,2024,丰台,一模,2024丰台一模,19(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_syllogism_main
BSRC0061,Q0061,2024,丰台,二模,2024丰台二模,18(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0062,Q0062,2024,丰台,二模,2024丰台二模,18(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0063,Q0063,2024,西城,二模,2024西城二模,18(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_analogy_main
BSRC0064,Q0064,2024,海淀,一模,2024海淀一模,18(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_induction_main
BSRC0065,Q0065,2024,石景山,一模,2024石景山一模,19(3),thinking,main_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0066,Q0066,2024,西城,一模,2024西城一模,19(5),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,covers_logic_law_via_xicheng19_5
BSRC0067,Q0067,2024,西城,一模,2024西城一模,19(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_definition_main
BSRC0068,Q0068,2024,西城,一模,2024西城一模,19(3),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_genus_species_main
BSRC0069,Q0069,2024,门头沟,一模,2024门头沟一模,20,thinking,main_question,B-compilation,locked_from_run_packet_reverified_by_bline,compilation_only_no_district_source,excluded_or_boundary_reference,
BSRC0070,Q0070,2024,房山,一模,2024房山一模,20(1),thinking,main_question,B-compilation,locked_from_run_packet_reverified_by_bline,compilation_only_no_district_source,excluded_or_boundary_reference,compilation_only_no_official_district_source
BSRC0071,Q0071,2024,东城,一模,2024东城一模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0072,Q0072,2024,东城,一模,2024东城一模,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0073,Q0073,2024,东城,一模,2024东城一模,8,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0074,Q0074,2024,石景山,一模,2024石景山一模,6,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0075,Q0075,2024,石景山,一模,2024石景山一模,7,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0076,Q0076,2024,西城,一模,2024西城一模,11,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,covers_logic_law_choice
BSRC0077,Q0077,2024,西城,一模,2024西城一模,12,thinking,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,excluded_or_boundary_reference,
BSRC0078,Q0078,2024,西城,一模,2024西城一模,13,thinking,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,excluded_or_boundary_reference,
BSRC0079,Q0079,2024,朝阳,一模,2024朝阳一模,7,thinking,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,excluded_or_boundary_reference,
BSRC0080,Q0080,2024,丰台,一模,2024丰台一模,7,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0081,Q0081,2024,海淀,一模,2024海淀一模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0082,Q0082,2024,海淀,一模,2024海淀一模,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0083,Q0083,2024,海淀,一模,2024海淀一模,17(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0084,Q0084,2024,朝阳,二模,2024朝阳二模,19(1),thinking+reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0085,Q0085,2024,朝阳,二模,2024朝阳二模,19(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0086,Q0086,2024,顺义,二模,2024顺义二模,3,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0087,Q0087,2024,顺义,二模,2024顺义二模,5,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0088,Q0088,2024,顺义,二模,2024顺义二模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0089,Q0089,2024,顺义,二模,2024顺义二模,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0090,Q0090,2024,丰台,一模,2024丰台一模,10,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0091,Q0091,2024,丰台,一模,2024丰台一模,11,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0092,Q0092,2024,顺义,二模,2024顺义二模,2,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0093,Q0093,2024,海淀,二模,2024海淀二模,5,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0094,Q0094,2024,海淀,二模,2024海淀二模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0095,Q0095,2026,门头沟,一模,2026门头沟一模,5,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0096,Q0096,2026,门头沟,一模,2026门头沟一模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0097,Q0097,2026,门头沟,一模,2026门头沟一模,18(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0098,Q0098,2024,海淀,二模,2024海淀二模,17(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0099,Q0099,2026,门头沟,一模,2026门头沟一模,7,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0100,Q0100,2026,延庆,一模,2026延庆一模,18(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0101,Q0101,2026,东城,一模,2026东城一模,19(4),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0102,Q0102,2026,房山,一模,2026房山一模,18(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0103,Q0103,2026,石景山,一模,2026石景山一模,2,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0104,Q0104,2026,石景山,一模,2026石景山一模,5,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0105,Q0105,2026,石景山,一模,2026石景山一模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0106,Q0106,2026,石景山,一模,2026石景山一模,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0107,Q0107,2026,石景山,一模,2026石景山一模,17(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0108,Q0108,2025,丰台,二模,2025丰台二模,12,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0109,Q0109,2025,丰台,二模,2025丰台二模,13,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0110,Q0110,2025,丰台,二模,2025丰台二模,14,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0111,Q0111,2025,丰台,二模,2025丰台二模,16(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0112,Q0112,2025,丰台,二模,2025丰台二模,19(1),thinking+reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0113,Q0113,2026,丰台,二模,2026丰台二模,8,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0114,Q0114,2026,丰台,二模,2026丰台二模,9,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0115,Q0115,2026,丰台,二模,2026丰台二模,21,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0116,Q0116,2026,东城,二模,2026东城二模,12,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0117,Q0117,2026,东城,二模,2026东城二模,18,thinking+reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0118,Q0118,2026,朝阳,二模,2026朝阳二模,5,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0119,Q0119,2026,朝阳,二模,2026朝阳二模,6,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0120,Q0120,2026,朝阳,二模,2026朝阳二模,7,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0121,Q0121,2026,朝阳,二模,2026朝阳二模,19(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0122,Q0122,2026,海淀,二模,2026海淀二模,3,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0123,Q0123,2026,海淀,二模,2026海淀二模,4,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,b_choice_signal_audit_field_only_not_student_body
BSRC0124,Q0124,2026,海淀,二模,2026海淀二模,5,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0125,Q0125,2026,海淀,二模,2026海淀二模,6,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0126,Q0126,2026,海淀,二模,2026海淀二模,7,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0127,Q0127,2026,海淀,二模,2026海淀二模,18(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0128,Q0128,2026,海淀,二模,2026海淀二模,20(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0129,Q0129,2026,房山,二模,2026房山二模,18(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0130,Q0130,2026,西城,二模,2026西城二模,5,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0131,Q0131,2026,西城,二模,2026西城二模,6,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0132,Q0132,2026,西城,二模,2026西城二模,18(4),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0133,Q0133,2026,石景山,二模,2026石景山二模,6,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0134,Q0134,2026,石景山,二模,2026石景山二模,7,reasoning,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,independent_reverify,
BSRC0135,Q0135,2026,石景山,二模,2026石景山二模,17(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0136,Q0136,2026,顺义,二模,2026顺义二模,5,thinking,choice_question,A-support,locked_from_run_packet_reverified_by_bline,lecture_or_explanation_a_support,excluded_or_boundary_reference,
BSRC0137,Q0137,2026,顺义,二模,2026顺义二模,6,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,b_choice_signal_audit_field_only_not_student_body
BSRC0138,Q0138,2026,顺义,二模,2026顺义二模,7,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,b_choice_signal_audit_field_only_not_student_body
BSRC0139,Q0139,2026,顺义,二模,2026顺义二模,18(1),thinking+reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0140,Q0140,2026,顺义,二模,2026顺义二模,21,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0141,Q0141,2024,东城,二模,2024东城二模,17(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0142,Q0142,2025,东城,二模,2025东城二模,18(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0143,Q0143,2025,西城,期末,2025西城期末,17(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
