atom_id,question,status,bucket,core,expected_location,teacher_index,student_doc,evidence_level,source_boundary,boundary_note
ATOM-B10,2026朝阳期中 Q17,candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,remove_open_economy_and_dual_circulation_as_core
ATOM-B11,2026朝阳期中 Q17,candidate_with_fixes,理论,处理好发展和安全的关系；统筹发展和安全,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,Layer2_economy_subpoint_boundary_record_required
ATOM-B12,2026朝阳期中 Q17,candidate_with_fixes,理论,处理好发展和安全的关系；统筹发展和安全,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,government_regulation_and_laws_not_core_xuanbiyi
ATOM-B13,2026朝阳期中 Q17,candidate_with_fixes,理论,处理好中国发展和世界发展的关系,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,domestic_industry_upgrade_boundary_support_only
ATOM-B14,2025海淀期中 Q16(2),candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,do_not_upgrade_text_reference_answers
ATOM-B15,2025海淀期中 Q21(2),candidate_with_fixes,政治多极化,世界多极化深入发展与平等有序的世界多极化,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,not_China_policy_purpose
ATOM-B16,2025海淀期中 Q21(2),candidate_with_fixes,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,image8_remark_classified_as_usable_variant
ATOM-B17,2025海淀期中 Q21(2),candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,HMC_here_is_thought_layer_expression_not_standalone_core
ATOM-B18,2025海淀期中 Q21(2),candidate_with_fixes,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,state_interest_non_cumulative_reminder_not_new_core
ATOM-B19,2025海淀期中 Q21(2),candidate_with_fixes,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,may_merge_with_foreign_policy_section
ATOM-B20,2025海淀期中 Q21(2),candidate_with_fixes,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,main,yes,yes,user_confirmed_image_scoring_material,embedded_docx_image_verified,do_not_merge_with_era_theme_ATOM_B02
ATOM-B21,2024东城一模 Q16,candidate_with_fixes,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,side_or_audit,yes,yes,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,cross_book_prompt_not_standard_xuanbiyi_question
ATOM-B22,2024东城一模 Q16,candidate_with_fixes,中国,推动构建人类命运共同体,side_or_audit,yes,yes,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,keep_evidence_level_visible
ATOM-B23,2024东城一模 Q20,candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,high_level_opening_excluded_as_boundary
ATOM-B24,2024东城一模 Q20,candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,keep_P2_label
ATOM-B25,2024东城一模 Q20,candidate_with_fixes,经济全球化,提升贸易投资合作质量和水平,main,yes,yes,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,boundary_with_required_economics_terms
BOUNDARY-B01,2026朝阳期中 Q17,excluded_boundary_subpoint,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,side_or_audit,yes,NO,P0_formal_scoring_rule_boundary,formal_scoring_docx_but_cross_module_boundary,prevents_false_missing_subpoint_without_promoting_cross_module_terms
ATOM-C01,2026朝阳一模 Q20,candidate_with_fixes,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,not_merge_with_generic_global_supply_chain_result
ATOM-C02,2026朝阳一模 Q20,candidate_with_fixes,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,avoid_duplicate_count_with_HMC_same_section
ATOM-C03,2026朝阳一模 Q20,candidate_with_fixes,中国,国际发展合作、南南合作与“小而美”项目,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,not_a_general_empty_result_phrase
ATOM-C04,2026朝阳一模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,independent_core_not_initiative_subordinate
ATOM-C05,2026朝阳一模 Q20,candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,keep_P0_source_variant
ATOM-C06,2026朝阳一模 Q20,candidate_with_fixes,经济全球化,推动贸易和投资自由化便利化,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,high_level_opening_excluded_as_boundary
ATOM-C07,2026朝阳一模 Q20,candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,Shunyi_short_phrase_is_variant_not_core
ATOM-C07,2026顺义一模 Q20,candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,Shunyi_short_phrase_is_variant_not_core
ATOM-C08,2026朝阳一模 Q20,candidate_with_fixes,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,do_not_merge_with_common_interests_theory
ATOM-C08,2026顺义一模 Q20,candidate_with_fixes,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,do_not_merge_with_common_interests_theory
ATOM-C09,2026朝阳一模 Q20,candidate_with_fixes,政治多极化,共商共建共享的全球治理观,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,do_not_merge_with_global_governance_view_M02
ATOM-C10,2026朝阳一模 Q20,candidate_with_fixes,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,may_merge_later_with_factor_flow_core
ATOM-C11,2026朝阳一模 Q20,candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,do_not_merge_with_China_diplomacy_purpose
ATOM-C11,2026顺义一模 Q20,candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule,mixed_formal_docx_pptx,do_not_merge_with_China_diplomacy_purpose
ATOM-C12,2026顺义一模 Q20,candidate_with_fixes,理论,国家间共同利益是国家合作的基础,main,yes,yes,P0_formal_scoring_rule,formal_scoring_pptx,do_not_merge_with_correct_yiliguan
ATOM-C13,2026顺义一模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule,formal_scoring_pptx,do_not_duplicate_frequency_across_M05_M06_M13
ATOM-C14,2025海淀二模 Q21,candidate_with_fixes,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,main,yes,yes,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
ATOM-C15,2025海淀二模 Q21,candidate_with_fixes,联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,main,yes,yes,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,meaning_understanding_not_verbatim_required
ATOM-C16,2025海淀二模 Q21,candidate_with_fixes,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,main,yes,yes,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
ATOM-C17,2025海淀二模 Q21,candidate_with_fixes,联合国,《联合国宪章》宗旨和原则,main,yes,yes,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,not_pure_P0_frequency
ATOM-C18,2025海淀二模 Q21,candidate_with_fixes,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,main,yes,yes,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,avoid_duplicate_count_with_variants_same_point
ATOM-C19,2025海淀期末 Q22,candidate_with_fixes,中国,推动构建人类命运共同体,side_or_audit,yes,yes,P2_teaching_lecture_with_q22_rubric,teacher_training_ppt_optional_knowledge,not_mandatory_not_P0_frequency
ATOM-D01,2026西城期末 Q20,candidate_with_fixes,中国,中国作为负责任大国积极参与全球气候治理,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,climate_governance_trigger_required_not_generic_slogan
ATOM-D02,2026西城期末 Q20,boundary_only,中国,坚持绿色发展理念，发挥有为政府和有效市场作用推进绿色低碳转型,side_or_audit,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,not_in_xuanbiyi_core_term_frequency_not_in_six_bucket_student_core
ATOM-D03,2026西城期末 Q20,candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_do_not_split_nontraditional_security_frequency
ATOM-D04,2026西城期末 Q20,candidate_with_fixes,理论,国家间共同利益是国家合作的基础,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_do_not_merge_with_correct_yiliguan
ATOM-D05,2026西城期末 Q20,candidate_with_fixes,政治多极化,共商共建共享的全球治理观,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,main_bucket_china_crossref_political_multipolarity_and_UN_only;do_not_split_six_variants_frequency
ATOM-D06,2026西城期末 Q20,candidate_with_fixes,中国,自觉履行国际义务，遵循国际法，承担国际责任,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,optional_group_4_choose_3_separate_from_value_concept_slot_D05
ATOM-D07,2026西城期末 Q20,result_expression_only,中国,促进全球可持续发展，建设清洁世界,side_or_audit,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,not_independent_high_frequency_core_unless_later_P0_repeats_as_reusable_core
ATOM-D08,2026西城期末 Q20,candidate_with_fixes,联合国,在联合国和《巴黎协定》框架下维护多边气候治理机制，推动全球治理体系完善,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,keep_UN_core_role_explicit_not_generic_multilateralism
ATOM-D09,2026西城期末 Q20,candidate_with_fixes,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,main,yes,yes,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,climate_governance_variant_avoid_duplicate_effect_frequency_with_D07
ATOM-E01,2024海淀一模 Q18(1),candidate_with_fixes,经济全球化,推动贸易和投资自由化便利化,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,do_not_count_Q17_loose_opening_phrase
ATOM-E02,2024海淀一模 Q18(1),candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,keep_high_information_phrase_not_compress_to_opening
ATOM-E03,2026海淀一模 Q20,candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,structured_answer_pdf_plus_visual_prompt_support,keep_P1_plus_P3_not_auto_P0_after_visual_prompt_check
ATOM-E04,2026海淀一模 Q20,candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P1_structured_answer_in_scoring_file_plus_P3_visual_prompt,structured_answer_pdf_plus_visual_prompt_support,keep_P1_plus_P3_not_auto_P0_and_do_not_genericize_standard_material
ATOM-E-B01,2024海淀二模 Q18(1),boundary_only,政治多极化,世界多极化深入发展与平等有序的世界多极化,side_or_audit,yes,yes,P1_answer_in_scoring_file_needs_boundary,answer_only_open_comment_no_detailed_rubric,not_counted_as_frequency_or_core_atom
ATOM-E-B02,2025海淀一模 Q21(2),reference_only,经济全球化,推动贸易和投资自由化便利化,side_or_audit,yes,yes,P1_reference_plus_P0_marking_caution,reference_answer_not_formal_rubric,positive_answer_not_promoted_to_P0;negative_warning_kept_as_boundary
ATOM-E-B03,2026海淀期中 Q22,reference_only,联合国,《联合国宪章》宗旨和原则,side_or_audit,yes,yes,P3_paper_answer_doc_no_scoring_source,paper_answer_only_no_scoring_source,do_not_count_as_P0_frequency_until_scoring_source_found
ATOM-XC01,2026西城一模 Q20(2),candidate_with_fixes,经济全球化,推动贸易和投资自由化便利化,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,keep_standard_rules_as_material_trigger_not_standalone_empty_label
ATOM-XC02,2026西城一模 Q20(2),candidate_with_fixes,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,产业就业只作结果支撑不单列选必一术语
ATOM-XC03,2026西城一模 Q20(2),candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,区域经济转型升级和增强竞争力可作结果 不替代规则话语权核心
ATOM-XC04,2026西城一模 Q20(2),candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,共同利益只作本题世界意义同槽替代表述 不反向并入理论桶“共同利益是国家合作的基础”；多边主义和全球经济治理体系改革保留完整表述
ATOM-XC05,2025西城一模 Q21(1),candidate_with_fixes,理论,国家间共同利益是国家合作的基础,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,新发展理念内涵只作材料支撑不升选必一核心术语
ATOM-XC06,2025西城一模 Q21(1),candidate_with_fixes,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,不得把中国经验泛化为空洞大国担当
ATOM-XC07,2025西城一模 Q21(2),candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,核心名保留完整五词 不压缩成经济全球化正确方向
ATOM-XC08,2025西城二模 Q19(2),candidate_with_fixes,中国,国际发展合作、南南合作与“小而美”项目,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,发展是总钥匙不单列为本批采分原子
ATOM-XC09,2025西城二模 Q19(2),candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,普惠包容是完整核心的表述积累 不另造低信息标签
ATOM-XC10,2025西城期末 Q20(2),candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,题干写企业 不扩展为政府职责除非后续源文件明示
ATOM-XC11,2025西城期末 Q20(2),candidate_with_fixes,时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,技术创新和产品质量是企业实践支撑 不升选必一主术语
ATOM-XC12,2024西城二模 Q19,candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,本题命运与共表述并入和平与发展核心表述积累 不拆三条
ATOM-XC13A,2024西城二模 Q19,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,第二句为多选二 本组是表述积累中的一组 不等于必答频次
ATOM-XC13B,2024西城二模 Q19,candidate_with_fixes,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,真正的多边主义和全球治理只作本组表述积累 不吞并联合国桶或独立多边主义语义
ATOM-XC14,2024西城一模 Q19(6),candidate_with_fixes,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,题干是经济角度 所以保留混模块边界说明
ATOM-XC15,2024西城一模 Q19(6),candidate_with_fixes,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,国家安全在本题作为国际竞争风险变体 不另造新主线
ATOM-XC16,2024西城一模 Q19(6),candidate_with_fixes,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,助推作用6分为多选三 技术标准和贸易规则话语权、制度型开放、产品服务国际竞争力不得全计为同一必答频次；产品服务国际竞争力优先作结果表述
ATOM-XC-B01,2025西城一模 Q18,boundary_only,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,side_or_audit,yes,yes,P0_formal_scoring_rule_text_but_wrong_book_prompt,formal_scoring_docx_with_paper_text_support,题干不是当代国际政治与经济 不进入选必一正式频次
ATOM-DC01,2026东城期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,总句是学理层面 不替代四大倡议分项给分
ATOM-DC02,2026东城期末 Q20,candidate_with_fixes,政治多极化,共商共建共享的全球治理观,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,四大倡议共同挂入全球倡议系统推动构建人类命运共同体父核心；发展倡议1分 不并成普通大国担当
ATOM-DC03,2026东城期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,作为中国倡议/方案分项 不流入时代背景桶 不单独扩写联合国安全机制
ATOM-DC04,2026东城期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,文明互鉴是中国倡议分项 不转入必修四文化主链
ATOM-DC05,2026东城期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,保留全球治理倡议完整表述 不压缩成“全球治理”泛帽子
ATOM-DC06,2026东城期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,系统推动和实践层面另给分 是父核心下的结构层 不被四个分项吞掉
ATOM-DC07A,2024东城二模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；本倡议2分=路径1分+效果1分
ATOM-DC07B,2024东城二模 Q20,candidate_with_fixes,联合国,《联合国宪章》宗旨和原则,main,yes,yes,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；联合国宪章是本分项路径依据 不另造联合国频次
ATOM-DC07C,2024东城二模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,已视觉核读原卷第10页；文明分项作选必一倡议路径 不转入必修四文化主链
ATOM-DC08,2024东城二模 Q20,candidate_with_fixes,时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,main,yes,yes,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,总论1分可前可后 不拆成多个频次
ATOM-DC09,2025东城二模 Q20,candidate_with_fixes,政治多极化,世界多极化深入发展与平等有序的世界多极化,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,和平与发展和世界多极化在本题是背景替代层级
ATOM-DC10,2025东城二模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,共同利益不能反向泛化为所有合作万能模板
ATOM-DC11,2025东城二模 Q20,candidate_with_fixes,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,国际关系民主化和和平解决争端是替代表述 不重复刷频
ATOM-DC12,2025东城一模 Q20,candidate_with_fixes,理论,国家间共同利益是国家合作的基础,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,具体合作只作替代层级 不反向替代共同利益
ATOM-DC13,2025东城一模 Q20,candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,高水平对外开放和高质量发展只作边界表述
ATOM-DC14,2025东城一模 Q20,candidate_with_fixes,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,不与人类命运共同体实践层混成一条
ATOM-DC15,2025东城一模 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,作为中国外交实践层 不吞并前两层经济和治理点
ATOM-DC16,2025东城期末 Q20,candidate_with_fixes,经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,绿色贡献可作材料支撑 不单独升为选必一术语
ATOM-DC17,2025东城期末 Q20,candidate_with_fixes,时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,不得使用试卷普通解析冒充细则
ATOM-DC18,2025东城期末 Q20,candidate_with_fixes,中国,坚定维护本国利益，坚持互利共赢、和平谈判并推动贸易自由便利,main,yes,yes,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,与西城汽车贸易壁垒题同类但本题是短文认识类
ATOM-DC-B01,2026东城一模 Q19(3),boundary_only,经济全球化,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系,side_or_audit,yes,yes,P0_formal_scoring_rule_pptx_but_mixed_module,formal_scoring_pptx_with_paper_text_support,未来产业、高水平对外开放、产业链韧性和高质量发展不直接计入选必一主链频次
ATOM-CY01,2025朝阳二模 Q21,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,该组是中国发展需要 不拆成四个独立频次
ATOM-CY02,2025朝阳二模 Q21,candidate_with_fixes,理论,国家间共同利益是国家合作的基础,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,共同利益归理论桶；独立自主和平外交政策归中国外交政策表述积累 不制造同一核心
ATOM-CY03,2025朝阳二模 Q21,candidate_with_fixes,经济全球化,推动贸易和投资自由化便利化,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,与全球化完整五词方向同属经济全球化但功能不同 保留区域化用法
ATOM-CY04,2025朝阳二模 Q21,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,周边命运共同体作为中国外交实践 不合并为空泛HMC频次
ATOM-CY05,2025朝阳二模 Q21,candidate_with_fixes,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,同槽任意词给分 进入表述积累时不得拆成四个必答点
ATOM-CY06,2025朝阳二模 Q21,candidate_with_fixes,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,main,yes,yes,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,必须与2024朝阳期中等同类项合并 保留完整五词
