atom_id,source_question,scoring_position,evidence_level,source_boundary,expression_variant,final_bucket,final_core_cluster,material_trigger_fusion,answer_sentence_fusion,source_ledger_refs
ATOM-B11,2026朝阳期中 Q17,第二层总说1分,P0_formal_scoring_rule,formal_scoring_docx,发展与安全,理论,处理好发展和安全的关系；统筹发展和安全,材料一端呈现人工智能带来效率提升和发展动能，另一端呈现数据泄露、模型缺陷、伦理失控等风险，触发发展和安全关系。,发展人工智能必须统筹发展和安全，在释放降本增效和发展动能的同时，有效防范数据安全、科技安全等风险。,2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B12,2026朝阳期中 Q17,第二层分说1,P0_formal_scoring_rule,formal_scoring_docx,底线思维；应对风险,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,材料列举人工智能安全事件和非传统安全风险，回答安全端时触发总体国家安全观及经济安全、科技安全。,我国应坚持总体国家安全观和底线思维，维护国家经济安全、科技安全，为人工智能发展守住安全底线。,2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B13,2026朝阳期中 Q17,第三层总说1分,P0_formal_scoring_rule,formal_scoring_docx,中国发展与世界发展,理论,处理好中国发展和世界发展的关系,材料把我国人工智能发展与全球南方能力建设、全球智能鸿沟联系起来，触发本国发展和世界发展之间的关系。,我国推进人工智能发展要处理好中国发展和世界发展的关系，在谋求本国发展的同时促进世界共同发展。,2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B14,2025海淀期中 Q16(2),内嵌图片image2第3点贸易摩擦2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,为企业出海营造良好国际环境,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,设问要求为企业出海提建议，材料呈现商标权败诉和国际贸易风险，说明出海不能只靠企业经营策略，还要利用国际组织和全球治理规则维护权益。,面对海外市场贸易摩擦和知识产权风险，企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为中国咖啡企业出海营造良好的国际环境。,2025海淀期中_Q16_SRC_cda046c2d36d
ATOM-B15,2025海淀期中 Q21(2),内嵌图片image8变4分-世界之变2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,世界之变；和平与发展仍是时代主题,政治多极化,世界多极化深入发展与平等有序的世界多极化,设问分析新中国外交的变，材料按历史阶段呈现中国面对的外部世界变化，触发世界格局与时代主题变化。,新中国外交面对的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，推动外交在不同阶段调整重点。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B16,2025海淀期中 Q21(2),内嵌图片image8变4分-中国之变实力1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,国际影响力、话语权不断提升,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,材料从站起来、富起来、强起来展示中国实力和地位变化，回答外交的变要说明中国自身实力基础变化。,中国综合国力不断增强、国际地位不断提升，承担越来越多国际责任，推动中国特色大国外交不断发展。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B17,2025海淀期中 Q21(2),内嵌图片image8变4分-中国之变思想1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,外交指导思想与时俱进；人类命运共同体作为思想层可得分表述,中国,推动构建人类命运共同体,材料写新时代外交理论和实践创新，形成习近平外交思想，说明外交指导思想随着中国和世界发展而变。,习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南，指引中国形成全方位、多层次、立体化的外交布局。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B18,2025海淀期中 Q21(2),内嵌图片image8不变第1项1分,user_confirmed_image_scoring_material,embedded_docx_image_verified,国家性质；国家利益/维护主权安全发展利益为非累计替代表述,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,设问要求说明不变，材料虽然呈现外交任务变化，但外交服务国家性质和国家根本利益的基础没有变。,新中国外交始终服务于我国人民民主专政的国家性质，以维护我国主权、安全和发展利益为重要依据。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B19,2025海淀期中 Q21(2),内嵌图片image8不变第2组基本立场2分,user_confirmed_image_scoring_material,embedded_docx_image_verified,独立自主的和平外交政策,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,材料中各阶段外交重点不同，但都体现中国自主决定对外方针，触发独立自主基本立场。,新中国外交始终坚持独立自主的基本立场，按照不同阶段国家发展需要自主决定外交方针。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B20,2025海淀期中 Q21(2),内嵌图片image8不变第2组宗旨目标准则,user_confirmed_image_scoring_material,embedded_docx_image_verified,促进世界和平与发展为基本目标,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,设问要求分析外交不变，材料中不同阶段都围绕和平、发展、和平共处展开，触发中国外交政策宗旨、目标和基本准则。,新中国外交始终贯彻维护世界和平、促进共同发展的宗旨，以促进世界和平与发展为基本目标，坚持和平共处五项原则作为对外关系基本准则。,2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B21,2024东城一模 Q16,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,国际关系民主化；新型国际关系,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,题目以民族贡献人类社会为核心，材料写中国创造人类文明新形态并贡献中国智慧，中国对国际关系和共同体建设的贡献成为可给分论证角度。,中国共产党领导中国人民创造人类文明新形态、促进世界文明交流互鉴，也推进构建新型国际关系、倡导国际关系民主化，为人类社会贡献中国智慧。,2024东城一模_Q16_SRC_1f17f2c91d92;2024东城一模_Q16_SRC_a1c55f582bad
ATOM-B22,2024东城一模 Q16,试题分析PPT slide26阅卷细则中论证层可得1分,P2_teaching_or_lecture,teaching_analysis_ppt_with_marking_details,人类命运共同体,中国,推动构建人类命运共同体,同一论证层要求说明中国实践对人类社会的意义，触发人类命运共同体作为中国方案的价值指向。,中国推动构建人类命运共同体，把中国发展同人类社会共同进步联系起来，为世界发展贡献中国方案。,2024东城一模_Q16_SRC_1f17f2c91d92;2024东城一模_Q16_SRC_a1c55f582bad
ATOM-B23,2024东城一模 Q20,试题分析PPT slide64第3点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,制度型开放;深入融入经济全球化,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,题目问开放措施如何通过构建新发展格局助力高质量发展，材料写主动对标国际规则、规制、管理和标准，触发制度型开放与经济全球化链条。,我国主动对标国际规则、规制、管理和标准，推进制度型开放、深入融入经济全球化，为外循环提速和新发展格局构建提供开放条件。,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
ATOM-B24,2024东城一模 Q20,试题分析PPT slide64第4点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,以国内大循环吸引全球资源要素；两个市场两种资源,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,材料写放宽外资准入并依托超大规模市场优势，题目要求说明开放措施如何促进国内国际循环联动。,我国放宽外资准入、依托超大规模市场优势，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应。,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
ATOM-B25,2024东城一模 Q20,试题分析PPT slide64第4点,P2_teaching_or_lecture,teaching_analysis_ppt_with_scoring_info,贸易投资合作质量和水平,经济全球化,提升贸易投资合作质量和水平,材料把外循环提速落实到市场准入、营商环境和外资流入，触发贸易投资合作质量提升对高质量发展的作用。,我国优化市场准入和营商环境，提升贸易投资合作质量和水平，使外循环更好服务经济高质量发展。,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
ATOM-C01,2026朝阳一模 Q20,第20题第①点2分(1+1)必答点,P0_formal_scoring_rule,formal_scoring_docx,综合国力较量；经济和科技实力；创新驱动战略,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,设问问中国为什么能为全球发展提供稳定性和正能量，镜头一用AI、大模型和创新药说明中国科技创新能力，触发能力来源型答题。,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，能够为全球产业链供应链稳定和全球发展提供支撑。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C02,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,大国责任与担当；正确义利观；共享发展经验,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,镜头二呈现鲁班工坊、菌草和现代化经验走向多国，要求说明中国怎样把自身发展经验转化为国际公共贡献。,中国通过鲁班工坊、菌草技术和现代化经验共享助力共同繁荣，秉持正确义利观，贡献中国智慧和中国方案，展现大国责任与担当。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C03,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,发展中国家民生改善;全球发展内生动力,中国,国际发展合作、南南合作与“小而美”项目,镜头二集中呈现中国职业教育和农业技术服务发展中国家，回答正能量时要说明这些合作对当地发展和民生的实际作用。,中国职业教育国际合作和菌草种植技术帮助发展中国家培养技术人才、减贫和生态治理，改善发展中国家民生，增强全球发展内生动力。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C04,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,人类命运共同体,中国,推动构建人类命运共同体,材料写中国同世界分享发展成果、助力各国探索适合自身国情的发展道路，触发中国面向全球共同发展的理念表达。,中国同世界分享减贫技术、发展成果和现代化经验，推动构建人类命运共同体，使全球发展更具包容性和稳定性。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C05,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,两个市场、两种资源,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,镜头三写中国市场、制造业、货物贸易、自贸协定和免签政策，说明中国发展通过市场资源联动形成开放发展潜力。,中国依托超大规模市场和全球贸易网络，联动国内国际两个市场、两种资源，为各国共享中国发展机遇提供稳定空间。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C06,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,贸易投资自由化便利化,经济全球化,推动贸易和投资自由化便利化,自贸协定、免签政策和人才流商品流资金流双向流动，触发跨境贸易投资便利化这一经济全球化机制。,中国通过自贸协定和便利化政策推动贸易投资自由化便利化，促进人才、商品和资金双向流动，为开放型世界经济提供支撑。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C07,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际经济角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,开放、包容、普惠、平衡、共赢；普惠、平衡、共赢,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。,中国持续释放市场潜力、扩大自贸朋友圈并促进要素流动，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C08,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,合作共赢的新型国际关系；合作共赢；互利共赢；共享发展成果,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,材料呈现中国同各国分享发展经验、进行农业技术合作和互利开放，说明中国以合作而非零和竞争回应全球发展问题。,中国同各国分享减贫、职业教育和现代化经验，扩大互利合作，推动建设合作共赢的新型国际关系，为全球发展注入稳定力量。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C09,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,共商共建共享,政治多极化,共商共建共享的全球治理观,材料强调发展机遇由中国与世界共同创造、共同受益，触发开放合作语境中的共商共建共享表达。,中国坚持共商共建共享，与世界携手开拓发展新空间，使中国发展机遇转化为各国共同发展机遇。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C10,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,人才流、商品流、资金流；生产要素全球流动,经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,材料直接写中国购、中国游中的人才流、商品流、资金流双向奔赴，触发生产要素跨国流动机制。,中国通过自贸协定、免签政策和市场开放促进人才、商品、服务和生产要素在全球范围内流动，增强世界经济循环韧性。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C11,2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,中国的做法符合时代主题和平与发展；时代主题：和平和发展,时代背景,和平与发展仍是时代主题,中国创新、经验共享、开放合作和南南合作都指向促进各国共同发展，因此要判断其是否顺应和平与发展的世界大势。,中国通过科技创新、发展经验共享和开放合作促进各国共同发展，中国的做法符合和平与发展的时代主题。,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C12,2026顺义一模 Q20,幻灯片9共同利益1分必答,P0_formal_scoring_rule,formal_scoring_pptx,共同利益是国家合作的基础,理论,国家间共同利益是国家合作的基础,设问问南南合作典范的深层逻辑，实质是说明合作为什么能成立、能持续，科技小院回应全球南方农业发展共同需求。,国家间共同利益是国家合作的基础，科技小院回应全球南方国家提升农业生产、培养本土人才和实现可持续发展的共同需求，因此能够成为南南合作典范。,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1
ATOM-C13,2026顺义一模 Q20,幻灯片9国际政治3分同一评分功能位,P0_formal_scoring_rule,formal_scoring_pptx,构建人类命运共同体；独立自主的和平外交政策；维护世界和平、促进共同发展；义利观,中国,推动构建人类命运共同体,材料写中国方案应用于多国农业治理、让更多全球南方国家受益，触发中国开展南南合作的价值逻辑。,科技小院秉持构建人类命运共同体理念，坚持正确义利观，分享中国方案并帮助全球南方国家实现农业发展。,2026顺义一模_Q20_SRC_8d2be8df9cad;2026顺义一模_Q20_SRC_1da70413b2d1
ATOM-C14,2025海淀二模 Q21,中国需要联合国第1点2分任意两条,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,最具普遍性、代表性和权威性的政府间国际组织；集体安全机制核心；实践多边主义最佳场所；三大支柱,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,材料一用粮食安全、儿童、健康、气候和和平安全等数据呈现联合国全球作用，论证中国为什么需要联合国。,联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，是集体安全机制的核心和实践多边主义的最佳场所，能够通过发展与和平、人权三大支柱推动全球治理。,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036;2025海淀二模_Q21_SRC_203635b75b25
ATOM-C15,2025海淀二模 Q21,中国需要联合国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,提供平台；创造良好外部环境；中国也是受益者,联合国,联合国对中国的对外开放和现代化事业作出了独特贡献，成为中国开展多边合作的主要舞台,题目中的中国需要联合国，要说明联合国怎样为中国参与国际事务、开展多边合作和推进现代化提供平台与外部环境。,联合国为中国对外开放和现代化事业提供重要平台与良好外部环境，成为中国开展多边合作的主要舞台。,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C16,2025海淀二模 Q21,联合国需要中国第1点中国地位1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,中国的联合国身份；中国国际格局地位,联合国,以联合国为核心的国际体系、联合国作用与中国的联合国身份,论证联合国也需要中国时，材料写中国代表第一个签署联合国宪章和中国在联合国的长期贡献，触发中国身份和地位。,中国作为联合国创始会员国和安理会常任理事国，同时是世界上最大的发展中国家、国际政治经济格局中的重要力量，能够为联合国事业和全球治理提供重要支持。,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036;2025海淀二模_Q21_SRC_203635b75b25
ATOM-C17,2025海淀二模 Q21,联合国需要中国第2点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,支持联合国工作；支持联合国改革,联合国,《联合国宪章》宗旨和原则,材料二写中国担任安理会轮值主席，推动弥合分歧、建立共识、提升效率，体现中国支持联合国体系和宪章原则。,中国坚定维护以联合国为核心的国际体系，维护《联合国宪章》宗旨和原则，并以建设性行动支持联合国改革和安理会工作。,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C18,2025海淀二模 Q21,联合国需要中国第3点1分,P1_structured_scoring_answer_plus_P0_marking_record_support,structured_scoring_answer_docx_plus_marking_record,完善全球治理；构建新型国际关系；全人类共同价值；正确义利观；构建人类命运共同体,政治多极化,推动建设相互尊重、公平正义、合作共赢的新型国际关系,材料二写中国以负责任、建设性态度参与联合国事务，反映全球南方声音、推动停火止战和恢复和平，要求回答中国为联合国事业贡献什么。,中国以负责任、建设性态度参与联合国事务，反映全球南方声音，推动完善全球治理、构建新型国际关系和人类命运共同体，为联合国贡献中国智慧和中国方案。,2025海淀二模_Q21_SRC_05a280b2e00d;2025海淀二模_Q21_SRC_5b0f1d77d036
ATOM-C19,2025海淀期末 Q22,教师研修PPT slide61-62可选知识,P2_teaching_lecture_with_q22_rubric,teacher_training_ppt_optional_knowledge,综合短文可选知识：人类命运共同体；中国智慧中国方案,中国,推动构建人类命运共同体,综合短文不固定要求选必一；只有当愚公移山精神被上升为中国面对共同挑战、推动世界互联互通的价值时，才触发该可选角度。,“愚公移山”体现团结奋斗、迎难而上的精神，中国以此推动构建人类命运共同体，贡献中国智慧和中国方案。,2025海淀期末_Q22_SRC_61b68f14212d;2025海淀期末_Q22_SRC_1bd40d845040
ATOM-D01,2026西城期末 Q20,角度一“中国实践是什么”第1点1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,建设者；引领者；做负责任的大国,中国,中国作为负责任大国积极参与全球治理并推动全球南方现代化,题目问参与全球气候治理的中国实践，材料写中国向联合国提交2035年NDC目标并总结气候行动进展，触发中国在全球气候治理中的角色定位。,中国积极参与全球气候治理，是全球气候治理的建设者、引领者，展现负责任大国担当。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D03,2026西城期末 Q20,角度二“为什么参与”4选3第1项1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,和平发展合作共赢是时代潮流；非传统安全威胁,中国,国际发展合作、南南合作与“小而美”项目,材料把NDC置于巴黎协定和全球气候治理框架下，说明气候变化不是单一国家内部问题，而是需要合作应对的全球治理问题。,气候变化是需要各国共同应对的全球性问题，中国参与气候治理顺应和平、发展、合作、共赢的时代潮流。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D04,2026西城期末 Q20,角度二“为什么参与”4选3第2项1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,共同利益,理论,国家间共同利益是国家合作的基础,全球气候治理关系各国生存发展和可持续发展，材料中的NDC与巴黎协定体现各方共同利益。,气候治理关乎各国共同利益，中国参与全球气候治理回应共同挑战，也为国际合作提供现实基础。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D05,2026西城期末 Q20,角度二“为什么参与”4选3第3项1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,命运共同体；全人类共同价值；正确义利观；共商共建共享；践行真正的多边主义；坚持互利共赢,政治多极化,共商共建共享的全球治理观,材料将中国NDC放入联合国、巴黎协定和全球气候治理语境，触发中国全球治理理念与合作观。,中国参与全球气候治理，体现人类命运共同体理念、全人类共同价值、正确义利观、共商共建共享和真正的多边主义，坚持互利共赢。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D06,2026西城期末 Q20,角度二“为什么参与”4选3第4项1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,履行国际义务；遵循国际法；承担国际责任,中国,自觉履行国际义务，遵循国际法，承担国际责任,题干说明NDC是巴黎协定核心且缔约方每五年提交行动目标，中国提交2035目标体现对国际机制和国际承诺的履行。,中国向联合国提交并落实NDC目标，是自觉履行国际义务、遵循国际法、承担国际责任的表现。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D08,2026西城期末 Q20,角度三“效果怎么样”第2点1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,维护联合国的核心作用；完善全球治理体系,联合国,维护联合国在国际事务中的核心作用，完善全球治理体系,材料写中国向联合国提交NDC，NDC又属于巴黎协定核心安排，触发联合国核心作用和全球治理体系。,中国参与全球气候治理有利于维护联合国在国际事务中的核心作用，推动完善全球治理体系。,2026西城期末_Q20_SRC_0eccc84583b5
ATOM-D09,2026西城期末 Q20,角度三“效果怎么样”第3点1分,P0_formal_scoring_rule_visual,formal_scoring_pdf_visual_prompt_support_separate,贡献中国智慧；贡献中国力量,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,中国提出NDC目标并推进低碳转型、市场机制和气候适应，说明中国用行动为全球气候治理提供方案和支撑。,中国以自身气候治理行动为全球治理贡献中国智慧和中国力量。,2026西城期末_Q20_SRC_0eccc84583b5
