question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,blocked,excluded,"题干""实用新型专利证书""考查知识产权与专利保护（必修选择性必修2《法律与生活》）；docx 答案=C（保护期满进入公共领域）；落点为法律模块；按硬规则归 法律 模块 excluded。",no
Q-2024朝阳一模-13,S-2024朝阳一模,13,选择题,blocked,excluded,"题干""超长期特别国债""考查财政政策传导路径（必修2 经济与社会）；docx 答案=D（财政→科研经费→创新→效能）；落点为经济模块；按硬规则归 经济 模块 excluded。",no
Q-2024朝阳一模-14,S-2024朝阳一模,14,选择题,blocked,excluded,"题干""制度型开放""考查对外开放战略+制度创新（必修2 经济与社会）；docx 答案=A=①②（法治化营商+开放促改革）；落点为经济模块；按硬规则归 经济 模块 excluded。",no
Q-2024朝阳一模-15,S-2024朝阳一模,15,选择题,blocked,excluded,"题干""中国特色大国外交""考查外交基本立场（必修3 政治+选择性必修1 当代国际政治与经济）；docx 答案=C=②④（外交大权在党中央+守正创新外交传统）；落点为政治/国际模块；按硬规则归 政治 模块 excluded。",no
Q-2024朝阳一模-16,S-2024朝阳一模,16,主观题,blocked,excluded,"题干""分析'接受人民监督'与'勇于自我革命'的关系""（7分）考查全面从严治党+党的建设（必修3 政治）；docx 答案落在""中国特色政治制度+全面从严治党""角度+水平 4–1 等级评分；落点为政治模块；按硬规则归 政治 模块 excluded。",no
Q-2024朝阳一模-17,S-2024朝阳一模,17,主观题,excluded(out_of_scope),excluded,"题干""运用《经济与社会》知识谈如何发展银发经济""（7分）明确指向必修2《经济与社会》模块；docx 答案落在""市场调节宏观调控+国家企业社会个人多主体""角度；落点为经济与社会模块；按硬规则归 经济与社会 模块 excluded。",no
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),主观题,excluded(out_of_scope),excluded,"题干""运用《政治与法治》知识为推动条例的贯彻落实提出合理建议""（8分）明确指向必修3《政治与法治》模块；docx 答案=有关部门宣传/政府/企业/人大政协/司法 5 角度；落点为政治与法治模块；按硬规则归 政治与法治 模块 excluded。",no
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),主观题,excluded(out_of_scope),excluded,"题干""科学普及与科技创新""（8分）docx 答案落在""两点论与重点论的统一+具体问题具体分析+矛盾的同一性+文化强国""哲学与文化角度（必修4）；未独立挂载选必三系统观念主线节点；按硬规则归 哲学与文化 模块 excluded；needs_codex_recheck=yes 备份字段供跨模块复核（答案中""系统优化的方法""与选必三系统观念有交叉）。",yes
Q-2024朝阳一模-19,S-2024朝阳一模,19,主观题,excluded(out_of_scope),excluded,"题干""诚信原则""+""民法典第七条""（7分）考查民法基本原则+合同履行（必修选择性必修2《法律与生活》）；docx 答案落在""民法典诚信原则+合同当事人按约定全面履行+经营者保护消费者""角度；落点为法律模块；按硬规则归 法律 模块 excluded。",no
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,入正文(L3_CONFIRMED),入正文,"题干""推理一属于哪种推理类型？其成立的理由是什么？""（5分）+""如果A区域古代没有广泛生长竹子；就不可能有大量的炭化竹节""明确指向选必三第二单元《遵循逻辑思维规则》第六课《掌握演绎推理方法》第三框《复合判断的演绎推理方法》；docx 答案+pptx 细则 31 给分链=充分条件假言推理（1分）+前真后必真后假前必假（2分）+推理成立（2分）；phase05_reasoning_typology_archive 已锁 L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE。",no
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,入正文(L3_CONFIRMED),入正文,"题干""补充推理""+""竹子适宜生长在温暖的地方+A区域当时广泛生长着竹子→A区域古代气候较为温暖""（4分）明确指向选必三第六课《掌握演绎推理方法》第三框；docx 答案+pptx 细则 45–46 给分链=必要条件假言推理（前提1：只有A区域古代气候较为温暖；A区域古代才能广泛生长着竹子；前提2：古代A区域广泛生长着竹子）；phase05_reasoning_typology_archive 已锁 L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE。",no
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,excluded(out_of_scope),excluded,"题干""运用《当代国际政治与经济》知识谈如何推动中国经济在变局中开新局""（9分）明确指向选择性必修1《当代国际政治与经济》模块；docx 答案落在""总体国家安全观+构建新型国际关系+构建新发展格局+推进高水平对外开放""角度；落点为当代国际政治与经济模块；按硬规则归 当代国际政治与经济 模块 excluded。",no
