batch,order,question_id,reason,evidence_level,pass_status,action
第三批：18 道先回源补设问/页码/题干的题,,CC0319_2026_海淀_期末_19,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0325_2026_石景山_一模_18,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第四批：5 道低频 formal 容器题,,CC0332_2026_石景山_二模_19,低频 formal singleton，可教但暂不生成稳定核心套路。,formal,PARTIAL_LOW_FREQ_CONTAINER,按批次处理，不再一次性喂 65 道。
第四批：5 道低频 formal 容器题,,CC0340_2026_西城_一模_17,低频 formal singleton，可教但暂不生成稳定核心套路。,formal,PARTIAL_LOW_FREQ_CONTAINER,按批次处理，不再一次性喂 65 道。
第五批 A：4 道 reference_only 锁死参考题,,CC0353_2026_西城_期末_17,只可作写法参考，不能支撑核心节点。,reference_only,PARTIAL_REFERENCE_ONLY,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0364_2026_通州_期末_19_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0373_2026_顺义_一模_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第五批 B：3 道边界/综合开放题,,CC0380_2026_顺义_二模_18_2,formal 但边界/综合明显，需单列开放容器，不升核心私法节点。,formal,PARTIAL_BOUNDARY_OPEN,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2025_海淀_二模_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_通州_一模_20,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第四批：5 道低频 formal 容器题,,RECOVER_2024_东城_一模_19,低频 formal singleton，可教但暂不生成稳定核心套路。,formal,PARTIAL_LOW_FREQ_CONTAINER,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2024_东城_二模_19_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2024_东城_二模_19_2,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2025_丰台_二模_19_2,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_延庆_一模_18_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_房山_一模_17_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_西城_二模_18_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_西城_二模_18_2,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第五批 B：3 道边界/综合开放题,,RECOVER_2026_西城_二模_18_3,formal 但边界/综合明显，需单列开放容器，不升核心私法节点。,formal,PARTIAL_BOUNDARY_OPEN,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,RECOVER_2026_朝阳_期末_18_1,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
