item,action,old,new,count,status
B4,replace,"结合材料，运用《当代国际政治与经济》知识，写一篇关于""同球共济""精神和中国行动的小论文。",结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,1,applied
B5,replace,结合材料，运用所学，分析中国—东盟自贸区3.0版,结合材料，运用《当代国际政治与经济》知识，分析中国—东盟自贸区3.0版,1,applied
B6,replace,面对新一轮前沿科技发展浪潮，结合材料，从经济角度分析,结合材料，从经济角度分析,5,applied
B7,replace,知识运用准确、贴切,知识运用准确,2,applied
B8,replace,自由贸易试验区/自由贸易港,自由贸易试验区、自由贸易试验港,6,applied
B8,replace,自由贸易试验区和自由贸易港,自由贸易试验区和自由贸易试验港,6,applied
B8,replace,自由贸易港建设,自由贸易试验港建设,0,no_match
C2,replace,DeepSeek开源在140多个国家和地区下载登顶,DeepSeek开源在全球140个国家和地区的应用市场下载排行榜同时登顶,1,applied
C2,replace,DeepSeek开源在140多国下载登顶,DeepSeek开源在全球140个国家和地区的应用市场下载排行榜同时登顶,1,applied
B1,replace,题目让学生阐释中国对维护全球产供链韧性和稳定的政策主张，需要点出中国主张背后的最高价值底色。,题目要求以外交部发言人身份回应提问，需要点出中国主张背后的最高价值底色。,1,applied
B2,replace,问五大工程如何推动中拉现代化，经济规则层要说明稳定开放的外部经贸秩序。,问“五大工程”如何扩大中拉利益汇合点，经济规则层要说明稳定开放的外部经贸秩序如何成为共同利益。,1,applied
B2,replace,设问问五大工程如何推动双方现代化。,设问问“五大工程”如何扩大中拉利益汇合点。,1,applied
B2,replace,问“五大工程”如何推动双方现代化，要把工程安排转化为经济全球化中的产业链供应链支撑。,问“五大工程”如何扩大中拉利益汇合点，要把工程安排转化为经济全球化中的产业链供应链支撑。,1,applied
B2,replace,"设问问""五大工程""如何""共同谱写构建中拉命运共同体新篇章""。要回答中国与拉美现代化协同的总主线，必须用""中拉命运共同体""作为整体目标——把团结／发展／文明／和平／民心五项工程串成一条主线。","设问问""五大工程""如何扩大中拉利益汇合点。要把团结／发展／文明／和平／民心五项工程分别接到共同利益、合作领域和机制支撑，不能把材料里的结果句当成设问。",1,applied
B2,replace,"题目让学生说明""五大工程""如何推动中拉双方在各自现代化征程上并肩前行，要找出五项工程的总主线。","题目让学生阐释""五大工程""如何扩大中拉利益汇合点，要把五项工程分别接到共同利益、合作领域和机制支撑。",1,applied
B2,replace,共同谱写推动构建中拉命运共同体新篇章。,扩大中拉利益汇合点，推动构建中拉命运共同体新篇章。,1,applied
D4,replace,2025西城期末Q20,2025西城期末Q20(2),4,applied
D1/D2,replace,4.新秩序、国际关系民主化、多边主义、正确义利观、兼顾利益等任一；5.人类命运共同体；6.中国智慧、中国方案、大国担当。,4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,9,applied
D3,replace,总分结构：一层3分，两层6分，三层8分；每层按“总述—材料—关系”展开，不能只罗列材料或空写教材词。,总分结构：一层3分，两层6分，三层8分；每一层采用“总—分”结构（处理什么关系—如何处理关系），不能只罗列材料或空写教材词。,3,applied
C1,remove_block,2025海淀期末Q22,removed_from_student_main_body,1,applied
F,annotate_scores_from_ocr,,SCORE_MAP,42,applied
F,add_layers_from_ocr,,LAYER_NOTES,44,applied
