year_root,year,district,stage,suite_guess,role,extension,size,modified,relative_path,absolute_path
2024各区模拟题,2024,东城,二模,2024东城二模,paper,.pdf,18119420,2025-03-22T22:33:15,2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf
2024各区模拟题,2024,丰台,二模,2024丰台二模,rubric,.docx,58578,2025-03-22T22:33:14,2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx
2024各区模拟题,2024,丰台,二模,2024丰台二模,paper,.pdf,10551122,2025-03-22T22:33:14,2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,answer,.docx,28300,2025-03-22T22:33:16,2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,rubric,.pdf,558870,2025-11-13T15:07:18,2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,paper,.pdf,686177,2025-03-22T22:33:16,2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf
2024各区模拟题,2024,海淀,二模,2024海淀二模,answer,.docx,22380,2025-03-22T22:33:14,2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx
2024各区模拟题,2024,海淀,二模,2024海淀二模,rubric,.docx,535443,2025-03-22T22:33:14,2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx
2024各区模拟题,2024,海淀,二模,2024海淀二模,paper,.docx,253229,2025-03-22T22:33:14,2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx
2024各区模拟题,2024,海淀,二模,2024海淀二模,paper,.pdf,513944,2025-03-22T22:33:14,2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf
2024各区模拟题,2024,西城,二模,2024西城二模,paper,.docx,162,2025-03-22T22:33:16,2024各区二模\2024西城二模\其他材料\~$模拟测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\~$模拟测试思想政治试卷.docx
2024各区模拟题,2024,西城,二模,2024西城二模,rubric,.pdf,1174827,2025-03-22T22:33:16,2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pdf
2024各区模拟题,2024,西城,二模,2024西城二模,rubric,.pptx,3106616,2025-03-22T22:33:16,2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pptx
2024各区模拟题,2024,西城,二模,2024西城二模,answer,.docx,43143,2025-03-22T22:33:16,2024各区二模\2024西城二模\其他材料\高三模拟测试思想政治答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\高三模拟测试思想政治答案.docx
2024各区模拟题,2024,西城,二模,2024西城二模,rubric,.docx,50023,2025-03-22T22:33:16,2024各区二模\2024西城二模\细则\2024西城二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx
2024各区模拟题,2024,西城,二模,2024西城二模,paper,.docx,483636,2025-03-22T22:33:16,2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx
2024各区模拟题,2024,顺义,二模,2024顺义二模,rubric,.docx,32521,2025-03-22T22:33:15,2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx
2024各区模拟题,2024,顺义,二模,2024顺义二模,paper,.docx,13156426,2025-03-22T22:33:15,2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx
2024各区模拟题,2024,朝阳,期中,2024朝阳期中,rubric,.docx,121373,2026-04-01T15:50:58,2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx
2024各区模拟题,2024,朝阳,期中,2024朝阳期中,rubric,.docx,29099,2026-04-01T15:50:42,2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标docx.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标docx.docx
2024各区模拟题,2024,朝阳,期中,2024朝阳期中,rubric,.rtf,186917,2026-04-01T15:51:23,2024各区期中\2024朝阳期中\细则\2024朝阳期中细则.rtf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\细则\2024朝阳期中细则.rtf
2024各区模拟题,2024,朝阳,期中,2024朝阳期中,paper,.pdf,532797,2026-04-01T15:51:11,2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf
2024各区模拟题,2024,朝阳,期中,2024朝阳期中,paper,.pdf,532797,2026-04-01T15:50:25,2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题.pdf
2024各区模拟题,2024,海淀,期中,2024海淀期中,rubric,.pdf,5808964,2026-04-01T16:28:50,2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf
2024各区模拟题,2024,海淀,期中,2024海淀期中,paper,.pdf,4988708,2026-04-01T16:29:12,2024各区期中\2024海淀期中\试卷\海淀区2024～2025学年第一学期期中练习政治试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\试卷\海淀区2024～2025学年第一学期期中练习政治试题.pdf
2024各区模拟题,2024,,一模,2024一模,paper,.docx,568828,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修1.docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修1.docx
2024各区模拟题,2024,,一模,2024一模,paper,.docx,1633889,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修2 .docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修2 .docx
2024各区模拟题,2024,,一模,2024一模,paper,.docx,366309,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx
2024各区模拟题,2024,,一模,2024一模,paper,.docx,1517404,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修4.docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修4.docx
2024各区模拟题,2024,,一模,2024一模,paper,.docx,1940457,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx
2024各区模拟题,2024,,一模,2024一模,paper,.docx,779706,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx
2024各区模拟题,2024,,一模,2024一模,paper,.doc,674304,2025-03-22T22:33:14,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必3.doc,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必3.doc
2025各区模拟题,2025,东城,一模,2025东城一模,rubric,.pdf,370507,2025-04-16T19:14:45,2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf
2025各区模拟题,2025,东城,一模,2025东城一模,paper,.pdf,810417,2025-04-14T16:27:33,2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf
2025各区模拟题,2025,丰台,一模,2025丰台一模,rubric,.docx,28150,2025-04-14T16:33:31,2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx
2025各区模拟题,2025,丰台,一模,2025丰台一模,paper,.pdf,820699,2025-04-14T16:33:22,2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf
2025各区模拟题,2025,延庆,一模,2025延庆一模,rubric,.docx,21765,2025-04-14T16:39:25,2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx
2025各区模拟题,2025,延庆,一模,2025延庆一模,paper,.pdf,870780,2025-04-14T16:38:28,2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf
2025各区模拟题,2025,房山,一模,2025房山一模,rubric,.pdf,245221,2025-04-14T16:36:44,2025各区一模\2025房山一模\细则\2025房山一模细则.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf
2025各区模拟题,2025,房山,一模,2025房山一模,paper,.pdf,785455,2025-04-14T16:36:30,2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,rubric,.doc,50176,2025-04-14T16:30:25,2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,rubric,.doc,66048,2025-04-14T16:31:19,2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,rubric,.doc,52736,2025-04-14T16:30:15,2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结19题 合同欺诈  阐释论证.doc
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,rubric,.pptx,660961,2025-04-14T18:57:58,2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,rubric,.pdf,731224,2025-04-14T16:29:19,2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf
2025各区模拟题,2025,朝阳,一模,2025朝阳一模,paper,.pdf,631028,2025-04-14T16:28:14,2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf
2025各区模拟题,2025,海淀,一模,2025海淀一模,paper,.pdf,1672781,2025-04-15T23:00:14,2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf
2025各区模拟题,2025,海淀,一模,2025海淀一模,rubric,.docx,9649034,2025-04-14T16:23:01,2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx
2025各区模拟题,2025,海淀,一模,2025海淀一模,paper,.pdf,692410,2025-04-20T13:44:05,2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf
2025各区模拟题,2025,石景山,一模,2025石景山一模,rubric,.doc,47104,2025-04-14T16:34:04,2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\细则\2025石景山一模细则.doc
2025各区模拟题,2025,石景山,一模,2025石景山一模,paper,.pdf,761460,2025-04-14T16:33:55,2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模\试卷\2025北京石景山高三一模政治（教师版）.pdf
2025各区模拟题,2025,西城,一模,2025西城一模,rubric,.docx,29503,2025-05-02T18:19:15,2025各区一模\2025西城一模\细则\2025西城一模细则.docx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx
2025各区模拟题,2025,西城,一模,2025西城一模,paper,.pdf,847160,2025-04-14T16:25:17,2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf
2025各区模拟题,2025,门头沟,一模,2025门头沟一模,rubric,.doc,29742,2025-04-17T13:39:38,2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\细则\2025门头沟一模细则.doc
2025各区模拟题,2025,门头沟,一模,2025门头沟一模,paper,.pdf,754233,2025-04-17T13:40:38,2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模\试卷\2025北京门头沟高三一模政治（教师版）.pdf
2025各区模拟题,2025,顺义,一模,2025顺义一模,rubric,.docx,2827816,2025-04-14T16:36:07,2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\细则\2025顺义一模细则.docx
2025各区模拟题,2025,顺义,一模,2025顺义一模,paper,.pdf,945155,2025-04-14T16:34:27,2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模\试卷\2025北京顺义高三一模政治（教师版）.pdf
2025各区模拟题,2025,东城,二模,2025东城二模,rubric,.pdf,327662,2025-05-17T15:35:53,2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf
