year_root,year,district,stage,suite_guess,role,extension,size,modified,relative_path,absolute_path,source_id,text_path,method,status,quality_flag,char_count,cjk_count,error
2024各区模拟题,2024,西城,一模,2024西城一模,rubric,.docx,162,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,45f3f080af0d,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\45f3f080af0d_~$24.4西城高三统一测试思想政治答案_阅卷细则（调整）.txt,unknown,error,empty,0,0,"PackageNotFoundError(""Package not found at 'C:\\Users\\Administrator\\Desktop\\2024各区模拟题\\2024各区一模\\2024西城一模\\其他材料\\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx'"")"
2024各区模拟题,2024,西城,一模,2024西城一模,paper,.xlsx,165,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,fafcedb2a9e8,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\fafcedb2a9e8_~$教学班报告--高三西城一模练习(政治)-高三年级政6.txt,unsupported,unsupported,empty,0,0,
2024各区模拟题,2024,西城,一模,2024西城一模,rubric,.docx,48086,2025-03-22T22:33:13,2024各区一模\2024西城一模\细则\2024西城一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,d0ab10c7661f,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\d0ab10c7661f_2024西城一模细则.txt,python-docx,ok,usable_text,3045,2277,
2024各区模拟题,2024,西城,一模,2024西城一模,paper,.docx,2046293,2025-03-22T22:33:14,2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,792c92744801,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\792c92744801_2024.4高三统一测试思想政治试卷.txt,python-docx,ok,usable_text,6167,4854,
2024各区模拟题,2024,东城,二模,2024东城二模,answer,.pdf,3561061,2025-03-22T22:33:15,2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,c5a060faf30a,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\c5a060faf30a_002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.txt,pymupdf_text+tesseract_ocr,ok,usable_text,2786,1232,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1030669,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,2552507ddd47,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\2552507ddd47_16题二模阅卷总结.txt,python-docx,ok,usable_text,5516,4386,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.pptx,42333,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,151801d1bebf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\151801d1bebf_16题评分细则.txt,python-pptx,ok,usable_text,1484,1144,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,887638,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,1aa0d0458fcc,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\1aa0d0458fcc_17(1).txt,python-docx,ok,usable_text,2696,2048,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,819612,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,2ac49b25fd6d,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\2ac49b25fd6d_17-2.txt,python-docx,ok,usable_text,3815,2945,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1488308,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,b754fa0fe7bb,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\b754fa0fe7bb_18(1).txt,python-docx,ok,usable_text,3838,2996,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1472682,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,8e519446875b,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\8e519446875b_18（2）.txt,python-docx,ok,usable_text,6628,5163,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1545984,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,3dfd8fe4f806,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\3dfd8fe4f806_19（1）.txt,python-docx,ok,usable_text,5543,4212,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,20052,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,8c24ee5f5f5f,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\8c24ee5f5f5f_19（2）.txt,python-docx,ok,usable_text,1830,1388,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,941301,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,71ce95118780,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\71ce95118780_20小题二模阅卷总结.txt,python-docx,ok,usable_text,2164,1717,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,840466,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx,b5a37db90dd6,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\b5a37db90dd6_21.txt,python-docx,ok,usable_text,4452,3049,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.pptx,1014166,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx,83012e267607,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\83012e267607_21题(1).txt,python-pptx,ok,usable_text,2017,1369,
2024各区模拟题,2024,东城,二模,2024东城二模,paper,.pdf,18119420,2025-03-22T22:33:15,2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,7bf45b9aac67,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\7bf45b9aac67_001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.txt,pymupdf_text+tesseract_ocr,ok,usable_text,11938,4957,
2024各区模拟题,2024,丰台,二模,2024丰台二模,rubric,.docx,58578,2025-03-22T22:33:14,2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,04892ae21c72,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\04892ae21c72_2024丰台二模细则.txt,python-docx,ok,usable_text,3744,3001,
2024各区模拟题,2024,丰台,二模,2024丰台二模,paper,.pdf,10551122,2025-03-22T22:33:14,2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf,a537361e2ced,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\a537361e2ced_丰台高三二模政治试卷.txt,pymupdf_text+tesseract_ocr,ok,usable_text,12210,5539,
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,answer,.docx,28300,2025-03-22T22:33:16,2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,14389e8f5138,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\14389e8f5138_004202405朝阳高三政治质量检测二参考答案（以PDF为准）.txt,python-docx,ok,usable_text,1943,1344,
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,rubric,.pdf,558870,2025-11-13T15:07:18,2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,58b8d35279ad,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\58b8d35279ad_2024朝阳二模细则.txt,pymupdf_text,ok,usable_text,5887,4518,
2024各区模拟题,2024,朝阳,二模,2024朝阳二模,paper,.pdf,686177,2025-03-22T22:33:16,2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,d0a9e3587bf4,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\d0a9e3587bf4_003202405朝阳高三二模政治试题.txt,pymupdf_text,ok,usable_text,8365,5977,
2024各区模拟题,2024,海淀,二模,2024海淀二模,answer,.docx,22380,2025-03-22T22:33:14,2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx,ac7470c7d5af,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\ac7470c7d5af_高三二模：政治答案(2).txt,python-docx,ok,usable_text,1735,1197,
2024各区模拟题,2024,海淀,二模,2024海淀二模,rubric,.docx,535443,2025-03-22T22:33:14,2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx,69839ac13a4c,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\69839ac13a4c_2024海淀二模细则.txt,python-docx,ok,usable_text,2708,1991,
2024各区模拟题,2024,海淀,二模,2024海淀二模,paper,.docx,253229,2025-03-22T22:33:14,2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx,91971df55afb,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\91971df55afb_高三二模：政治试题（以PDF为准）(1).txt,python-docx,ok,usable_text,7032,5342,
2024各区模拟题,2024,海淀,二模,2024海淀二模,paper,.pdf,513944,2025-03-22T22:33:14,2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf,53274c8f4199,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\53274c8f4199_高三政治：二模试题（海）(1).txt,pymupdf_text,ok,usable_text,7668,5892,
2024各区模拟题,2024,西城,二模,2024西城二模,paper,.docx,162,2025-03-22T22:33:16,2024各区二模\2024西城二模\其他材料\~$模拟测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\~$模拟测试思想政治试卷.docx,e8dc30ce8b7e,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\e8dc30ce8b7e_~$模拟测试思想政治试卷.txt,unknown,error,empty,0,0,"PackageNotFoundError(""Package not found at 'C:\\Users\\Administrator\\Desktop\\2024各区模拟题\\2024各区二模\\2024西城二模\\其他材料\\~$模拟测试思想政治试卷.docx'"")"
