source_type,suite,question,normalized_key,current_status,matched_terms,reason,next_action,paper_evidence,scoring_evidence
coverage_diff,2024海淀期中,Q20,2024海淀期中Q20,candidate_review,当代国际政治与经济；国际政治与经济,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,,势的 突出特点，中国愿意与各国携 手走向现代化，共筑人类命运 共同体。 --- page 69 --- （2023山东20.）察势者智，驭势者赢。 一百多年来，中国共产党始终站在历史 正确的一边，站在人类进步的一边，坚 持立足中国、放眼世界，正确认识和处 理同世界的关系，团结带领中国人民实 现了从落后时代、赶上时代再到引领时 代的伟大跨越，显著提升了中国的国际 影响力、感召力、塑造力……。 结合材料，运用中国特色社会主义， 当代国际政治与经济知识，以“在历史 前进的逻辑中前进”为主题撰写一篇短 评。 要求:①围绕主题，观点明确:②论证 充分，逻辑清晰:③学科术语使用规范: ④总字数在250字左右。 一个国家、一个民族要振兴，就必须在 历
coverage_diff,2024石景山一模,Q16,2024石景山一模Q16,answer_only_needs_rubric,人类命运共同体,当前仅定位普通答案,继续寻找细则，未定位前不入主表,世界经济共同繁荣 C．坚持和平发展道路，推动构建人类命运共同体 D．坚持互学互鉴，加强世界各民族文化交流融合 第二部分 16．（6 分） 思想凝聚力量，旗帜昭示方向。习近平文化思想，植根广袤中国大地和悠久中华民 族历史，把马克思主义的思想精髓与中华优秀传统文化的精神特质融会贯通起来，对文 化建设各个领域提出了许多标志性引领性的新思想新观点新论断，具有强大的历史穿透 力、文化感染力、精神感召力，为建设中华民族现代文明举旗定向。 运用《哲学与文化》知识，说明习近平文化思想为什么能为建设中华民族现代文明 举旗定向。 17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案,
coverage_diff,2024石景山一模,Q17,2024石景山一模Q17,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,建设中华民族现代文明举旗定向。 运用《哲学与文化》知识，说明习近平文化思想为什么能为建设中华民族现代文明 举旗定向。 17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额；如有差价， 由甲公司补足。乙公司经过比选确认甲公司中标，并向其送达了中标通知。此后，甲公 司明确表示不再履行合同，在此情况下，乙公司另行与第三方公司签订合同，以高于甲 公司所报交易单价的价格购买,
coverage_diff,2024石景山一模,Q18,2024石景山一模Q18,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,回上诉，维持原判。 运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。 18．（13 分） 为弘扬新时代“枫桥经验”，助力社会矛盾纠纷在法治轨道上得到解决，石景山法 院在巩固深化党建法治共建机制的基础上，推出“一米法庭”项目。“一米法庭”中“一米”音同“益民”，取“有益人民”之意，一米之距，代表法院与群众距离贴近，传递 “一套桌椅、一米见方，努力化解纠纷”的工作理念。要从三个方面把“一米法庭”打 造为坚持和践行新时代“枫桥经验”的“枫”景线。 （1）结合材料，运用《政治与法治》知识，分析“一米法庭”项目如何使群众真正 获益。（7 分） 在街道、社区及行业特设组织中设立的“一米法庭”项目，通过,
coverage_diff,2024石景山一模,Q20,2024石景山一模Q20,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,文化等方面还存在一定的冲突和问题。运用《逻 辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4 分） 20．（8 分） 中国式现代化是强国建设、民族复兴的康庄大道。 中国式现代化既有各国现代化的共同特征，更有基于自己国情的鲜明特色。党的二十大报告明确概括了中国式现代化五个方面的中国特色，深刻揭示了中国式现代化的科 学内涵。 中国共产党领导人民前赴后继奋斗了百余年，为国家发展创造了诸多战略性有利条 件，使得中国式现代化和中华民族伟大复兴展现出前所未有的光明前景。 结合材料中的一个特色，综合运用所学，分析上述战略性有利条件为何能在全面实 现中华民族伟大复兴中发挥作用。 参考答案 第一部分共15题，每题3分，共45分。 1．C,
coverage_diff,2024石景山一模,Q22,2024石景山一模Q22,answer_only_needs_rubric,经济全球化；全球治理,当前仅定位普通答案,继续寻找细则，未定位前不入主表,3.14 万亿美元，占全球市场的 77.2%。中国、印度等发展中经济体数字服务出口 9270 亿美元，在全球的占比为 22.8%，同比增长 14%。 读图，据此推断正确的是 ①2015 年、2020 年、2022 年全球可数字化服务出口规模有明显下降 ②随着数字技术创新步伐加快，数字贸易为全球经济增长注入新动能 ③数字鸿沟是经济全球化中的重要挑战，需要深化全球数字治理与合作 ④全球治理体系加速变革，各经济体在数字贸易规则方面达成全面共识 A．①② B．①④ C．②③ D．③④ 15．2023 年是“一带一路”倡议提出十周年。作为“一带一路”倡议的“总设计师”， 习近平主席在多个,
coverage_diff,2024西城一模,Q16,2024西城一模Q16,candidate_review,经济全球化,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,组织活力，这是经济全球化发展的结果 A．①③ B．①④ C．②③ D．②④ 第二部分 本部分共4题，共55分。 16．（7分） 2023年6月1日，新版《北京市未成年人保护条例》（以下简称《条例》）施行。《条例》将“最有利于未成年人”原则放在重要位置，在与《中华人民共和国未成年保护法》保持一致的基础上，补充和细化规范了网络保护、剧本杀、网络欺凌预警等社会公众普遍关心的问题。 在修法过程中，北京市人大常委会以首善标准推进《条例》修订工作： 【倾听】广泛听取未成年人及其家长、人大代表、专家学者、学校教师等方面的意见和建议。 【尊重】剧本杀这类新兴娱乐对孩子们的吸引力较强，但也存在一些问题。《条例》没有一味限制，而是充分尊重未成年人的现,D 10．A 11．B 12．C 13．B 14．A 15．C 第二部分共 6 题，共 55 分。 16．（7分） 市人大坚持社会主义法制统一和地方立法特色，（1分，二选一）以问题为导向，回应社会关切，坚持科学立法、民主立法，（2分，二选一）立良善之法，立管用之法；（1分，二选一）践行全过程人民民主，（1分）广泛听取各方意见建议，保障公民的知情权、参与权和表达权。（1分，多选一）（材料分析，1分） 细则： 法制统一和地方立法特色，变通：法律体系、法治体系、法律层级、依法立法 立良善之法，立管用之法，变通：提高立法质量 民主立法，变通：广泛听取社情民意、广开言路、集思广益、健全立法机关和社会公众沟通机制、立法体现人民意志
coverage_diff,2024西城二模,Q16,2024西城二模Q16,candidate_review,国家利益,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,联想和类推，使一个字发展出多种词义 D．用符号表达具体形象，思维具体提纯为思维抽象 第二部分 本部分共4题，共55分。 16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。四次总计付款4176元。甲以产品中添加有黄芪粉，违反了有关规定为由，起诉请求经营者退还价款4176元，支付相当于价款十倍的赔偿金41760元。 审理法院认为，某食品科技有限公司违反我国关于食品安全的相关规定，属于生产经营不符合食品安全标准食品的行为，应依法承担责任。市民甲首单购买的30盒“黄芪薏米饼干”未超出合理生活消费需要，对其就,B 10．B 11．B 12．A 13．C 14．A 15．C 第二部分共 4 题，共 55 分。 16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民甲的加购行为超出了正常的生活消费需要，人民法院对甲就加购行为提出的惩罚性赔偿请求不予支持，有利于引导消费者诚信、理性维权。（1分，材料分析） 人民法院的判决，体现了保证食品安全和维护生产
coverage_diff,2024西城二模,Q17,2024西城二模Q17,candidate_review,世界多极化；经济全球化；国际竞争,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,应支持，故判决支持甲就首单购买饼干提出的惩罚性赔偿请求。 结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。 17．（9分） 北京聚力建设国际科技创新中心；安徽加快建设量子信息、聚变能源、深空探测三大科创高地；黑龙江实施制造业数字化转型、中小企业数字化赋能、智能制造试点示范行动……新质生产力是创新起主导作用，摆脱传统经济增长方式、生产力发展路径，具有高科技、高效能、高质量特征，符合新发展理念的先进生产力质态。 加快形成新质生产力，要全面深化改革，形成与之相适应的新型生产关系，打通束缚新质生产力发展的堵点、卡点，让各类先进优质生产要素向发展新质生产力的领域顺畅流动。同时，畅通教育、科技、人才的良性循环，打造与新质生产力发展相匹配的,：体现了民法公平、诚信、守法和公序良俗的基本原则（明确写出诚信是原则，区别于“经营者诚信”）、弘扬了社会主义核心价值观 17.（9分） 可以从以下角度作答：人类社会发展的进程和趋势，生产力与生产关系，经济基础与上层建筑，马克思主义中国化时代化新的飞跃；经济高质量发展，创新发展；当前国际竞争实质，世界发展的贡献者和推动者，世界多极化，经济全球化；实施科教兴国战略，强化现代化建设人才支撑；等等。 细则： 国家安全与核心利益 实施科教兴国战略，强化现代化建设人才支撑（二十大报告的标题“五”） 18．（33分） （1）（8分） 符合题意、言之成理即可。推理类型2分，相应的推理过程及方法6分。如写出多个推理、推理过程及方法，按得分最高的一项计分。
coverage_diff,2024顺义二模,Q17,2024顺义二模Q17,candidate_review,当代国际政治与经济；国际政治与经济,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,"（2）结合材料，运用《逻辑与思维》知识，说明如何运用超前思维加快推进“无废城市”建设系统化、科学化、长效化。（7分） 17.（9分）某校学习小组围绕“财产制度助力经济社会发展”的议题开展探究，搜集整理的资料如下。 结合材料，运用所学知识，说明我国财产制度改革如何助力经济社会发展。 18.（8分）2024年是全国人民代表大会成立70周年。 结合材料，运用《政治与法治》和《当代国际政治与经济》知识，说明我国人民代表大会制度是如何发挥优势回应百姓关切的。 19.（15分） 生产力是社会进步的根本内容,是衡量社会进步的根本尺度。 结合材料，从社会主义基本经济制度的角度说明如何实现从传统生产力到新质生产力的跃升？（7分） 在世界新一轮科技革命和产",资源化和清洁生产相结合，实现经济效益与社会效益相统一，推动“无废城市”建设。 （其他角度分析论证，言之有理，即可得分） 17．（7分） ①财产制度规范民事主体的财产关系，坚持物权平等保护原则，依法有效保护各种所有制经济组织和公民的财产权，确定财产归属，增强人民群众的财产财富安全感，增强社会信心，稳定市场主体投资、交易预期，促进财产的流通使用，促进经济社会持续健康发展和国家长治久安。 ②建立财产权保护的长效机制，保护财产权，就是保护劳动、保护发明创造、保护和发展生产力，贯彻创新驱动发展战略，增强各类经济主体创新创业动力，促进经济高质量发展。 ③完善产权制度，促进生产关系的调整，激活社会主义市场经济蓬勃发展的内生动力，夯实社会主义市场经济的基
coverage_diff,2024顺义二模,Q18,2024顺义二模Q18,evidence_not_located,当代国际政治与经济；国际政治与经济,当前自动抽取未定位细则,回源OCR/渲染页继续找细则,"经济社会发展”的议题开展探究，搜集整理的资料如下。 结合材料，运用所学知识，说明我国财产制度改革如何助力经济社会发展。 18.（8分）2024年是全国人民代表大会成立70周年。 结合材料，运用《政治与法治》和《当代国际政治与经济》知识，说明我国人民代表大会制度是如何发挥优势回应百姓关切的。 19.（15分） 生产力是社会进步的根本内容,是衡量社会进步的根本尺度。 结合材料，从社会主义基本经济制度的角度说明如何实现从传统生产力到新质生产力的跃升？（7分） 在世界新一轮科技革命和产业变革的时代浪潮中，勇当乘风破浪的弄潮儿，向着产业科技高峰全力攀登，围绕发展新质生产力，国家及各部门各地方各行业都积极行动起来。2024年《政府工作报告》提出，大力",
coverage_diff,2025东城一模,Q19,2025东城一模Q19,candidate_review,全球治理；人类命运共同体,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,费。“两新”满足人民美好生活需要，发挥消费对经济发展的基础性作用， 推动供给侧结构性改革，增强国内大循环的内生动力。 19.(8 分) ①诉讼调解 ②有利于树立劳动者权利和义务相统一的法治意识，平衡劳动者和用人单位的合法权益，构建健康和谐劳 动关系。 ③依法落实遗产管理制度，弘扬友善的社会主义核心价值观和守望相助的中华优秀传统文化，实现法律效 果和社会效果的统一。 20.(8 分) 答案角度：中国特色大国外交、人类命运共同体、高水平对外开放、全球治理等。 --- page 9 --- 第9页/共9页 等级水平 等级描述 水平4 观点鲜明，能明确表达自己的见解：紧扣问题，综合运用所学知识展开论 述；逻辑严密，,题的角度和 思路 2.加强材料的分析，整体把握材料层次、每段材料的主旨和核心。 --- page 4 --- 19. 阅读材料，完成表格。（8 分） （一）本题标准和变通 ①解决机制（1 分）：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制） ②柳某与医院的案例（3 分） 第一层：对劳动者的意义 2 分 树立劳动者权利和义务相统一的法治意识 2 分 可替换：督促劳动者履行义务 2 分 酌情替换：规范劳动者行为 1 分 第二层：对医院的意义/对双方劳动关系的意义 1 分 维护用人单位
coverage_diff,2025东城一模,Q21,2025东城一模Q21,candidate_review,当代国际政治与经济；国际政治与经济；国际竞争,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,此，2024 年元首外交精彩收官。 结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。 21.(10 分)教育是强国建设、民族复兴之基。 材料一 党的十八大以来，我国教育发展进入快车道。 --- page 7 --- 第7页/共9页 立德树人成效显著在各学段、各类型教 育中针对性开展“开学第一课”“技能成 才， 强国有我”“青年红色筑梦之旅”等活动， 深度覆盖2.9 亿在校学生。调查显示， 学生爱党爱国爱社会主义的思想基础更 加巩固，听党话跟党 走的决心更加坚定。 教育公平显著增强国家财政性教 育经费占国内生产总值比例连续 10 年保持在4%以上；我国现有 各级各类学校 52.9,④关注题目情境的宏观背景和价值利益，例如本题中拉互动，是我国与发展中国家的合作。 --- page 6 --- 21.结合材料，综合运用所学，谈谈你对“教育是强国建设、民族复兴之基”的理解。 （10 分） （一）本题标准和变通 1.逻辑结构：是——为——怎 2.是：2 个角度，共2 分 教育是培养人的社会活动1 分；作为上层建筑反作用于经济基础1 分 3.为：1 个角度2 分，任选角度共6 分 必要性——教育的战略支撑地位；人才与国际竞争力的关系 重要性—— 角度1：坚定理想信念；听党话跟党走的信心；巩固思想基础；责任担当；助力民主政 治建设——做合格的社会主义建设者和接班人 角度2：促进人才培养，提高劳动者
coverage_diff,2025东城二模,Q17,2025东城二模Q17,candidate_review,产业链,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,规律，潮流不可 阻挡。虽有挑战，我们仍要积极拥抱人工智能的到来，发挥自身优势，让技术真正人所用，与它共创美好 未来。 17.（9 分） 数字法院打破地域限制、实现司法普惠，让更广泛的群众享受到优质司法资源。各类数字服务平台为群众 提供了便捷的司法服务，降低群众维权成本，提升维权效率。通过数字赋能审判，提升审判工作质效和司 法公信力。 18.（12 分） （1）“土壤层”有效市场和有为政府形成合力，政府实施重大发展战略规划、建设新型基础设施、完善产业 体系，为创新提供战略指引、软硬件保障、全产业链支撑；市场驱动资源配置与需求迭代，为创新发展提 供强大动力。“乔木层”产学研深度融合，引领创新方向，科研机构与高校加强基础研究、攻坚关键技,"实知识。要明确材料答案就 在题中，不要脱离题目中的事和问题来解决问题，要有针对性，防止空洞化紧扣设问，防止 跑偏 17．结合材料，运用法治知识，说明数字法院如何让群众享受“数字正义”。（9 分） （一）本题标准和变通 数字普惠角度 材料1 分+知识2 分 数字法院打破地域限制、实现司法普惠，让更广泛的群众享受到优质司法资源。 替代：资源共享／法治意识 数字服务角度 材料1 分+知识2 分 各类数字服务平台为群众提供了便捷的司法服务，降低群众维权成本，提升维权效率。 替代：便民利民／诉讼效率 数字审判角度 材料1 分+知识2 分 通过数字赋能审判,提升审判工作质效和司法公信力。 替代：工作精准度／司法公正／程序公正"
