question_id,year,district,exam_stage,question_no,problem_type,current_problem,proposed_repaired_ask_text,repair_decision,evidence_level,reason,allowed_in_student_core,next_action,current_source_snippet
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,ask_text_missing,当前字段为第20题第2问裁判理由细则，缺题面/设问,,source_confirm_required,formal,可能应作为 CC0213 的子问/细则拆分，不应独立成一张污染题卡,no,回源后决定并入 CC0213、拆分为子问，或保留为细则原子,20（2）裁判理由共4分。 ①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分；/根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。 ②违反诚实信用原则/违反劳动者基本的职业道德/侵犯了甲公司知情权（1分） ③甲公司在违背真实的意思的情况与其签订合同/写出不是甲公司真实的意愿/劳动合同无效即可得（1分） ④甲公司提出解除劳动关
CC0245_2026_东城_期末_18_2,2026,东城,期末,18,ask_text_missing,当前字段已包含第18题第2问设问,维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,repair_now,formal,这是 CC0244 的维权策略子问，应作为同题子问处理,conditional,修 ask_text，并与 CC0244 合并为同题双问运行,18（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？ 维权途径2分 |  | 充分准备2分 调解或仲裁或诉讼 2分 （无解释不具体1分） | 调解（例如第三方人民调解、行政调解、诉讼调解）或仲裁（仲裁需要双方达成有效的仲裁协议）来高效解决争议；  若不愿调解或调解不成，可考虑诉讼。如果决定向人民法院提起诉讼。需准备起诉状、原被告身份信息
CC0276_2026_房山_二模_17,2026,房山,二模,17,ask_text_missing,涉外法治材料/答案型字段，选必二法律规则入口不稳,,downgrade_insurance_box,formal,更像必修三/综合法治价值，不适合支撑法律主观题核心框架,no,进入保险箱或待确认，不推动核心节点,17.（8 分） 完善涉外法律法规体系，出台外商投资法及其实施条例，平等保护内外资企业合法权益；创新涉外司 法实践，公正司法，创造性适用“活扣押”等措施，提升司法公信力；打造“调解、仲裁、诉讼”衔 接的一站式线上多元纠纷解决平台，高效率实现公平正义；以和为贵，创新诉讼调解，构建多元主体 参与的涉外海事纠纷化解模式。中国以法治方式践行大国责任和担当，推动涉外法
CC0277_2026_房山_二模_18,2026,房山,二模,18,ask_text_missing,混合题：法律小问与哲学/其他模块并存,18（1）法律边界及应对措施。,split_subquestion_only,formal,只保留法律小问进入选必二，非法律部分移出，不整题吞入,conditional,只以 18(1) 修补；其余小问不进法律宝典核心,18.（1）（7 分）法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯 该公司的名誉权。应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI 平台，可能造成商业秘密泄露。应完善保密措施，与平台签 订保密合同 风险3：数字员工设计的图案直接用作商业用途，可能会侵犯他人的著作权。应履行审核义
CC0317_2026_海淀_期末_18,2026,海淀,期末,18,ask_text_missing,当前字段像答案/参考，缺原题设问,,source_confirm_required,formal,住房租赁格式条款信号强，但题卡需回源，避免答案倒推题面,no,回源确认合同条款材料、设问与细则,18.(12 分) (1) 该合同条款无效。该合同条款是住房租赁企业为了重复使用而预先拟定，并在订立合同时 未与对方协商的条款，属于格式条款。民法典规定，采用格式条款订立合同的，提供格式条款 的一方应当遵循公平原则确定当事人之间的权利和义务。该合同条款约定合同期满后，承租方 不得与产权人私下建立合同关系，限制了承租方自由订立合同的权利，应被认定为无效。(6 
CC0318_2026_海淀_期末_18_2,2026,海淀,期末,18,ask_text_missing,当前字段像第18题第2问答案，缺原题设问,,source_confirm_required,formal,可能是 CC0317 子问，不应独立污染核心结构,no,回源后并入第18题或保留为子问,18（2）上述规定为住房租赁市场设⽴了清晰、规范的⾏为指引，由相关政府部⻔提供合同 示范⽂本，有利于规范合同内容，防⽌格式条款滥⽤，保护租赁双⽅合法权益，减少合同纠 纷；引导市场主体依法依规从事⺠事活动，弘扬诚信的社会主义价值观，规范住房租赁市场 秩序；明确政府法定职责，推动政府依法履⾏市场监管职能，推进严格执法，推动良法善治。  [page 3] 3
CC0319_2026_海淀_期末_19,2026,海淀,期末,19,ask_text_missing,当前字段像答案/参考，缺原题设问,,source_confirm_required,formal,反不正当竞争信号强，但缺题面，不得直接写逐题满分示范,no,回源确认原题材料、设问、细则,19.(7 分) 根据反不正当竞争法规定，不正当竞争行为是指经营者在生产经营活动中，扰乱市场竞争秩序， 损害其他经营者或者消费者的合法权益的行为。郑某利用技术手段，为用户提供不正当抢票优 势，破坏平台的购票规则，干扰、妨碍平台售票业务的正常开展，损害了甲公司的信誉以及其 他合法权益，构成不正当竞争，应当承担侵权责任。同时郑某的行为仅为少数消费者用户提供 了便
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,ask_text_missing,材料内已有举证责任表格型任务提示,阅读材料，参考示例，分析案件中举证责任的分配方式及理由，完成下表。,repair_now,formal,题面明确表格任务，是程序/举证责任门核心样题；但需补真实空格,conditional,修 ask_text；回源补全表格空白和列名,18．（8 分） 证据是打官司决胜负的关键砝码。根据我国法律关于举证责任分配的相关规定，在诉讼中，如果负有 举证责任的一方不能提供充分证据，将承担其主张不能成立的法律后果。 案件一 被告人朱某、宁某未经著作权人、注册商标权利人同意，生产、销售假冒泡泡玛特公司“温度”系列、 “夜之城”系列玩具产品，经营额达100 余万元。侦查终结后，公安机关将案件移送人民检察
CC0353_2026_西城_期末_17,2026,西城,期末,17,ask_text_missing_reference_only,reference_only，且当前字段像参考答案,,reference_only_lock,reference_only,只可练表达或作低强度旁证，不能支撑核心框架或满分闭环,no,锁定为 reference_only 保险箱，不进核心证据,17．法院判决B 公司构成不正当竞争并赔偿损失是正确的，因为B 公司的行为违反了《中华 人民共和国反不正当竞争法》和《中华人民共和国未成年人保护法》的相关规定，损害 了T 公司的合法权益和市场竞争秩序，同时危害了未成年人保护机制，应承担相应侵权 责任。法院判决以事实为依据，以法律为准绳，彰显了司法公正，维护了市场竞争秩序 和未成年人合法权益。
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,high_risk_source_card,材料字段混入答案/价值句，材料原子需清洗,运用《法律与生活》知识，分析上述案例是如何解决纠纷的。案例1：案例2：,clean_source_card_before_core,formal,可用 F0098/F0314 清洁题面与 F0097 细则，但必须剔除答案化材料原子,conditional,生成清洁题卡；价值问若未锁原设问则进保险箱,19．(1)案例1 通过法院调解解决纠纷。 案例2 通过行政裁决和行政诉讼解决纠纷。 (2)①有利于明确权利边界。案例2 市监局纠正侵权名称，保障市场主体和公民的合法权益。 ②有利于化解社会矛盾。案例1 的调解修复人际关系，体现 “和合”理念，促进社会和谐。 ③有利于维护公平正义。让公平正义在人与人相互理解的土壤中生根发芽。 （原卷无答案，此答案仅供参考） 
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,high_risk_rubric_contamination,Q20 法律题细则后混入 Q21 当代国际政治与经济内容,（1）结合材料，运用《法律与生活》知识，分析上述案例。（2）假如你是人民调解员，提出解决上述纠纷的建议。,clean_rubric_atoms_before_core,formal,隐私权/相邻关系题可作核心，但必须硬切掉 Q21 周边工作/人类命运共同体原子,yes_after_cleaning,清理 rubric atoms 与句库，不让 Q21 进入法律答案,"20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。孙女士认为该摄像头可能拍摄到自己及家人的日常出行规律及其他动态信息,要求刘先生 拆除该摄像头"
CC0244_2026_东城_期末_18,2026,东城,期末,18,high_risk_oversized_atom,产品责任/合同责任/维权准备混在长原子里，学生会抓不住责任链,（1）运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,split_atoms_before_core,formal,这是 V7 三责任链和三归责档核心题，但必须拆为合同链、侵权链、维权准备链,yes_after_cleaning,拆细则原子并更新教师证据说明；学生稿保留责任链写法,18. 无人机起飞如何系好“安全带”? 陈某向店主刘某发送邮件：“急需购买A 型号无人机一台。用于重要商业拍摄。”刘某回复：“全新 原装，15000 元。”陈某立即转账。刘某误将一台内部结构轻微损伤（外观无明显痕迹）的同型号展示机 寄出。 陈某收货后在首次使用中，该无人机因上述损伤失控坠毁，砸伤陈某手臂。陈某花费医疗费8000 元，并因错过商业拍摄损失收入5
