question_id,题干信号,完整选项或选项单位,答案源,正确项理由,诱人错项,陷阱类型,是否可入学生稿,当前判定
Q-2026朝阳期中-13,"13. 石榴原产于古波斯地区,汉代时沿丝绸之路传入中国。石榴籽紧密相抱、晶莹饱满,味道甘甜、醇厚绵 长,自古便被赋予多子多福、人丁兴旺的美好寓意。如今,“石榴籽”常用来形容各族同胞手足相亲、守 望相助。“石榴籽”的比喻( ) 1源自于对石榴的实际用途和外在形象的深刻理解 2属于类比推理,目的在于生动形象地描述民族关系 ",needs_current_full_options_recheck,Q-2026朝阳期中-13 | S-2026朝阳期中 | 003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,先排除②类比推理诱惑；抓住“石榴籽”比喻把石榴形象与民族关系相联结，说明由感性具体上升到思维抽象并运用联想思维，锁定③④。,②类比推理是推理部分（诱惑项非答案）；①哲学常识层面,联想；感性具体,prelim_yes_needs_options_audit,入正文
Q-2026通州期末-11,"11. “河”者,水德流润,载物通变也;“合”者,百川归海,众志凝也;“和”者,阴阳相济,万物谐也。 大运河(通州段)贯通古今,融水脉、文脉、人脉于一身,承古开新,化身为文化之河、生态之河、发展之 河、民生之河。此“河—合—和”理念,既赓续传统智慧,亦映照时代精神,其诠释过程( ) A. 实现了对运河文化从感性认识到理",needs_current_full_options_recheck,Q-2026通州期末-11 | S-2026通州期末 | 006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q11,C感性具体_思维抽象_思维具体三阶段=选必三思维进阶,A迁移飞跃错位;B分析综合普遍特殊普遍非该题进阶;D类比推理与系统整合错位,辩证思维；迁移；思维抽象；思维具体；感性具体,prelim_yes_needs_options_audit,入正文
Q-2026通州期末-5,"5. 基层问题通常不是孤立的“点”,而是交织着利益、习俗与资源的“网”。若仅头痛医头、脚痛医脚, 容易陷入“拆东墙补西墙”“按下葫芦浮起瓢”的被动局面。“十五五”规划建议明确提出,要“完善共 建共治共享的社会治理制度”并“健全凝聚服务群众工作机制,夯实社会治理的群众基础”。下列表述正 确的是( ) 1基层治理事关国家发",needs_current_full_options_recheck,Q-2026通州期末-5 | S-2026通州期末 | 006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q5,②系统思维和辩证思维=选必三辩证思维核心+③多元共治政治协商,①党执政兴国主旨过宽;④政府主导基层治理与共建共治共享相悖,辩证思维；系统思维,prelim_yes_needs_options_audit,入正文
Q-2026通州期末-8,"8. 为纪念中国人民抗日战争暨世界反法西斯战争胜利80 周年,某地博物馆组织1010 位参与者以绣针为笔, 以丝线作墨,将抗战场景和1010 个地名绣结成一幅特殊的汴绣作品。从东北黑土地到滇西高原,从东海之 滨到西北戈壁,一张跨越时空的“记忆地图”无声诉说着“清澈的爱,只为中国”。对此,下列理解正确 的是( ) 1爱国",needs_current_full_options_recheck,Q-2026通州期末-8 | S-2026通州期末 | 006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q8,③通过刺绣建立人为联系+④个体差异性民族记忆整体性对立统一(整体性元素),①情怀依赖参与者个人;②家国情怀核心源泉夸大,辩证思维；整体性,prelim_yes_needs_options_audit,入正文
Q-2026通州期末-9,"9. 2025 年7 月,首个全国性“医保+商保”清分结算中心落地北京西城区。该中心通过打通国家医保数据 与商业健康保险间的数据壁垒,打造基本医保和商业保险的“一站式”结算路径,让投保人无需再为繁琐 的票据整理与报销流程奔波,实现“数据多跑路,群众少跑腿”的民生愿景。该中心( ) A. 实现医保与商保数据共享,完善我国",needs_current_full_options_recheck,Q-2026通州期末-9 | S-2026通州期末 | 006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q9,D运用系统化_数字化模式整合保障资源=选必三系统思维(整体性优化)体现,"A完善基本医疗保障体系夸大;B创新思维保障民生但""优先构建""过窄;C发散思维拓展应用场景""转化服务要素""表述错",创新思维；系统思维；发散,prelim_yes_needs_options_audit,入正文
Q-2026顺义一模-3,3 我国探月工程实施20多年来ꎬ聚焦关键核心技术持续攻 关ꎬ科研团队先攻克“地月中继通信”核心难题ꎬ再逐步突破 轨道控制、自主起降等细分技术ꎬ最终实现全链条自主可 控ꎮ对此ꎬ下列说法正确的是 1运用矛盾分析法ꎬ抓住矛盾主要方面突破关键核心技术的制约 2在整体性与独立性、动态性与静态性的对立统一中推动探月工程的实施 3通,needs_current_full_options_recheck,Q-2026顺义一模-3 | S-2026顺义一模 | 001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q3,②整体性独立性_动态性静态性的对立统一=辩证思维特征四组+③分析与综合相结合以整体把握全链条=辩证思维方法,①矛盾分析法属哲学但属应用_未具体到选必三;④质量互变规律+得中而处之非选必三对立项_质变量变是哲学,辩证思维；整体性；动态性；分析与综合；质量互变,prelim_yes_needs_options_audit,入正文
Q-2026顺义一模-5,5 一座博物馆就是一本立体书ꎮ顺义区某中学先后建立了校园古家具博物馆和校园古代 陶瓷博物馆ꎮ围绕校园博物馆的馆藏资源ꎬ学校开展读书沙龙、专题讲座等体验活动ꎬ在 一件件静默的展品前ꎬ师生触摸历史温度ꎬ聆听无声之教ꎬ校园博物馆成为师生浸润式感 受中华优秀传统文化魅力的重要载体ꎮ下列分析对应正确的是 A 一座博物馆就是一本立,needs_current_full_options_recheck,Q-2026顺义一模-5 | S-2026顺义一模 | 001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q5,D感觉知觉表象基础上认识本质规律;A性质判断误标_为比喻;B发散思维误用_应聚合;C关系判断不周延误标,A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位,发散,prelim_yes_needs_options_audit,入正文
Q-2026顺义一模-6,6 下列对人机认知边界四象限分析模型的认识正确的是 A 该模型的建构运用了迁移的方法认识和解决新问题 B AI和人的“会”与“不会”之间界限是确定不变的 C AI和人在能动性上的优势互补能延伸人的认识边界 D 该模型为AI对话和人机协作提供了具体的操作路径 || Batch03 LaneB note: 选必三迁移题,needs_current_full_options_recheck,Q-2026顺义一模-6 | S-2026顺义一模 | 001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q6,A迁移方法构建模型=选必三迁移思维概念,B界限不变绝对论错;C优势互补延伸认识边界过度;D具体操作路径错位,迁移,prelim_yes_needs_options_audit,入正文
Q-2026丰台一模-4,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q4=A; 题干见page2文字,needs_current_full_options_recheck,Q-2026丰台一模-4 | S-2026丰台一模 | 042 render_page_02::Q4; SUPP-2026丰台 answer table page9,②体现综合思维将功能性与艺术性融为一体（选必三核心）；①实践积淀为哲学边界项但在答案中,"④陷阱：古人营建在现代""最速降线""理论发现之前，④倒置时序；③""全新重构""错",分析与综合；综合思维,prelim_yes_needs_options_audit,入正文
Q-2026丰台一模-7,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q7=B; 题干见page2-3文字,needs_current_full_options_recheck,Q-2026丰台一模-7 | S-2026丰台一模 | 042 render_page_02::Q7; SUPP-2026丰台 answer table page9,①发散与聚合结合诊治多方案（选必三核心）；④超前思维预判诊疗（选必三核心）；答案B=①④,"②""断定病症病因必然联系应运用充分条件假言推理""——错，必然联系是充要条件非单向充分条件；③""只有完全归纳才能确保结论无误""——临床不可能做完全归纳",发散；聚合；超前,prelim_yes_needs_options_audit,入正文
Q-2025海淀二模-12,supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 12.D); render_008_page_04.png=视觉确认Q12题目存在，主题耐心资本,needs_current_full_options_recheck,Q-2025海淀二模-12 | S-2025海淀二模 | 008 render_page_04::Q12; SUPP-2025海淀二模 answer table page9,耐心资本看长期、看趋势、看风险收益平衡；正确项包含③④（组成答案D）,①直接说耐心资本=新事物生命力过强，错误推断；②消除矛盾错误（矛盾不可消除）,超前,prelim_yes_needs_options_audit,入正文
Q-2024朝阳二模-6,选必三概念cross哲学+政治,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别概念，再套用“②商业航天发展渐进性飞跃性=哲学量变质变;④国有民营航天都为重要组成部分”，对照题干或选项判断有效/无效，并避开陷阱：①商业航天与航天属种关系标定_选必三概念干扰;③以国家队为主底线思维表述错,①商业航天与航天属种关系标定_选必三概念干扰;③以国家队为主底线思维表述错,概念外延关系+哲学渐进性飞跃性,prelim_yes_needs_options_audit,入正文
Q-2024朝阳二模-7,选必三科学思维与逻辑题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别三段论；假言；归纳；判断；推理，再套用“D推理结构错误_前提真也不能保正确结论=选必三逻辑核心”，对照题干或选项判断有效/无效，并避开陷阱：A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用,A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用,科学思维_推理结构正确性+三段论+假言推理,prelim_yes_needs_options_audit,入正文
Q-2024朝阳期中-11,选必三逻辑综合题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；假言；概念；判断；矛盾律；推理，再套用“②充分掌握时间学=充分条件假言推理;③所有成功者擅长周密计划+他是成功者+他擅长周密计划=三段论AAA-1”，对照题干或选项判断有效/无效，并避开陷阱：①性质判断非关系判断;④""我店里全是好茶+从来不卖变质茶""非违反矛盾律(其实违反同一律)","①性质判断非关系判断;④""我店里全是好茶+从来不卖变质茶""非违反矛盾律(其实违反同一律)",关系判断;假言推理;三段论;矛盾律,prelim_yes_needs_options_audit,入正文
Q-2024朝阳期中-7,选必三三段论排序题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；判断；推理，再套用“B=②①③:②大前提""北京中轴线是不可替代的文化遗产""+①小前提""北京中轴线是世界遗产委员会确认的世界遗产""+③结论""有些由世界遗产委员会确认的是不可替代的文化遗产"";中项""北京中轴线""周延_推理有效”，对照题干或选项判断有效/无效，并避开陷阱：A①③④无效中项错位;C三个均为单称_中项断裂;D结论与前提关系错位",A①③④无效中项错位;C三个均为单称_中项断裂;D结论与前提关系错位,三段论_大前提小前提结论,prelim_yes_needs_options_audit,入正文
Q-2024朝阳期中-8,选必三必要条件假言推理题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别假言；必要条件；联言；推理，再套用“②""除非进行了调查研究否则没有发言权和决策权""=必要条件正确表达+④""只有进行了调查研究才能有正确贯彻落实""=必要条件”，对照题干或选项判断有效/无效，并避开陷阱：①充分必要条件强化错;③否定原因推断错(必要条件能推否后但不能因果归因)",①充分必要条件强化错;③否定原因推断错(必要条件能推否后但不能因果归因),假言推理_必要条件+联言推理,prelim_yes_needs_options_audit,入正文
Q-2024朝阳期中-9,选必三归纳推理共变法题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别归纳；推理，再套用“B共变法_声音随空气量共变=因果探求共变法”，对照题干或选项判断有效/无效，并避开陷阱：A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验,归纳推理_共变法,prelim_yes_needs_options_audit,入正文
Q-2024海淀二模-6,选必三概念外延+换位推理题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别换质；换位；概念；推理，再套用“C发行期限10年以上=超长期特别国债的属性反映”，对照题干或选项判断有效/无效，并避开陷阱：A专项国债与特别国债同为国债下属_反对而非矛盾关系;B特别国债与超长期特别国债=属种关系而非种属;D换位""特别国债是助力经济增长的增量工具""换位为""有的助力经济增长的增量工具是特别国债""非全称","A专项国债与特别国债同为国债下属_反对而非矛盾关系;B特别国债与超长期特别国债=属种关系而非种属;D换位""特别国债是助力经济增长的增量工具""换位为""有的助力经济增长的增量工具是特别国债""非全称",概念外延关系+换位推理,prelim_yes_needs_options_audit,入正文
Q-2024西城一模-11,CONFLICT: 旧错误选项归属已废弃；Lane B独立从DOCX XML提取显示B=①③（A=①② B=①③ C=②④ D=③④）。旧归属错误不得进入后续融合。正确答案B=①③，即完全归纳推理两例。can_enter_fusion=yes，但必须在fusion中使用正确选项归属B=①③。,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别归纳；推理，再套用“①枚举三舱段各为舱段→全体都是舱段（完全归纳有效）；③枚举三项各为中国航天人走过的路→集体连缀浩瀚征程（完全归纳有效）；答案B=①③”，对照题干或选项判断有效/无效，并避开陷阱：②将""个体→类别X""反转为""类别X→仅为这三个""（非法逆推）；④将获自一个语境的谓词（作为""路""的属性）迁移到另一语境（作为""舱段""的主语），犯了语境混淆错误","②将""个体→类别X""反转为""类别X→仅为这三个""（非法逆推）；④将获自一个语境的谓词（作为""路""的属性）迁移到另一语境（作为""舱段""的主语），犯了语境混淆错误",完全归纳推理：枚举全部对象推出全称结论,prelim_yes_needs_options_audit,入正文
Q-2024西城一模-13,选必三联想题_答案B,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别判断；推理，再套用“联想散漫飘忽_非逻辑制约;关系是偶然的_体现畅想性”，对照题干或选项判断有效/无效，并避开陷阱：A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理,A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理,联想_非逻辑制约的畅想性,prelim_yes_needs_options_audit,入正文
Q-2025东城期末-13,选必三三段论谬误识别题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；概念；判断；周延；推理，再套用“①""祥云""是大国重器+有的大国重器是载人飞艇=中项""大国重器""未周延_中项不周延谬误;③碳纤维自行车适合山地骑行+山地车适合山地骑行=中项""适合山地骑行""未周延_两项均为属性中项不周延”，对照题干或选项判断有效/无效，并避开陷阱：②否定前提两否得结论错;④石墨烯围巾有智能温控+智能温控能调节=四概念错位",②否定前提两否得结论错;④石墨烯围巾有智能温控+智能温控能调节=四概念错位,三段论_中项不周延+小项不当扩大,prelim_yes_needs_options_audit,入正文
Q-2025东城期末-14,选必三概念外延+周延判断题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别假言；联言；选言；概念；判断；周延；推理，再套用“D""统领整个老城规划格局的建筑与遗址的组合体""在判断中是谓项=不周延”，对照题干或选项判断有效/无效，并避开陷阱：A中轴线与古代皇家宫苑建筑非属种(中轴线不被宫苑包含);B""位于""非传递关系(只在地理空间);C不是同一关系是属性反映","A中轴线与古代皇家宫苑建筑非属种(中轴线不被宫苑包含);B""位于""非传递关系(只在地理空间);C不是同一关系是属性反映",概念外延关系+周延判断+关系判断,prelim_yes_needs_options_audit,入正文
Q-2025东城期末-15,选必三必假命题题(找充分条件矛盾),needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；充分条件；必要条件；联言；选言；判断；周延；推理，再套用“B虽然赵去北大红楼但李同学既不去陈也不去李=充分条件假言推理后件需为真而违反_必假”，对照题干或选项判断有效/无效，并避开陷阱：A只有...才...是必要条件_未必假;C即使...也...独立条件_未必假;D李去李则赵去北大=后件为真不能推前件_未必假,A只有...才...是必要条件_未必假;C即使...也...独立条件_未必假;D李去李则赵去北大=后件为真不能推前件_未必假,假言推理_充分条件+联言+选言,prelim_yes_needs_options_audit,入正文
Q-2025丰台期末-10,选必三推理与思维综合题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；归纳；类比；推理，再套用“①吃一堑长一智=从特殊推一般归纳;④举一反三未运用类比推理_因果分析”，对照题干或选项判断有效/无效，并避开陷阱：②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位,②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位,归纳推理+演绎推理+思维抽象具体+类比推理,prelim_yes_needs_options_audit,入正文
Q-2025丰台期末-9,选必三联选假言综合题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；充分条件；联言；选言；归纳；判断；推理，再套用“A联言为真各支为真_推不出湖南;B不相容选言不能直接证实某支;C充分而非必要条件;D充分条件假言推理顺向有效”，对照题干或选项判断有效/无效，并避开陷阱：A联言→特定其他支谬误;B不相容选言谬误;C必要充分条件混淆,A联言→特定其他支谬误;B不相容选言谬误;C必要充分条件混淆,联言推理;选言推理;假言推理_充分条件,prelim_yes_needs_options_audit,入正文
Q-2025海淀期末-8,选必三选言推理关系题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别假言；充分条件；选言；概念；判断；推理，再套用“D不相容选言为真_至少P和Q有一为真但不能同真_则相容选言至少一真_必真”，对照题干或选项判断有效/无效，并避开陷阱：A三段论中""小王饲养的狗""非""饲养动物""严格中项实际有效但结论已含;B中国与东亚_中国是东亚一部分但作为概念是种属关系成立(实际成立但答C选);C轻率概括违反归纳谨慎_应是""四概念""或属性混淆","A三段论中""小王饲养的狗""非""饲养动物""严格中项实际有效但结论已含;B中国与东亚_中国是东亚一部分但作为概念是种属关系成立(实际成立但答C选);C轻率概括违反归纳谨慎_应是""四概念""或属性混淆",选言推理_不相容+相容选言关系,prelim_yes_needs_options_audit,入正文
Q-2025西城二模-7,正确为C=②④;Codex precheck同C,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；必要条件；归纳；类比；推理，再套用“只有接触过敏源才会引发过敏=必要条件假言;无前件不能否前件;求异法/类比可信度”，对照题干或选项判断有效/无效，并避开陷阱：①甲医生否定前件谬误;③甲医生演绎而非新结论;②求异法但非必然;④可信度甲>乙>丙合理,①甲医生否定前件谬误;③甲医生演绎而非新结论;②求异法但非必然;④可信度甲>乙>丙合理,假言推理_必要条件;归纳_求异法;类比推理,prelim_yes_needs_options_audit,入正文
Q-2025顺义一模-5,选必三联言矛盾命题题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,先识别假言；必要条件；联言；判断；周延；推理，再套用“联言A且B的矛盾命题=非A或非B(德摩根)”，对照题干或选项判断有效/无效，并避开陷阱：A非A且非B更极端非矛盾;C等价于A或B非矛盾;D只有...才...是必要条件非矛盾,A非A且非B更极端非矛盾;C等价于A或B非矛盾;D只有...才...是必要条件非矛盾,联言判断_矛盾命题,prelim_yes_needs_options_audit,入正文
Q-2025顺义一模-6,选必三概念判断综合题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；假言；联言；概念；判断；周延；推理，再套用“②联言判断""互换便利不是直接给钱_而是盘活资产_统筹安排""_确为联言+④""获得流动性支持""为非对称关系”，对照题干或选项判断有效/无效，并避开陷阱：①主项""政策工具""标错_主项实为""这个政策工具"";③划分""财政政策+公开市场业务+存款准备金+央行贷款""实为子部门混搭非划分标准不一","①主项""政策工具""标错_主项实为""这个政策工具"";③划分""财政政策+公开市场业务+存款准备金+央行贷款""实为子部门混搭非划分标准不一",概念主项+联言判断+概念划分+关系判断对称性,prelim_yes_needs_options_audit,入正文
Q-2025顺义一模-7,选必三三段论谬误判断纠错题,needs_current_full_options_recheck,phase06_reasoning_typology_fusion,"先识别三段论；概念；判断；周延；推理，再套用“A原前提""凡共青团员都是青年+并非所有青年工人都是共青团员""_小项""青年工人""在结论中变全称扩大_确为小项不当扩大但题干""逻辑分析错误""指""分析""本身错_即原归类正确而该选项陈述错”，对照题干或选项判断有效/无效，并避开陷阱：B两否定前提确不能必推但前提中第二个为否定而第一是否定_两否；C四概念正确不变；D中项不周延正确",B两否定前提确不能必推但前提中第二个为否定而第一是否定_两否；C四概念正确不变；D中项不周延正确,三段论_小项不当扩大+四概念+中项不周延,prelim_yes_needs_options_audit,入正文
