question_id,suite_id,source_id,stable_locator,original_qno,question_type,phase03_section_scope,phase03_knowledge_node,phase03_reasoning_node,phase03_blocked_status,phase03_final_classification,phase12_category,phase12_action,phase12_blocker_reason,body77_status,body77_decision,phase05_status,current_exhaustive_conclusion,evidence_level,decision_basis,decision_reason,duplicate_or_reference,excerpt
Q-2025东城期末-4,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q4,4,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-4; canonical_conclusion=blocked,yes,4.【分析】本题考查:中华传统文化的内容及特点;矛盾同一性和斗争性原理
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,1,选择题,待判,创新思维;辩证思维,,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-1; canonical_conclusion=excluded,yes,1、中华传统文化的内容及特点 (1)中华优秀传统文化的主要内容是核心思想理念、中华传统美德、中华人文精神等。 (2)中华优秀传统文化的特点是源远流长、博大精深。
Q-2025东城期末-5,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,5,选择题,思维,辩证思维,,pending_pairing,pending,already_in_74,covered_by_74_review_body,Batch03 Lane B confirmed for evidence fusion only; no student draft,index_only,body_after_repair,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-5; canonical_conclusion=入正文,yes,5.【分析】本题考查:辩证思维的含义及特征
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,选择题,思维,创新思维;前提;动态性;整体性;概念;科学思维;辩证否定;辩证思维,逻辑三律与概念规则,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-2; canonical_conclusion=excluded,yes,"2、辩证思维的重要特征 (1)整体性 1整体性是辩证思维的重要特征。任何认识对象都是从它的各个要素、各种联系构成的有机整体。辩证 思维用全面的观点看问题,将认识对象的各个要素、各种联系的丰富性、多样性在头脑中再现出来,并 从整体角度去思考如何解决问题。 2整体性的辩证思维能够科学地处理“此”与“彼”之间的关系。事物既相对独立,又相互 联系,既 是非此即彼的,又是亦此亦彼的,“此”与“彼”之间是相互依存的,一切对立都会经过中间环节而相 互过渡。 3整体性辩证思维能够科学地处理整体与部分之间的关系。部分是构成整体的要素,整体是由部分构成 的系统,二者因为有了对方才能够存在,而不是孤立地存在着。 4辩证思维的整体是有层次之分的整体。事物的整体总是相对而言的。辩证思维是把多层次、多视角的 认识综合起来,整体性地思考问题的科学思维。 (2)动态性 1动态性是辩"
Q-2025东城期末-6,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q6,6,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-6; canonical_conclusion=blocked,yes,"6.【分析】本题考查:推进科学立法 (1)科学立法的内涵:就是要尊重和体现社会发展的客观规律,不断提高法律的质量。 (2)科学立法的原则(标准): 1体现我国社会主义国家性质,顺应时代发展要求,推动国家发展进步,保障人民各项权利。 2符合国情和实际。 3立法必须遵循法律体系的内在逻辑和立法工作规律,遵循立法程序,注重立法技术,努力实现立法过 程的科学化。 (3)推进科学立法: 1依法立法。科学立法要做到依法立法,在法治的轨道上制定合法有效的规范性文件。 2民主立法。科学立法要充分发扬民主,必须坚持民主立法,广开言路,集思广益。 3明确权责。科学立法要合理设定权利与义务、权力与责任。 【解答】A 错误,将审议程序从“一审”变“三审”,有利于提高立法质量,而不是提高立法效率; B 错误,立法和改革结合,从法律上落实改革举措,而不是从法律实施机制上落实改革"
Q-2025东城期末-10,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q10,10,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-10; canonical_conclusion=blocked,yes,"10.【分析】本题考查:中国在联合国中的地位和作用 (1)中国在联合国中的地位 中国是联合国的创始国之一,也是安理会常任理事国之一,在事关和平与安全的重大事务上享有否决权, 是联合国中拥有重要影响的国家之一。 (2)中国在联合国中发挥的作用 中国本着自身肩负的重大国际责任,尊重联合国的权威地位,维护宪章的宗旨和原则,积极参加各项活 动,在人类和平与发展事业中发挥着建设性作用。中国坚持以多边主义实现共同安全;中国坚持以互利 合作实现共同繁荣。 【解答】A 错误,联合国是实践多边主义的最佳场所,但无法主导全球发展; B 错误,中国是联合国符合《联合国宪章》精神的各项行动的坚定支持者和重要合作伙伴; C 符合题意,中国在联合国发起的“全球发展倡议之友”小组成立以来,得到100 多个国家及包括联合 国在内的多个国际组织支持和参与。这说明中国方案、中国行动为国"
Q-2025东城期末-11,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q11,11,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-11; canonical_conclusion=blocked,yes,11.【分析】本题考查:过错推定与无过错侵权责任;举证责任
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,1,选择题,待判,创新思维;辩证思维,,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-1; canonical_conclusion=excluded,yes,"1.过错推定与无过错侵权责任 (1)过错推定侵权责任:依照法律规定推定行为人有过错,其不能证明自己没有过错的,应当承担侵 权责任。 (2)无过错侵权责任:法律规定无过错侵权责任的,则行为人只要损害了他人的民事权益,不论其有 无过错,均应当承担侵权责任。"
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,选择题,待判,创新思维;前提;动态性;整体性;概念;科学思维;辩证否定;辩证思维,逻辑三律与概念规则,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-2; canonical_conclusion=excluded,yes,"2.举证责任 民事诉讼实行“谁主张,谁举证”的举证原则。但有些情况下,当案件当事人因欠缺专业知识或者远离 证据而难以举证时,法律出于公平合理的考虑,实行举证倒置原则,即当事人提出诉讼主张时,由对方 ===== PAGE 14 ===== 第14页/共20页 负责举证。 【解答】1错误,甲公司和乙公司发生民事纠纷,民事行为客体是智力成果; 24正确,甲公司发现乙公司未经许可获得了其数据集,并向公众传播牟利,遂向法院提起诉讼。法院 认为乙公司上述行为侵害了甲公司的数据财产权和著作权,构成了不正当竞争。在该案审理中,甲公司 提供的知识产权局颁发的《数据知识产权登记证书》获得法院认可,本案成为涉数据知识产权登记证效 力的“第一案”。在此案件中《数据知识产权登记证书》获得法院认可,甲公司举证难度有所降低;要 完善行政机关与司法机关的协同保护机制,促进数据市场良"
Q-2025东城期末-12,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q12,12,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-12; canonical_conclusion=blocked,yes,"12.【分析】本题考查:有效合同与无效合同 (1)有效合同 1含义:有效合同是指具备了合同的生效要件,能够产生合同当事人预期法律效果的合同。 2生效要件:行为人具有相应的缔约能力;意思表示真实;不违反强制性法律或者社会公共利益。 (2)无效合同 1含义:无效合同是指合同虽然已经成立,但因其严重欠缺有效要件,在法律上不按当事人之间的合约 赋予其法律效力。 2生效要件:一方以欺诈、胁迫的手段订立合同,损害国家利益;恶意串通,损害国家、集体或者第三 人利益;以合法形式掩盖非法目的;损害社会公共利益;违反法律、行政法规的强制性规定。 【解答】A 正确,《中华人民共和国民法典》规范各类民事主体的各种人身关系和财产关系,涉及社会 和经济生活的方方面面,被称为“社会生活的百科全书”,合同缺少价款、履行期限,不影响合同的成 立和生效,符合民法典规定; B 错误,自然"
Q-2025东城期末-13,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q13,13,选择题,推理,三段论;中项;判断;前提;周延;大项;小项;推理;概念;结论,三段论;三段论;周延判断;三段论;周延判断;逻辑三律与概念规则,pending_pairing,pending,already_in_74,covered_by_74_review_body,Batch03 Lane B confirmed for evidence fusion only; no student draft,body,body_now,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-13; canonical_conclusion=入正文,yes,"13.【分析】本题考查:三段论推理 (1)一个形式结构正确的三段论只能有三个不同的项。在前提和结论中,大项、小项和中项必须分别 出现两次。如果出现四个不同的项,结论就不能必然得出。这种逻辑错误叫作“四概念”的错误。 (2)中项在前提中至少周延一次。违反这一规则,就会犯“中项不周延”的错误。 (3)前提中不周延的项在结论中不得周延。这是针对大项和小项提出的要求。 ===== PAGE 15 ===== 第15页/共20页 (4)两个否定的前提不能必然推出结论。结论为否定,当且仅当,前提中有一否定。 【解答】13符合题意,在“祥云”AS700 是大国重器,有的大国重器是载人飞艇,有的载人飞艇是 “祥云”AS700 的推理中“大国重器”作为中项是不周延的;在碳纤维自行车适合山地骑行,山地车适 合山地骑行,碳纤维自行车是山地车推理中“适合山地骑行”作为中项是"
Q-2025东城期末-14,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q14,14,选择题,推理,假言;判断;周延;概念;联言;选言,假言推理;周延判断;假言推理;选言推理;联言推理;周延判断;逻辑三律与概念规则;假言推理;选言推理;联言推理;逻辑三律与概念规则;周延判断;周延判断;逻辑三律与概念规则;逻辑三律与概念规则,pending_pairing,pending,already_in_74,covered_by_74_review_body,Batch03 Lane B confirmed for evidence fusion only; no student draft,not_represented,body_after_repair,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-14; canonical_conclusion=入正文,yes,"14.【分析】本题考查:性质判断 (1)判断的含义:判断就是对认识对象情况有所断定的思维形式。 (2)判断的基本特征:对认识对象有所断定。(方式:肯定、否定);判断有真假。(当且仅当)。两个 基本特征是相互联系的。 (3)判断的规则: 首先要对认识对象的情况(如对象的性质、范围以及对象之间的各种关系等)有正确认识。 例:一旦吸烟就会患肺癌 其次运用内涵明确、外延确定的概念构成判断。例:这是新职工宿舍。 最后在概念的搭配方面、在判断的联结方面也需恰当。 例:小张尽情的呼吸着阳光、空气和海水。 判断的分类: 1依据“判断本身是否包含其他判断”,判断分为简单判断和复合判断。简单判断包括性质判断(直言 判断)和关系判断。复合判断包括联言判断、选言判断和假言判断。 2依据判断的质划分,直言判断分为肯定判断和否定判断两种。 依据判断的量划分,直言判断分为全称判断"
Q-2025东城期末-15,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q15,15,选择题,推理,假言;充分必要条件;充分条件;判断;必要条件;推理,假言推理;假言推理;周延判断;周延判断,pending_pairing,pending,already_in_74,covered_by_74_review_body,Batch03 Lane B confirmed for evidence fusion only; no student draft,not_represented,body_after_repair,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-15; canonical_conclusion=入正文,yes,"15.【分析】本题考查:假言推理及其方法 1充分条件假言推理规则: 肯定前件,就要肯定后件;否定前件,不能否定后件。 否定后件,就要否定前件;肯定后件,不能肯定前件。 2必要条件假言推理规则: 否定前件就要否定后件,肯定后件就要肯定前件。 肯定前件不能肯定后件,否定后件,不能否定前件。 3充分必要条件假言推理规则: 肯定前件,就要肯定后件;肯定后件,就要肯定前件。 否定前件,就要否定后件;否定后件,就要否定前件。 【解答】根据题意,“如果赵同学参观北大红楼,那么李同学参观陈独秀旧居或者参观李大钊故居”属 于充分条件假言判断,充分条件假言推理规则:肯定前件,就要肯定后件。否定前件,不能否定后件。 否定后件,就要否定前件;肯定后件,不能肯定前件。如果上述约定为真,因此: A 不合题意,“只有赵同学去北大红楼,李同学才去陈独秀旧居或者去李大钊故居”这一判断"
Q-2025东城期末-16,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q16,16,主观题,思维,发散思维,,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out=哲学与文化(非选必三逻辑与思维),,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-16; canonical_conclusion=excluded,yes,"16.【分析】本题要求结合材料,运用《哲学与文化》知识,谈谈你对“器以述史,物以载道”的理解。 属于认识理解类试题,解答时,紧扣设问中“器以述史,物以载道”话题,从文化载体、文化功能、中 华文化的特征和当代价值、意识的能动作用能角度进行分析阐述。 ===== PAGE 17 ===== 第17页/共20页 【解答】1中华文化源远流长、博大精深。“‘宅兹中国’,是目前所知‘中国’一词的最早出处。从此 ‘中国’的内涵不断发展,从最初的方位区划‘天下之中’,到清末被正式用作国名”,这说明了中华民 族具有悠久的文明历史,创造了博大精深的中华文化。 2文化载体,是指文化的记录、记载、标识、传承和表现的物化形式,人们的精神活动离不开物质活动, 精神产品离不开物质载体。“何尊”是展示中华文化的重要载体。 3意识具有能动作用,能指导人们认识世界和改造世界,习近平总书"
