question_id,suite_id,stable_locator,原始题号,题型,部分归属,知识节点,题型节点,是否有答案,是否有评分细则,是否有讲评,blocked_status,source_final_classification,codex_preliminary_action,codex_reason,excerpt
Q-2024朝阳一模-11,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q11,11,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,11􀆰所有权是权利人对自己的不动产或者动产ꎬ依法享有的占有、使用、收益和处分的权利ꎮ 下列案例中ꎬ涉及所有权归属争议的是 1陈某以极低价格购得一台全新笔记本电脑ꎬ不久该电脑被警察作为赃物扣押 2甲公司在围墙上安装了三盏照明设备ꎬ对15米外王某的住宅构成光污染侵害 3李某承包了本村两亩土地ꎬ其去世后ꎬ村集体收回了土地ꎬ李某之子提出异议 4丁某购买王某的一处房产并支付80%房款ꎬ几天后王某将该房产过户给了刘某 A􀆰12 B􀆰14 C􀆰23 D􀆰34 ===== PAGE 4 ===== 高三思想政治 第4 页(共8页)
Q-2024朝阳一模-12,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q12,12,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,12􀆰一名12周岁的学生ꎬ在老师的指导下设计了一款垃圾收纳装置ꎬ获得了国家知识产权局 授权的“实用新型专利证书”ꎮ这一专利 A􀆰只要保密得当ꎬ就可以一直受到专利法的保护 B􀆰与实用技术无关ꎬ仅涉及产品设计的美观效果 C􀆰保护期满后ꎬ则进入公共领域ꎬ任何人都可以免费使用 D􀆰只要经该学生授权ꎬ厂家就可运用该专利生产产品并销售
Q-2024朝阳一模-13,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q13,13,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,13􀆰从2024年开始ꎬ国家拟连续几年发行超长期特别 国债ꎬ专项用于国家重大战略实施和重点领域安 全能力建设ꎬ重点支持科技创新、城乡融合发展、 区域协调发展、粮食能源安全、人口高质量发展等 领域建设ꎮ超长期特别国债既利当前ꎬ又惠长远ꎬ 其对国民经济影响的路径正确的是 A􀆰政府投资规模扩大→重大战略投入增长→夯实能源安全基石→提高经济增长速度 B􀆰政府财政支出增加→城乡融合进程加快→实现公共服务均等→推动经济回升向好 C􀆰政府扩大债券规模→居民投资渠道扩大→居民劳动收入增长→促进投资消费增长 D􀆰政府财政资金增加→科研经费支出增长→提升科技创新能力→增强经济运行效能
Q-2024朝阳一模-14,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q14,14,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,14􀆰制度型开放是指在经济发展和对外开放的过程中ꎬ不断对标国际通行规则ꎬ进而实现制 度创新的对外开放战略ꎮ从传统的商品、要素、服务的流动型开放转变为制度型开放ꎬ 从制度的被动接受者转变为主动供给者ꎬ中国对外开放的水平不断提高ꎮ我国稳步扩 大规则、规制、管理、标准等制度型开放 1有利于营造市场化、法治化、国际化的一流营商环境 2是以开放促改革的需要ꎬ也是深度融入全球化的需要 3需要修改与现有国际贸易规则相抵触的国内法律法规 4为形成多元稳定的经贸关系提供了完善的体制机制保障 A􀆰12 B􀆰13 C􀆰24 D􀆰34
Q-2024朝阳一模-15,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q15,15,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,15􀆰在金砖国家、APEC、上合组织、G20等多边外交舞台上ꎬ中国致力于解决短期的热点问题 和完善长期的全球治理ꎬ为促进世界和平与合作贡献负责任的大国力量ꎮ新时代中国 特色大国外交要更有作为ꎬ必须做到 1坚持原则ꎬ牢牢占据国际道义制高点ꎬ获得全球各国支持 2坚持外交大权在党中央ꎬ增强定力、把握大势、掌握主动 3弘扬独立自主精神ꎬ捍卫弱国利益和尊严ꎬ体现大国担当 4守正创新ꎬ坚守外交优良传统ꎬ推动外交理论和实践创新 A􀆰12 B􀆰13 C􀆰24 D􀆰34 ===== PAGE 5 ===== 高三思想政治 第5 页(共8页) 第二部分 本部分共6题ꎬ共55分ꎮ
Q-2024朝阳一模-16,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q16,16,主观题,待判,归纳,归纳推理与因果探求,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,16􀆰(7分) 中国共产党作为百年大党ꎬ如何跳出治乱兴衰历史周期率ꎬ永葆先进性和纯洁性、永葆 青春活力ꎬ永远得到人民拥护和支持ꎬ实现长期执政ꎬ是必须回答好、解决好的一个根本性 问题ꎮ 对于这一问题ꎬ在“窑洞对” 中ꎬ毛泽东给出了第一个答案ꎬ这就是“让人民来监督政 府”ꎮ党的十八大以来ꎬ以习近平同志为核心的党中央带领全党以前所未有的决心力度推进 全面从严治党ꎬ在第一个答案基础上ꎬ给出了第二个答案ꎬ这就是勇于自我革命ꎮ “接受人民监督”和“勇于自我革命”这两个答案的提出ꎬ体现了我们党对长期执政的规 律性认识达到了新高度ꎬ必将引领我们党团结带领全国人民跳出“其兴也勃焉、其亡也忽焉” 的历史周期率ꎮ 结合材料ꎬ综合运用所学ꎬ分析“接受人民监督”与“勇于自我革命”的关系ꎮ
Q-2024朝阳一模-17,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q17,17,主观题,边界,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,excluded_or_boundary_index,control_base_audit_only,17􀆰(7分) 人口老龄化是我国今后较长一个时期的基本国情ꎮ我们应坚持应对人口老龄化和促进 经济社会发展相结合ꎬ坚持满足老年人需求和解决人口老龄化问题相结合ꎬ努力挖掘人口老 龄化给国家发展带来的活力和机遇ꎮ 银发经济是向老年人提供产品或服务ꎬ以及为老龄阶段作准备等一系列经济活动的总 和ꎬ既包括老年阶段的“老龄经济”ꎬ也包括未老阶段的“备老经济”ꎮ专家预计ꎬ到2035年ꎬ 我国银发经济规模将达到19万亿元ꎬ将占我国GDP总量的9􀆰6%ꎮ 2024年1月ꎬ国务院办公厅印发«关于发展银发经济增进老年人福祉的意见»ꎬ旨在让 老年人共享发展成果、安享幸福晚年ꎬ不断实现人民对美好生活的向往ꎮ 结合材料ꎬ运用«经济与社会»知识ꎬ谈谈如何发展银发经济以增进老年人福祉ꎮ ===== PAGE 6 ===== 高三思想政治 第6 页(共8页)
Q-2024朝阳一模-18-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q18(1),18(1),主观题,边界,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,excluded_or_boundary_index,control_base_audit_only,18􀆰(16分)科技创新、科学普及是实现创新发展的两翼ꎮ 材料一 加快建设北京国际科技创新中心ꎬ是党中央赋予北京的重大战略任务ꎬ既需要 有坚实有力的法制保障ꎬ更需要法制的严格实施ꎮ 北京市第十六届人民代表大会第二次会议表决通过了«北京国际科技创新中心建设条 例»ꎮ条例紧紧围绕“建设一个什么样的国际科技创新中心、怎么建设国际科技创新中心” 作出规定ꎬ为高质量建设国际科技创新中心提供法制保障ꎮ «北京国际科技创新中心建设条例» 制度覆盖面广、涉及主体多ꎬ后续需要各方齐心协 力ꎬ共同抓好贯彻落实ꎮ (1)«北京国际科技创新中心建设条例»于2024年3月1日起施行ꎮ结合材料一ꎬ运用 «政治与法治»知识ꎬ为推动条例的贯彻落实提出合理建议ꎮ(8分) 材料二 科技创新是经济社会发展的重要动 力ꎮ科学普及是国家和社会普及科学技术知识、 弘扬科学精神、传播科学思想、倡
Q-2024朝阳一模-18-2,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q18(2),18(2),主观题,边界,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,excluded_or_boundary_index,control_base_audit_only,18􀆰(16分)科技创新、科学普及是实现创新发展的两翼ꎮ 材料一 加快建设北京国际科技创新中心ꎬ是党中央赋予北京的重大战略任务ꎬ既需要 有坚实有力的法制保障ꎬ更需要法制的严格实施ꎮ 北京市第十六届人民代表大会第二次会议表决通过了«北京国际科技创新中心建设条 例»ꎮ条例紧紧围绕“建设一个什么样的国际科技创新中心、怎么建设国际科技创新中心” 作出规定ꎬ为高质量建设国际科技创新中心提供法制保障ꎮ «北京国际科技创新中心建设条例» 制度覆盖面广、涉及主体多ꎬ后续需要各方齐心协 力ꎬ共同抓好贯彻落实ꎮ (1)«北京国际科技创新中心建设条例»于2024年3月1日起施行ꎮ结合材料一ꎬ运用 «政治与法治»知识ꎬ为推动条例的贯彻落实提出合理建议ꎮ(8分) 材料二 科技创新是经济社会发展的重要动 力ꎮ科学普及是国家和社会普及科学技术知识、 弘扬科学精神、传播科学思想、倡
Q-2024朝阳一模-19,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q19,19,主观题,边界,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,excluded_or_boundary_index,control_base_audit_only,19􀆰(7分) 诚信是法治精神的重要伦理基础ꎮ民法典第七条规 定:“民事主体从事民事活动ꎬ应当遵循诚信原则ꎬ秉持诚 实ꎬ恪守承诺”ꎮ 镜头一 2022年12月ꎬA公司与B公司签订购销合同约定:A 公司向B公司提供产品ꎬ货款于发货后的60日内付清ꎮ 2023年1月ꎬA公司依约向B公司提供货物ꎬ但截至2023年7月ꎬB公司欠A公司货款590 万元未支付ꎮ2023年8月ꎬA公司起诉B公司ꎬ要求其支付货款及违约金ꎮ人民法院最终判 决B公司尽快付清全部欠款并支付逾期违约金ꎮ 镜头二 某购物中心为200余家商户建立了“码上诚信”二维码ꎬ消费者扫描二维码ꎬ即可查询此 商户相关的行政许可、行政处罚、主动承诺、自愿注册等信用信息ꎮ有市民说:“我经常来这 个商场消费ꎬ一是因为‘码上诚信’让我感觉在这里购物很放心ꎬ二是因为这里的商品质量和 售后服务态度都很好ꎮ” 结合材料
Q-2024朝阳一模-20-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(1),20(1),主观题,推理,假言;充分条件;判断;前提;必要条件;推理;演绎推理,假言推理;其他复合推理,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,same_type_index_or_boundary,control_base_audit_only,20􀆰(9分)学会正确地运用推理ꎬ对于科学研究具有重要意义ꎮ 材料一 有科学家对我国古代气候及其变化进行了一系列考古研究和调查论证ꎬ其中 之一是关于A区域古代气候较为温暖的论证ꎮ科学家的论证过程包含了两个推理ꎮ 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋 推理一: 如果A区域古代没有广泛生长竹子ꎬ就不可能有大量的炭化竹节ꎬ 考古发掘中已发掘出地底下有大量炭化竹节ꎬ 所以ꎬA区域古代广泛生长着竹子ꎮ (1)推理一属于哪种推理类型? 其成立的理由是什么? (5分) 材料二 科学家进而又根据竹子适宜生长在温暖的地方以及A区域当时广泛生长着竹 子ꎬ运用不同于推理一的另一种演绎推理形式ꎬ推断出A区域古代气候较为温暖ꎮ (2)根据材料二ꎬ补
Q-2024朝阳一模-20-2,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(2),20(2),主观题,推理,假言;充分条件;判断;前提;必要条件;推理;演绎推理,假言推理;其他复合推理,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,same_type_index_or_boundary,control_base_audit_only,20􀆰(9分)学会正确地运用推理ꎬ对于科学研究具有重要意义ꎮ 材料一 有科学家对我国古代气候及其变化进行了一系列考古研究和调查论证ꎬ其中 之一是关于A区域古代气候较为温暖的论证ꎮ科学家的论证过程包含了两个推理ꎮ 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋 推理一: 如果A区域古代没有广泛生长竹子ꎬ就不可能有大量的炭化竹节ꎬ 考古发掘中已发掘出地底下有大量炭化竹节ꎬ 所以ꎬA区域古代广泛生长着竹子ꎮ (1)推理一属于哪种推理类型? 其成立的理由是什么? (5分) 材料二 科学家进而又根据竹子适宜生长在温暖的地方以及A区域当时广泛生长着竹 子ꎬ运用不同于推理一的另一种演绎推理形式ꎬ推断出A区域古代气候较为温暖ꎮ (2)根据材料二ꎬ补
Q-2024朝阳一模-21,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q21,21,主观题,推理,前提,其他复合推理,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,same_type_index_or_boundary,control_base_audit_only,21􀆰(9分)科学认识经济形势ꎬ是做好经济工作的基本前提ꎮ 结合上述资料ꎬ在分析我国当前经济形势的基础上ꎬ运用«当代国际政治与经济»知识ꎬ 谈谈如何推动中国经济在变局中开新局ꎮ
Q-2024朝阳二模-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q1,1,选择题,待判,判断;必要条件;联言,假言推理;联言推理,yes_candidate,yes_candidate,not_found_yet,blocked_until_options_visual_check,pending,needs_module_judgment,control_base_audit_only,"1. 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 过去的一切运动都是少数人的,或者为少数人谋利益的运动。无产阶级的运 动是绝大多数人的、为绝大多数人谋利益的独立的运动。 ———《共产党宣言》 为人民而生,因人民而兴,始终同人民在一起,为人民利益而奋斗,是我们党立 党兴党强党的根本出发点和落脚点。 ———习近平 据此,下列认识正确的是 1人民立场是马克思主义政党区别于其他政党的显著标志 2人民群众是社会存在和发展的基础,是社会进步的力量源泉 3人民是领导力量,为实现中华民族伟大复兴创造了根本社会条件 4坚持人民至上,体现了我们党为崇高理想奋斗和为最广大人民谋利益的一致性 A. 12 B. 14 C."
Q-2024朝阳二模-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q2,2,选择题,待判,,,yes_candidate,yes_candidate,not_found_yet,pending_pairing,pending,needs_module_judgment,control_base_audit_only,"2. 生产一列“复兴号”动车组,需要2100 多家企业协同发力,可谓一车“链” 千企。在轨 道交通产业链上,某央企作为“链长”,把技术创新、研发管理等经验延伸到上下游中 小企业,引导它们在技术、工艺、质量等方面改进提升。一车“链”千企表明 1人们生产动车组的实践,是一切物质和精神财富形成和发展的源泉 2央企在轨道交通产业链中成为了融通创新支撑者、协同合作组织者 3上下游中小企业的个性寓于轨道交通产业链的共性中,推动产业发展 4大中小企业相互依存、相互促进,有利于提升产业链现代化水平 A. 12 B. 13 C. 24 D. 34"
Q-2024朝阳二模-3,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q3,3,选择题,待判,,,yes_candidate,yes_candidate,not_found_yet,pending_pairing,pending,needs_module_judgment,control_base_audit_only,"3. 2024 年我国普通高等学校本科专业目录新增24 种专业,包括电子信息材料、软物质 科学与工程、中国古典学、应用中文、智能海洋装备、健康科学与技术、冰雪舞蹈表演 等。此次专业设置和调整工作 A. 优化了高校的师资队伍,为高质量发展提供人才储备 B. 旨在推动高校适应经济社会发展需要,服务国家战略 C. 以现代科技赋能体育与健康,实现了体育强国建设目标 D. 以解决就业问题为出发点,呈现明显的专业交叉融合趋势 ===== PAGE 2 ===== 高三思想政治 第2 页(共8 页)"
