question_id,suite_id,stable_locator,思维知识节点,设问类型,来源例题,是否可入学生稿,codex_needed_action
Q-2026朝阳期中-20,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q20,分析与综合;动态性;整体性;质量互变;辩证思维,主观题,2026朝阳期中 20,no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-21-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(1),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,主观题,2026朝阳期中 21(1),no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-21-2,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(2),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,主观题,2026朝阳期中 21(2),no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-20,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q20,分析与综合;动态性;整体性;质量互变;辩证思维,主观题,2026朝阳期中 20,no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-21-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(1),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,主观题,2026朝阳期中 21(1),no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-21-2,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(2),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,主观题,2026朝阳期中 21(2),no_pending_source_pairing,pair_source_and_extract
Q-2026通州期末-5,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q5,系统思维;辩证思维,选择题,2026通州期末 5,no_pending_source_pairing,pair_source_and_extract
Q-2026通州期末-8,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q8,整体性,选择题,2026通州期末 8,no_pending_source_pairing,pair_source_and_extract
Q-2026通州期末-9,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q9,创新思维;发散思维,选择题,2026通州期末 9,no_pending_source_pairing,pair_source_and_extract
Q-2026通州期末-11,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q11,思维具体;思维抽象;感性具体;推理;类比;迁移,选择题,2026通州期末 11,no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-3,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q3,分析与综合;判断;动态性;整体性;质量互变,选择题,2026顺义一模 3,no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-5,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q5,判断;发散思维;周延,选择题,2026顺义一模 5,no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-6,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q6,迁移,选择题,2026顺义一模 6,no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-9,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q9,迁移,选择题,2026顺义一模 9,no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-19-1,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(1),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,主观题,2026顺义一模 19(1),no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-19-2,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(2),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,主观题,2026顺义一模 19(2),no_pending_source_pairing,pair_source_and_extract
Q-2026顺义一模-19-3,S-2026顺义一模,001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf::Q19(3),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,主观题,2026顺义一模 19(3),no_pending_source_pairing,pair_source_and_extract
