suite,heading,principle_node,material_trigger_chars,question_prompt_chars,why_trigger_chars,answer_landing_chars,has_all_fields,material_trigger,question_prompt,why_trigger,answer_landing
2024朝阳二模,13. 2024朝阳二模 第16题第（2）问（主观题）,主观能动性 / 意识的能动作用,102,40,147,114,True,"材料二一方面写人作为研发主体受神经系统启发开发人工神经网络、推动深度学习与类脑智能（人主导人工智能），另一方面写“大数据和人工智能通过了解我们给人类带来便利,也在重塑人类对世界的认识”（人工智能影响人）。",未来，是人塑造人工智能？还是人工智能塑造人？还是……运用哲学知识，谈谈你的看法。,材料写科学家受神经系统研究启发开发人工神经网络，推动深度学习和类脑智能，并且设问追问未来如何处理人与人工智能的关系。这里学生要抓住的是：人不是被技术牵着走，而是能够在认识技术条件和发展趋势的基础上，有目的、有计划地设计、使用、规范和引导人工智能。因此这一栏只落到主观能动性 / 意识的能动作用。,从主观能动性角度看，未来不能把人与人工智能的关系理解成技术单方面塑造人。人应当主动认识人工智能的发展条件、应用场景和潜在风险，通过科研创新、制度规范、伦理引导和价值选择，能动地塑造人工智能的发展方向，使人工智能更好服务人的发展。
2025丰台二模,14. 2025丰台二模 第21题（主观题）,主观能动性 / 意识的能动作用,76,25,151,210,True,思想之势：我们党始终把马克思主义作为思想指引和行动指南，不断推进马克思主义中国化时代化；以理想信念凝聚全国人民力量，共同为实现中华民族的伟大复兴而努力。,结合材料，综合运用所学，谈谈如何把握“势”的智慧。,材料把“马克思主义思想指引—行动指南”“理想信念—凝聚人民力量”放在“思想之势”下——思想不是外在装饰，而是引领实践、凝聚力量的能动力量。学生看到“马克思主义为指引+理想信念凝聚力量+行动指南”就应当想到意识的能动作用——意识具有目的性、自觉选择性、能动创造性，正确的科学理论对实践具有重大的指导作用。,意识对物质具有能动的反作用，正确的意识、科学的理论对实践活动具有指导作用，能够能动地推动事物向前发展。我们党始终把马克思主义作为思想指引和行动指南，不断推进马克思主义中国化时代化——这正是发挥科学理论对实践的指导作用、激活“思想之势”的体现；以理想信念凝聚全国人民力量——把价值理念转化为人民群众改造世界的物质力量，是意识能动作用的具体显现。把握“势”的智慧，需要充分发挥思想理论的能动作用、用科学理论凝心铸魂引领前行。
2025西城二模,20. 2025西城二模 第2题（选择题）,主观能动性 / 意识的能动作用,235,0,302,256,False,"思深方益远。“如果忙忙碌碌，只是机械做事，陷入事务主义，是很难提高认识和工作水平的。”习近平总书记的谆谆告诫，发人深省。各种事务千头万绪，但不能乱，不能陷入事务主义。
【设问】 之所以说不能陷入事务主义，是因为（ ）
①机械做事，缺乏能动性创造性，是主观唯心主义的体现；
②事务多是必然的，思考谋划是偶然的，要推动必然和偶然的转化；
③陷入事务主义的人，尊重经验而看轻理论，难以通观客观过程的全部；
④眼里只有具体事务，只见一得之功与一孔之见，会缺乏长远目标和大局观念。",,题干让学生分析“机械做事、陷入事务主义”为什么会导致“认识和工作水平难以提高”。学生看到“机械做事-能动性缺失-认识水平不能提高”就应当想到，事务主义的根本问题是没有发挥主观能动性的理论思考、缺乏对客观过程整体的把握、看不到长远全局——这正是哲学唯物论与辩证法的边界。①把“机械做事”定性为主观唯心主义错——主观唯心主义是把“人的主观意识”当成本原，机械做事更像形而上学或经验主义；②“事务多是必然的，思考谋划是偶然的”颠倒了必然与偶然，且无法证明二者要相互转化；③“尊重经验而看轻理论”与事务主义“忙于具体事务、缺乏理论思考”相符；④“只见一得之功与一孔之见”与事务主义“缺乏长远目标和大局观念”相符。,正确项是 D（③④）。③陷入事务主义的人尊重经验而看轻理论，难以通观客观过程全部——只看到具体事务的局部经验、没有上升到理论高度，无法把握客观过程的整体规律。④眼里只有具体事务，只见一得之功与一孔之见，会缺乏长远目标和大局观念——这是缺乏全局观、缺乏长远把握的具体表现。错项①把“机械做事缺乏能动性”扣到主观唯心主义不对，主观唯心主义是把人的意志、感觉当作世界本原，与机械做事的经验主义错位；错项②“事务多是必然的，思考谋划是偶然的”本身把必然性偶然性颠倒了，“要推动必然和偶然的转化”也不是马克思主义哲学命题。
2024顺义二模,25. 2024顺义二模 第2题（选择题）,主观能动性 / 意识的能动作用,259,0,64,85,False,"“梦舟”“揽月”不是对飞行器的机械命名，而是航天主体在把握航天任务特征基础上进行想象、联想和意义创造。
【设问】 “探索浩瀚宇宙,发展航天事业,建设航天强国,是我们不懈追求的航天梦”。中国载人月球探测任务新飞行器名称已经确定,新一代载人飞船命名为“梦舟”,月面着陆器命名为“揽月”。下列说法正确的是
①新飞行器命名通过抽象思维尽显中国式浪漫；
②新飞行器与其名称之间存在着必然的联系；
③令人遐想的命名体现意识活动的能动创造性；
④新飞行器的名称具有鲜明的中国文化特色
A. ①②
B. ①③
C. ②④
D. ③④。",,命名活动的关键不在飞行器物理结构本身，而在主体对任务意义的选择、加工和创造；这正体现意识活动具有目的性、自觉选择性和能动创造性。,"正确项是D，其中③说明命名体现意识活动的能动创造性；①把形象化命名误说成抽象思维，②把飞行器与名称说成必然联系，都是对材料关系的误判。
尊重客观规律与发挥主观能动性相结合"
2025西城二模,3. 2025西城二模 第16题第（1）问（主观题）,主观能动性 / 意识的能动作用,141,23,201,172,True,京郊的鹿叫村遗址，村落遗址内保留着较多废弃水井和地窖，时常有动物掉入，对区域野生动物造成极大威胁。延庆区自然保护地管理处在水井内建造了攀爬台阶，并营造了5处雨水收集池，便于不同体型的动物们自由取水。近日确认有勺鸡、貉、雕鸮、狍子、野猪、岩松鼠、红嘴蓝鹊等十余种野生动物在此饮水觅食。,废弃水井变成了动物乐园，请说明背后的哲学智慧。,水井和地窖原本对野生动物是陷阱（客观条件造成的危险），管理处通过修建攀爬台阶、营造蓄水池让动物能自由取水（人主动改造客观条件）——这一“认识自然规律—利用自然条件—改造为生态友好场所”的过程，正是把发挥主观能动性与尊重客观规律相结合的典型情境。学生看到“认识动物习性、利用废弃水井、营造取水设施、动物来此饮水”就应当想到：人发挥主观能动性必须建立在尊重客观规律基础上，把握自然规律才能有效改造客观世界。,规律是客观的，不以人的意志为转移，人们必须尊重规律、按客观规律办事；同时，人具有主观能动性，能够认识和利用规律改造世界。延庆区自然保护地管理处认识并尊重野生动物饮水、攀爬等生存规律，发挥主观能动性，在废弃水井内建造攀爬台阶、营造雨水收集池——这是把发挥主观能动性与尊重客观规律相结合的体现，从而把对动物的安全威胁转化为生物多样性保护的生态乐园。
2024西城二模,5. 2024西城二模 第18题第（4）问（主观题）,主观能动性 / 意识的能动作用,75,25,187,132,True,传统村落形态多样、自有乡土气息和文化传承规律 + 城镇化与移民搬迁对传统村落形成冲击 + 国家主动加强乡村美学教育、推动美术艺术元素融入乡村规划建设。,结合材料，综合运用所学，阐释如何推动乡村文化振兴。,材料一方面强调传统村落“形态多样”“带有浓郁的乡土气息”，说明乡村文化在长期历史中形成了自身的客观规律和特点，不能任意改造；另一方面又强调要“加强乡村美学普及和教育”“推动更多美术元素、艺术元素应用到乡村规划建设”，说明面对城镇化冲击不能听之任之，必须主动作为。“承认客观规律”与“主动改造发展”同时出现，正是触发“尊重客观规律与发挥主观能动性相结合”方法论的典型材料结构。,推动乡村文化振兴，要尊重各地传统村落形成发展的客观规律和乡土文化传承规律，承认特色村落自身的发展逻辑，不盲目拆除、不强行同质化；同时要充分发挥主观能动性，主动加强乡村美学普及与教育、推动艺术元素融入乡村规划、兴办特色文化设施，把“尊重规律”与“主动作为”统一起来。
2024朝阳二模,8. 2024朝阳二模 第16题第（2）问（主观题）,主观能动性 / 意识的能动作用,80,40,145,113,True,"材料二写“受脑科学研究成果启发”科学家开发出人工神经网络（人发挥主观能动性），同时写“但受计算机内存和处理速度的限制,人工智能初期发展缓慢”（受客观规律制约）。",未来，是人塑造人工智能？还是人工智能塑造人？还是……运用哲学知识，谈谈你的看法。,材料一方面体现人发挥主观能动性主动开发人工神经网络、推动深度学习和类脑智能；另一方面又呈现人工智能发展受制于神经科学规律和计算机内存、处理速度等客观规律——违背客观条件就“初期发展缓慢”，遵循规律才“加速发展”，体现尊重客观规律是发挥主观能动性的前提，发挥主观能动性要以尊重客观规律为基础。,未来人塑造人工智能必须把尊重客观规律（脑科学规律、技术演进规律、社会发展规律）和充分发挥主观能动性（科研创新、政策引导、伦理规范）结合起来；二者结合才能既推动人工智能技术突破，又防范风险与威胁，实现人与人工智能的良性相互塑造。
2025丰台二模,12. 2025丰台二模 第21题（主观题）,主观能动性 / 意识的能动作用,152,25,231,279,True,自然之势：都江堰以鱼嘴堤分水、飞沙堰溢洪、宝瓶口引水，设计顺应岷江水势规律，造就千年灌区典范；哈尼梯田以森林涵养水源、沟渠分层引流、木刻分水平衡水量，设计顺应山地水势规律的灌溉系统。时代之势：中国共产党推进全面从严治党深化自我革命；“一带一路”倡议推动构建人类命运共同体；中国式现代化创造人类文明新形态。,结合材料，综合运用所学，谈谈如何把握“势”的智慧。,都江堰、哈尼梯田都是“设计顺应水势规律”——人不是创造规律，而是认识、把握、利用客观规律；中国共产党推进全面从严治党、社区创新基层治理、“一带一路”倡议——是人在认识时代规律基础上，发挥主观能动性主动塑造时代之势。学生看到“顺应自然水势规律的灌溉典范+主动塑造党风时代之势”两条线时，就应当想到尊重客观规律与发挥主观能动性的辩证关系：客观规律是不以人意志为转移的，要尊重和利用规律；同时人具有主观能动性，能够在认识和把握规律的基础上能动地改造世界、塑造时代之势。,规律是客观的，不以人的意志为转移；同时，人具有主观能动性，能够认识和利用规律改造世界，把握客观规律与发挥主观能动性必须辩证统一。把握“势”的智慧，首先要顺应自然之势——都江堰分水溢洪引水设计、哈尼梯田分层引流木刻分水设计，皆是因循岷江水势、山地水势这一客观规律才造就千年灌区与人与自然和谐共生的典范；其次要建构时代之势——中国共产党推进全面从严治党、“一带一路”倡导构建人类命运共同体、中国式现代化创造人类文明新形态，是在认识时代发展规律基础上充分发挥主观能动性、主动塑造时代潮流的体现。把握“势”的智慧，本质就是在尊重客观规律的基础上能动地认识和改造世界。
2025昌平二模,18. 2025昌平二模 第22题（主观题）,主观能动性 / 意识的能动作用,135,40,215,228,True,中国独有的制度优势、中国突出的供给优势、中国超大规模市场优势、中国创新驱动的活力与势头——“中国风景”背后的密码。从经济增量看，10多年间中国经济总量从50多万亿元到130多万亿元的历史性跃升；产业结构不断优化、绿色底色愈发鲜明；中国是150多个国家和地区主要贸易伙伴。,结合材料，综合运用所学，阐述“中国风景”背后的密码是如何推动中国经济砥砺前行的。,经济跃升50万亿到130万亿、产业结构优化、绿色底色鲜明、150多个国家主要贸易伙伴——这些不是“拍脑袋”能拍出来的，背后是中国共产党和全国人民对经济发展规律、市场规律、产业升级规律、对外开放规律的科学认识和正确运用。学生看到“制度优势+供给优势+超大规模市场+创新驱动”这一组“密码”时，就应当想到尊重客观规律：经济发展有其固有规律（如供需规律、产业升级规律、对外开放双循环规律等），按规律办事是推动中国经济砥砺前行的根本前提。,规律是客观的，不以人的意志为转移；同时人能够认识和利用规律，按规律办事推动事物发展。“中国风景”背后的密码，根本在于中国共产党带领全国人民尊重客观规律、按规律办事——尊重市场经济运行规律实施供给侧结构性改革；尊重需求牵引供给的规律推动产业结构优化；尊重对外开放规律打造150多个贸易伙伴；尊重创新驱动经济发展规律培育新质生产力。正是在尊重规律基础上充分发挥主观能动性，中国经济才能从50多万亿到130多万亿、从总量增长到质量提升、从国内市场到全球贸易伙伴。
2024东城二模,2. 2024东城二模 第16题（主观题）,规律的客观性,45,34,109,51,True,桑基鱼塘穿越千年仍能持续运转，处理桑—蚕—鱼—泥的物质循环遵循人与自然和谐共生的客观规律。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,材料强调桑基鱼塘“两千多岁仍未老”、其桑—蚕—鱼—泥循环符合人与自然的发展规律，说明它在长期实践中是按客观规律办事，没有违背自然循环的客观要求；规律是客观的、不以人的意志为转移，只有尊重规律、按规律办事才能使事物长存。,桑基鱼塘历久未老，是因为它尊重并按人与自然和谐共生的客观规律处理农业生产，所以能跨越千年持续发挥作用。
2024东城二模,3. 2024东城二模 第21题（主观题）,规律的客观性,103,40,105,118,True,材料列举战略性有利条件，包括党的领导、制度优势、经济基础、社会稳定、文化自信等，并要求分析这些条件在民族复兴历史进程中如何发挥作用。它不是简单罗列优势，而是追问这些现实条件怎样顺应发展规律、转化为复兴动力。,结合材料，综合运用所学，分析以上战略性有利条件在这一历史进程中是如何发挥作用的。,能想到规律的客观性，是因为战略性有利条件要发挥作用，不能靠主观愿望或口号堆叠，而要符合社会发展规律、经济建设规律和民族复兴的历史进程。只有把现实优势放到规律性进程中加以运用，才能让条件转化为推动发展的现实力量。,战略性有利条件要真正发挥作用，必须尊重和遵循客观规律，把党的领导、制度优势、经济基础、社会活力和文化自信等条件转化为推动生产力发展、完善制度机制、凝聚人民力量的现实动力。这样才能使民族复兴进程按客观规律稳步推进，而不是停留在主观愿望上。
2025丰台二模,4. 2025丰台二模 第21题（主观题）,规律的客观性,52,18,116,58,True,都江堰按岷江水势规律设计鱼嘴分水、飞沙溢洪、宝瓶引水；哈尼梯田按山地水势规律布置森林涵养、沟渠分层引流。,运用所学，谈谈如何把握“势”的智慧。,都江堰按岷江水势的流量、走向、泥沙规律设计鱼嘴分水、飞沙溢洪、宝瓶引水；哈尼梯田按山地坡度、降水规律布置森林涵养与沟渠分层引流。两者都说明水势山势规律不以人的意志为转移，违反规律就难以延续千年灌区与生态共生。这触发规律的客观性原理。,把握自然之势的智慧首先要承认水势、山势规律不以人的意志为转移，必须严格按规律设计灌溉与梯田，才能延续千年生态与生产。
2024顺义二模,7. 2024顺义二模 第16题第（1）问（主观题）,规律的客观性,104,38,178,103,True,“无废城市”是以创新、协调、绿色、开放、共享的新发展理念为引领，通过推动形成绿色发展方式和生活方式，“持续推进固体废物源头减量和资源化利用，最大限度减少填埋量”，“将固体废物环境影响降至最低的城市发展模式”。,结合材料，运用《哲学与文化》知识，说明各地推进“无废城市”建设做法的合理性。,“源头减量、资源化利用、最低填埋”“环境影响降至最低”反映的是物质循环、生态平衡的客观规律——废物如果不减量、不资源化，就会按客观规律在环境中累积造成污染。各地的具体治理措施都是承认、尊重并利用废物处理、生态循环这些客观规律。学生看到“源头减量”“资源化利用”“将固体废物环境影响降至最低”这种符合自然循环规律的提法，应当想到尊重客观规律、按客观规律办事。,规律是客观的，必须尊重客观规律、按客观规律办事。各地推进“无废城市”建设遵循固体废物循环利用、生态环境承载力的客观规律——通过源头减量、资源化、降低填埋等措施按规律办事，这正是各地做法合理性的客观规律基础。
2025海淀二模,2. 2025海淀二模 第16题（主观题）,联系的普遍性 / 联系的观点（总）,82,57,240,234,True,网友“有始有终”指出：记忆并不是机械存储信息的过程，通过记忆我们将不同的信息联结整合，形成有意义的网络。例如通过记忆“唐宋八大家”，人们照见的是唐宋年代的文学盛况。,在获取信息易如反掌的时代，我们还需要记忆大量知识吗？……结合材料或个人体验，运用《哲学与文化》知识，谈谈你的看法。,网友“有始有终”专门强调记忆不是孤立的信息存储，而是把不同信息“联结整合，形成有意义的网络”——这是典型的联系视角：把零散的信息放进相互关联的网络中，每一条信息都不是孤立存在的；又说记“唐宋八大家”背后照见的是整个唐宋文学盛况——这是把局部知识嵌入到整体的文化系统中。学生看到“联结、整合、网络、与时代盛况相联”这种把零散信息组织成相互关联的整体的表述，就应当想到联系的观点：联系是普遍的、客观的；整体由部分组成，部分嵌入整体；系统优化要求注重整体性、有序性、内部结构的优化趋向。,联系是普遍的、客观的、多样的，事物之间和事物内部诸要素之间相互联系、相互影响。记忆大量知识不是机械堆积，而是把不同信息联结整合，形成意义网络——这正是把握知识间普遍联系的过程。整体与部分相互联系、不可分割：唐宋八大家这些具体知识点是部分，唐宋文学盛况这一整体由这些部分构成，又赋予部分以新的意义。系统优化方法要求注重整体性、有序性、内部结构的优化趋向——记忆大量知识有助于在头脑中建立有序的知识系统，使各部分知识在系统中相互支撑、相互激活，所以我们仍需要记忆大量知识。
2024海淀二模,4. 2024海淀二模 第16题（主观题）,联系的普遍性 / 联系的观点（总）,103,26,161,103,True,材料从物理学的“频道”“同频共振”切入，引申到人际关系与社交领域：“同频”指人们之间在思想、价值观、生活方式或行为上有共同点，能够相互理解和共鸣；小到个人生活相处，大到国家社会发展，都需要“以调频促同频”。,结合材料，从哲学角度，谈谈为什么要“以调频促同频”。,材料强调人与人之间、个人与国家社会之间都“需要”以调频促同频——这种“人际之间”“国家社会之间”的相互连结、相互影响、相互依赖关系正是联系的普遍性。学生看到“人与人”“小到个人生活、大到国家社会发展”这种从个体到群体到社会的串联表述，应直接想到事物之间、人与人之间存在普遍联系，“同频共振”就是利用这种联系实现共识与合力。,联系是普遍的，人与人、个人与社会之间相互联系、相互影响；“同频”让原本各自存在的个体在思想、价值观、行为上形成相互呼应的联系，从而达成共识、汇聚成合力——这是从联系的普遍性原理回答“为什么要以调频促同频”。
2024东城二模,7. 2024东城二模 第16题（主观题）,联系的普遍性 / 联系的观点（总）,97,34,165,96,True,“桑基鱼塘四周形成桑基，桑叶喂养，桑基和鱼塘相辅相成的桑基鱼塘生态优态长久”，“某地区开展生态桑基鱼塘进行修复保护和利用，将农业生态、文化、景观保护以及生态产品开发、文化研讨融入到农业生产中”。,结合材料，运用《哲学与文化》知识，分析为何二千多岁的桑基鱼塘仍未老。,“桑—蚕—鱼—塘泥—桑基”每个要素都不独立存在，它们彼此供给、互为条件，形成一个完整的物质能量循环系统；现代又把农业生态、文化、景观保护、生态产品、文化研讨等再融合进来。学生看到“相辅相成”“生态优态长久”“融合农业生态-文化-景观-生态产品-研讨”这种多要素相互关联的并列表述，应当想到事物是普遍联系的、要立足整体把握系统优化。,桑基鱼塘的桑、蚕、鱼、塘泥相互联系构成一个相互依存的系统，又与现代生态、文化、景观、研讨融合形成更大系统——立足整体、系统优化、坚持联系的观点使其各要素相互支撑、协同发展，所以二千多岁仍未老。
