suite,year,phase,source_example,final_docx_mentions,in_current_closure_matrix,current_closure_status,coverage_bucket
2026丰台二模,2026,二模,2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx,5,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026丰台一模,2026,一模,2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx,11,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026海淀二模,2026,二模,2026各区二模\2026海淀二模\细则\26海淀高三政治二模讲评.pdf,2,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026海淀一模,2026,一模,2026各区一模\2026海淀一模\2026海淀一模 试卷扫描版_去水印.pdf,6,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026门头沟一模,2026,一模,2026各区一模\2026门头沟一模\门头沟区高三政治一模试卷.pdf,9,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026石景山二模,2026,二模,2026各区二模\2026石景山二模\细则\石景山区高三政治第二次模拟考试答案评分细则(1).doc,3,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026石景山一模,2026,一模,2026各区一模\2026石景山一模\2026北京石景山高三一模政治（教师版）.pdf,8,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026顺义二模,2026,二模,2026各区二模\2026顺义二模\26顺义二模(1).pdf,5,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026顺义一模,2026,一模,2026各区一模\2026顺义一模\2026年顺义一模  细则.pptx,11,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026通州一模,2026,一模,2026各区一模\2026通州一模\2026北京通州高三一模政治.pdf,2,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026西城二模,2026,二模,2026各区二模\2026西城二模\细则\西城二模评标.pdf,3,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026西城一模,2026,一模,2026各区一模\2026西城一模\2026北京西城高三一模政治.pdf,12,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
2026延庆一模,2026,一模,2026各区一模\2026延庆一模\2026北京延庆高三一模政治（教师版）.pdf,12,True,COVERED_OR_PATCHED,DELTA_OR_FIRST_MOCK_MATRIX_CLOSED
