question_id,year,district,stage,suite_name,question_no,book_part,question_type,evidence_level,source_packet,status,decision_reason,run_route,body_policy,v98_use_policy,current_run_body_status,current_run_note
Q0011,2024,海淀,二模,2024海淀二模,17(1),thinking,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0011-2024海淀二模-q171,source_locked,科学思维设问下来源支持客观性/探索性与方法更新/整体安排；不得恢复为科学/创新/辩证三模块并列设问,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,corrected_from_old_three_module_note_v23
Q0012,2025,顺义,一模,2025顺义一模,7,choice_trap,choice_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0012-2025顺义一模-q7,source_locked,三段论谬误名称纠偏：大项不当扩大不是小项不当扩大,reasoning_choice,enter_reasoning_handbook_choice_trap,added_to_reasoning_body_20260526,body_reasoning_choice_trap_added_20260526,derived_from_previous_source_index_not_new_source_evidence
Q0013,2026,顺义,一模,2026顺义一模,19(1),reasoning,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0013-2026顺义一模-q191,source_locked,演绎推理保真两条件：前提不真但三段论结构正确,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0014,2026,朝阳,期中,2026朝阳期中(2025-11),20,thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0014-2026朝阳期中-q20,source_locked,辩证思维机遇挑战复合题,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0015,2026,东城,期末,2026东城期末,6,reasoning,choice_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0015-2026东城期末-q6,source_locked,三段论补大前提保真：中项周延与三概念,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0016,2026,东城,期末,2026东城期末,7,reasoning,choice_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0016-2026东城期末-q7,source_locked,矛盾关系真假判断题,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0017,2026,通州,期末,2026通州期末,9,choice_trap,choice_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0017-2026通州期末-q9,source_locked,数字化治理事实与创新思维/发散思维误挂边界,excluded_or_boundary,audit_boundary_not_student_body_user_scope_thinking_main_only,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice_confirmed_20260526,derived_from_previous_source_index_not_new_source_evidence
Q0018,2026,朝阳,一模,2026朝阳一模,17(1)前半,reasoning,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0018-2026朝阳一模-q171-前半,source_locked,不完全归纳推理识别,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0019,2026,朝阳,一模,2026朝阳一模,17(1)后半,thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0019-2026朝阳一模-q171-后半,source_locked,联想思维迁移或想象设计文创方案,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0020,2026,海淀,期末,2026海淀期末,20(1),reasoning,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0020-2026海淀期末-q201,source_locked,充分条件假言推理肯定后件不能肯定前件,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0021,2026,海淀,期末,2026海淀期末,20(2),thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0021-2026海淀期末-q202,source_locked,超前思维调查研究/矛盾分析/推理和想象,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0022,2026,海淀,一模,2026海淀一模,17(1),reasoning,main_question,A-formal,02_codex_lane/GAP002_2026_HAIDIAN_Q17_QUESTIONNAIRE_SOURCE_LOCK.md#paper-text-locked-from-rendered-page,source_locked_questionnaire_detail_pending_external_review,划分标准不一与选言判断遗漏；完整问卷选项已由试卷渲染页回源锁定,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0023,2026,海淀,一模,2026海淀一模,17(2),thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0023-2026海淀一模-q172,source_locked,调研改进题：科学/逻辑/辩证/创新思维任选两个,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_both_or_cross_mount,added_to_reasoning_induction_reliability_v21_content_audit
Q0024,2024,朝阳,一模,2024朝阳一模,6,reasoning,choice_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0024-2024朝阳一模-q6,source_locked,形式逻辑综合选择题：划分/排中律/矛盾律/四概念,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0025,2024,朝阳,期中,2024.11朝阳期中,18,reasoning,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0025-202411朝阳期中-q18,source_locked,楚王不完全归纳轻率概括与晏子类比推理,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0026,2026,西城,一模,2026西城一模,19(3),reasoning,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0026-2026西城一模-q193,source_locked,三段论四概念/反对关系/同一律偷换概念,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0027,2025,海淀,一模,2025海淀一模,21(1),reasoning,main_question,A-formal,02_codex_lane/GAP008_DISJUNCTIVE_REASONING_SOURCE_LOCK.md#q0027-2025海淀一模-q211,source_locked,不相容选言推理否定肯定式有效样本,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0028,2025,丰台,期末,2025丰台期末,9,reasoning,choice_question,B-choice-signal,02_codex_lane/GAP008_DISJUNCTIVE_REASONING_SOURCE_LOCK.md#q0028-2025丰台期末-q9,source_locked,不相容选言判断真不能直接推出某一选言支为真,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0029,2024,朝阳,二模,2024朝阳二模,7,reasoning,choice_question,A-formal,02_codex_lane/GAP001_2024_CHAOYANG_ERMO_Q7_SOURCE_LOCK.md,source_locked_pending_external_review,三段论小项不当扩大选择题硬样本；答案D由参考答案表锁定,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0030,2024,北京,高考,2024北京高考,19(2),thinking,main_question,missing,02_codex_lane/GAP007_2024_BEIJING_GAOKAO_Q19_2_SOURCE_AUDIT.md,source_identified_original_question_not_locked,2026丰台期末细则引用24年北京高考19题第二问并给出选必三评分口径；本轮公开2024北京卷PDF未匹配青海防沙治沙，原题页未锁定，不进正文,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,boundary_or_low_evidence,derived_from_previous_source_index_not_new_source_evidence
Q0031,2026,顺义,一模,2026顺义一模,2,reasoning,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0031-2026顺义一模-q2,source_locked_pending_external_review,概念外延关系陷阱：D项把具体风土人情与北京题材误判为交叉关系，正式答案C,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0032,2026,顺义,一模,2026顺义一模,3,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0032-2026顺义一模-q3,source_locked_pending_external_review,分析与综合/整体性动态性选择题：正确②③，排除主要方面与适度原则硬套,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0033,2026,顺义,一模,2026顺义一模,4,reasoning,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0033-2026顺义一模-q4,source_locked_pending_external_review,类比推理选择题：A项锁定，C/D分别为比喻定义和完全归纳陷阱,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0034,2026,顺义,一模,2026顺义一模,5,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0034-2026顺义一模-q5,source_locked_pending_external_review,感觉知觉表象到本质规律选择题：D项锁定，B项发散思维误挂,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0035,2026,顺义,一模,2026顺义一模,6,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0035-2026顺义一模-q6,source_locked_answer_conflict_pending_external_review,正式答案键为A迁移方法，但旧错肢库曾标A为错；只入冲突行，不入陷阱库,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0036,2026,顺义,一模,2026顺义一模,7,thinking,choice_question,B-choice-signal,02_codex_lane/GAP003_2026_SHUNYI_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0036-2026顺义一模-q7,source_locked_pending_external_review,人机协作边界选择题：D项锁定，第四象限对应情感价值判断和复杂人际沟通,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0037,2026,朝阳,一模,2026朝阳一模,3,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0037-2026朝阳一模-q3,source_locked_pending_external_review,科普+文化/非遗融合选择题：正确②④，科技赋能传统文化焕新与辩证否定 choice signal,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0038,2026,朝阳,一模,2026朝阳一模,5,reasoning,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0038-2026朝阳一模-q5,source_locked_pending_external_review,判断与推理综合选择题：否定全称误推出部分肯定/充分条件误写充要/划分误判/非传递关系,reasoning_choice,enter_reasoning_handbook_only_with_full_stem_options_answer_reason,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0039,2026,朝阳,一模,2026朝阳一模,6,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0039-2026朝阳一模-q6,source_locked_pending_external_review,坝河治理发散聚合/水城新联系选择题；正式答案D，旧索引冲突已记录,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0040,2026,朝阳,一模,2026朝阳一模,7,thinking,choice_question,B-choice-signal,02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0040-2026朝阳一模-q7,source_locked_pending_external_review,月壤样品分析与卫星遥感互证选择题：科学思维可信度，排除形象化特征和超前思维误挂,excluded_or_boundary,audit_boundary_not_student_body,index_only_source_lock_coverage_review_issues_not_student_body,excluded_by_user_scope_thinking_choice,derived_from_previous_source_index_not_new_source_evidence
Q0041,2025,门头沟,一模,2025门头沟一模,21(1),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_MENTOUGOU_YIMO_Q21_1_SOURCE_LOCK.md#q0041-2025门头沟一模-q211,source_locked_pending_external_review,科学思维设问下，正式细则给出辩证思维、创新思维、科学思维三组得分点；用于复合思维扩容,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0042,2025,房山,一模,2025房山一模,16(2),reasoning,main_question,A-formal,02_codex_lane/GAP005_2025_FANGSHAN_YIMO_Q16_2_Q16_3_SOURCE_LOCK.md#q0042-2025房山一模-q162,source_locked_pending_external_review,三段论编写题：正式细则给前提为真、推理结构正确、符合三段论基本规则4分,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0043,2025,房山,一模,2025房山一模,16(3),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_FANGSHAN_YIMO_Q16_2_Q16_3_SOURCE_LOCK.md#q0043-2025房山一模-q163,source_locked_pending_external_review,创新思维建议题：正式细则给任一个思维+合理建议、创新思维三个特征角度得分口径,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0044,2025,东城,期末,2025东城期末,18(2),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_DONGCHENG_QIMO_Q18_2_SOURCE_LOCK.md#q0044-2025东城期末-q182,source_locked_pending_external_review,登月服创新思维题：正式细则给三新、聚合/发散、联想、超前思维得分口径,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0045,2025,昌平,二模,2025昌平二模,19,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_CHANGPING_ERMO_Q19_SOURCE_LOCK.md#q0045-2025昌平二模-q19,source_locked_pending_external_review,沉浸式演艺创新思维题：正式细则给逆向思维、发散与聚合、迁移和想象/联想、三新得分口径,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0046,2025,西城,一模,2025西城一模,17,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_XICHENG_YIMO_Q17_SOURCE_LOCK.md#q0046-2025西城一模-q17,source_locked_pending_external_review,温榆生态心科学思维题：正式细则要求客观性、辩证思维、创新思维三个维度,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0047,2025,石景山,一模,2025石景山一模,19,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_SHIJINGSHAN_YIMO_Q19_SOURCE_LOCK.md#q0047-2025石景山一模-q19,source_locked_pending_external_review,科学建议题：正式细则给科学思维客观性/可检验性、归纳推理可靠程度、创新思维三点,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_both_or_cross_mount,moved_to_science_comprehensive_and_added_to_reasoning_induction_reliability_v21
Q0048,2025,丰台,一模,2025丰台一模,18(1),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_FENGTAI_YIMO_Q18_1_SOURCE_LOCK.md#q0048-2025丰台一模-q181,source_locked_pending_external_review,新一代人工智能规划题：正式细则锁定科学思维客观性、预见性、可检验性三性,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0049,2025,朝阳,期末,2025朝阳期末,19,reasoning,main_question,A-formal,02_codex_lane/GAP005_2025_CHAOYANG_QIMO_Q19_SOURCE_LOCK.md#q0049-2025朝阳期末-q19,source_locked_pending_external_review,扫雪讨论逻辑综合题：正式细则锁定排中律两不可、矛盾律自相矛盾、三段论推理规则三组,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0050,2025,海淀,期末,2025海淀期末,18,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_HAIDIAN_QIMO_Q18_SOURCE_LOCK.md#q0050-2025海淀期末-q18,source_locked_pending_external_review,北京城市图书馆创新思维题：正式细则锁定逆向思维、联想思维、发散聚合、超前思维与材料动作对应口径,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0051,2025,东城,一模,2025东城一模,18(1),thinking,main_question,A-formal,02_codex_lane/GAP005_2025_DONGCHENG_YIMO_Q18_1_SOURCE_LOCK.md#q0051-2025东城一模-q181,source_locked_pending_external_review,两重实施辩证思维题：正式细则锁定整体性/动态性/实践观点和主要矛盾两层触发,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0052,2025,朝阳,一模,2025朝阳一模,17(1),reasoning,main_question,A-formal,02_codex_lane/GAP005_2025_CHAOYANG_YIMO_Q17_1_SOURCE_LOCK.md#q0052-2025朝阳一模-q171,source_locked_pending_external_review,具身智能必要条件假言推理题：正式细则锁定肯定必要条件前件不能肯定后件/必要条件误当充分条件,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0053,2025,朝阳,二模,2025朝阳二模,17,reasoning,main_question,A-formal,02_codex_lane/GAP005_2025_CHAOYANG_ERMO_Q17_SOURCE_LOCK.md#q0053-2025朝阳二模-q17,source_locked_pending_external_review,地铁客运量不完全归纳推理题：正式细则锁定不完全归纳、或然性、扩大样本和因果分析增强可靠性,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
Q0054,2025,延庆,一模,2025延庆一模,18,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_YANQING_YIMO_Q18_SOURCE_LOCK.md#q0054-2025延庆一模-q18,source_locked_pending_external_review,低空经济辩证思维题：正式细则锁定分析综合、整体性动态性、质量互变、辩证否定和矛盾分析法,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0055,2025,海淀,二模,2025海淀二模,20,thinking,main_question,A-formal,02_codex_lane/GAP005_2025_HAIDIAN_ERMO_Q20_SOURCE_LOCK.md#q0055-2025海淀二模-q20,source_locked_pending_external_review,共享发展理念辩证思维题：正式细则锁定分析综合/系统优化/整体性、质量互变/动态性、辩证否定，矛盾分析法可替代最高2分,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0056,2024,朝阳,期中,2024朝阳期中,19,thinking,main_question,A-formal,02_codex_lane/GAP006_2024_CHAOYANG_QIZHONG_Q19_SOURCE_LOCK.md#q0056-2024朝阳期中-q19,source_locked_pending_external_review,首发经济朝外样本创新思维题：正式RTF细则锁定超前、逆向、联想、发散与聚合，并设置照抄材料和泛写三新得分上限,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0057,2024,顺义,二模,2024顺义二模,16(2),thinking,main_question,A-formal,02_codex_lane/GAP006_2024_SHUNYI_ERMO_Q16_2_SOURCE_LOCK.md#q0057-2024顺义二模-q162,source_locked_pending_external_review,无废城市超前思维题：正式细则锁定尊重城市建设规律、超前思维矛盾分析法、科学判断预见、资源化与清洁生产结合,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0058,2024,东城,一模,2024东城一模,18(3),thinking,main_question,A-formal,02_codex_lane/GAP006_2024_DONGCHENG_YIMO_Q18_3_SOURCE_LOCK.md#q0058-2024东城一模-q183,source_locked_pending_external_review,传统产业与未来产业关系题：正式细则锁定关系判断2分、辩证否定改造传统产业2分、超前思维布局未来产业2分,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,derived_from_previous_source_index_not_new_source_evidence
Q0059,2024,丰台,一模,2024丰台一模,19(2),thinking,main_question,A-formal,02_codex_lane/GAP006_2024_FENGTAI_YIMO_Q19_SOURCE_LOCK.md#q0059-2024丰台一模-q192,source_locked_pending_external_review,垃圾分类标识模拟政协提案研究方法题：正式细则锁定两种具体研究方法各1分、理由各2分，禁止只写超前/发散/联想思维标签,thinking_main,enter_thinking_handbook_if_prompt_and_answer_chain_available,index_only_source_lock_coverage_review_issues_not_student_body,body_thinking,moved_from_science_three_features_to_science_comprehensive_v21_content_audit
Q0060,2024,丰台,一模,2024丰台一模,19(1),reasoning,main_question,A-formal,02_codex_lane/GAP006_2024_FENGTAI_YIMO_Q19_SOURCE_LOCK.md#q0060-2024丰台一模-q191,source_locked_pending_external_review,垃圾分类标识条件判断补全题：正式细则锁定如果/只要能够在商品外包装上印上垃圾分类标识为符合逻辑规则的真判断,reasoning_main,enter_reasoning_handbook_main_question,index_only_source_lock_coverage_review_issues_not_student_body,body_reasoning,derived_from_previous_source_index_not_new_source_evidence
