order,question_id,visible_title,question_type_group,phase12_decision,option_visibility,answer_completeness,reasoning_form_clarity,thinking_method_clarity,question_type_correct,must_fix_p0_check,verdict_per_row,note
53,Q-2024朝阳二模-7,2024 朝阳二模第7题,选择题,body_after_repair,完整选项ABCD,sufficient,A项小项扩大(NOT中项不周延)+B归纳夸大+C必要条件误用,n/a,选择题,SMALL_TERM_NOT_MIDDLE_TERM_PASS,row_pass,P0项_朝阳二模7已锁定A项小项不当扩大不得写成中项不周延_辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
54,Q-2024朝阳期中-7,2024 朝阳期中第7题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,三段论排序_大前提小前提结论中项,n/a,选择题,n/a,row_pass,
55,Q-2024朝阳期中-8,2024 朝阳期中第8题,选择题,body_after_repair,①②③④_in_stem,sufficient,假言推理_必要条件+联言推理,n/a,选择题,n/a,row_pass,
56,Q-2024朝阳期中-9,2024 朝阳期中第9题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,归纳推理_共变法,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
57,Q-2024朝阳期中-11,2024 朝阳期中第11题,选择题,body_after_repair,①②③④_in_stem,sufficient,关系判断+假言推理+三段论+矛盾律同一律,n/a,选择题,n/a,row_pass,
58,Q-2026丰台一模-4,2026 丰台一模第4题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,综合思维+实践智慧+联想迁移时序陷阱,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
59,Q-2026丰台一模-7,2026 丰台一模第7题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,科学思维_发散聚合+超前思维+归纳推理边界,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
60,Q-2026丰台一模-8,2026 丰台一模第8题,选择题,body_after_repair,①②③④_in_stem,sufficient,充分条件假言推理_否定后件有效+肯定后件无效,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
61,Q-2026丰台一模-9,2026 丰台一模第9题,选择题,body_after_repair,完整选项ABCD,sufficient,概念外延+整体部分+联言判断,n/a,选择题,n/a,row_pass,
62,Q-2025丰台期末-7,2025 丰台期末第7题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,n/a,边界陷阱_only_boundary_trap_not_超前思维_positive,选择题,BOUNDARY_TRAP_ONLY_PASS,row_pass,P0项_思维索引边界陷阱不再正例化
63,Q-2025丰台期末-8,2025 丰台期末第8题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,n/a,形象思维+发散思维(辅助),选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
64,Q-2025丰台期末-9,2025 丰台期末第9题,选择题,body_after_repair,完整选项ABCD,sufficient,联言推理+选言推理+假言推理_充分条件,n/a,选择题,n/a,row_pass,
65,Q-2025丰台期末-10,2025 丰台期末第10题,选择题,body_after_repair,①②③④_in_stem,sufficient,归纳推理+演绎推理+思维抽象具体+类比推理,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
66,Q-2026通州期末-10,2026 通州期末第10题,选择题,body_after_362_repair,①②③④_in_stem,sufficient,反对关系+关系判断+选言判断边界(新增条目),n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
67,Q-2026顺义一模-3,2026 顺义一模第3题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,辩证思维_整体性动态性+分析综合,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
68,Q-2026顺义一模-4,2026 顺义一模第4题,选择题,body_after_repair,完整选项ABCD,sufficient,类比推理+完全归纳推理+定义方法,n/a,选择题,n/a,row_pass,
69,Q-2026顺义一模-5,2026 顺义一模第5题,选择题,body_after_repair,完整选项ABCD,sufficient,性质判断+关系判断+发散思维+认识论感性表象,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish_thinking_NEEDS_METHOD_CONFIRMATION
70,Q-2026顺义一模-6,2026 顺义一模第6题,选择题,body_after_repair,完整选项ABCD,sufficient,概念主项+联言判断+概念划分+关系判断对称性,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
71,Q-2026通州期末-5,2026 通州期末第5题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,系统思维+辩证思维(辅助),选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
72,Q-2026通州期末-8,2026 通州期末第8题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,人为事物联系+整体性(辅助),选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
73,Q-2026通州期末-9,2026 通州期末第9题,选择题,body_after_repair,完整选项ABCD,sufficient,n/a,选择题陷阱_choice_trap_material_fact_not_subjective_method_positive,选择题,BOUNDARY_TRAP_ONLY_PASS,row_pass,P0项_思维索引选择题陷阱不再正例化
74,Q-2026通州期末-11,2026 通州期末第11题,选择题,body_after_repair,完整选项ABCD,sufficient,n/a,认识发展历程_感性具体到思维抽象到思维具体,选择题,n/a,row_pass,
75,Q-2025顺义一模-5,2025 顺义一模第5题,选择题,body_after_repair,完整选项ABCD,sufficient,联言判断_矛盾命题_德摩根转换,n/a,选择题,n/a,row_pass,
76,Q-2025顺义一模-6,2025 顺义一模第6题,选择题,body_after_repair,①②③④_in_stem,sufficient,概念主项+联言判断+概念划分+关系判断对称性,n/a,选择题,n/a,row_pass,
77,Q-2025顺义一模-7,2025 顺义一模第7题,选择题,body_now,完整选项ABCD,sufficient,三段论周延规则_真实错误大项不当扩大_A项误称小项不当扩大,n/a,选择题,MAJOR_TERM_NOT_SMALL_TERM_PASS,row_pass,P0项_顺义一模7真实错误大项不当扩大_小项不当扩大仅A项误称陷阱
