question_id,visible_title,question_type_group,district,year,exam_stage,question_no,subquestion_no,sort_key,phase12_decision
Q-2025丰台期末-10,2025 丰台期末第10题,选择题,丰台,2025,期末,10,0,02-05-02-04-010-00,body_after_repair
Q-2026通州期末-10,2026 通州期末第10题,选择题,其他区,2026,期末,10,0,02-06-01-04-010-00,body_after_362_repair
Q-2026顺义一模-3,2026 顺义一模第3题,选择题,顺义,2026,一模,3,0,02-99-01-01-003-00,body_after_repair
Q-2026顺义一模-4,2026 顺义一模第4题,选择题,顺义,2026,一模,4,0,02-99-01-01-004-00,body_after_repair
Q-2026顺义一模-5,2026 顺义一模第5题,选择题,顺义,2026,一模,5,0,02-99-01-01-005-00,body_after_repair
Q-2026顺义一模-6,2026 顺义一模第6题,选择题,顺义,2026,一模,6,0,02-99-01-01-006-00,body_after_repair
Q-2026通州期末-5,2026 通州期末第5题,选择题,通州,2026,期末,5,0,02-99-01-04-005-00,body_after_repair
Q-2026通州期末-8,2026 通州期末第8题,选择题,通州,2026,期末,8,0,02-99-01-04-008-00,body_after_repair
Q-2026通州期末-9,2026 通州期末第9题,选择题,通州,2026,期末,9,0,02-99-01-04-009-00,body_after_repair
Q-2026通州期末-11,2026 通州期末第11题,选择题,通州,2026,期末,11,0,02-99-01-04-011-00,body_after_repair
Q-2025顺义一模-5,2025 顺义一模第5题,选择题,顺义,2025,一模,5,0,02-99-02-01-005-00,body_after_repair
Q-2025顺义一模-6,2025 顺义一模第6题,选择题,顺义,2025,一模,6,0,02-99-02-01-006-00,body_after_repair
Q-2025顺义一模-7,2025 顺义一模第7题,选择题,顺义,2025,一模,7,0,02-99-02-01-007-00,body_now
