entry_no,question_id,visible_title,module,draft_section,question_type,source_entry_status,input_permission,primary_mount,secondary_mount,same_type_ids,gpt_named_risk_status,student_body_origin,no_expansion_policy,phase10_title_strategy,phase10_same_type_style,same_type_visible,phase10_scope_lock
11,Q-2026朝阳期中-20,2026 朝阳期中第20题（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2026顺义一模-3,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2026 顺义一模第3题,same_29_rows_no_expansion
12,Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问（主观题）,思维,思维,主观题,L3_candidate,include_as_packet_candidate,思维,,Q-2024朝阳一模-7；Q-2025东城期末-18-2；Q-2025海淀期末-18；Q-2025西城二模-16-3；Q-2026东城一模-19-4；Q-2026通州期末-9,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第7题；2025 东城期末第18题第(2)问；2025 海淀期末第18题；2025 西城二模第16题第(3)问；2026 东城一模第19题第(4)问；2026 通州期末第9题,same_29_rows_no_expansion
13,Q-2025丰台期末-7,2025 丰台期末第7题（选择题）(漫画启示),思维,边界陷阱,选择题,L3_candidate,include_as_packet_candidate,边界陷阱,,Q-2025海淀二模-12,resolved_boundary_trap_not_thinking_mainline,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2025 海淀二模第12题,same_29_rows_no_expansion
14,Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问（主观题）,推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024朝阳一模-20-2；Q-2026通州期末-19-2,resolved_sufficient_conditional_valid_form,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第20题第(2)问；2026 通州期末第19题第(2)问,same_29_rows_no_expansion
15,Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问（主观题）,推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024朝阳一模-20-1；Q-2026通州期末-19-2,resolved_necessary_conditional_valid_form,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第20题第(1)问；2026 通州期末第19题第(2)问,same_29_rows_no_expansion
16,Q-2024朝阳期中-7,2024 朝阳期中第7题（选择题）,推理,推理,选择题,L3_candidate,include_as_packet_candidate,推理,,Q-2026顺义一模-19-1；Q-2026顺义一模-19-2,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2026 顺义一模第19题第(1)问；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
17,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问（主观题）(下定义),推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024西城一模-19-3；Q-2024西城一模-19-5,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 西城一模第19题第(3)问；2024 西城一模第19题第(5)问,same_29_rows_no_expansion
18,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问（主观题）(概念外延关系),推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024西城一模-19-2；Q-2024西城一模-19-5,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 西城一模第19题第(2)问；2024 西城一模第19题第(5)问,same_29_rows_no_expansion
19,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问（主观题）,推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024西城一模-19-2；Q-2024西城一模-19-3,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 西城一模第19题第(2)问；2024 西城一模第19题第(3)问,same_29_rows_no_expansion
20,Q-2025东城期末-13,2025 东城期末第13题（选择题）,推理,推理,选择题,L3_candidate,include_as_packet_candidate,推理,,Q-2025顺义一模-7,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2025 顺义一模第7题,same_29_rows_no_expansion
21,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问（主观题）,推理,推理,主观题,L4,include,推理,,Q-2026丰台一模-8,standardized_from_phase08,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2026 丰台一模第8题,same_29_rows_no_expansion
22,Q-2025顺义一模-7,2025 顺义一模第7题（选择题）,推理,推理,选择题,L3_candidate,include_as_packet_candidate,推理,,Q-2025东城期末-13,resolved_answer_expression_rechecked_against_source,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2025 东城期末第13题,same_29_rows_no_expansion
23,Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问（主观题）,推理,推理,主观题,L4,include,推理,,Q-2024朝阳一模-20-2；Q-2024朝阳期中-7；Q-2025东城期末-13；Q-2025顺义一模-7；Q-2026朝阳期中-11；Q-2026顺义一模-19-1；Q-2026顺义一模-19-2,resolved_L4_reasoning_chain_preserved,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第20题第(2)问；2024 朝阳期中第7题；2025 东城期末第13题；2025 顺义一模第7题；2026 朝阳期中第11题；2026 顺义一模第19题第(1)问；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
24,Q-2026通州期末-19-2,2026 通州期末第19题第(2)问（主观题）,推理,推理,主观题,L3_candidate,include_as_packet_candidate,推理,,Q-2024朝阳一模-20-1；Q-2024朝阳一模-20-2,resolved_sufficient_vs_necessary_split,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳一模第20题第(1)问；2024 朝阳一模第20题第(2)问,same_29_rows_no_expansion
25,Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问（主观题）,交叉,交叉,主观题,L3_candidate,include_as_packet_candidate,推理,思维,Q-2024朝阳二模-19-2,resolved_no_audit_expression_reflux,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第19题第(2)问,same_29_rows_no_expansion
26,Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问（主观题）,交叉,交叉,主观题,L3_candidate,include_as_packet_candidate,推理,思维,Q-2024朝阳二模-19-1,resolved_no_audit_expression_reflux,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳二模第19题第(1)问,same_29_rows_no_expansion
27,Q-2024朝阳期中-9,2024 朝阳期中第9题（选择题）,交叉,交叉,选择题,L3_candidate,include_as_packet_candidate,推理,思维,Q-2024西城一模-11；Q-2026朝阳期中-14,cross_double_mount_preserved,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 西城一模第11题；2026 朝阳期中第14题,same_29_rows_no_expansion
28,Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问（主观题）,交叉,交叉,主观题,L3_candidate,include_as_packet_candidate,推理,思维,Q-2024朝阳期中-7；Q-2026顺义一模-19-2,cross_double_mount_preserved,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳期中第7题；2026 顺义一模第19题第(2)问,same_29_rows_no_expansion
29,Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问（主观题）,交叉,交叉,主观题,L3_candidate,include_as_packet_candidate,思维,推理,Q-2024朝阳期中-7；Q-2026顺义一模-19-1,resolved_scientific_thinking_primary_reasoning_auxiliary,phase08_prototype_29_only,no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion,student_readable_heading_body_control_matrix_qid_trace,readable_titles_in_body_raw_qids_in_matrix,2024 朝阳期中第7题；2026 顺义一模第19题第(1)问,same_29_rows_no_expansion
