question_id,visible_title,expected_decision,body_found,coverage_bucket,repair_or_blocker
Q-2026朝阳期中-12,2026 朝阳期中第12题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026朝阳期中-13,2026 朝阳期中第13题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026朝阳期中-14,2026 朝阳期中第14题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026朝阳期中-15,2026 朝阳期中第15题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024朝阳一模-7,2024 朝阳一模第7题,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳一模-9,2024 朝阳一模第9题,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳二模-6,2024 朝阳二模第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024朝阳二模-7,2024 朝阳二模第7题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024朝阳期中-7,2024 朝阳期中第7题,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳期中-8,2024 朝阳期中第8题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2024朝阳期中-9,2024 朝阳期中第9题,body_now,yes,body,existing_phase11D_block_used
Q-2024朝阳期中-11,2024 朝阳期中第11题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026丰台一模-4,2026 丰台一模第4题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026丰台一模-7,2026 丰台一模第7题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026丰台一模-8,2026 丰台一模第8题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026丰台一模-9,2026 丰台一模第9题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025丰台期末-7,2025 丰台期末第7题,body_now,yes,body,existing_phase11D_block_used
Q-2025丰台期末-8,2025 丰台期末第8题,body_now,yes,body,existing_phase11D_block_used
Q-2025丰台期末-9,2025 丰台期末第9题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025丰台期末-10,2025 丰台期末第10题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026顺义一模-3,2026 顺义一模第3题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026顺义一模-4,2026 顺义一模第4题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026顺义一模-5,2026 顺义一模第5题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026顺义一模-6,2026 顺义一模第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026通州期末-5,2026 通州期末第5题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026通州期末-8,2026 通州期末第8题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026通州期末-9,2026 通州期末第9题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2026通州期末-11,2026 通州期末第11题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025顺义一模-5,2025 顺义一模第5题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025顺义一模-6,2025 顺义一模第6题,body_after_repair,yes,body,repaired_review_only_block_used
Q-2025顺义一模-7,2025 顺义一模第7题,body_now,yes,body,existing_phase11D_block_used
