entry_no,question_id,visible_title_control,visible_title_found,module,question_type,primary_mount,secondary_mount,expected_fields,missing_fields,choice_style,subjective_answer,cross_mount,raw_qid_in_section,review_status,notes
11,Q-2026朝阳期中-20,2026 朝阳期中第20题（主观题）,2026 朝阳期中第20题（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
12,Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问（主观题）,2026 朝阳期中第21题第(2)问（主观题）,思维,主观题,思维,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
13,Q-2025丰台期末-7,2025 丰台期末第7题（选择题）(漫画启示),2025 丰台期末第7题（选择题）(漫画启示),思维,选择题,边界陷阱,,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
14,Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问（主观题）,2024 朝阳一模第20题第(1)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
15,Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问（主观题）,2024 朝阳一模第20题第(2)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
16,Q-2024朝阳期中-7,2024 朝阳期中第7题（选择题）,2024 朝阳期中第7题（选择题）,推理,选择题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
17,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问（主观题）(下定义),2024 西城一模第19题第(2)问（主观题）(下定义),推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
18,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问（主观题）(概念外延关系),2024 西城一模第19题第(3)问（主观题）(概念外延关系),推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
19,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问（主观题）,2024 西城一模第19题第(5)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
20,Q-2025东城期末-13,2025 东城期末第13题（选择题）,2025 东城期末第13题（选择题）,推理,选择题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
21,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问（主观题）,2025 西城二模第16题第(2)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
22,Q-2025顺义一模-7,2025 顺义一模第7题（选择题）,2025 顺义一模第7题（选择题）,推理,选择题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,not_cross,absent,PASS,
23,Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问（主观题）,2026 丰台一模第18题第(2)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
24,Q-2026通州期末-19-2,2026 通州期末第19题第(2)问（主观题）,2026 通州期末第19题第(2)问（主观题）,推理,主观题,推理,,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,not_cross,absent,PASS,
25,Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问（主观题）,2024 朝阳二模第19题第(1)问（主观题）,交叉,主观题,推理,思维,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,pass,absent,PASS,
26,Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问（主观题）,2024 朝阳二模第19题第(2)问（主观题）,交叉,主观题,推理,思维,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,pass,absent,PASS,
27,Q-2024朝阳期中-9,2024 朝阳期中第9题（选择题）,2024 朝阳期中第9题（选择题）,交叉,选择题,推理,思维,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,pass,not_subjective,pass,absent,PASS,
28,Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问（主观题）,2026 顺义一模第19题第(1)问（主观题）,交叉,主观题,推理,思维,题型；逻辑形式；规则口诀；有效式或错误式；解题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,pass,absent,PASS,
29,Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问（主观题）,2026 顺义一模第19题第(2)问（主观题）,交叉,主观题,思维,推理,材料信号；可写思维/方法；为什么能想到；答题动作；答案落点；易错陷阱；同类题索引,,not_choice,pass,pass,absent,PASS,
