priority,question_id,visible_title,module,question_type,phase10_body_status,phase07_input_permission,ref_count,referenced_by_phase10_body_ids,repair_reason,source_locator,answer_locator,hold_reason,risk_note
P2_REPAIR_INDEX_CLUSTER,Q-2025海淀期末-2,2025 海淀期末第2题,思维,选择题,same_type_index_only,hold_answer_locator_risk,2,Q-2024朝阳一模-9；Q-2025海淀二模-20,already visible as same-type index; repair before deciding whether it deserves body treatment,source_015=015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx.txt lines 14-18 (题干+选项); paper answer key C=②③,answer_confirmed_C_from_paper_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,"①""扬弃""=辩证否定观（哲学与文化），是哲学诱惑项而非选必三；④立足成功经验开发更多形式，不构成明确思维方法，非答案"
P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-5,2026 通州期末第5题,思维,选择题,same_type_index_only,hold_answer_locator_risk,2,Q-2024朝阳一模-9；Q-2025海淀二模-20,already visible as same-type index; repair before deciding whether it deserves body treatment,006_通州期末试卷::Q5=C,answer_confirmed_C_from_006_paper,L3 paired_candidate must be upgraded before Opus packet,①党执政兴国主旨过宽;④政府主导基层治理与共建共治共享相悖
P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-8,2026 通州期末第8题,思维,选择题,same_type_index_only,hold_answer_locator_risk,2,Q-2024朝阳一模-9；Q-2025海淀二模-20,already visible as same-type index; repair before deciding whether it deserves body treatment,006试卷::Q8=D,answer_confirmed_D_from_006_paper,L3 paired_candidate must be upgraded before Opus packet,①情怀依赖参与者个人;②家国情怀核心源泉夸大
P2_REPAIR_INDEX_CLUSTER,Q-2026顺义一模-5,2026 顺义一模第5题,交叉,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2025丰台期末-8,already visible as same-type index; repair before deciding whether it deserves body treatment,001试卷Q5;002_细则.pptx答案表(Q5=D)由双线四线终极跑extraction恢复,answer_confirmed_D_from_002_alt_extraction,L3 paired_candidate must be upgraded before Opus packet,A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位
P2_REPAIR_INDEX_CLUSTER,Q-2026丰台一模-8,2026 丰台一模第8题,推理,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2025西城二模-16-2,already visible as same-type index; repair before deciding whether it deserves body treatment,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q8=C; 题干见page3文字（北京志愿者标识）,answer_confirmed_C_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,①¬P→¬Q（否定前件，无效）；④Q→P（肯定后件，无效）；③存在量词前提需确认P非空（全市性活动存在，前提满足）
P2_REPAIR_INDEX_CLUSTER,Q-2026朝阳期中-11,2026 朝阳期中第11题,推理,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2026丰台一模-18-2,already visible as same-type index; repair before deciding whether it deserves body treatment,003 lines 130-136; 003 lines 297-326,answer_confirmed_A_from_003 lines 130-136; 003 lines 297-326,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,B-choice-signal（paper answer table非formal rubric）；可入fusion，yes
P2_REPAIR_INDEX_CLUSTER,Q-2026朝阳期中-14,2026 朝阳期中第14题,推理,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2024朝阳期中-9,already visible as same-type index; repair before deciding whether it deserves body treatment,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 159-168; 答案表lines 297-326 Q14=B,answer_confirmed_B_from_paper_table,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,"②""求异法""表述不当（应为不完全归纳）；③""正确揭示本质规律""错（或然性≠必然）"
P3_REPAIR_THINKING_OR_CROSS_SOURCE,Q-2026东城一模-6,2026 东城一模第6题,交叉,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,thought/cross row absent from body; source-answer locator must be repaired first,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Page9参考答案表(题号6=D),answer_confirmed_D_from_046_paper,L3 paired_candidate must be upgraded before Opus packet,A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P
P3_REPAIR_THINKING_OR_CROSS_SOURCE,Q-2026朝阳期中-13,2026 朝阳期中第13题,交叉,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,thought/cross row absent from body; source-answer locator must be repaired first,003 lines 148-158; 003 lines 297-326,answer_confirmed_D_from_003 lines 148-158; 003 lines 297-326,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,②类比推理是推理部分（诱惑项非答案）；①哲学常识层面
P3_REPAIR_THINKING_OR_CROSS_SOURCE,Q-2026丰台一模-4,2026 丰台一模第4题,思维,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,thought/cross row absent from body; source-answer locator must be repaired first,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q4=A; 题干见page2文字,answer_confirmed_A_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,"④陷阱：古人营建在现代""最速降线""理论发现之前，④倒置时序；③""全新重构""错"
P3_REPAIR_THINKING_OR_CROSS_SOURCE,Q-2026丰台一模-7,2026 丰台一模第7题,思维,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,thought/cross row absent from body; source-answer locator must be repaired first,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q7=B; 题干见page2-3文字,answer_confirmed_B_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,"②""断定病症病因必然联系应运用充分条件假言推理""——错，必然联系是充要条件非单向充分条件；③""只有完全归纳才能确保结论无误""——临床不可能做完全归纳"
P3_REPAIR_THINKING_OR_CROSS_SOURCE,Q-2026顺义一模-6,2026 顺义一模第6题,思维,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,thought/cross row absent from body; source-answer locator must be repaired first,002细则.pptx答案表(Q6=A),answer_confirmed_A_from_002_alt_extraction,L3 paired_candidate must be upgraded before Opus packet,B界限不变绝对论错;C优势互补延伸认识边界过度;D具体操作路径错位
P4_RECHECK_SUBJECTIVE_REASONING_FORM,Q-2024朝阳期中-18,2024 朝阳期中第18题,推理,主观题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,"subjective row may carry teachable structure, but reasoning form must be rechecked before body use",paper:017@L224-232; rubric:018@L56-78,answer_confirmed_from_rubric_018,missing_reasoning=same_type_question_ids,楚王=以一例归纳全体;晏子=橘枳类比环境致变(均或然但晏子辩证驳论)
P4_RECHECK_SUBJECTIVE_REASONING_FORM,Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,推理,主观题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,"subjective row may carry teachable structure, but reasoning form must be rechecked before body use",paper:040@L240-251; rubric:040@L569-571(inline),answer_confirmed_from_rubric_040_inline,missing_reasoning=same_type_question_ids,误判断类型(写充分而非必要)0分;漏保真条件丢分
P4_RECHECK_SUBJECTIVE_REASONING_FORM,Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,推理,主观题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,"subjective row may carry teachable structure, but reasoning form must be rechecked before body use",paper:033@L43-45(via excerpt); rubric:034@L24-29,answer_confirmed_from_rubric_034,missing_reasoning=same_type_question_ids,误识别判断类型0分;误把相容当不相容选言扣分
P4_RECHECK_SUBJECTIVE_REASONING_FORM,Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,推理,主观题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,"subjective row may carry teachable structure, but reasoning form must be rechecked before body use",paper:044@L231-239; rubric:044@L352-353(inline),answer_confirmed_from_rubric_044_inline,missing_reasoning=same_type_question_ids,误识别判断/推理类型扣分;违反矛盾律辨析失误扣分
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025丰台期末-10,2025 丰台期末第10题,交叉,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,040试卷::Q10=B,answer_confirmed_B_from_040_paper,missing_reasoning=same_type_question_ids,②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位
P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳二模-6,2024 朝阳二模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,023_细则::Q6=C,answer_confirmed_C_from_023_rubric,missing_reasoning=same_type_question_ids,①商业航天与航天属种关系标定_选必三概念干扰;③以国家队为主底线思维表述错
P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳期中-11,2024 朝阳期中第11题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,020细则.rtf答案表(Q11=C),answer_confirmed_C_from_020_rubric,missing_reasoning=same_type_question_ids,"①性质判断非关系判断;④""我店里全是好茶+从来不卖变质茶""非违反矛盾律(其实违反同一律)"
P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳期中-8,2024 朝阳期中第8题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,020细则.rtf答案表(Q8=D),answer_confirmed_D_from_020_rubric,missing_reasoning=same_type_question_ids,①充分必要条件强化错;③否定原因推断错(必要条件能推否后但不能因果归因)
P5_RECHECK_CHOICE_REASONING_FORM,Q-2024海淀二模-6,2024 海淀二模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,028细则::Q6=C,answer_confirmed_C_from_028_rubric,missing_reasoning=same_type_question_ids,"A专项国债与特别国债同为国债下属_反对而非矛盾关系;B特别国债与超长期特别国债=属种关系而非种属;D换位""特别国债是助力经济增长的增量工具""换位为""有的助力经济增长的增量工具是特别国债""非全称"
P5_RECHECK_CHOICE_REASONING_FORM,Q-2024西城一模-13,2024 西城一模第13题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,025_Desktop_2024模拟题_西城一模_细则_细则.docx::Q13=B;026补充材料同B,answer_confirmed_B_from_025_rubric,missing_reasoning=same_type_question_ids,A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025东城期末-14,2025 东城期末第14题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,012试卷::故选D(Q14),answer_confirmed_D_from_012_paper,missing_reasoning=same_type_question_ids,"A中轴线与古代皇家宫苑建筑非属种(中轴线不被宫苑包含);B""位于""非传递关系(只在地理空间);C不是同一关系是属性反映"
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025东城期末-15,2025 东城期末第15题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,012试卷::故选B(Q15),answer_confirmed_B_from_012_paper,missing_reasoning=same_type_question_ids,A只有...才...是必要条件_未必假;C即使...也...独立条件_未必假;D李去李则赵去北大=后件为真不能推前件_未必假
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025丰台期末-9,2025 丰台期末第9题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::【答案】D;041细则::Q9=D详解链;queue自带=D详解,answer_confirmed_D_from_040_paper,missing_reasoning=same_type_question_ids,A联言→特定其他支谬误;B不相容选言谬误;C必要充分条件混淆
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025海淀期末-8,2025 海淀期末第8题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Table7_Q8=D,answer_confirmed_D_from_015_paper,missing_reasoning=same_type_question_ids,"A三段论中""小王饲养的狗""非""饲养动物""严格中项实际有效但结论已含;B中国与东亚_中国是东亚一部分但作为概念是种属关系成立(实际成立但答C选);C轻率概括违反归纳谨慎_应是""四概念""或属性混淆"
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025西城二模-7,2025 西城二模第7题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,038_Desktop_2025模拟题_2025各区二模_2025西城二模_细则_细则.docx::Q1-15表(7=C);039_GaokaoPolitics版同;037试卷::Q7,answer_confirmed_C_from_038_rubric,missing_reasoning=same_type_question_ids,①甲医生否定前件谬误;③甲医生演绎而非新结论;②求异法但非必然;④可信度甲>乙>丙合理
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025顺义一模-5,2025 顺义一模第5题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,036_顺义参考答案::Q5=B;034细则::Q5=B【详解】展开,answer_confirmed_B_from_036_rubric,missing_reasoning=same_type_question_ids,A非A且非B更极端非矛盾;C等价于A或B非矛盾;D只有...才...是必要条件非矛盾
P5_RECHECK_CHOICE_REASONING_FORM,Q-2025顺义一模-6,2025 顺义一模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,036顺义参考答案::Q6=C,answer_confirmed_C_from_036_rubric,missing_reasoning=same_type_question_ids,"①主项""政策工具""标错_主项实为""这个政策工具"";③划分""财政政策+公开市场业务+存款准备金+央行贷款""实为子部门混搭非划分标准不一"
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026东城期末-6,2026 东城期末第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,044试卷::Q6=B,answer_confirmed_B_from_044_paper,L3 paired_candidate must be upgraded before Opus packet,A只有纯净无辐射才有前景=纯净是必要前提_矛盾;B只有有前景才纯净=反向必要条件_可推出乌毛蕨纯净则有前景;C只是有些_不能必然推;D仅部分_不能必然推
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026东城期末-7,2026 东城期末第7题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,044试卷::Q7=A,answer_confirmed_A_from_044_paper,L3 paired_candidate must be upgraded before Opus packet,排除其他三项后A为唯一真假矛盾的组合
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026丰台一模-9,2026 丰台一模第9题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q9=D; 题干见page3文字（元宵节灯谜）,answer_confirmed_D_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,A全同关系错（元宵节猜灯谜 ⊂ 传统民俗活动，是属种非全同）；B属种关系错（灯谜与谜面谜目谜底是整体与部分）；C OCR残缺但分析为错
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026朝阳期中-12,2026 朝阳期中第12题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 137-147; 答案表lines 297-326 Q12=B,answer_confirmed_B_from_paper_table,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,A陷哲学知识诱惑（唯物/唯心两派是实质问题非逻辑测试点）；C分类标准不一（形式vs范围）；D仙人掌IS植物违反矛盾律
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026朝阳期中-15,2026 朝阳期中第15题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 169-175; 答案表lines 297-326 Q15=D,answer_confirmed_D_from_paper_table,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,A（小浩自相矛盾）错；B（否定关系判断）错；C（联言支不能并存）错
P5_RECHECK_CHOICE_REASONING_FORM,Q-2026顺义一模-4,2026 顺义一模第4题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,choice row needs reasoning-form or answer-location recheck before any expansion,002细则.pptx答案表(Q4=A),answer_confirmed_A_from_002_alt_extraction,L3 paired_candidate must be upgraded before Opus packet,"B决定性作用夸大政治错;C比喻""思想灯塔""非定义方法错;D完全归纳推理需穷尽全部对象_抗战规律不可能完全归纳"
