条目#,思维方法（章节）,题目（年份·区县·题号）,设问/题号/分值,分类·同题组·角度,阐释质量,优先级,处理状态,处理说明
55,辩证思维>量变与质变,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#33(动态性)同属细则第2组、择一得分。,好,中,patched,补海淀二模20同题组择一采分提醒。
56,辩证思维>量变与质变,2. 2025延庆一模 第18题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
57,辩证思维>适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
58,辩证思维>适度原则,2. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,差　通州AI题：万能套话，答案结构可与#63对调，未体现“适度原则”特性。,高,patched,重写通州AI适度原则，突出度、边界和节奏。
59,辩证思维>辩证否定,1. 2025海淀二模 第20题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
60,辩证思维>辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
61,辩证思维>辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
62,辩证思维>辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,⚠️ 设问漏标小问编号“（1）”及分值“（9分）”（同题组其余条目均已标注）。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
63,辩证思维>辩证否定,5. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,差　通州AI题：标准辩证否定句型，无本题材料填充，换任何利弊题可套。,高,patched,重写通州AI辩证否定，落到扬弃和材料问题。
64,辩证思维>认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
65,创新思维>特点与三新,1. 2025昌平二模 第19题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
66,创新思维>特点与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
67,创新思维>特点与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
68,创新思维>特点与三新,4. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,中　三新触发未从材料提取；套话可套任何“新技术+监管”题。,中,patched,三新触发改从虚拟数字人直播材料提取。
69,创新思维>特点与三新,5. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　一次列举联想/发散/超前三法，未与材料具体对应，建议泛化。,中,patched,把联想、发散、超前分别对应中医药材料。
70,创新思维>特点与三新,6. 2026丰台二模 第21题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
71,创新思维>特点与三新,7. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,✅ 合理,差　创新/逆向思维定义拼凑复述，除“AI”外无本题材料痕迹。,高,patched,重写西城二模AI创新意识，去掉定义拼凑和逆向混入。
72,创新思维>特点与三新,8. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
73,创新思维>特点与三新,9. 2025石景山一模 第19题（主观题）,✅ 一致,✅ 合理,中　落点只是重复题意换说法，未揭示思维方法层面机制。,中,patched,补生活经验转化为公共方案的创新机制。
74,创新思维>联想思维,1. 2025海淀期末 第18题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
75,创新思维>联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
76,创新思维>联想思维,3. 2026朝阳一模 第17题第（1）问后半（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
77,创新思维>联想思维,4. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
78,创新思维>联想思维,5. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,中　与#83(发散聚合)内容高度重叠，两法区分理由未说清。,中,patched,区分联想与发散聚合。
79,创新思维>联想思维,6. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,中　联想与发散混用无区分；迁移对象模糊，通用套话。,中,patched,删去联想条目中的发散混写，明确迁移对象。
80,创新思维>发散思维与聚合思维,1. 2026东城一模 第19题第（4）问（主观题）,✅ 一致,⚠️ 同题漏角度：2026东城一模19(4)细则另含“超前思维”角度，本条(发散聚合)未覆盖。,好,中,patched,补东城一模19(4)超前角度提醒并新增条目。
81,创新思维>发散思维与聚合思维,2. 2025东城期末 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
82,创新思维>发散思维与聚合思维,3. 2026丰台二模 第21题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
83,创新思维>发散思维与聚合思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
84,创新思维>发散思维与聚合思维,5. 2026海淀一模 第17题（建议部分）（主观题）,✅ 一致,✅ 合理,中　触发动作未从材料提取；聚合落点空洞(未说明聚焦到什么核心)。,中,patched,补发散来源和聚合核心。
85,创新思维>发散思维与聚合思维,6. 2024丰台一模 第19题第（2）问（主观题）,✅ 一致,⚠️(高) 分类误导：设问要求“科学思维知识”，细则明写“写超前/发散/联想思维不得分，须写具体方法”；本条归入“创新思维>发散聚合”易误导学生直接写发散思维(0分)。建议改以#7为主归类并加警示注。,中　理由部分为发散聚合定义复述，未结合垃圾分类标识具体情境。,高,removed,从发散聚合正例中移出，防止学生误写发散/联想/超前作为具体方法。
86,创新思维>发散思维与聚合思维,7. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
87,创新思维>发散思维与聚合思维,8. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
88,创新思维>逆向思维,1. 2025房山一模 第16题第（3）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
89,创新思维>逆向思维,2. 2025昌平二模 第19题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
90,创新思维>逆向思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
91,创新思维>超前思维,1. 2024西城一模 第19题第（5）问（主观题）,⚠️ 设问漏标小问编号“（5）”。,✅ 合理,差　把“矛盾分析法”错嵌入超前思维答点(知识点错位)；触发为万能套话。,高,patched,补小问编号，删除超前条目中误嵌的矛盾分析法。
92,创新思维>超前思维,2. 2024东城一模 第18题第（3）问（主观题）,✅ 一致,✅ 合理,中　超前思维落点仅贴标签，未展开具体“预判了什么”。,中,patched,展开超前思维具体预判对象。
93,创新思维>超前思维,3. 2026顺义二模 第21题（主观题）,⚠️ 设问漏标分值“（10分）”。,⚠️ 2026顺义二模21为综合开放题，超前思维仅为可选角度之一，宜加注。,好,中,patched,补顺义二模21综合开放题提醒。
94,创新思维>超前思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,中　“了解优势→预测趋势→转变理念”可套任何城市转型题。,中,patched,朝阳期中21(2)超前表达材料化。
95,创新思维>超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,⚠️ 设问漏标分值“（6分）”。,⚠️ 同大题第(1)问为形式逻辑(4分)，本条未作姊妹篇标注/互注。,好,中,patched,补海淀期末20(1)形式逻辑姊妹线提醒。
96,创新思维>超前思维,6. 2025东城期末 第18题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”及分值“（4分）”（同题#81已标全）。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
97,创新思维>超前思维,7. 2025海淀期末 第18题（主观题）,✅ 一致,❌ 角度无官方依据：2025海淀期末18题官方参考答案仅列“逆向思维+联想思维”，“超前思维”不在答案内。建议删改或注明“官方答案未列此点”。,差　超前思维落点空洞贴标签，且官方答案未列此角度(见分类列)。,高,removed,超前思维无官方答案依据，移出超前正例；另按覆盖表补逆向思维角度。
98,创新思维>超前思维,8. 2024朝阳期中 第19题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
99,创新思维>超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”。,✅ 合理,中　把“矛盾分析法”归入超前思维答点，知识点边界错位。,中,patched,删除超前条目中误嵌的矛盾分析法。
100,创新思维>超前思维,10. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
101,创新思维>超前思维,11. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
102,创新思维>超前思维,12. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,⚠️ 与#18高度重复：同一采分点(2024丰台二模18(2))。,好,中,patched,补与#18同题同采分点提醒。
103,创新思维>超前思维,13. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,中　触发未说明“为何超前而非系统思维”，落点通用。,中,patched,说明为什么是超前而非单纯系统思维。
104,创新思维>超前思维,14. 2026东城二模 第18题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
105,创新思维>超前思维,15. 2026西城一模 第16题（综合题讲评复练题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
106,创新思维>超前思维,16. 2024各区一模分类汇编·房山未来产业题（讲评复练迁移题）,✅ 一致,✅ 合理,差　关键词罗列无推理，超前思维通用框架堆砌，与本题材料脱节。,高,patched,重写房山未来产业超前思维，补推理链。
