suite,question_no,evidence_level,terms,source_kinds,note
2026东城二模,17,rubric_term_hit,部分,rubric_or_marking,邀请人员：党员代表、社区工作者、法律顾问、儿童代表（居民代表）、物 业管理人员、街道办事处相关工作人员、专业设计、施工人员等。 写出一个1 分，两个2 分。 注意：不能是组织名称，例如社区党委； 不能是同一性质内的重复主体 抄材料“家长代表、退休居民、上班族、一楼住户”不给分 （2 ）第一个建议2 分+ 理论1 分+ 现实意义1 分 第二个建议1 分+ 理论1 分+ 现实意义1 分 注意：建议要具体可操作，可以针对材料提出的问题 理由部分包括理论（知识表述）+ 现实意义（分析、桥梁） 理由要与建议匹配，如果建议不合理，理由不给分或少给分 两个建议要不同性质、不同主体、或有其他较为明显区分 [page 3] 例： 建议1 ：充分考虑相邻权利人合法权益，吸纳各方合理意见。 理由：保障居民知情权、参与权、表达权、监督权，凝聚共识推进科学民主决策，依法协调相邻权益 与公共利益。 建议2 ：通过社区公告栏醒目张贴、微信群推送等方式公示改造方案，广泛征求居民意见，全方位、 全程监督。 理由：保障居民知情权、监督权，使改造过程合法有序。 建议3
2026东城二模,19,term_hit_needs_review,发展,paper,共享花园”改造，居委会组织筹备专题议事协商会。运用《政治与法治》知识，说明议事协商会还需邀请哪些人员参加，同时就共享花园改造提出两条合理建议，并说明理由。 18．（6分）体检是通过检测人体生理指标、预判健康风险的常规方式，核心是“提前预判、主动干预”，以实现高效健康管理。如今，这种体检思维不断延伸。 明者图之于未萌，智者虑之于未有。体检思维在多个领域的运用，体现了一种治理智慧。 体检思维从人体健康领域延伸到治理领域，运用了哪种推理类型？结合材料，运用《逻辑与思维》知识，谈谈在治理领域运用这种推理的价值。 19．（8分）法治是最好的营商环境。大健康产业蓬勃发展，需要企业规范深耕。 甲公司开拓新领域，打造“中药＋餐饮＋健康检测”一站式新型养生空间。为加速项目落地，甲公司开启对外招商，锁定乙、丙两家公司作为候选合作伙伴。 乙公司为在竞争中胜出，捏造事实向甲公司项目负责人张某暗示丙公司的管理能力、产品质量低下。张某信以为真，在未经查证的情况下，违规直接与乙公司签订承包合同。后乙公司进场施工，因管理混乱导致项目严重延期。甲公司因此遭受重大经济损失。 结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。 20．（18分）“中国服务”“购在中国”“投资中国”……一张张名片，勾勒出生机勃勃、开放包容的中国形象。某
2026东城二模,20,term_hit_needs_review,发展,paper,间。为加速项目落地，甲公司开启对外招商，锁定乙、丙两家公司作为候选合作伙伴。 乙公司为在竞争中胜出，捏造事实向甲公司项目负责人张某暗示丙公司的管理能力、产品质量低下。张某信以为真，在未经查证的情况下，违规直接与乙公司签订承包合同。后乙公司进场施工，因管理混乱导致项目严重延期。甲公司因此遭受重大经济损失。 结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。 20．（18分）“中国服务”“购在中国”“投资中国”……一张张名片，勾勒出生机勃勃、开放包容的中国形象。某班同学围绕这三大品牌，开展探究性学习活动。 材料一 材料二 多措并举促进服务消费高质量发展：设立专项基金，加大对软件和信息技术等生产性服务业支持力度，加大对住宿餐饮、文娱、教育等重点领域信贷支持；创新“旅游+”“体育+”“演艺+”等融合消费场景，开展服务消费季、中华美食荟等主题活动；强化跨部门联合监管，加强家政等领域的信用体系建设，完善服务消费领域标准。 （1）概括材料一反映的经济信息。（4分） （2）运用《经济与社会》知识，说明材料二中的举措如何促进服务消费高质量发展。（7分） 材料三 我国持续打造“购在中国”品牌，丰富国货潮品、中华老字号供给，优化入境消费服务，出台离境退税政策，推动购物、旅游、展演等业态融合。2025年，全国口岸出
2026东城二模,21,rubric_term_hit,发展 | 整体 | 系统 | 部分,paper | rubric_or_marking,为什么→怎么办 “ 五篇大文章”是构建中国特色现代金融体系、推进金融强国建 设的关键举措，也是金融赋能中国式现代化的关键路径。 金融是国民经济的血脉，通过科技金融支持创新、绿色金融推动 转型、普惠与养老金融保障民生，是政府发挥经济职能、运用系统思 维推动高质量发展的必然要求。有利于政府精准施策支持重点领域， 提升金融服务实体经济的质效。有利于聚焦民生需求，让金融发展成 果惠及全体人民。 推进“五篇大文章”应坚持党的集中统一领导，为金融发展锚定 正确方向，确保金融政策与国家战略同频共振；应统筹“五篇大文 章”的协同发展，以整体思维推进金融体系现代化，为中国式现代化 筑牢金融根基。 [page 4] 思路3 ：强调微观精准→强调中观结构→强调宏观目标 “ 五篇大文章” 以差异化金融供给精准回应市场主体与群众需 求，践行以人民为中心的发展思想。科技、数字金融破解科创企业 融资难题，普惠金融纾困小微企业稳就业，养老金融回应居民养老 诉求，让金融服务精准触达民生末梢。 政府以系统观念统筹金融资源，履行经济职能，推动科技、数 字、绿色、普惠、养老金融协同发力，促进产业升级、绿色转型与 民生保障协同共进，为中国特色现代金融体系高质量发展筑牢金融 支撑。
2026东城二模,unknown,rubric_term_hit,发展 | 改革 | 联系 | 认识 | 部分,other | paper | rubric_or_marking,：推理类型写出或然推理酌情给1分） [page 4] 【备考启示】 回归教材“类比推理的价值” ：教材原生的术语 选必三教材59 页导语： 学会运用类比推理，叩问创新思维之门； 选必三教材66-67 页正文 ： 类比推理在科学技术创新中具有前锋的作用。历史上，许多科学发现和技术发明都是从类比推理开始的。科学技 术人员通过类比推理，开启思路，提出解决问题的设想。 在日常论证说理中，类比推理可以帮助我们创新性地解决他人思想上的困惑，纠正他人认识中的错误。 类比推理在帮助人们获取新知识方面，都具有自身的价值。 选必三教材117 页相关链接： 定性预测是对事物发展状况的直观估计和评价，比如采取历史类比推测相关时间的走势等。 AI表述: 类比推理的价值主要体现在其在‌创造性思维、科学发现、技术发明、法律适用与日常说理‌等多个领域的独特作用。 尽管其结论具有‌或然性‌（即不一定为真），但正因这种灵活性，它能突破演绎推理的严格限制，激发新思路。 [page 5] 多一些“体检思维” 【现象】 前不久，北京市财政局印发《北京市市级支出政策财政绩效评价管理办法》，建立常态化“政策 体检”机制。指标怎么定？有政策实施相关性、效率性、效果性和可持续性四个维度。检什么？ 现行政策和期满拟延续政策全部纳入评价范围，相近相似政
2026丰台二模,1,rubric_explicit,哲学 | 哲学与文化 | 实践 | 意识 | 整体 | 矛盾 | 系统 | 联系 | 部分,rubric_or_marking,水平4 （7-8） | 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 （4-6） | 观点比较明确，能表达自己的见解；能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 （1-3） | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1（0） | 应答与试题无关；或重复试题内容；或没有应答 紧扣“守护湿地”展开。回应两个层次，一是对应“生态之美”；二是对应“文化根脉”。 1、一共采3个点。3个点8分，2个点6分，1个点3分。上升到7-8分的水平4，需要哲学与文化双模块回应，要求逻辑清晰，理论与材料要匹配 2、原理不准确该条不给原理分，材料结合不具体不充分，酌情扣1分 3、通篇罗列知识没有结合材料，每个原理给1分，最多不超过3分 4、抄材料0-2分 5、典型的不给分的答案：选必3（科学、辩证、创新思维等） 二、变通答案 [slide 5] 学生结合论述的区别度（哲学）： 1分，仅知识表达，无材料结合论述 3分，知识准确，论证有效 三、典型示例 [slide 6] 学生结合论述的区别度（文化）：3分 文化层次论证清晰，表达有效 [slide 7] 学生结合论述的区别度（文化）： 3分，文化层次论证清
2026丰台二模,2,rubric_explicit,主要矛盾 | 主观能动性 | 发展 | 哲学 | 哲学角度 | 实践 | 意识 | 矛盾 | 系统 | 规律 | 部分,rubric_or_marking,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx status: pptx-text chars: 12813 ```text [slide 1] 2026丰台区二模主观题阅卷说明 ——思想政治 [slide 2] 文化角度： 1、审美意蕴 2、和合共生、天人合一等传统的生态智慧 哲学角度： 1、矛盾特殊性/具体问题具体分析 传承好湿地保护的中国传统智慧 维持生态系统的稳定和平衡 怎么想和 怎么做层次 4、正确价值观的导向作用（侧重生态价值观） 2、尊重规律与主观能动性相结合 3、联系观点/系统优化 回应路径： 治理思路和实践路径 对守护生态和守护文化根脉的作用 一、试题分析 [slide 3] 角度 | 每点3分（知识+材料论述+回扣设问） | 角度 | 每点3分（知识+材料论述+回扣设问） 哲学 | 价值观的导向作用/价值判断与价值选择（天人合一、顺应自然、人与自然和谐共生的思想观念等） 客观规律与发挥主观能动性相结合
2026丰台二模,3,rubric_explicit,两点论 | 主要矛盾 | 主观能动性 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学角度 | 唯物辩证法 | 实践 | 意识 | 物质 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 辩证法 | 部分 | 重点论,rubric_or_marking,战略，开辟发展新领域新赛道，不断塑造发展新动能新优势。 从历史维度来看，关键核心技术“要不来、买不来、讨不来”，缺乏关键核心技术就会落后于人，唯有依靠独立自主、自立更生，才能提升国家综合实力与核心竞争力。 从实践维度看，科技自立自强是推动中国式现代化的重要支撑。要坚持系统思维、辩证思维，完善新型举国体制，发挥集中力量办大事的制度优势。完整准确全面贯彻新发展理念，以科技创新引领产业发展，推进高质量发展与高水平安全。 [slide 64] 拓展答案： 政治角度：党的领导、制度优势（集中力量办大事）、创新驱动发展、创新是引领发展的第一动力 哲学角度：主要矛盾、系统观念（系统优化）、联系、创新、生产力 现代化角度：中国式现代化、高质量发展、新质生产力、教育科技人才 国际与安全：国际竞争实质、关键核心技术自主可控、国家安全 逻辑学：超前思维 [slide 65] 水平四：9分 三、典型示例 [slide 66] 水平三：5分 没有清晰的阐释高水平科技自立自强与现代化强国的关系，主要指向如何推动科技创新 [slide 67] 1.存在空白卷，书写潦草，反映出学生作答时间分配不合理，速度慢、完卷率低。 2.部分学生有按照“是—为—怎”作答的意识，但作答无分段，逻辑混乱，堆砌知识，不成体
2026丰台二模,4,rubric_term_hit,价值观 | 发展 | 哲学 | 意识 | 系统 | 部分,rubric_or_marking,义，有利于弘扬社会主义核心价值观 [slide 31] 8分 三、典型示例 [slide 32] 8分 三、典型示例 [slide 33] 1.答案未指向问题，答案不聚焦，按照某类主观题模板机械化作答，从司法机关的权力到案件的法理依据写到现实意义，并非辩证思考回答法律的规范作用与道德的教化层面。 2.分辨不清过错推定与无过错责任，同样是动物（动物园动物伤人与家庭饲养动物的侵权案件的区分） 3.学生答题逻辑不清晰，思维跳脱，一个观点反复阐述，不能进行有层次的思考与论证，法治与德治的统一可以呈现但并未结合材料展开详细表述。 4.模块错误，少部分作答写的哲学模块/政治与法治 5.字迹潦草根本看不清 四、学生问题及建议 [slide 34] 1.梳理答案逻辑，培养学生如何理解设问指向，找到材料对应知识逻辑，培养解题策略。 针对学生易出现“背了知识但不会用”的问题，需以案例为范本，引导学生拆解情境中的法律事实，对应教材中的侵权责任、纠纷解决方式等知识点，做到理论与实践相结合。 2.典型案件意义类、辨析类，不同侵权责任的、违约责任的区分，相邻关系、劳动关系等题型的系统训练与梳理，引导学生规范作答，不要所有题型照搬统一模板。 3.书写工整，有少数答案完全看不清字迹。 四、学生问题及建议 [slide
2026丰台二模,5,rubric_term_hit,发展 | 哲学 | 认识,rubric_or_marking,乏逻辑，条理性差 水平1（0） | 应答与试题无关；或重复试题内容；或没有应答 紧扣“守护湿地”展开。回应两个层次，一是对应“生态之美”；二是对应“文化根脉”。 1、一共采3个点。3个点8分，2个点6分，1个点3分。上升到7-8分的水平4，需要哲学与文化双模块回应，要求逻辑清晰，理论与材料要匹配 2、原理不准确该条不给原理分，材料结合不具体不充分，酌情扣1分 3、通篇罗列知识没有结合材料，每个原理给1分，最多不超过3分 4、抄材料0-2分 5、典型的不给分的答案：选必3（科学、辩证、创新思维等） 二、变通答案 [slide 5] 学生结合论述的区别度（哲学）： 1分，仅知识表达，无材料结合论述 3分，知识准确，论证有效 三、典型示例 [slide 6] 学生结合论述的区别度（文化）：3分 文化层次论证清晰，表达有效 [slide 7] 学生结合论述的区别度（文化）： 3分，文化层次论证清晰，表达有效 2分，未具体阐明清楚湿地背后承载的生态智慧 [slide 8] 通篇罗列知识为主，材料结合仅1、2句带过 典型错误1 [slide 9] 理例结合分析不够 典型错误2 4分 [slide 10] 优秀作答 逻辑完整，路径清晰 [slide 11] 优秀作答 8分 [slide 12] 1、引
2026丰台二模,16,rubric_explicit,价值观 | 发展 | 哲学 | 哲学与文化 | 联系,answer | rubric_or_marking,秀作答 逻辑完整，路径清晰 [slide 11] 优秀作答 8分 [slide 12] 1、引导学生审读设问和材料逻辑，紧扣问题回应。 2、训练哲学原理的精准化表达，理论结合分析，加强材料关键信息的提取能力。 3、提醒区分哲学方法论与选必3模块思维方法的表达。 四、学生问题及建议 [slide 13] （2022·北京·高考真题） 16. （6分）今天，很多创作已不在纸上进行。然而，打印出来的文字，很难像手稿那样展现作者的笔底波澜。手稿是时间的证物，也是文化的传递，一些手稿还兼具学术价值和收藏价值。即使在数字时代，手稿依然有生命力。 运用《哲学与文化》知识，谈谈你对“手稿依然有生命力”的理解。 五、复练试题 [slide 14] 一、试题分析 设问逻辑 谁（主体）+做了什么（做法）+效果（破解超大城市治理难题） [slide 15] 参考答案： 17.（8 分） 北京在坚持多措并举破解超大城市治理难题的过程中，坚持党的领导、人民当家作主和依法治国的有机统一。发挥党总揽全局、协调各方的领导核心作用，为北京城市治理提供根本政治保证。坚持以人民为中心，依托12345热线和“每月一题”机制，回应民生诉求。坚持以法治思维和法治方式推进城市治理，完善法律体系，严格规范执法，促进全民守法。善用绣
2026丰台二模,18,rubric_term_hit,价值观 | 矛盾,answer | rubric_or_marking,鼓励未成年人参加爱国主义教育活动，厚植爱国主义情怀。检察机关积极履行法律监督职责，价格主管部门严格执法，推动爱国主义教育基地依法对未成年人免费开放，维护了社会公共利益和未成年人合法权益，推动了法治政府建设，增强了全社会的法治意识。各方形成法治合力，共同推进爱国主义教育。 [slide 28] 一、试题分析 [slide 29] 18.（8分） 该案的成功调解坚持了法治与德治相结合的原则。（1分）该案以法理定分止争，依据《民法典》，确定李某应承担无过错侵权责任，依法维护张某的合法权益。（3分） 同时，引入《生态环境法典》的核心原则和立法理念，将矛盾化解与生态修复同步推进，彰显法律的刚性；充分考虑双方当事人的实际情况，以“分期赔偿+生态修复”的方案促成当事人互谅互让，传递司法的温暖力量，有利于弘扬社会主义核心价值观。（3+1分） 第一层：案件本身（司法机关坚持公正司法or以事实为根据，以法律为准绳 ——依据《民法典》和引入《生态环境法典》） 第二层：保护生态环境（法的规范<刚性>+德的教化<温暖> 指向——法德共同作用、相得益彰<个人利益与生态利益><情理法相统一>） 第三层：促进公平正义，有利于弘扬社会主义核心价值观 二、变通答案 [slide 3
