suite,year,phase,question_no,module_judgment,evidence_level,base_status,proposed_framework_node,decision,terms,source_kinds,patch_term_hit,note
2026顺义一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要方面 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 实践 | 意识 | 整体 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 质变 | 部分,other | rubric_or_marking,yes,\2026年顺义一模 细则.pptx status: pptx-text chars: 4227 ```text [slide 1] 2026年顺义一模考试题 1 | 2 | 3 | 4 | 5 B | C | C | A | D 6 | 7 | 8 | 9 | 10 A | D | A | B | B 11 | 12 | 13 | 14 | 15 D | B | C | D | C [slide 2] 分值 | 标准 | 层次 | 可选知识 5-6分 （2×3） 观点清晰 知行合一 | 及时发现—从客观事实层面—源头防范 | 量质变、适度原则、矛盾转化等 防止扩散（硬约束、他律）—从行为/实 践层面防范 — 制度、治理 | 联系观、系统优化等 防止扩散（软约束、自律）—思想道德素养提升—认识层面防止从众加剧破坏 | 文化功能、价值观的导向作用等 7-8分 逻辑清晰 | 能看出防范-治理，软约束和硬治理，如果能看出各段之间有衔接最优。 补充：强调方法论；不抠知识，重视学生的思维品质。 16题 [slide 3] 17、阅卷细则： （总）首都都市圈建设从编制规划到实施，彰显了我国中国特色社会主义制度的显著优势。 党的领导（总揽全局、协调各方）—— 2分---根本政治保证/中国
2024东城一模,2024,一模,4,philosophy_term_candidate,rubric_term_hit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,两点论 | 发展 | 改革 | 整体 | 矛盾 | 系统 | 规律 | 部分,rubric_or_marking,yes,条件在全面建设社会主义现代化国家中是如何发挥作用。 示例：中国共产党的领导是中国特色社会主义制度的最大优势，中国共产党总揽全局、协调各方，发挥新型举国体制优势，集中人力、物力、财力，攻克重大科研项目，推动技术攻关和经济发展的强大合力，推进社会主义现代化国家建设。 [slide 70] 【试题分析】 逻辑思路：起点---路径----效果（分总维度） [slide 71] （1）通勤圈角度 政府---公共服务/基础设施---资源要素流动---共享发展／资源优化配置 坚持以人民为中心---促进三地人流物流/资源要素流动---资源优化配置 （2）功能圈 主次矛盾／两点论／整体部分等----结合材料意思---区域协调 （3）产业圈 创新发展/绿色发展/发展新兴产业---三地优势互补／发挥比较优势---促进产业升级／现化产业体系 （4）三圈总说 立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等 （每一层2分，满分7分） 细则： [slide 72] 示例： 坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展； 坚持系统优化的方法，既疏解非首都
2024石景山一模,2024,一模,7,philosophy_term_candidate,answer_support_only,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,weak_hit_review_or_exclude,主要矛盾 | 矛盾,answer,yes,和种子成活率。这种技术 ①运用了联想思维，通过迁移搭建由此及彼的桥梁 ②运用了类比推理，模仿地上植物移植的技术方法 ③运用了超前思维，用发展眼光构想事物发展趋势 ④运用了发散思维，以寻求解决问题的多样性答案 A．①② B．①③ C．②④ D．③④ 7．概念的外延是指具有概念所反映的本质属性的事物的范围，人们经常用图来表示概念外延之间的关系（见下图）。对此，下列说法正确的是 ①图甲，可以用来描述财产权和物权的关系 ②图乙，可以用来描述国体和政体的关系 ③图丙，如果Q 是社会主要矛盾，S 是生产力，P 是生产关系 ④图丁，如果Q 是领土，S 可以是领陆，P 可以是领空 A．①③ B. ①④ C．②③ D．②④ 《未成年人网络保护条例》（以下简称《条例》）经国务院第15 次常务会议通过，自2024 年1 月1 日起施行。回答第8、9 题。 8. 《条例》是中国第一部专门性未成年人网络保护综合立法，重点就规范网络信息内容、保护个人信息、防治网络沉迷等作出规定。其出台历经7 年讨论、两次公开征求意见，这期间不同学科、不同领域的专家进行了多轮讨论、修改与完善。《条例》的出台
2025房山一模,2025,一模,1,philosophy_term_candidate,rubric_term_hit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要矛盾 | 发展 | 改革 | 矛盾 | 认识,paper | rubric_or_marking,yes,共享的治理格局(共商机制/召开70 余次协商会/群策群力……)、 民主协商1 分 角度四：公民角度 /社会角度 1 分 公众自觉保护河流/全民守法 上述点都满的基础上，逻辑分加1 分 18.（15 分） （1）（7 分） 该省政府在创新、绿色的新发展理念的指导下，实施科学的宏观调控，通过财政补贴、税收优惠等 扶持智慧农业；同时充分发挥市场在资源配置中的决定性作用，企业敏锐捕捉农业市场需求，打通 生产与交换环节，利用大数据等先进技术提高农业生产效率，降低成本，提升质量，促进了产业结 构优化升级，助推农业高质量发展。 细则： 1.新发展理念（创新、绿色）的指导 1 分 2.政府经济职能(实施科学的宏观调控，通过财政补贴、税收优惠等扶持智慧农业)；1 分 3.充分发挥市场在资源配置中的决定性作用（替代有效市场和有为政府相结合）1 分 4.企业敏锐捕捉农业市场需求，打通生产与交换环节（替代 深化供给侧结构性改革/生产智能化/ 优化产品结构/ 生产创造需求，需求牵引供给）1 分 利用大数据等先进技术提高农业生产效率，降低成本，1 分 提升质量，促进了产业结构优化升级1 分，助推农业高质量发展（替代 农业新质生产力 1 分）（2） [page 3] （8 分） 可从技术共享促
2025朝阳一模,2025,一模,17,philosophy_term_candidate,rubric_term_hit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主流 | 部分,paper | rubric_or_marking,yes,要让人工智能拥有智能载体，还需要具备其他更多条件。1分 此推理违反了相应逻辑规则。  能力要求 分析角度 学生学习 （病象病状病况）（病因：以象求因）（药方1：以因求治） 教师教学 （病因：以象求因）（药方2：以因求方）  ①审析材料： 分层获取解读 翻译替换 问题和原因 翻译材料能力较弱 解读不清晰   改进措施 继续加强材料分析能力 梳理材料逻辑  ②审辨设问： 翻译替换 范围主体角度 结合材料分值 问题和原因 大多数能够说出推理的类型，但前件后件间的关系及推理的有效形式论述不准确，匹配不准确。审题不准，部分同学误判推理类型 答题不全 审题不准   改进措施 加强训练，规范答题的规范性 加强审题训练。  ③运用知识： 模板套路运用 术语准确 问题和原因 知识混乱，概念不清晰，术语不准确 不能准确辨析推理类型，有答成类比推理、归纳推理的。 不能准确辨析演绎推理中的分类，有答演绎推理中的三段论，换位推理。 术语运用不准，有写充分条件联言判断，还有的答成选言充分条件推理。 3.不明晰充分条件和必要条件的区别和意义，不知道谁是谁的必要条件，谁是谁的充分条件。 4.答题出现毫无关联内容，如创新思维，辩证思维，物质意识的辩证关系。 知识不清
2025海淀一模,2025,一模,21,philosophy_candidate,question_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要矛盾 | 发展 | 实践 | 改革 | 整体 | 次要矛盾 | 矛盾 | 系统 | 联系 | 规律 | 辩证法 | 部分,other | paper,yes,是法治建设的目标，法治政府是法治建设的主体，法治 社会是法治建设的基础。全面推进依法治国，要坚持依法治国、依法执政、依法行政共同推进，坚 持法治国家、法治政府、法治社会一体建设。 [page 8] 8 推进中国式现代化是一个系统工程 推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理顶层设计 与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列 重大关系。 [page 9] 9 完整、准确、全面坚持新发展理念，必须坚持系统观念 新发展理念的提出，是对辩证法的运用；新发展理念的实施，离不开辩证法的指导。要坚持系 统的观点，依照新发展理念的整体性和关联性进行系统设计，做到相互促进、齐头并进，不能单打 独斗、顾此失彼，不能偏执一方、畸轻畸重。 [page 10] 10 ```
2026东城一模,2026,一模,unknown,philosophy_term_candidate,rubric_term_hit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主流 | 主要方面 | 人民群众 | 价值观 | 发展 | 哲学 | 实践 | 意识 | 整体 | 次要方面 | 真理 | 矛盾 | 社会意识 | 系统 | 规律 | 认识 | 部分,other | paper | rubric_or_marking,yes,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf status: pdf-text chars: 8251 ```text [page 1] 第1页/共10页 2026 北京东城高三一模 政 治 2026.4 本试卷共10 页，共100 分。考试时长90 分钟。考生务必将答案答在答题卡上，在试卷上作 答无效。考试结束后，将本试卷和答题卡一并交回。 第一部分选择题 本部分共15 题，每题3 分，共45 分。在每题列出的四个选项中，选出最符合题目要求的一 项。 1．2025 年，面对复杂严峻的国内外环境，我国经济交出“六字”亮眼成绩单，展现强劲韧性与活力。 对这份成绩单的看法正确的有 ①在党的全面领导下，制度优势转化为经济治理效能 ②以生产关系的根本改变夯实粮食安全和产业优化的基础 ③只有一切从实际出发，实事求是，才能持续向新向优 ④破解发展中的难题与挑战始终是我们的奋斗目标 A．①② B．①③ C．②④ D．③④ 2．北京隆福寺街区老字号餐饮、文创产品、新式饮品深受年轻群体青
2026丰台一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,两点论 | 主流 | 主观能动性 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 支流 | 整体 | 矛盾 | 联系 | 规律 | 辩证否定 | 部分 | 重点论,other | rubric_or_marking,yes,path: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\26 丰台一模政治(1).pptx status: pptx-text chars: 9910 ```text [slide 1] 丰台区2025-2026学年度 第二学期第一次练习 ——主观题阅卷说明 [slide 2] 一、试题分析 知识板块：哲学与文化 能力板块：解释与论证 [slide 3] 二、评分细则 哲学： （1）坚持矛盾的观点，用全面、辩证的眼光看问题。矛盾具有普遍性，人工智能既作为新科技革命的成果，为人类文明进步注入强劲动能，同时也带来了风险与隐忧。这要求我们坚持一分为二的观点，既要看到AI的积极作用，又要正视其带来的挑战。 或者进一步阐述：坚持两点论与重点论的统一。AI的积极作用是主流，风险与隐忧是支流。我们要抓住主流，充分利用AI技术促进发展，同时不能忽视支流，需加强规范引导。 （2）坚持联系的观点，立足整体，统筹部分。人工智能的发展与社会生活、文化传承、民生福
2026朝阳一模,2026,一模,3,philosophy_term_candidate,rubric_term_hit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要矛盾 | 价值观 | 发展 | 哲学 | 矛盾 | 联系 | 辩证否定,paper | rubric_or_marking,yes,用 B. 古朴呈现出自然的格调，表明意识可以指导人们改造世界 C. 深厚古朴的书法风格的形成需要超时空把握感性而非理性 D. 高古表现为形式简淡、时间悠远、精神孤高，这不可能成为现实 3. 非遗变脸与机械武术同台演绎，自制旋转木马讲解力学原理，机器人乐队、科普实验轮番亮相⋯⋯某地 以春节科普活动为契机，实现“科普+文化”“科普+非遗”相融合，让观众在感受年味的同时，轻松读懂 传统文化背后的科学密码。这体现出（ ） ①春节成为全民科学素养提升的主阵地和文化传播的新平台 ②科普让科学精神融入日常生活，让文化自信浸润中华大地 ③只有抓住主要矛盾，才能实现民族文化与外来文化的交融 ④坚持辩证否定，可以使传统文化在科技赋能下焕发新的光彩 A. ①③ B. ①④ C. ②③ D. ②④ [page 2] 第2页/共13页 4. 2026 年是中非开启外交关系70 周年，也是“中非人文交流年”。中非双方以人文交流年为契机，开展 文化丝路交流月、文明对话大会、“中国电影节”等活动，推动中非青年、媒体、旅游等多领域交流。 “中非人文交流年”系列活动的开展（ ） ①将会推动中非文明交流互鉴，促进中非人民心相通、力相聚 ②需要各国青年既要尊重本民族文化，又要认同外来民族文化
2026西城一模,2026,一模,7,philosophy_term_candidate,term_hit_needs_review,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,weak_hit_review_or_exclude,主要方面 | 发展 | 实践 | 矛盾,paper,yes,．应立足龙头企业这一关键部分，更好推动创新应用产业化发展 B．在推动产品不断迭代升级中，实现新事物与旧事物的相互转化 C．要善于把握寓于共性中的个性，推动技术从单一领域向众多行业辐射 D．通过建立多样的联系形式，满足多元需求，促进价值转化 7．“手搓”原指手工劳作，现指个人或小型团队不依赖专业生产线、庞大资金和复杂团队，凭借个人巧思与手工，辅以AI、开源社区等工具，将创意转化为实际产品的创新形式。它让每个普通人都能更简单、更自由地把想法变成现实。关于“手搓创新”，下列理解正确的是 ① “手搓”升级是科技进步的缩影，反映了实践的社会历史性 ② 独特的创意是矛盾的主要方面，决定着手搓创新能否转化为现实产品 ③ 科技进步让市场主体能够不依赖社会分工而独自完成创新实践 ④ 科技发展满足个性化创意需求，体现了科技为人的价值取向 A．①② B．①④ C．②③ D．③④ 8．如图所示，某地依托资源禀赋深耕特色产业，以“企业+合作社+农户”组织模式，探索出“464”收益分配机制。从卖原料到卖产品、卖品牌，成为该领域全球最大生产基地。 其成功在于 ① 企业返利给合作社，可以确保原料品质与供应稳定，降低市场风险 ② 集体留存增强了村集体的服务和治理能力，实现强村与富民的良性循环
2026顺义一模,2026,一模,unknown,philosophy_candidate,rubric_explicit,base_no_local_match,TO_BE_PLACED_BY_SOURCE_REVIEW,possible_omission_needs_source_review,主要方面 | 人民群众 | 价值判断 | 价值观 | 价值选择 | 发展 | 哲学 | 哲学与文化 | 实践 | 意识 | 整体 | 矛盾 | 系统 | 联系 | 规律 | 认识 | 质变 | 部分,other | rubric_or_marking,yes,\2026年顺义一模 细则.pptx status: pptx-text chars: 4227 ```text [slide 1] 2026年顺义一模考试题 1 | 2 | 3 | 4 | 5 B | C | C | A | D 6 | 7 | 8 | 9 | 10 A | D | A | B | B 11 | 12 | 13 | 14 | 15 D | B | C | D | C [slide 2] 分值 | 标准 | 层次 | 可选知识 5-6分 （2×3） 观点清晰 知行合一 | 及时发现—从客观事实层面—源头防范 | 量质变、适度原则、矛盾转化等 防止扩散（硬约束、他律）—从行为/实 践层面防范 — 制度、治理 | 联系观、系统优化等 防止扩散（软约束、自律）—思想道德素养提升—认识层面防止从众加剧破坏 | 文化功能、价值观的导向作用等 7-8分 逻辑清晰 | 能看出防范-治理，软约束和硬治理，如果能看出各段之间有衔接最优。 补充：强调方法论；不抠知识，重视学生的思维品质。 16题 [slide 3] 17、阅卷细则： （总）首都都市圈建设从编制规划到实施，彰显了我国中国特色社会主义制度的显著优势。 党的领导（总揽全局、协调各方）—— 2分---根本政治保证/中国
