"Name","FullName","Mode","Length","LastWriteTime"
"desktop.ini","C:\Users\Administrator\Desktop\desktop.ini","-a-hs-","282","2025/12/6 14:01:55"
"fix_xuanbiyi_docx_toc_fonts.py","C:\Users\Administrator\Desktop\fix_xuanbiyi_docx_toc_fonts.py","-a----","16649","2026/6/3 21:59:08"
"render_pdf_for_visual_qa.py","C:\Users\Administrator\Desktop\render_pdf_for_visual_qa.py","-a----","3927","2026/6/3 22:03:59"
"revise_xuanbiyi_6_2.py","C:\Users\Administrator\Desktop\revise_xuanbiyi_6_2.py","-a----","9585","2026/6/3 22:38:24"
"search_xuanbiyi_6_2_pdf.py","C:\Users\Administrator\Desktop\search_xuanbiyi_6_2_pdf.py","-a----","628","2026/6/3 22:48:16"
"verify_xuanbiyi_6_2.py","C:\Users\Administrator\Desktop\verify_xuanbiyi_6_2.py","-a----","3918","2026/6/3 22:43:10"
"verify_xuanbiyi_docx_fix.py","C:\Users\Administrator\Desktop\verify_xuanbiyi_docx_fix.py","-a----","6751","2026/6/3 21:59:28"
"xby1_original_word_test.docx","C:\Users\Administrator\Desktop\xby1_original_word_test.docx","-a----","472474","2026/6/3 21:15:58"
"海淀一模Q17调查问卷.png","C:\Users\Administrator\Desktop\海淀一模Q17调查问卷.png","-a----","305482","2026/6/4 15:14:25"
"选必一6.1终极版_Claude美化最终版_学生版_带水印_20260603.docx","C:\Users\Administrator\Desktop\选必一6.1终极版_Claude美化最终版_学生版_带水印_20260603.docx","-a----","472474","2026/6/3 21:15:58"
"选必一6.1终极版_审核报告_20260603.docx","C:\Users\Administrator\Desktop\选必一6.1终极版_审核报告_20260603.docx","-a----","40894","2026/6/3 22:28:09"
"选必一6.2修订版_20260603.pdf","C:\Users\Administrator\Desktop\选必一6.2修订版_20260603.pdf","-a----","6529861","2026/6/3 22:45:29"
"选必一6.2修订版_20260603_改动日志.txt","C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_改动日志.txt","-a----","137574","2026/6/3 22:39:36"
"选必一6.2修订版_20260603_最终核验.json","C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_最终核验.json","-a----","155931","2026/6/3 22:43:44"
"选必一6.2修订版_20260603_核验报告.json","C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_核验报告.json","-a----","167527","2026/6/3 22:39:36"
"选必一_答案全量核验报告_20260603.docx","C:\Users\Administrator\Desktop\选必一_答案全量核验报告_20260603.docx","-a----","39318","2026/6/3 23:37:30"
"选必一宝典-飞哥正志讲堂.docx","C:\Users\Administrator\Desktop\选必一宝典-飞哥正志讲堂.docx","-a----","570368","2026/6/4 0:44:12"
"选必一宝典-飞哥正志讲堂.pdf","C:\Users\Administrator\Desktop\选必一宝典-飞哥正志讲堂.pdf","-a----","5785714","2026/6/4 0:46:03"
"选必三思维宝典_三性审核报告_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_三性审核报告_20260604.docx","-a----","21317","2026/6/4 2:56:37"
"选必三思维宝典_二审复核报告_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_二审复核报告_20260604.docx","-a----","16702","2026/6/4 14:04:39"
"选必三思维宝典_终审多智能体核验报告_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终审多智能体核验报告_20260604.docx","-a----","315824","2026/6/4 15:14:25"
"选必三思维宝典_终极版_20260531.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531.docx","-a----","80642","2026/6/4 1:16:27"
"选必三思维宝典_终极版_20260531_审核修订20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604.docx","-a----","79524","2026/6/4 2:39:28"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_20260604.docx","-a----","84534","2026/6/4 3:10:37"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604.docx","-a----","86555","2026/6/4 3:47:35"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604.docx","-a----","86915","2026/6/4 12:50:26"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604.docx","-a----","86936","2026/6/4 12:51:21"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604.docx","-a----","86869","2026/6/4 12:51:58"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604.docx","-a----","88445","2026/6/4 13:02:11"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604.docx","-a----","88509","2026/6/4 13:03:33"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604.docx","-a----","89070","2026/6/4 13:13:57"
"选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604_xichengYimoQ16_support_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604_xichengYimoQ16_support_20260604.docx","-a----","89809","2026/6/4 13:35:12"
"选必三思维宝典_终极版_二审修订_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_二审修订_20260604.docx","-a----","91115","2026/6/4 14:18:59"
"选必三思维宝典_终极版_终审修订_20260604.docx","C:\Users\Administrator\Desktop\选必三思维宝典_终极版_终审修订_20260604.docx","-a----","405980","2026/6/4 15:41:18"
"选必三推理宝典_精简版.docx","C:\Users\Administrator\Desktop\选必三推理宝典_精简版.docx","-a----","107087","2026/6/6 18:01:58"
"选必三推理宝典_精简版.pdf","C:\Users\Administrator\Desktop\选必三推理宝典_精简版.pdf","-a----","1345426","2026/6/6 18:01:58"
"选必二法律_宝典评审修订清单_0606.md","C:\Users\Administrator\Desktop\选必二法律_宝典评审修订清单_0606.md","-a----","7715","2026/6/6 2:31:35"
"选必二法律_现行框架总览_0606.docx","C:\Users\Administrator\Desktop\选必二法律_现行框架总览_0606.docx","-a----","39056","2026/6/6 1:30:52"
"选必二法律_现行框架总览_0606.pdf","C:\Users\Administrator\Desktop\选必二法律_现行框架总览_0606.pdf","-a----","100538","2026/6/6 1:30:52"
"选必二法律_现行框架总览_B定稿_0606.docx","C:\Users\Administrator\Desktop\选必二法律_现行框架总览_B定稿_0606.docx","-a----","39054","2026/6/6 1:48:07"
"选必二法律_现行框架总览_B定稿_0606.pdf","C:\Users\Administrator\Desktop\选必二法律_现行框架总览_B定稿_0606.pdf","-a----","97309","2026/6/6 1:48:07"
"选必二法律_逐题回测归位矩阵_0606.xlsx","C:\Users\Administrator\Desktop\选必二法律_逐题回测归位矩阵_0606.xlsx","-a----","24841","2026/6/6 1:25:09"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v36.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v36.docx","-a----","763135","2026/6/5 22:33:37"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v37.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v37.docx","-a----","6879805","2026/6/5 22:59:18"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v38.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v38.docx","-a----","6918928","2026/6/5 23:02:12"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v39.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v39.docx","-a----","6914021","2026/6/5 23:06:27"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v40.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v40.docx","-a----","6914025","2026/6/5 23:07:42"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v41.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v41.docx","-a----","6914025","2026/6/5 23:11:16"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v42.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v42.docx","-a----","6914025","2026/6/5 23:17:45"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v43.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v43.docx","-a----","6914666","2026/6/5 23:19:02"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v44.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v44.docx","-a----","6914543","2026/6/5 23:20:28"
"选必二法律与生活_AB双轴学生宝典_学生可发版_v45.docx","C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v45.docx","-a----","6914306","2026/6/5 23:21:23"
"选必二法律与生活_A类十主题厚版工作稿_20260604.docx","C:\Users\Administrator\Desktop\选必二法律与生活_A类十主题厚版工作稿_20260604.docx","-a----","144263","2026/6/4 14:47:36"
"选必二法律与生活_A类十主题学生宝典工作稿_20260604.docx","C:\Users\Administrator\Desktop\选必二法律与生活_A类十主题学生宝典工作稿_20260604.docx","-a----","160958","2026/6/4 16:05:27"
"选必二法律与生活_主观题与细则_全量汇编.docx","C:\Users\Administrator\Desktop\选必二法律与生活_主观题与细则_全量汇编.docx","-a----","130630","2026/6/4 3:26:34"
"选必二法律与生活_主观题答题宝典_学生重排版_20260604.docx","C:\Users\Administrator\Desktop\选必二法律与生活_主观题答题宝典_学生重排版_20260604.docx","-a----","57478","2026/6/4 14:09:46"
"选必二法律与生活_主观题细则宝典_学生版_20260604.docx","C:\Users\Administrator\Desktop\选必二法律与生活_主观题细则宝典_学生版_20260604.docx","-a----","107177","2026/6/4 4:33:04"
"选必二法律与生活_习题汇编_2024-2026.docx","C:\Users\Administrator\Desktop\选必二法律与生活_习题汇编_2024-2026.docx","-a----","106470","2026/6/4 0:23:55"
"选必二法律与生活_法律宝典_v13_0_双轴版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_法律宝典_v13_0_双轴版.docx","-a----","70165","2026/5/23 14:10:50"
"选必二法律与生活_法律宝典_v14_5_最终Markdown候选版.md","C:\Users\Administrator\Desktop\选必二法律与生活_法律宝典_v14_5_最终Markdown候选版.md","-a----","189916","2026/5/25 0:32:43"
"选必二法律与生活_满分宝典_B案完整版_0606.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_B案完整版_0606.docx","-a----","108438","2026/6/6 1:58:01"
"选必二法律与生活_满分宝典_B案完整版_0606.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_B案完整版_0606.pdf","-a----","1152313","2026/6/6 1:58:01"
"选必二法律与生活_满分宝典_v2_0606.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v2_0606.docx","-a----","118577","2026/6/6 3:36:35"
"选必二法律与生活_满分宝典_v2_0606.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v2_0606.pdf","-a----","1448954","2026/6/6 3:36:35"
"选必二法律与生活_满分宝典_v3_0606_精简校准版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v3_0606_精简校准版.docx","-a----","123641","2026/6/6 3:45:19"
"选必二法律与生活_满分宝典_v3_0606_精简校准版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v3_0606_精简校准版.pdf","-a----","1709263","2026/6/6 3:46:21"
"选必二法律与生活_满分宝典_v4_0606_精简截图校准版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.docx","-a----","6850907","2026/6/6 3:49:29"
"选必二法律与生活_满分宝典_v4_0606_精简截图校准版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.pdf","-a----","7736958","2026/6/6 3:50:24"
"选必二法律与生活_满分宝典_v5_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v5_0606_A轴细则版.docx","-a----","6840997","2026/6/6 4:04:09"
"选必二法律与生活_满分宝典_v5_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v5_0606_A轴细则版.pdf","-a----","7621853","2026/6/6 4:04:56"
"选必二法律与生活_满分宝典_v6_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v6_0606_A轴细则版.docx","-a----","6825574","2026/6/6 5:23:40"
"选必二法律与生活_满分宝典_v6_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v6_0606_A轴细则版.pdf","-a----","7392779","2026/6/6 5:24:58"
"选必二法律与生活_满分宝典_v7_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v7_0606_A轴细则版.docx","-a----","7135969","2026/6/6 12:03:22"
"选必二法律与生活_满分宝典_v7_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v7_0606_A轴细则版.pdf","-a----","7670678","2026/6/6 12:03:30"
"选必二法律与生活_满分宝典_v8_0606_新框架版.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.docx","-a----","7139501","2026/6/6 16:22:14"
"选必二法律与生活_满分宝典_v8_0606_新框架版.md","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.md","-a----","163639","2026/6/6 16:22:14"
"选必二法律与生活_满分宝典_v8_0606_新框架版.pdf","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.pdf","-a----","7716078","2026/6/6 16:22:39"
"选必二法律与生活_满分宝典_飞哥框架版_0606.docx","C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_飞哥框架版_0606.docx","-a----","58941","2026/6/6 1:00:57"
"选必二法律与生活_试题细则汇编_学生可发版_v36.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v36.docx","-a----","754240","2026/6/5 22:33:36"
"选必二法律与生活_试题细则汇编_学生可发版_v37.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v37.docx","-a----","6863446","2026/6/5 22:59:17"
"选必二法律与生活_试题细则汇编_学生可发版_v38.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v38.docx","-a----","6867884","2026/6/5 23:02:11"
"选必二法律与生活_试题细则汇编_学生可发版_v39.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v39.docx","-a----","6862396","2026/6/5 23:06:25"
"选必二法律与生活_试题细则汇编_学生可发版_v40.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v40.docx","-a----","6862404","2026/6/5 23:07:41"
"选必二法律与生活_试题细则汇编_学生可发版_v41.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v41.docx","-a----","6862432","2026/6/5 23:11:15"
"选必二法律与生活_试题细则汇编_学生可发版_v42.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v42.docx","-a----","6862432","2026/6/5 23:17:44"
"选必二法律与生活_试题细则汇编_学生可发版_v43.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v43.docx","-a----","6863002","2026/6/5 23:19:00"
"选必二法律与生活_试题细则汇编_学生可发版_v44.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v44.docx","-a----","6862980","2026/6/5 23:20:26"
"选必二法律与生活_试题细则汇编_学生可发版_v45.docx","C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v45.docx","-a----","6862795","2026/6/5 23:21:21"
"选必二满分宝典_v4_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\选必二满分宝典_v4_三路审核包_20260606.zip","-a----","13479909","2026/6/6 3:56:17"
"选必二满分宝典_v5_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\选必二满分宝典_v5_三路审核包_20260606.zip","-a----","13461153","2026/6/6 4:06:59"
"选必二满分宝典_v6_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\选必二满分宝典_v6_三路审核包_20260606.zip","-a----","50739098","2026/6/6 7:12:28"
"选必二满分宝典_v7_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\选必二满分宝典_v7_三路审核包_20260606.zip","-a----","70431285","2026/6/6 12:05:55"
