"Source","Destination","Reason","IsDirectory"
"C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_改动日志.txt","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.2修订版_20260603_改动日志.txt","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_最终核验.json","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.2修订版_20260603_最终核验.json","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一6.2修订版_20260603_核验报告.json","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.2修订版_20260603_核验报告.json","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一_答案全量核验报告_20260603.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一_答案全量核验报告_20260603.docx","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一宝典-飞哥正志讲堂.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一宝典-飞哥正志讲堂.docx","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一宝典-飞哥正志讲堂.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一宝典-飞哥正志讲堂.pdf","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_三性审核报告_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_三性审核报告_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_二审复核报告_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_二审复核报告_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终审多智能体核验报告_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终审多智能体核验报告_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604_xichengYimoQ16_support_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_20260531_审核修订20260604_cowork_patch_fengtaiQ20_20260604_mentougouQ20_support_20260604_titlefix_20260604_studentboundary_20260604_dongchengQ18_20260604_termnote_20260604_xichengQ21_support_20260604_xichengYimoQ16_support_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_二审修订_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_二审修订_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三思维宝典_终极版_终审修订_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三思维宝典_终极版_终审修订_20260604.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三推理宝典_精简版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三推理宝典_精简版.docx","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必三推理宝典_精简版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\选必三推理宝典_精简版.pdf","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\选必二法律_宝典评审修订清单_0606.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_宝典评审修订清单_0606.md","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律_现行框架总览_0606.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_现行框架总览_0606.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律_现行框架总览_0606.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_现行框架总览_0606.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律_现行框架总览_B定稿_0606.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_现行框架总览_B定稿_0606.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律_现行框架总览_B定稿_0606.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_现行框架总览_B定稿_0606.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律_逐题回测归位矩阵_0606.xlsx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律_逐题回测归位矩阵_0606.xlsx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v36.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v36.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v37.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v37.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v38.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v38.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v39.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v39.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v40.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v40.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v41.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v41.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v42.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v42.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v43.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v43.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v44.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v44.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_AB双轴学生宝典_学生可发版_v45.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_AB双轴学生宝典_学生可发版_v45.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_A类十主题厚版工作稿_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_A类十主题厚版工作稿_20260604.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_A类十主题学生宝典工作稿_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_A类十主题学生宝典工作稿_20260604.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_主观题与细则_全量汇编.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_主观题与细则_全量汇编.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_主观题答题宝典_学生重排版_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_主观题答题宝典_学生重排版_20260604.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_主观题细则宝典_学生版_20260604.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_主观题细则宝典_学生版_20260604.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_习题汇编_2024-2026.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_习题汇编_2024-2026.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_法律宝典_v13_0_双轴版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_法律宝典_v13_0_双轴版.docx","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_法律宝典_v14_5_最终Markdown候选版.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\选必二法律与生活_法律宝典_v14_5_最终Markdown候选版.md","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_B案完整版_0606.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_B案完整版_0606.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_B案完整版_0606.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_B案完整版_0606.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v2_0606.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v2_0606.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v2_0606.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v2_0606.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v3_0606_精简校准版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v3_0606_精简校准版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v3_0606_精简校准版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v3_0606_精简校准版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v4_0606_精简截图校准版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v5_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v5_0606_A轴细则版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v5_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v5_0606_A轴细则版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v6_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v6_0606_A轴细则版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v6_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v6_0606_A轴细则版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v7_0606_A轴细则版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v7_0606_A轴细则版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v7_0606_A轴细则版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v7_0606_A轴细则版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v8_0606_新框架版.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v8_0606_新框架版.md","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_v8_0606_新框架版.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_v8_0606_新框架版.pdf","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_满分宝典_飞哥框架版_0606.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\选必二法律与生活_满分宝典_飞哥框架版_0606.docx","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v36.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v36.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v37.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v37.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v38.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v38.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v39.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v39.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v40.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v40.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v41.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v41.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v42.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v42.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v43.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v43.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v44.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v44.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二法律与生活_试题细则汇编_学生可发版_v45.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\版本迭代_v36_v45\选必二法律与生活_试题细则汇编_学生可发版_v45.docx","选必二版本迭代","False"
"C:\Users\Administrator\Desktop\选必二满分宝典_v4_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v4_三路审核包_20260606.zip","选必二三路审核包压缩包","False"
"C:\Users\Administrator\Desktop\选必二满分宝典_v5_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v5_三路审核包_20260606.zip","选必二三路审核包压缩包","False"
"C:\Users\Administrator\Desktop\选必二满分宝典_v6_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v6_三路审核包_20260606.zip","选必二三路审核包压缩包","False"
"C:\Users\Administrator\Desktop\选必二满分宝典_v7_三路审核包_20260606.zip","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v7_三路审核包_20260606.zip","选必二三路审核包压缩包","False"
