question_id,source_label,evidence_level,student_category,reliability,minimum_sentence_1,minimum_sentence_2,minimum_sentence_3,do_not_write,memorization_status,audit_category,title_with_id,visual_guard,duplicate_or_crossref
CC0157_2025_朝阳_期末_20,2025 朝阳 期末 第20题,formal,设问或题面需要教师再核对的题,设问需核对,以变换 IP、伪造浏览器标识等手段抓取并商业使用他人数据产品，损害数据权益和消费者利益，构成不正当竞争。,不正当抓取数据破坏市场竞争秩序，违背商业道德和诚实信用原则，应停止侵害、消除影响并赔偿损失。,旅游项目中工作人员过度摇晃造成游客受伤，经营者未尽安全保障义务，应承担赔偿责任。,不要把数据产品直接写成普通著作权；本题抓反不正当竞争。,表格题最低词可背。,source_check_pending,2025 朝阳 期末 第20题（CC0157_2025_朝阳_期末_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0162_2025_海淀_一模_18,2025 海淀 一模 第18题,reference_only,普通答案练习题,普通答案练习,小黄与主题乐园签订的年卡格式合同意思表示真实，条款符合公平原则，合同有效。,小黄利用审查漏洞转售年卡福利牟利，违反合同约定，违背诚信原则。,主题乐园可依约解除合同或撤销年卡权益；判决保护经营者合法权益，维护公平市场环境。,不要一看到格式条款就判无效；要看是否公平、是否限制主要权利。,练思路，不作正式细则模板。,reference_only_locked,2025 海淀 一模 第18题（CC0162_2025_海淀_一模_18）,【醒目红线｜REFERENCE-ONLY】只有普通参考答案，不得支撑核心框架节点，不得当正式细则满分题。,
CC0180_2025_海淀_期末_20,2025 海淀 期末 第20题,formal,设问或题面需要教师再核对的题,设问需核对,生产者产品责任属于无过错侵权责任，缺陷产品造成损害时，不以生产者有过错为前提。,禁止饲养的烈性犬等危险动物造成他人损害，饲养人或管理人承担最严格的无过错责任。,这些规则既维护消费者和受害人权益，也强化生产者、动物饲养管理人的责任意识。,不要把烈性犬写成过错推定；通篇不出现无过错责任很难满分。,可作低频侵权责任保分卡。,source_check_pending,2025 海淀 期末 第20题（CC0180_2025_海淀_期末_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0189_2025_石景山_一模_20,2025 石景山 一模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,研发合同中一方超期且未提交符合约定功能的成果，构成违约，应返还费用并承担违约责任。,软件领域通过不正当手段获取或使用他人成果，可能构成不正当竞争。,依法追究违约和不正当竞争责任，有利于公平竞争、市场活力和创新环境，护航新质生产力。,不要只写新质生产力；先分别写合同违约和不正当竞争。,可作双案例保分卡。,source_check_pending,2025 石景山 一模 第20题（CC0189_2025_石景山_一模_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0195_2025_西城_一模_20,2025 西城 一模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,工会搭建协商平台，劳动者以集体力量与用人单位签订集体合同，有利于协商一致、平等自愿和公平。,集体合同能更好保护劳动者合法权益，特别是低薪劳动者体面劳动和分配公平。,它也促进企业依法规范用工、构建和谐劳动关系、激发劳动积极性并提高生产效率。,不要只站劳动者一边；本题要写公平和效率两条线。,可作劳动关系意义题保分卡。,source_check_pending,2025 西城 一模 第20题（CC0195_2025_西城_一模_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0213_2025_门头沟_一模_20,2025 门头沟 一模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,孙某隐瞒多段工作经历，违反诚实信用原则，也损害用人单位知情权。,甲公司在真实意思受影响的情况下签订劳动合同，依法解除劳动关系并无不妥。,裁判维护用人单位合法权益，约束劳动者行为，促进诚信和谐劳动关系。,不要只写保护劳动者；本题结论是驳回孙某诉讼请求。,可作裁判要点表格卡。,source_check_pending,2025 门头沟 一模 第20题（CC0213_2025_门头沟_一模_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0214_2025_门头沟_一模_20_2,2025 门头沟 一模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,订立劳动合同应遵循诚实信用原则，或者以欺诈手段订立的劳动合同无效或部分无效。,孙某不如实提供工作经历，违反诚信原则和职业道德，影响甲公司真实意思表示。,甲公司依法解除劳动关系，行为无过错。,不要写成公司违法解除；裁判理由要按法律依据、事实分析、结论三步。,可作小问保分卡。,source_check_pending,2025 门头沟 一模 第20题（CC0214_2025_门头沟_一模_20_2）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0245_2026_东城_期末_18_2,2026 东城 期末 第18题,formal,设问或题面需要教师再核对的题,设问需核对,陈某要选择合适维权路径，可通过调解、仲裁或诉讼解决争议；材料已经协商未果时，不要再只写协商。,要依法收集并固定证据，包括交易合同、邮件转账记录、无人机故障、受伤事实和经济损失等证据。,还要明确权利义务和合理诉求，区分违约责任与侵权责任，提出退费、医疗费、误工费、损失赔偿等请求。,不要写上诉、行政诉讼；不要只罗列证据，要归纳成证据类型和请求。,可作维权步骤保分卡。,source_check_pending,2026 东城 期末 第18题（CC0245_2026_东城_期末_18_2）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,crossref_to_core_CC0244
CC0251_2026_丰台_一模_20,2026 丰台 一模 第20题,formal,设问或题面需要教师再核对的题,设问需核对,公共场所经营者、管理者因过错造成他人损害时才承担侵权责任。,本案证据表明现场不存在影响通行的客观因素，原告是完全民事行为能力人，摔倒主要因自身未尽注意义务。,判决明确安全保障义务的合理边界，平衡双方权利义务，倡导自我负责的安全意识。,不要一看到摔倒就判商场全责；本题关键是过错和合理限度。,可作安全保障边界卡。,source_check_pending,2026 丰台 一模 第20题（CC0251_2026_丰台_一模_20）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0254_2026_丰台_二模_18,2026 丰台 二模 第18题,formal,低频规则题,可训练,成功调解体现法治与德治相结合。,从法治看，依据民法典确定动物侵权无过错责任，依法维护受害人财产权益，并引入生态修复要求。,从德治看，结合双方实际，用分期赔偿和生态修复促成互谅互让，体现司法温度和社会主义核心价值观。,不要只写温情调解；必须写无过错责任和生态修复。,可作低频法德结合卡。,low_frequency_container,2026 丰台 二模 第18题（CC0254_2026_丰台_二模_18）,LOW-FREQUENCY: trainable but not high-frequency trunk.,
CC0276_2026_房山_二模_17,2026 房山 二模 第17题,formal,综合边界题,综合边界,完善涉外法律法规体系，为平等保护中外当事人合法权益提供法律依据。,创新涉外司法实践，坚持公正司法，提升司法公信力并平等保护当事人权益。,建设调解、仲裁、诉讼衔接的平台，并创新诉讼调解，有利于高效实现公平正义、弘扬以和为贵。,不要写成国际政治大作文；选必二部分只抓法律体系、司法、纠纷解决。,只背综合边界最低句，不当纯法律满分模板。,boundary_open_container,2026 房山 二模 第17题（CC0276_2026_房山_二模_17）,【醒目红线｜BOUNDARY】本卡只覆盖《法律与生活》可写层，不覆盖整题全部模块。,
CC0277_2026_房山_二模_18,2026 房山 二模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,数字员工生成虚假负面文章，可能构成商业诋毁，也可能侵害名誉权。,上传核心代码到公共 AI 平台可能泄露商业秘密；直接商用 AI 图案可能侵犯著作权或外观设计。,应履行审核义务、依法经营、完善保密措施，并与平台签订保密协议。,不要把第二问哲学内容混进法律答案；法律小问只写风险和措施。,可作 AI 合规风险卡。,source_check_pending,2026 房山 二模 第18题（CC0277_2026_房山_二模_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0283_2026_朝阳_一模_18,2026 朝阳 一模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,法院通过第三方调解高效化解知识产权纠纷，降低诉讼成本，减少对创新的干扰。,对故意侵权适用惩罚性赔偿，提高侵权成本，维护创新主体权益和公平竞争秩序。,依法规制恶意诉讼和权利滥用，营造诚信守法、稳定可预期的创新法治环境。,不要只写保护知识产权；要分调解、惩罚、规制三个司法手段。,可作创新护航意义卡。,source_check_pending,2026 朝阳 一模 第18题（CC0283_2026_朝阳_一模_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0289_2026_朝阳_二模_18,2026 朝阳 二模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,先准确补出法律术语：生命权、身体权、健康权，举证责任倒置，相邻关系。,依法保护权利时，要写民法典保护人格权益和不动产相邻权利。,民事主体不得侵害他人人格权益，应按有利生产、方便生活、团结互助、公平合理原则处理相邻关系；权利受侵害时可请求停止侵害、排除妨碍、赔礼道歉或赔偿损失。,不要只写维权途径；本题先要补准术语，再写依据、做法、救济。,可作权利保护通用小卡。,source_check_pending,2026 朝阳 二模 第18题（CC0289_2026_朝阳_二模_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0311_2026_海淀_二模_18_2,2026 海淀 二模 第18题,reference_only,普通答案练习题,普通答案练习,知识产权中的财产权是企业重要无形资产，可质押融资，拓宽融资渠道、缓解资金压力。,知识产权可以作价出资，有利于技术要素转化为资本，鼓励创业创新。,对职务发明创造的发明人给予奖励和报酬，能尊重创新主体权益，激发企业内部创新动力。,不要误写成知识产权侵权案；本题是融资、出资、奖励报酬的制度作用。,练思路，不作正式细则模板。,reference_only_locked,2026 海淀 二模 第18题（CC0311_2026_海淀_二模_18_2）,【醒目红线｜REFERENCE-ONLY】只有普通参考答案，不得支撑核心框架节点，不得当正式细则满分题。,
CC0317_2026_海淀_期末_18,2026 海淀 期末 第18题,formal,设问或题面需要教师再核对的题,设问需核对,该条款由住房租赁企业预先拟定、重复使用，订立时未与承租方协商，属于格式条款。,提供格式条款一方应遵循公平原则确定双方权利义务。,条款限制承租方合同期满后自由订立合同的权利，损害承租方利益，应认定无效。,不要只说格式条款无效；要写为什么不公平、限制了什么权利。,可作格式条款保分卡。,source_check_pending,2026 海淀 期末 第18题（CC0317_2026_海淀_期末_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0318_2026_海淀_期末_18_2,2026 海淀 期末 第18题,formal,设问或题面需要教师再核对的题,设问需核对,政府部门提供合同示范文本，有利于规范合同内容、防止格式条款滥用、保护租赁双方权益。,示范文本能减少合同纠纷，引导市场主体依法依规从事民事活动，弘扬诚信价值。,明确政府法定职责，推动政府依法履行市场监管职能，促进良法善治。,不要只写政府监管；要先写合同示范文本如何保护民事权益。,可作合同治理意义卡。,source_check_pending,2026 海淀 期末 第18题（CC0318_2026_海淀_期末_18_2）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0319_2026_海淀_期末_19,2026 海淀 期末 第19题,formal,设问或题面需要教师再核对的题,设问需核对,郑某利用技术手段为用户提供不正当抢票优势，破坏平台购票规则，干扰平台售票业务。,该行为损害甲公司信誉和合法权益，也损害其他消费者合法权益，构成不正当竞争。,这种行为违背商业道德和社会主义核心价值观，扰乱市场竞争秩序，应承担侵权责任。,不要只说方便消费者；少数人便利不能盖过平台规则和整体消费者利益。,可作平台秩序保分卡。,source_check_pending,2026 海淀 期末 第19题（CC0319_2026_海淀_期末_19）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0325_2026_石景山_一模_18,2026 石景山 一模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,行政诉讼核心是审查行政机关行政行为是否合法，行政机关通常承担证明其行政行为合法的责任。,民事诉讼一般实行谁主张谁举证，主张损害事实和因果关系的一方要举证。,建筑物坠落等特殊侵权中，建筑物使用人需要证明自己没有过错，体现过错推定和举证责任倒置。,不要所有案件都套谁主张谁举证；先判断诉讼类型和特殊侵权规则。,可作证据题保分卡。,source_check_pending,2026 石景山 一模 第18题（CC0325_2026_石景山_一模_18）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0332_2026_石景山_二模_19,2026 石景山 二模 第19题,formal,低频规则题,可训练,从惩的角度，校园欺凌侵害未成年人生命权、身体权、健康权或财产权，明确处罚标准能更有力保护学生权益。,从教的角度，父母有约束、引导、批评教育和合理惩戒未成年子女的义务。,惩教闭环能促使执法机关、家庭和学校协同治理，既体现法律威严，也帮助未成年人树立法治观念、回归正途。,不要只喊反校园欺凌；要把惩和教分开写。,可作低频未成年人保护卡。,low_frequency_container,2026 石景山 二模 第19题（CC0332_2026_石景山_二模_19）,【提示｜LOW-FREQUENCY】低频规则题，可训练，但不抬为高频满分母题；进 PDF 时必须用浅色角标/边框保留，防止学生把它当成高频核心模板。,
CC0340_2026_西城_一模_17,2026 西城 一模 第17题,formal,低频规则题,可训练,民法典物权编贯彻绿色原则，为绿色发展提供法律依据和保障。,相关规定通过划定权利界限、强化法定义务、明确法律责任和救济方式来减少环境损害。,这些规定有利于平衡个人利益与生态公共利益，促进资源开发利用绿色转型和可持续发展。,不要只写保护环境；要写权利界限、义务、责任、救济。,可作绿色物权保分卡。,low_frequency_container,2026 西城 一模 第17题（CC0340_2026_西城_一模_17）,LOW-FREQUENCY: trainable but not high-frequency trunk.,
CC0353_2026_西城_期末_17,2026 西城 期末 第17题,reference_only,普通答案练习题,普通答案练习,B 公司行为违反反不正当竞争法和未成年人保护相关规定。,该行为损害 T 公司合法权益、市场竞争秩序，也危害未成年人保护机制，应承担侵权责任。,法院判决以事实为依据、以法律为准绳，维护市场竞争秩序和未成年人合法权益。,不要只写未成年人保护；还要写不正当竞争和市场秩序。,练思路，不作正式细则模板。,reference_only_locked,2026 西城 期末 第17题（CC0353_2026_西城_期末_17）,【醒目红线｜REFERENCE-ONLY】只有普通参考答案，不得支撑核心框架节点，不得当正式细则满分题。,
CC0364_2026_通州_期末_19_1,2026 通州 期末 第19题,formal,转出本书题,转出本书,如果题目问推理正误，应转到《逻辑与思维》，不要用法律框架硬答。,若单独遇到加装电梯法律小问，再写相邻关系：不动产相邻权利人应按有利生产、方便生活、团结互助、公平合理原则处理相邻关系。,加装电梯法律小问还可写程序合法、尽量减少对相邻业主影响、维护业主合法权益和邻里和谐。,不要把逻辑问答写成法律意义题。,不背入法律主干。,excluded_logic_boundary,2026 通州 期末 第19题（CC0364_2026_通州_期末_19_1）,TRANSFER: main task belongs outside Legal and Life.,
CC0305_2026_海淀_一模_18_3,2026 海淀 一模 第18题,formal,设问或题面需要教师再核对的题,设问需核对,应支持原告诉讼请求；商家公开包厢监控录像和聊天信息，侵害消费者隐私权。,经营者应提供真实全面信息，不得作虚假或引人误解的宣传。,赵某夸大治疗功效诱导消费，构成欺诈，应退款并承担惩罚性赔偿责任。,不要只写隐私权；本题还要写消费者知情权、虚假宣传和惩罚性赔偿。,可作人格权加消费者法组合卡。,source_check_pending,2026 海淀 一模 第18题（CC0305_2026_海淀_一模_18_3）,【醒目红线｜SOURCE-CHECK】本卡只保最低分方向，不是闭合满分真题；进 PDF 时必须保留红底/边框/角标。,
CC0380_2026_顺义_二模_18_2,2026 顺义 二模 第18题,formal,综合边界题,综合边界,开源智能体可能侵犯用户财产权、隐私权和个人信息权益。,民法典保护人身和财产权益，处理个人信息应遵循合法、正当、必要原则。,用户权益受损时可通过协商、调解、仲裁、诉讼维权，并请求停止侵害、排除妨碍、消除危险、赔礼道歉或赔偿损失。,不要写成 AI 治理宏观作文；先守住民事权利和救济方式。,只背综合边界最低句，不当纯法律满分模板。,boundary_open_container,2026 顺义 二模 第18题（CC0380_2026_顺义_二模_18_2）,【醒目红线｜BOUNDARY】本卡只覆盖《法律与生活》可写层，不覆盖整题全部模块。,
RECOVER_2024_东城_一模_19,2024 东城 一模 第19题,formal,低频规则题,可训练,诉讼时效制度督促权利人及时主张权利，推动纠纷解决，节约司法资源。,成年子女对父母有赡养义务，赡养费关系老人基本生活保障。,请求支付赡养费不适用诉讼时效，有利于保护老年人合法权益，彰显公序良俗，促进家庭和谐。,不要只写时效制度作用；必须写赡养费为什么例外。,可作低频规则保分卡。,low_frequency_container,2024 东城 一模 第19题（RECOVER_2024_东城_一模_19）,【提示｜LOW-FREQUENCY】低频规则题，可训练，但不抬为高频满分母题；进 PDF 时必须用浅色角标/边框保留，防止学生把它当成高频核心模板。,
RECOVER_2026_西城_二模_18_2,2026 西城 二模 第18题,formal,综合边界题,综合边界,判决明确生成式 AI 责任边界，避免过度追责，为企业发展提供稳定法律预期并释放创新活力。,判决统一裁判标准，规范行业行为，推动 AI 行业有序发展。,判决坚持权利义务相统一，平衡用户权益保障与技术创新需求，引导用户理性使用。,不要只写支持 AI 发展；必须写责任边界和用户权益平衡；若原题要求其他模块，必须另开模块段。,只背综合边界最低句，不当纯法律满分模板。,boundary_open_container,2026 西城 二模 第18题（RECOVER_2026_西城_二模_18_2）,【醒目红线｜BOUNDARY】本卡只覆盖《法律与生活》可写层，不覆盖整题全部模块。,
RECOVER_2026_西城_二模_18_3,2026 西城 二模 第18题,formal,综合边界题,综合边界,发布典型案例有助于完善数字治理规则、健全法律实施机制、提升治理法治化水平。,典型案例具有示范指引和警示教育作用，有助于统一裁判尺度、明确权利义务边界，提升新兴产业纠纷处理的法治化水平。,它能引导公众依法行使权利、履行义务，保障公民合法权益和社会公共利益，提升新兴产业治理能力。,不要只写法治中国；要写典型案例如何产生治理作用；若原题要求其他模块，必须另开模块段。,只背综合边界最低句，不当纯法律满分模板。,boundary_open_container,2026 西城 二模 第18题（RECOVER_2026_西城_二模_18_3）,【醒目红线｜BOUNDARY】本卡只覆盖《法律与生活》可写层，不覆盖整题全部模块。,
