trigger_id,question_id,year,district,exam_stage,question_no,pass_status,material_trigger,material_layering,legal_knowledge_triggered,framework_entry_node,use_condition,risk
MT_011,CC0054_2024_石景山_一模_17,2024,石景山,一模,17,PASS,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 | 【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额； | 如有差价， 由甲公司补足。,合同层次与责任路径定性,F4 把定性落成责任、效果或裁判理由,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_012,CC0061_2024_西城_一模_18,2024,西城,一模,18,PARTIAL,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。 | 二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子 | 一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。
MT_013,CC0063_2024_西城_二模_16,2024,西城,二模,16,PASS,消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。 | 签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。 | 四次总计付款4176元。,消费/知识产权/竞争秩序的行为-赔偿-价值链,F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_014,CC0070_2024_顺义_二模_19,2024,顺义,二模,19,FAIL,劳动/用工事实；程序/证据事实；意义/价值收束任务,"19.（15分） 生产力是社会进步的根本内容,是衡量社会进步的根本尺度。 | 结合材料，从社会主义基本经济制度的角度说明如何实现从传统生产力到新质生产力的跃升？ | （7分） 在世界新一轮科技革命和产业变革的时代浪潮中，勇当乘风破浪的弄潮儿，向着产业科技高峰全力攀登，围绕发展新质生产力，国家及各部门各地方各行业都积极行动起来。",劳动/用工事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_015,CC0077_2025_东城_一模_19,2025,东城,一模,19,PASS,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。 | 以下三个案例生 动展现了法治的实践与成效。 | 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 合同层次与责任路径定性,F3 定准法律入口：从六类候选中选 + F4 把定性落成责任、效果或裁判理由,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_016,CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 | 案件一 龙某为13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。 | 钱某母亲发现后，为 避免对钱某求学及就业造成影响，要求龙某为钱某清洗文身并赔偿。,合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句 ; 材料事实转译为法律语言,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_017,CC0091_2025_东城_期末_19,2025,东城,期末,19,FAIL,合同/责任事实；相邻/民法原则事实,19．【分析】（1）本题要求回答材料中面临的法律问题。 | “电动自行车存放、充电场所应当配备必要的消防 器材，充电设施应当具备充满自动断电功能。 | ”可知面临充电柜是否符合安全标准的问题。,合同/责任事实；相邻/民法原则事实,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_018,CC0092_2025_东城_期末_19_1,2025,东城,期末,19,PARTIAL,合同/责任事实；相邻/民法原则事实,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • | • 改变公有部分用途的法律程序问题； | • 涉及民法典对公共区域功能改变的规定；,合同/责任事实；相邻/民法原则事实,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,仅作开放容器/边界识别参考,有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。
MT_019,CC0094_2025_东城_期末_19_3,2025,东城,期末,19,FAIL,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,19（3）达成共识 思路：答案分两层 《法律与生活》相邻关系（2分） 《政治与法治》民主程序与实践（2分） 第一层满分2分： 提到相邻权、相邻关系原则、权利和义务相统一、权利有 | 如：要遵循相邻关系原则：有利生产、方便生活、团结互助、公平合理 如：应该邻里关系和睦、不影响他人合法权利 如：明确自己相关的权利和义务，权利有界限 没说法律术语，只说：邻里和谐 | 社会主义核心价值观的友善、和谐；,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_020,CC0103_2025_丰台_一模_19,2025,丰台,一模,19,PASS,合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出判决。 | 原告方下 属公司的近40 名高级管理人员及技术人员离职后加入被告方，并利用在原单位接触的技术信息申请了12 件实用新型专利。 | 根据《中华人民共和国反不正当竞争法》，最高人民法院知识产权法庭依法适用2 倍惩罚性赔偿，判 决被告方赔偿原告方经济损失及维权合理开支合计6.4 亿余元，创下我国知识产权侵权诉讼,法理依据与现实意义分层 ; 原名术语与主体身份精度 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链,F6 价值收束必须从法律规则推出 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_021,CC0118_2025_丰台_期末_18_2,2025,丰台,期末,18,FAIL,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,18（2）运用《经济与社会》的相关知识，分析数字经济应如何处理好“放得活”与“管的住”的关系。 | （7分）数字经济下如何处理好市场和政府的关系 发展数字经济，处理好“放得活”与“管得住”的关系要坚持有效市场和有为政府相结合。 | （1分） 一方面，要充分发挥市场在资源配置中的决定性作用，建设统一开放、竞争有序的数字经济市场体系，激发市场活力，促进企业发展；,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_022,CC0119_2025_丰台_期末_19,2025,丰台,期末,19,PASS,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,19. 【答案】①根据《中华人民共和国劳动法》和《劳动合问法》规定，劳动者应当完成劳动任务，遵守 劳动纪律和职业道德。 | 尹某没有履行劳动者的义务，违反了相关法律规定，不符合敬业等社会主义核心价 值观； | ②购物中心要求解除与尹某的劳动合网，符合《中华人民共和国劳动介同法》第三十九条的规定， 因此，法院驳回尹某的诉讼请求，法院的裁判保护了用人单位合理的用工自主权，引导劳动者坚持权,法理依据与现实意义分层 ; 平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_023,CC0125_2025_延庆_一模_19,2025,延庆,一模,19,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实,19. 网络经济持续健康发展，需要法治护航。 | 案情：杨某在贾某经营的网店下单DIY 模具类商品4 件，售价78 元，杨某签收后对商品不满意，在 未与贾某协商一致的情况下，直接点击了“仅退款”并退款成功。 | 贾某要求杨某退回商品，杨某表示已经 将商品扔掉，无法退回。,具体救济与程序路径,F5 程序救济单独成步：路径、证据、选择,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_024,CC0131_2025_房山_一模_19,2025,房山,一模,19,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,19. 【答案】 ①激励创新积极性。 | 通过高额赔偿和惩罚性赔偿，保障创新者的合法权益，使其获得合理回报，激发社会 创新动力。 | ②维护市场公平竞争。,法理依据与现实意义分层 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_025,CC0132_2025_房山_一模_20,2025,房山,一模,20,FAIL,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,20. 阅读材料，回答问题。 | 奋斗是指付出艰辛努力，战胜各种困难，去实现宏伟目标的过程。 | 新中国成立以来，我们党团结带领全国各族人民不懈奋斗，创造了经济快速发展和社会长期稳定两大 奇迹，中国发生沧海桑田的巨大变化，中华民族伟大复兴进入了不可逆转的历史进程，中国式现代,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_026,CC0137_2025_昌平_二模_20,2025,昌平,二模,20,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,20. （ 6 分） 案件情况 处理结果 裁判理由 镜头一 在陇东黄土高原的沟壑间，面对家乡“十年九旱、靠天吃饭”的困 境，全国人大代表化身“产业探路者”，带领村民试种耐旱中药 | 如 今，合作社年产值超800 万元，带动286 户群众户均增收1.2 万元，曾经的“穷山 沟”变成“药材谷”。 | 镜头二 在北京某老旧小区，老年居民众多，加装电梯需求迫切。,消费/知识产权/竞争秩序的行为-赔偿-价值链,F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_027,CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,19. （8 分） 司法护航，营造在线文旅消费法治环境。 | 某市互联网法院召开涉在线文化旅游消费案件审理情况新闻发布会，介绍涉在线文化旅游消费案件的 审理情况，发布典型案例。 | 以下为其中一例： 王某通过A 机票代销平台公司（以下简称“A 公司”）购买青岛至宁波的机票，页面显示总价350 元 （含基建燃油费70 元），优惠40 元后实付310 元。,法理依据与现实意义分层 ; 合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链 ; 材料事实转译为法律语言,F6 价值收束必须从法律规则推出 + F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_028,CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,PASS,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,"20.(10 分)在日常生活中,要把握好权利和义务的关系。 | 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。 | 刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。",合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 具体救济与程序路径 ; 材料事实转译为法律语言,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_029,CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,PASS,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,20. （10 分）人民法院审理案件，必须坚持以事实为根据、以法律为准绳，做到公正司法。 | 了解案件，分析事实，印证法理，参考示例，完成下表。 | 案件事实 拟写裁判要点 案件一 甲公司在 2016 年与乙公司终 止合作后，继续在甲公司运营的相关地图软 件、应用和第三方服务中使用乙公司数据。,消费/知识产权/竞争秩序的行为-赔偿-价值链,F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_030,CC0162_2025_海淀_一模_18,2025,海淀,一模,18,PARTIAL,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,18．（7 分） 随着居民消费水平的提高，主题乐园越来越受到游客的青睐。 | 某主题乐园推出了年卡服务，游客只需 支付一定费用办理年卡，即可享受主题乐园酒店的折扣优惠，并通过优先通道快速入园游玩项目。 | 游客在 办理时需与该主题乐园签订有关年卡的《条款及细则》格式合同，其中明确规定：“主题乐园年卡不可转 让，年卡及其相应福利仅限持卡人本人使用。,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,只有 reference_only 或普通答案，不能宣称满分闭环，只能作弱验证。
MT_031,CC0168_2025_海淀_二模_20,2025,海淀,二模,20,FAIL,劳动/用工事实；合同/责任事实；意义/价值收束任务,"20.(6分）共享是中国特色社会主义的本质要求。 | 共享发展理念是对中华优秀传统文化""不患寡而患不均""""损有余而补不足""等思想的继承 与发展， 也是对新时代中国特色社会主义面临的现实问题的理论回应，具有深刻的思想内涵和明 确的实 | 共享发展是人人享有、各得其所，不是少数人共享、一部分人共享。",劳动/用工事实；合同/责任事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_032,CC0180_2025_海淀_期末_20,2025,海淀,期末,20,PASS,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,20．（6分） ①生产者产品责任是无过错侵权责任，行为人只要损害了他人的民事权益，不论其有无过错，均应当承担侵权责任。 | 《解释》从保护消费者角度作出解释，明确缺陷产品造成的产品自身损害属于产品责任赔偿范围，切实维护消费者合法权益。 | ②禁止饲养的烈性犬等危险动物造成他人损害的，动物饲养人或者管理人应承担无过错侵权责任，没有任何免责事由和减责事由。,合同层次与责任路径定性,F4 把定性落成责任、效果或裁判理由,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_033,CC0181_2025_海淀_期末_21,2025,海淀,期末,21,PASS,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,21. 阅读材料，完成问题。 | “竞业限制”是指用人单位与劳动者之间约定，劳动者在离职后不得到生产同类产品或经营同类产业且有竞争关系的其他用人单位任职，也不得自己生产与原单位有竞争关系的同类产品或经营同类业务 | 案例一：李某是A公司自主培养的高级管理人员。,法理依据与现实意义分层 ; 平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,材料出现相同事实类型时可迁移,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。
MT_034,CC0182_2025_海淀_期末_22,2025,海淀,期末,22,FAIL,劳动/用工事实；合同/责任事实；相邻/民法原则事实；意义/价值收束任务,22．（9分） 可从中国共产党的领导、中国式现代化、中国梦、中华优秀传统文化、中华民族精神、质量互变规律、人类命运共同体等角度作答。 | 中华人民共和国民法典 第三百二十一条 天然孳息，由所有权人取得； | 既有所有权人又有用益物权人的，由用益物权人取得。,劳动/用工事实；合同/责任事实；相邻/民法原则事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。
MT_035,CC0189_2025_石景山_一模_20,2025,石景山,一模,20,PARTIAL,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,20. (8 分) 新质生产力鼓励新业态拓展创新。 | 人民法院能动履职、保护创新，为发展新质生产力提供重要保障。 | 下列 是石景山法院以司法护航新质生产力发展的两个案例。,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,仅作开放容器/边界识别参考,有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。
