sentence_id,question_id,framework_entry_node,evidence_level,pass_status,sentence_pattern,must_have_keywords,source_rubric_atom_ids,use_condition,forbidden_scene
FS_BP_011,CC0077_2025_东城_一模_19,F3 定准法律入口：从六类候选中选 + F4 把定性落成责任、效果或裁判理由,formal,PASS,19. 阅读材料，完成表格。（8 分） （一）本题标准和变通；①解决机制（1 分）：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制）,19. 阅读材料；完成表格；（8 分） （一）本题标准和变通；①解决机制（1 分）：调解；诉讼调解；以出具调解书的方式解决；也属于诉讼解决机制）；调解书；劳动者；用人单位；维护；规范；公平；正义；中华优秀传统美德；社会角度 3 分（1 个2 分；守望相助；尊老敬老的中华优秀传统美德,R_CC0077_2025_东城_一模_19_01 ; R_CC0077_2025_东城_一模_19_02 ; R_CC0077_2025_东城_一模_19_03 ; R_CC0077_2025_东城_一模_19_04 ; R_CC0077_2025_东城_一模_19_05 ; R_CC0077_2025_东城_一模_19_06 ; R_CC0077_2025_东城_一模_19_07 ; R_CC0077_2025_东城_一模_19_08 ; R_CC0077_2025_东城_一模_19_09 ; R_CC0077_2025_东城_一模_19_10 ; R_CC0077_2025_东城_一模_19_11 ; R_CC0077_2025_东城_一模_19_12,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_012,CC0084_2025_东城_二模_19,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,19.阅读材料，完成表格。 （一）本题标准和变通；①龙某为钱某文身案例（2 分）：该情境有两个问题，即合同效力问题和侵权问题： 学生可以通过把一个问题说清楚得2 分，也可以通过呈现2 个准确的知识点得2 分 合同效力问题：限制民事行为能力人/法定代理人未追认（1 分）+ 合同无效（1 分） 侵权问题：龙某没有尽到核实义务/存在过错（1 分）+ 侵犯身体权/健康权（1 分） 呈现了两个知识点，如：钱某事限制民事行为能力人（1 分）+龙某侵犯了身体权/健康 [page 4] 权（1 分）,19.阅读材料；完成表格；（一）本题标准和变通；存在过错（1 分）+ 侵犯身体权；健康权（1 分） 呈现了两个知识点；健康 [page 4] 权（1 分）；民事行为能力；身体权；健康权；故意侮辱；诽谤某公司；1 分） 构成要件替换：诬陷；捏造；造谣；诋毁；抹黑；不实信息；损害形象,R_CC0084_2025_东城_二模_19_01 ; R_CC0084_2025_东城_二模_19_02 ; R_CC0084_2025_东城_二模_19_03 ; R_CC0084_2025_东城_二模_19_04 ; R_CC0084_2025_东城_二模_19_05 ; R_CC0084_2025_东城_二模_19_06 ; R_CC0084_2025_东城_二模_19_07 ; R_CC0084_2025_东城_二模_19_08 ; R_CC0084_2025_东城_二模_19_09 ; R_CC0084_2025_东城_二模_19_10 ; R_CC0084_2025_东城_二模_19_11,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_013,CC0092_2025_东城_期末_19_1,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,formal,PASS_RECOVERED,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • 如： • 公共区域设置充电柜是否涉及侵权问题； • 可能侵害部分业主对公共部分的合法权利 • 充电柜建设是否损害相邻权的问题 • 充电柜安全问题可能侵犯居民的人身安全和财产权 •,如果在同样的思路中；要求涉及具体问题不同；• 改变公有部分用途的法律程序问题；民法典,R_CC0092_2025_东城_期末_19_1_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_014,CC0103_2025_丰台_一模_19,F6 价值收束必须从法律规则推出 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（6分） 本案判决维护当事人合法权益，严惩侵权行为，保护知识产权。规范市场竞争秩序，营造公平市场环境，以法治力量鼓励创新。作为典型案例为同类案件提供范例，有利于提升审判质量和效率，增强司法公信力。引导公民依法办事，增强民众法治信仰，推动法治中国建设。 19题 评分标准说明： 企业层面（从权利与义务角度）：维护当事人合法权益或者平衡（明确）双方的权利和义务，或者保护原告方（当事人）的知识产权， 1分；严惩或者严厉打击侵权行为 1分 出现的问题：维护公民的合法权益、维护双方的合法权益、维护被告方的权益都是错误表达,严惩侵权行为；保护知识产权；规范市场竞争秩序；营造公平市场环境；以法治力量鼓励创新；作为典型案例为同类案件提供范例；有利于提升审判质量和效率；增强司法公信力；引导公民依法办事；增强民众法治信仰；推动法治中国建设；或者保护原告方（当事人）的知识产权；1分；维护双方的合法权益；维护被告方的权益都是错误表达；对科技创新的意义：规范市场竞争秩序；营造公平的市场环境；鼓励创新,R_CC0103_2025_丰台_一模_19_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_015,CC0119_2025_丰台_期末_19,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,formal,PASS,法理依据：法院判决应以事实为依据、以法律为准绳，或写出相关法律规定，为必踩点1分。；法理依据：劳动者应完成劳动任务，遵守劳动纪律和职业道德，1分。,法理依据：法院判决应以事实为依据；以法律为准绳；或写出相关法律规定；为必踩点1分；法理依据：劳动者应完成劳动任务；遵守劳动纪律和职业道德；1分；法理依据：尹某没有履行劳动者义务；违反法律规定或不符合敬业价值要求；2分；合同；劳动合同；现实意义：保护用人单位合理用工自主权；公平,R_CC0119_2025_丰台_期末_19_M17_01 ; R_CC0119_2025_丰台_期末_19_M17_02 ; R_CC0119_2025_丰台_期末_19_M17_03 ; R_CC0119_2025_丰台_期末_19_M17_04 ; R_CC0119_2025_丰台_期末_19_M17_05 ; R_CC0119_2025_丰台_期末_19_M17_06 ; R_CC0119_2025_丰台_期末_19_M17_07,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_016,CC0125_2025_延庆_一模_19,F5 程序救济单独成步：路径、证据、选择,formal,PASS,调解结果：本案标的较小，本着以和为贵原则适用调解，1分。；调解理由：消费者维权应遵循诚实信用原则，不能损害他人利益和社会经济秩序，诚信原则1分、材料分析1分。,调解结果：本案标的较小；本着以和为贵原则适用调解；1分；调解；不能损害他人利益和社会经济秩序；诚信原则1分；材料分析1分；诚信原则；应依法退还货物；合同解除1分；合同；缺乏证据意识；证据意识1分；商家角度：经营者应保证商品质量；若商品确有问题则不应追究消费者责任；可酌情给分,R_CC0125_2025_延庆_一模_19_M17_01 ; R_CC0125_2025_延庆_一模_19_M17_02 ; R_CC0125_2025_延庆_一模_19_M17_03 ; R_CC0125_2025_延庆_一模_19_M17_04 ; R_CC0125_2025_延庆_一模_19_M17_05,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_017,CC0131_2025_房山_一模_19,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（8 分）；①B 集团通过挖走A 集团核心技术人员并窃取技术秘密属于典型的不正当竞争行为，法院的判决打击 了违法行为，促使企业依法诚信经营，维护了公平的竞争环境，促进市场经济健康发展。,19.（8 分）；法院的判决打击 了违法行为；促使企业依法诚信经营；维护了公平的竞争环境；促进市场经济健康发展；维护；促进；公平；强化知识产权保护；使企业更愿意投入研发；激发 创新活力和科技进步；知识产权；③法院公正司法；维护了社会公平正义；弘扬了社会主义核心价值观；细则：；正义；法院的判决打击了违法行为,R_CC0131_2025_房山_一模_19_01 ; R_CC0131_2025_房山_一模_19_02 ; R_CC0131_2025_房山_一模_19_03 ; R_CC0131_2025_房山_一模_19_04 ; R_CC0131_2025_房山_一模_19_05 ; R_CC0131_2025_房山_一模_19_06 ; R_CC0131_2025_房山_一模_19_07 ; R_CC0131_2025_房山_一模_19_08 ; R_CC0131_2025_房山_一模_19_09 ; R_CC0131_2025_房山_一模_19_10,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_018,CC0137_2025_昌平_二模_20,F3 定准法律入口：从六类候选中选,formal,PASS,20.阅读材料，运用《法律与生活》知识，完成裁判理由。；（6 分） [slide 13] 关于AI作品权利归属问题，著作权法规定著作权人限于自然人、法人或非法人组织，AI不能成为著作权主体。,20.阅读材料；运用《法律与生活》知识；完成裁判理由；法律与生活；著作权法规定著作权人限于自然人；法人或非法人组织；AI不能成为著作权主体；著作权；李某使用人工智能软件制作的图片；具备“智力成果”和“独创性”要件；受到著作权法保护；享有著作权；属于侵权行为；应承担侵权责任；侵权责任；（法律依据：法律保护著作权角度；1分；但具备“智力成果”和“独创性”要件,R_CC0137_2025_昌平_二模_20_01 ; R_CC0137_2025_昌平_二模_20_02 ; R_CC0137_2025_昌平_二模_20_03 ; R_CC0137_2025_昌平_二模_20_04 ; R_CC0137_2025_昌平_二模_20_05 ; R_CC0137_2025_昌平_二模_20_06 ; R_CC0137_2025_昌平_二模_20_07 ; R_CC0137_2025_昌平_二模_20_08 ; R_CC0137_2025_昌平_二模_20_09 ; R_CC0137_2025_昌平_二模_20_10 ; R_CC0137_2025_昌平_二模_20_11 ; R_CC0137_2025_昌平_二模_20_12 ; R_CC0137_2025_昌平_二模_20_13 ; R_CC0137_2025_昌平_二模_20_14 ; R_CC0137_2025_昌平_二模_20_15,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_019,CC0143_2025_朝阳_一模_19,F6 价值收束必须从法律规则推出 + F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（8分） 结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。 阅卷前制定的；①原告支付机票款，已经出票，合同成立。（1分）,19.（8分） 结合材料；运用《法律与生活》知识；说明人民法院支持王某的诉讼请求的理由；阅卷前制定的参考答案：；诉讼请求；法律与生活；①原告支付机票款；已经出票；合同成立；（1分）；原告；②合同成立不等于生效；③某机票代销平台主观上具备欺诈故意；客观上实施了欺诈行为；使王某在违背意思表示的情况下订立合同；因此；根据民法典规定；王某请求人民法院撤销合同,R_CC0143_2025_朝阳_一模_19_01 ; R_CC0143_2025_朝阳_一模_19_02 ; R_CC0143_2025_朝阳_一模_19_03 ; R_CC0143_2025_朝阳_一模_19_04 ; R_CC0143_2025_朝阳_一模_19_05 ; R_CC0143_2025_朝阳_一模_19_06 ; R_CC0143_2025_朝阳_一模_19_07 ; R_CC0143_2025_朝阳_一模_19_08 ; R_CC0143_2025_朝阳_一模_19_09 ; R_CC0143_2025_朝阳_一模_19_10 ; R_CC0143_2025_朝阳_一模_19_11 ; R_CC0143_2025_朝阳_一模_19_12 ; R_CC0143_2025_朝阳_一模_19_13 ; R_CC0143_2025_朝阳_一模_19_14 ; R_CC0143_2025_朝阳_一模_19_15 ; R_CC0143_2025_朝阳_一模_19_16 ; R_CC0143_2025_朝阳_一模_19_17 ; R_CC0143_2025_朝阳_一模_19_18 ; R_CC0143_2025_朝阳_一模_19_19 ; R_CC0143_2025_朝阳_一模_19_20 ; R_CC0143_2025_朝阳_一模_19_21 ; R_CC0143_2025_朝阳_一模_19_22 ; R_CC0143_2025_朝阳_一模_19_23 ; R_CC0143_2025_朝阳_一模_19_24 ; R_CC0143_2025_朝阳_一模_19_25,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_020,CC0150_2025_朝阳_二模_20,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择,formal,PASS,20.（10分）；（1）结合材料，运用《法律与生活》知识，分析上述案例。（8分）,20.（10分）；（1）结合材料；运用《法律与生活》知识；分析上述案例；（8分）；法律与生活；（2）假如你是人民调解员；提出解决纠纷的建议；应当承担侵权责任；根据民法典的规定；双方享有共有和共同管理的权利；摄像头能拍摄到孙女士家的日常进出信息；与其财产安全；私人生活习惯等高度关联；属个人隐私范畴；应视为具有隐私性质的人格利益；应受法律保护；刘先生使用摄像头不能超出合理范围,R_CC0150_2025_朝阳_二模_20_01 ; R_CC0150_2025_朝阳_二模_20_02 ; R_CC0150_2025_朝阳_二模_20_03 ; R_CC0150_2025_朝阳_二模_20_04 ; R_CC0150_2025_朝阳_二模_20_05 ; R_CC0150_2025_朝阳_二模_20_06 ; R_CC0150_2025_朝阳_二模_20_07 ; R_CC0150_2025_朝阳_二模_20_08 ; R_CC0150_2025_朝阳_二模_20_09 ; R_CC0150_2025_朝阳_二模_20_10 ; R_CC0150_2025_朝阳_二模_20_11 ; R_CC0150_2025_朝阳_二模_20_12 ; R_CC0150_2025_朝阳_二模_20_13 ; R_CC0150_2025_朝阳_二模_20_14 ; R_CC0150_2025_朝阳_二模_20_15 ; R_CC0150_2025_朝阳_二模_20_16 ; R_CC0150_2025_朝阳_二模_20_17 ; R_CC0150_2025_朝阳_二模_20_18 ; R_CC0150_2025_朝阳_二模_20_19 ; R_CC0150_2025_朝阳_二模_20_20 ; R_CC0150_2025_朝阳_二模_20_21 ; R_CC0150_2025_朝阳_二模_20_22 ; R_CC0150_2025_朝阳_二模_20_23 ; R_CC0150_2025_朝阳_二模_20_24,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_021,CC0157_2025_朝阳_期末_20,F3 定准法律入口：从六类候选中选,formal,PASS,案件二裁判理由：根据反不正当竞争法，1分。；案件二裁判理由：被告抓取并使用数据，损害原告数据合法权益和消费者利益，构成不正当竞争，1分。,案件二裁判理由：根据反不正当竞争法；1分；不正当竞争；案件二裁判理由：被告抓取并使用数据；损害原告数据合法权益和消费者利益；构成不正当竞争；合法权益；案件二裁判理由：破坏市场竞争秩序；违背商业道德和诚实信用原则；侵权；案件三裁判理由：旅游公司有过错；应承担侵权责任；或侵犯身体权健康权；未提供充分有效安全保障；应承担违约责任；合同；甲自身存在一定过错时承担次要责任,R_CC0157_2025_朝阳_期末_20_M17_01 ; R_CC0157_2025_朝阳_期末_20_M17_02 ; R_CC0157_2025_朝阳_期末_20_M17_03 ; R_CC0157_2025_朝阳_期末_20_M17_04 ; R_CC0157_2025_朝阳_期末_20_M17_05 ; R_CC0157_2025_朝阳_期末_20_M17_06 ; R_CC0157_2025_朝阳_期末_20_M17_07 ; R_CC0157_2025_朝阳_期末_20_M17_08 ; R_CC0157_2025_朝阳_期末_20_M17_09 ; R_CC0157_2025_朝阳_期末_20_M17_10,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
