sentence_id,question_id,framework_entry_node,evidence_level,pass_status,sentence_pattern,must_have_keywords,source_rubric_atom_ids,use_condition,forbidden_scene
FS_011,CC0125_2025_延庆_一模_19,F5 程序救济单独成步：路径、证据、选择,formal,PASS,调解结果：本案标的较小，本着以和为贵原则适用调解，1分。；调解理由：消费者维权应遵循诚实信用原则，不能损害他人利益和社会经济秩序，诚信原则1分、材料分析1分。,具体救济与程序路径,R_CC0125_2025_延庆_一模_19_M17_01 ; R_CC0125_2025_延庆_一模_19_M17_02 ; R_CC0125_2025_延庆_一模_19_M17_03 ; R_CC0125_2025_延庆_一模_19_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_012,CC0131_2025_房山_一模_19,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（8 分）；①B 集团通过挖走A 集团核心技术人员并窃取技术秘密属于典型的不正当竞争行为，法院的判决打击 了违法行为，促使企业依法诚信经营，维护了公平的竞争环境，促进市场经济健康发展。,法理依据与现实意义分层 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0131_2025_房山_一模_19_01 ; R_CC0131_2025_房山_一模_19_02 ; R_CC0131_2025_房山_一模_19_03 ; R_CC0131_2025_房山_一模_19_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_013,CC0137_2025_昌平_二模_20,F3 定准法律入口：从六类候选中选,formal,PASS,20.阅读材料，运用《法律与生活》知识，完成裁判理由。；（6 分） [slide 13] 关于AI作品权利归属问题，著作权法规定著作权人限于自然人、法人或非法人组织，AI不能成为著作权主体。,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0137_2025_昌平_二模_20_01 ; R_CC0137_2025_昌平_二模_20_02 ; R_CC0137_2025_昌平_二模_20_03 ; R_CC0137_2025_昌平_二模_20_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_014,CC0143_2025_朝阳_一模_19,F6 价值收束必须从法律规则推出 + F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（8分） 结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。 阅卷前制定的；①原告支付机票款，已经出票，合同成立。（1分）,法理依据与现实意义分层 ; 合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链 ; 材料事实转译为法律语言,R_CC0143_2025_朝阳_一模_19_01 ; R_CC0143_2025_朝阳_一模_19_02 ; R_CC0143_2025_朝阳_一模_19_03 ; R_CC0143_2025_朝阳_一模_19_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_015,CC0150_2025_朝阳_二模_20,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择,formal,PASS,20.（10分）；（1）结合材料，运用《法律与生活》知识，分析上述案例。（8分）,合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 具体救济与程序路径 ; 材料事实转译为法律语言,R_CC0150_2025_朝阳_二模_20_01 ; R_CC0150_2025_朝阳_二模_20_02 ; R_CC0150_2025_朝阳_二模_20_03 ; R_CC0150_2025_朝阳_二模_20_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_016,CC0157_2025_朝阳_期末_20,F3 定准法律入口：从六类候选中选,formal,PASS,案件二裁判理由：根据反不正当竞争法，1分。；案件二裁判理由：被告抓取并使用数据，损害原告数据合法权益和消费者利益，构成不正当竞争，1分。,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0157_2025_朝阳_期末_20_M17_01 ; R_CC0157_2025_朝阳_期末_20_M17_02 ; R_CC0157_2025_朝阳_期末_20_M17_03 ; R_CC0157_2025_朝阳_期末_20_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_017,CC0180_2025_海淀_期末_20,F4 把定性落成责任、效果或裁判理由,formal,PASS,第十九条案例：生产者产品责任是无过错侵权责任，法理解释2分。；第十九条案例：从消费者权利、安全消费权角度展开解释可替代得分。,合同层次与责任路径定性,R_CC0180_2025_海淀_期末_20_M17_01 ; R_CC0180_2025_海淀_期末_20_M17_02 ; R_CC0180_2025_海淀_期末_20_M17_03 ; R_CC0180_2025_海淀_期末_20_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_018,CC0181_2025_海淀_期末_21,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,formal,PASS,规范竞业限制的意义：有利于企业商业秘密保护、保护知识产权、推动社会创新，任意两条给2分。；限制竞业限制的意义：保护劳动者基本劳动权利或有利于人才资源合理配置，2分。,法理依据与现实意义分层 ; 平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,R_CC0181_2025_海淀_期末_21_M17_01 ; R_CC0181_2025_海淀_期末_21_M17_02 ; R_CC0181_2025_海淀_期末_21_M17_03 ; R_CC0181_2025_海淀_期末_21_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_019,CC0195_2025_西城_一模_20,F3 定准法律入口：从六类候选中选,formal,PASS,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平衡。 【细则】 公平角度：4分 发挥工会的作用/集体的力量 1分 可以确保双方协商一致、平等自愿，公平签订劳动合同（或结合订立劳动合同基本原则说明） 1分 ——更好地,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,R_CC0195_2025_西城_一模_20_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_020,CC0200_2025_西城_二模_18,F2 把材料事实翻译成法律事实,formal,PASS,18．（8分）小刘为限制民事行为能力人，其大额打赏行为，家长事先不知情、事后也不同意追认，交易行为无效。平台的审核措施不完善，未能尽到合理审查的义务，存在过错。小刘父母疏于监管，未能履行好监护职责，行为存在过错。小刘沉迷打赏，并通过欺骗手段规避监管，自身行为也有过错。综合各方过错程度，根据民法典157条规定，法院判定平台和小刘父母都应承担相应责任，符合公平原则。本案判决警示，平台应健全审核机制、担当社会责任，监护人应履行监护义务，教育引导未成年人树立正确消费观。 【细则】 小刘为限制民事行为能力人（1分），其大额打,原名术语与主体身份精度,R_CC0200_2025_西城_二模_18_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_021,CC0206_2025_西城_期末_19,F3 定准法律入口：从六类候选中选,formal,PASS,19. （8 分） 根据反不正当竞争法，陈某在明知他人已经使用“小爱同学”唤醒词并有一定影响的 情况下，抢先注册，并发布引人误解的商业宣传信息，构成混淆及虚假宣传，属于不 正当竞争，违背了诚实信用原则。该案判决合理确定各方利益，规制了滥用权利的行 为，保护了科技创新型企业的品牌商誉，有利于促进新业态的发展，为数字经济发展 营造良好的法治化营商环境。 [page 4] 北京市西城区2024—2025 学年度第一学期期末试卷 高三思想政治答案及评分参考 第4页（共5页） 解析：结合材料描述侵权事实；引人误解/混淆/虚假,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0206_2025_西城_期末_19_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_022,CC0213_2025_门头沟_一模_20,F3 定准法律入口：从六类候选中选,formal,PASS,裁判结果：驳回或不支持孙某诉讼请求，1分。；裁判结果：甲公司无需支付赔偿金，1分。,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,R_CC0213_2025_门头沟_一模_20_M17_01 ; R_CC0213_2025_门头沟_一模_20_M17_02 ; R_CC0213_2025_门头沟_一模_20_M17_03 ; R_CC0213_2025_门头沟_一模_20_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_023,CC0214_2025_门头沟_一模_20_2,F3 定准法律入口：从六类候选中选,formal,PASS,20（2）裁判理由共4分。；①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分；/根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,R_CC0214_2025_门头沟_一模_20_2_01 ; R_CC0214_2025_门头沟_一模_20_2_02 ; R_CC0214_2025_门头沟_一模_20_2_03 ; R_CC0214_2025_门头沟_一模_20_2_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_024,CC0223_2025_顺义_一模_19,F6 价值收束必须从法律规则推出 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,案例1解决纠纷方式：法院坚持诉讼调解实现邻里和谐、实质化解纠纷，1分。；案例1理由：通道属于建筑物共有部分，应合理限度恰当使用；堆放垃圾杂物影响通行并违反民法典相邻权规定，1分。,法理依据与现实意义分层 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句,R_CC0223_2025_顺义_一模_19_M17_01 ; R_CC0223_2025_顺义_一模_19_M17_02 ; R_CC0223_2025_顺义_一模_19_M17_03 ; R_CC0223_2025_顺义_一模_19_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_025,CC0238_2026_东城_二模_19,F3 定准法律入口：从六类候选中选 + F2 把材料事实翻译成法律事实,formal,PASS,乙公司以商业诋毁获取竞争优势，2分；构成不正当竞争或违背诚信原则可替代1分。；乙公司未全面履行合同，构成违约，1分。,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 原名术语与主体身份精度 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0238_2026_东城_二模_19_M17_01 ; R_CC0238_2026_东城_二模_19_M17_02 ; R_CC0238_2026_东城_二模_19_M17_03 ; R_CC0238_2026_东城_二模_19_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_026,CC0244_2026_东城_期中_18,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,"18.（11分）无人机起飞如何系好""安全带""? 陈某向店主刘某发送邮件：“急需购买A型号无人机一台，用于重要商业拍摄。”刘某回复：“全新原装，15000元。”陈某立即转账。刘某误将一台内部结构轻微损伤（外观无明显痕迹）的同型号展示机寄出。 陈某收货后在首次使用中，该无人机因上述损伤失控坠毁，砸伤陈某手臂。陈某花费医疗费8000元，并因错过商业拍摄损失收入5000元。 陈某要求刘某赔偿，双方协商未果。；（1）运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。(7分)",合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句,R_CC0244_2026_东城_期中_18_01 ; R_CC0244_2026_东城_期中_18_02 ; R_CC0244_2026_东城_期中_18_03 ; R_CC0244_2026_东城_期中_18_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_027,CC0245_2026_东城_期中_18_2,F5 程序救济单独成步：路径、证据、选择 + F2 把材料事实翻译成法律事实,formal,PASS,18（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？ 维权途径2分 | | 充分准备2分 调解或仲裁或诉讼 2分 （无解释不具体1分） | 调解（例如第三方人民调解、行政调解、诉讼调解）或仲裁（仲裁需要双方达成有效的仲裁协议）来高效解决争议； 若不愿调解或调解不成，可考虑诉讼。如果决定向人民法院提起诉讼。需准备起诉状、原被告身份信息、熟悉诉讼流程、注意诉讼三年时效等） | 依法收集证据及类型2分 （无解释不具体1分） 可向相关部门提交固定证据，证明交易存在的合同、订单证据，如转账、邮件记录等电,具体救济与程序路径 ; 材料事实转译为法律语言,R_CC0245_2026_东城_期中_18_2_01 ; R_CC0245_2026_东城_期中_18_2_02 ; R_CC0245_2026_东城_期中_18_2_03 ; R_CC0245_2026_东城_期中_18_2_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_028,CC0251_2026_丰台_一模_20,F6 价值收束必须从法律规则推出,formal,PASS,20.（8 分） 人民法院以事实为根据、以法律为准绳，作出了上述判决。根据民法典规定，宾馆、商场等公共场所经营者、管理者因过错造成他人损害的，应当承担侵权责任。被告对原告的安全保障义务应保持在合理限度内，且相关证据表明事发现场不存在影响原告通行的客观因素。原告是完全民事行为能力人，摔倒是其自身未尽安全注意义务所致。因此，某餐饮公司和某商业管理公司对此并无过错，不应承担赔偿责任。 该判决有利于平衡原被告双方的权利与义务，倡导安全文明出行和自我负责的安全责任意识，明确经营场所、公共场所的经营者、管理者安全保障义务的边界,法理依据与现实意义分层,R_CC0251_2026_丰台_一模_20_01 ; R_CC0251_2026_丰台_一模_20_02 ; R_CC0251_2026_丰台_一模_20_03 ; R_CC0251_2026_丰台_一模_20_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_029,CC0254_2026_丰台_二模_18,F6 价值收束必须从法律规则推出 + F4 把定性落成责任、效果或裁判理由 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,1.答案未指向问题，答案不聚焦，按照某类主观题模板机械化作答，从司法机关的权力到案件的法理依据写到现实意义，并非辩证思考回答法律的规范作用与道德的教化层面。；2.分辨不清过错推定与无过错责任，同样是动物（动物园动物伤人与家庭饲养动物的侵权案件的区分）,法理依据与现实意义分层 ; 合同层次与责任路径定性 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句,R_CC0254_2026_丰台_二模_18_01 ; R_CC0254_2026_丰台_二模_18_02 ; R_CC0254_2026_丰台_二模_18_03 ; R_CC0254_2026_丰台_二模_18_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_030,CC0277_2026_房山_二模_18,F3 定准法律入口：从六类候选中选,formal,PASS,18.（1）（7分）法律边界及应对措施 风险1：数字员工生成虚假负面数据文章，违反《反不正当竞争法》的商业诋毁规定，同时可能侵犯该公司的名誉权。；应履行审核义务，依法经营 风险2：将公司的核心代码等上传公共AI平台，可能造成商业秘密泄露。,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0277_2026_房山_二模_18_01 ; R_CC0277_2026_房山_二模_18_02 ; R_CC0277_2026_房山_二模_18_03 ; R_CC0277_2026_房山_二模_18_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_031,CC0283_2026_朝阳_一模_18,F3 定准法律入口：从六类候选中选 + F5 程序救济单独成步：路径、证据、选择,formal,PASS,18.结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。 措施类：人民法院做了什么+做得怎么样？；1.通过特邀第三方调解，高效化解知识产权纠纷，既维护当事人合法权益，又能激发创新积极性和创新效率，助力创新驱动经济发展。 关键词：调解（1分），提高诉讼效率\降低诉讼成本（1分）,消费/知识产权/竞争秩序的行为-赔偿-价值链 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句,R_CC0283_2026_朝阳_一模_18_01 ; R_CC0283_2026_朝阳_一模_18_02 ; R_CC0283_2026_朝阳_一模_18_03 ; R_CC0283_2026_朝阳_一模_18_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_032,CC0289_2026_朝阳_二模_18,F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,18.（8分） 结合材料，运用《法律与生活》知识，将以上回答补充完整。；从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。,具体救济与程序路径 ; 相邻关系与民法原则锚句,R_CC0289_2026_朝阳_二模_18_01 ; R_CC0289_2026_朝阳_二模_18_02 ; R_CC0289_2026_朝阳_二模_18_03 ; R_CC0289_2026_朝阳_二模_18_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_033,CC0317_2026_海淀_期中_18,F4 把定性落成责任、效果或裁判理由,formal,PASS,18.（1）该合同条款⽆效。该合同条款是住房租赁企业为了重复使⽤⽽预先拟定，并在订⽴ 合同时未与对⽅协商的条款，属于格式条款。⺠法典规定采⽤格式条款订⽴合同的，提供格 式条款的⼀⽅应当遵循公平原则确定当事⼈之间的权利和义务。该合同条款约定合同期满后， 承租⽅不得与产权⼈私下建⽴合同关系，限制了承租⽅⾃由订⽴合同的权利，应被认定为⽆ 效。(6 分),合同层次与责任路径定性,R_CC0317_2026_海淀_期中_18_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_034,CC0319_2026_海淀_期中_19,F3 定准法律入口：从六类候选中选,formal,PASS,19. 根据反不正当竞争法规定，不正当竞争⾏为是指经营者在⽣产经营活动中，扰乱市场竞 争秩序，损害其他经营者或者消费者的合法权益的⾏为。郑某利⽤技术⼿段，为⽤户提供不 正当抢票优势，破坏平台的购票规则，⼲扰、妨碍平台售票业务的正常开展，损害了甲公司 的信誉以及其他合法权益，构成不正当竞争，应当承担侵权责任。同时郑某的⾏为仅为少数 消费者⽤户提供了便利，损害了消费者的合法权益和⻓远利益，有违经营者公认的商业道德， 不符合社会主义核⼼价值观，不利于社会整体福祉的增进，扰乱了市场竞争秩序。 [page 4] 4 评分标准,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0319_2026_海淀_期中_19_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_035,CC0325_2026_石景山_一模_18,F4 把定性落成责任、效果或裁判理由 + F5 程序救济单独成步：路径、证据、选择,formal,PASS,①本案属于行政诉讼（1分），行政诉讼的核心问题是行政机关的行政行为是否合法，而行政相对人在举证能力上无法与行政机关抗衡（1分）。；②本案中，原告张某需要对自己车辆受到损害的事实（1分），以及损害与窗户坠落存在因果关系进行举证（1分）；被告卢某作为建筑物的使用人，需要对事故发生没有过错承担举证责任（1分）。,合同层次与责任路径定性 ; 具体救济与程序路径,R_CC0325_2026_石景山_一模_18_01 ; R_CC0325_2026_石景山_一模_18_02 ; R_CC0325_2026_石景山_一模_18_03,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
