question_id,ask_source,source_clean_flags,classification_trust,decision,reason
CC0380_2026_顺义_二模_18_2,derived_from_rubric_atom,derived_from_rubric_atom|ask_module_contamination|boundary_open_container,source_check,boundary_open_container,原 ask_text 缺失，临时用首个细则原子定位。
RECOVER_2025_海淀_二模_18,ask_text,,high,keep_core,表格/填空任务决定颗粒度。
RECOVER_2026_通州_一模_20,ask_text,,high,keep_core,表格/填空任务决定颗粒度。
RECOVER_2024_东城_一模_19,ask_text,,high,low_frequency_container,formal 但低频单例，进入全量容器。
RECOVER_2024_东城_二模_19_1,ask_text,,high,keep_core,程序/证据/救济信号。
RECOVER_2024_东城_二模_19_2,ask_text,,high,keep_core,私法权利义务责任信号。
RECOVER_2025_丰台_二模_19_2,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_延庆_一模_18_1,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_房山_一模_17_1,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_西城_二模_18_1,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_西城_二模_18_2,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_西城_二模_18_3,ask_text,boundary_open_container,medium,boundary_open_container,综合/开放边界，保留法律点但不升核心。
RECOVER_2026_门头沟_一模_18_1,ask_text,,high,keep_core,新技术/数据/合规边界信号。
RECOVER_2026_朝阳_期末_18_1,ask_text,,high,keep_core,评判裁判任务信号。
