check_id,scope,question_id,check_item,result,severity,evidence_seen,source_locator_checked,action_required,notes
C44,spot_audit_cross,Q-2024朝阳二模-19-2,paper_021_L371-372_rubric_022_L139-148,PASS,P2,Paper L371-372 contains 大人者 复合判断 prompt; rubric L139-148 confirms 联言判断保真条件,02_extraction/priority_queue_sources/text/021_*.txt + 022_*.txt,none,
C45,spot_audit_cross,Q-2024朝阳二模-7,rubric_023_TABLE1_Q7_D,PASS,P2,023 TABLE1 row Q7=D confirmed; cross-mounted (思维=科学思维+推理=三段论/假言/归纳),02_extraction/priority_queue_sources/text/023_*.txt,none,
C46,spot_audit_cross,Q-2024朝阳期中-19,paper_017_L233-260_rubric_018,PASS,P2,Paper L233-260 contains 首发经济 prompt with five 创新思维 points; rubric 018 covers Q19 grading,02_extraction/priority_queue_sources/text/017_*.txt + 018_*.txt,none,
C47,spot_audit_cross,Q-2024朝阳期中-9,rubric_020_answer_table_Q9_B,PASS,P2,020 RTF answer table L165-181 confirms Q9=B; cross-mounted (思维抽象/具体 + 归纳推理共变法),02_extraction/priority_queue_sources/text/020_*.txt,none,
C48,spot_audit_cross,Q-2025东城期末-18-2,paper_012_L199-203_rubric_012_L681-698,PASS,P2,Paper L199-203 contains 登月服 18(2) 创新思维 prompt; rubric L681-698 covers 联想思维+聚合发散+三新,02_extraction/priority_queue_sources/text/012_*.txt,none,
C49,spot_audit_cross,Q-2025丰台期末-10,paper_040_inline_故本题选B,PASS,P2,Paper 040 idx 10274 inline 故本题选B confirms Q10=B; cross-mounted (思维抽象/具体 + 假言/归纳/类比/推理),02_extraction/priority_queue_sources/text/040_*.txt,none,
C50,spot_audit_cross,Q-2026东城一模-6,paper_046_answer_table_Q6_D,PASS,P2,046 paper Page9 参考答案表 Q6=D confirmed via locator; cross-mounted (辩证否定 + 换质换位 推理),02_extraction/priority_queue_sources/text/046_*.txt,none,
C51,spot_audit_cross,Q-2026朝阳期中-13,paper_003_L148-158_石榴籽,PASS,P2,Paper L148-158 contains 石榴籽 Q13 prompt with four options; cross-mounted (联想/感性具体 + 类比 推理),02_extraction/priority_queue_sources/text/003_*.txt,none,
C52,spot_audit_cross,Q-2026通州期末-11,paper_006_答案表_Q11_C,PASS,P2,006 参考答案表 Q11=C confirmed; cross-mounted (辩证思维迁移/思维抽象具体 + 类比 推理),02_extraction/priority_queue_sources/text/006_*.txt,none,
C53,spot_audit_cross,Q-2026顺义一模-19-1,paper_001_L328-334_rubric_002_L31-42,PASS,P2,Paper L328-334 contains 19(1) 推理对错 prompt; rubric L31-42 covers 演绎推理两条件; cross-mounted (科学思维 + 三段论/判断 推理),02_extraction/priority_queue_sources/text/001_*.txt + 002_*.txt,none,
C54,spot_audit_cross,Q-2026顺义一模-19-2,paper_001_L340-353_rubric_002_L44-48,PASS,P2,Paper L340-353 contains 19(2) 具身机器人 科学思维三特征 prompt; rubric L44-48 covers 客观性+预见性+可检验性; cross-mounted (科学思维 + 三段论/判断 推理),02_extraction/priority_queue_sources/text/001_*.txt + 002_*.txt,none,
C55,spot_audit_cross,Q-2026顺义一模-5,paper_001_Q5_rubric_002_answer_table_Q5_D,PASS,P2,001试卷Q5 + 002细则.pptx答案表(Q5=D) confirmed via Codex extraction recovery; cross-mounted (发散 + 判断/周延 推理),02_extraction/priority_queue_sources/text/001_*.txt + 002_*.txt,none,
C56,backcheck_consistency,,backcheck_report_FAIL_vs_local_audit_PASS,WARN,P3,phase05_archive_backcheck_report.md says FAIL Q11 pairing lock respected but phase05_codexA_local_audit.md A10 says PASS and Lane B independent verify confirms PASS,06_conflicts/phase05_archive_backcheck_report.md vs codex_lane/phase05_local_audit/phase05_codexA_local_audit.md,Codex A re-run backcheck script,Internal Codex inconsistency between two Codex-A artifacts; Lane B verification supports the local audit (PASS); recommend Codex A regenerate backcheck report
C57,no_student_draft_phase05,,no_phase05_file_authorizes_student_artifact,PASS,P0,grep across all phase05 files: 0 STUDENT_DRAFT_AUTHORIZED / 0 final PASS positive phrases; only NO_STUDENT_DRAFT and NO_STUDENT_DRAFT_YET_GPT_BLOCKED appear,05_coverage/phase05_*.csv + 05_coverage/phase05_*.md,none,Phase05 archive remains evidence-only
C58,no_audit_words_in_archives_acceptable,,phase05_archives_are_not_student_artifacts_so_locators_allowed,PASS,P0,Source paths/locators present but only inside evidence/audit fields; no student draft text exists,05_coverage/phase05_*.csv + 05_coverage/phase05_*.md,none,Audit-style content acceptable in evidence archive per task spec
