sheet	row	序号	题目定位	题目定位/模块	来源	维度	原severity	严重程度	v34状态	问题原文（摘录）	问题说明	复核说明（含仍需修改建议）	修改建议
①汇编v34复核	39	38		2024·海淀·一模·19题		答案与评分逻辑	中		部分改			"v34层次1著作权(1分)+层次2侵权(2分)+层次3不正当竞争(2分)+层次4(2分)=7分，仍凑不满题头""19（8分）""及水平4(7-8分)。""未准确答出著作权只得1分""说明层次1满分仍是1分，四层加总=7≠8。仍需：将层次1正面满分提为2分(著作权+著作人身/财产权各1分)，或在某层补1分，使四层加总=8分与8分题头闭合。"	
①汇编v34复核	40	39		2024·西城·一模·第18题第3问		答案与评分逻辑	中		部分改			"v34【答案落点】已分行列出赡养义务、五选二、权益保护、意义等较清晰；但【细则】(line212-213)正文仍是""（2分，五选二）……（1分，多选一）……（2分，多选一）""与变通/替换说明混排的旧版。仍需：将细则正文踩分点与分值单列、与变通项分行。"	
①汇编v34复核	41	40		2025·东城·一模·第19题		法律准确性	中		部分改			"v34【细则】③遗产管理制度已单列层次，区分有改善；但材料表格(line262)仍把""符合可以分给适当遗产情形""与""申请人民法院指定遗产管理人""并在同一格表述，且全题仍未补民法典第1131条(酌分)、第1146条(指定管理人)条号。仍需：补两项制度条号并厘清表述。"	
①汇编v34复核	42	41		2025·东城·二模·第19题		法律准确性	中		部分改			"v34案件三③体现的民法原则(line288)仍为""公平原则（1分）可替换：诚信原则（1分）""，以公平原则为首选、诚信为可替换；该软性意见v33判为可维持，建议在细则注明诚信原则同为格式条款规制核心，v34细则仍未加此注。仍需：可维持公平原则，但宜在细则补注""格式条款提示说明义务亦可落到诚信原则""。"	
①汇编v34复核	43	42		2025·丰台·期末·第19题		答案与评分逻辑	中		部分改			"v34【细则】(line352-353)已给7个踩分点各标(1分)=7分；但""评分标准说明""(line354)仍称""本题7分，法理依据占4分，现实意义占3分，法理依据方面采用1+1+1+1""，7个inline点与""法理4分(1+1+1+1)""的对应、第39条(1分)归法理还是现实仍不清。仍需：明确列出法理4分、现实3分各自对应哪几个踩分点。"	
①汇编v34复核	44	43		2025·延庆·一模·第19题		法律准确性	中		部分改			"v34【细则】与【答案落点】(line369、374)已改为""杨某已获退款，买卖合同相应解除或终止，杨某负有返还货物的义务；如已无法返还，应承担相应返还价款责任""，已补""或终止""及返还价款责任；但""相应解除/终止""仍未交代依据(约定/法定/协商)，仍未点明构成不当得利。仍需：补解除/终止依据或注明""已无法返还构成不当得利应返还价款""。"	
①汇编v34复核	45	44		2025·房山·一模·第19题		答案与评分逻辑	中		部分改			"v34【细则】(line384-387)仍列①不正当竞争(2+2)②惩罚性赔偿(2)③道德(1)④劳动者(2)⑤民法原则(1)⑥必修三(2)，可得点仍超8分；已补""总分不超过8分""""单纯写知识没有材料总分不超过6分""封顶规则；但④劳动者""保守秘密义务""在""谈法治价值""设问下仍未标可选/拓展。仍需：将④标注为可选角度。"	
①汇编v34复核	46	45		2025·朝阳·二模·第20题第2问		答案与评分逻辑	中		部分改			"v34细则(line470-471)已列""①拆除设备1分②清除信息1分""及""只写其一只给1分""规则，但仍未直接写""二者须同时答出方得满分2分""；且""只写更换/拆除设备只给1分""与正向①""拆除摄像头1分""措辞仍易混。仍需：补一句""二者同时答出方得满分2分，只答其一得1分""。"	
①汇编v34复核	47	46		2025·朝阳·期末·第20题		法律准确性	中		部分改			"v34裁判结果(line494)已补""停止侵害可替换为停止数据使用等相关表述""；但仍保留""被告停止侵权、消除影响""，""消除影响""用于数据竞争权益是否恰当之处未删去或改为可选。仍需：将""消除影响""作为可选项或删去，主表述用""停止不正当竞争行为(停止数据使用)、赔偿损失""。"	
①汇编v34复核	48	47		2025·朝阳·期末·第20题		答案与评分逻辑	中		部分改			"v34【答案落点】(line503)已补""案件三也可从合同关系作答""，侵权/违约择一路径明确；但题头(line491)仍仅""20.（10分）""，未标注案件二、案件三各占几分、各踩分点(①—⑥)分值及与10分总分对应。仍需：标注本案各踩分点分值及与10分的对应关系。"	
①汇编v34复核	49	48		2025·海淀·期中·第21题第1问		答案与评分逻辑	中		部分改			"v34【答案落点】已补""评分提醒：分析要覆盖时代背景、男女个体、科学立法…不能只罗列结论""(line559)；但【细则】(line552)角度一仍为2+1+1=4分(知识2+材料1+材料1)、角度二仅""知识1分""无配套材料分析点，5分在两角度4:1分布、角度二无材料分析的失衡仍在。仍需：在细则说明""两角度可任选其一或兼顾，分析共5分按要点累计、上不封顶到5分""。"	
①汇编v34复核	50	49		2025·海淀·期末·第21题		法律准确性	中		部分改			"v34案例二【细则】(line591)仍为""刘某作为普通劳动者，并非负有保密义务的人员…协议无效""，仍以""普通劳动者=非保密义务""一刀切；但同题【答案落点】(line595)亦同此表述。原意见(改为""刘某从事拌黄瓜等大众菜冷菜制作，不属于掌握核心商业秘密、依法可约定竞业限制的人员"")未落实。仍需：按上次建议改写为以岗位性质定性。"	
①汇编v34复核	51	50		2025·石景山·一模·第20题		答案与评分逻辑	中		部分改			"v34细则(line611-613)已较清晰为""法理依据(案例一)一方面2分/两方面4分""""事实依据(案例二)一点2分/两点4分""，4+4=8分框架清楚；但""保障作用②""(对发展新质生产力的保障作用，line613)仍无独立分值标注，三块在8分内最终分配仍不明。仍需：明确保障作用②是否单独赋分及三块在8分内的最终分配。"	
①汇编v34复核	52	51		2025·西城·二模·第18题		法律准确性	中		部分改			"v34资料卡引民法典第一百五十七条(line637)已补至""各方都有过错的，应当各自承担相应的责任。""，但仍止于此句，既无省略号也未补末句""法律另有规定的，依照其规定。""——与v33同状。原判核心(完整引用不完整)仍成立。仍需：加省略号标节选，或补末句""法律另有规定的，依照其规定""。"	
①汇编v34复核	53	52		2025·西城·二模·第18题		答案与评分逻辑	中		部分改			"v34细则(line639-640)仍称""法院判定平台和小刘父母都应承担相应责任""；但【答案落点】(line646)已改为""法院判平台返还部分款项而非全额返还，正体现按各方过错比例承担相应责任""。落点已纠偏，但细则正文仍留""判定平台和小刘父母都应承担相应责任""易误导(材料判决仅平台退款24万，父母未被判担责)。仍需：细则正文同步改为""按各方过错法院判平台返还部分款项，体现各自承担相应责任与公平原则""，删去""小刘父母都应承担相应责任""。"	
①汇编v34复核	54	53		2026·东城·期末·第18题第1问		法律准确性	中		部分改			"定性正确（生产者无过错产品责任、销售者一般过错侵权责任），表意通顺；但细则末仍保留""'无过错推定'为错误表述""这一不规范提法（第765行）。仍建议删去该反面提法，直接表述规范概念（过错推定责任/无过错责任），避免学生记住""无过错推定""一词。"	
①汇编v34复核	55	54		2026·丰台·二模·第18题		错别字与表述	中		部分改			"金额自相矛盾仍在：正文调解方案仍写""由李某分期支付赔偿款""，结尾仍写""李某当庭向张某支付赔偿款2600元""（第813行），分期与当庭一次性付款矛盾未除；2600元与""主张35000元、仅同意1000元""落差仍大、来源不明。v34仅在细则补了生态环境法典施行时点说明，金额口径未动。仍需改为""当庭支付首期××元并承诺分期支付剩余款项""或统一金额口径。"	
①汇编v34复核	56	55		2026·朝阳·二模·第18题		法律准确性	中		部分改			"答案落点已澄清""墙砖脱落、花盆坠落更接近物件脱落、坠落责任，通常适用过错推定…如原题明确指高空抛物，再按高空抛物规则处理""（第957行）；但【材料】问题一仍把""墙砖脱落、花盆坠落""与""高空抛物、坠物""混作一谈，并笼统称""这类情形适用'②'原则，即当事人提出诉讼主张时，由对方负责举证""（第944行），材料端概念边界仍未澄清。仍需修正材料表述，区分第1253条（过错推定）与第1254条（高空抛物补偿）。"	
①汇编v34复核	57	56		2026·石景山·二模·第19题		法律准确性	中		部分改			"v34细则已改写为""教：相关法律规定父母、学校等应对未成年人进行必要的约束、引导、批评教育和保护""（第1084行），并在答案落点补""不宜笼统写成民法典独有表述""（第1089行），不再把""约束、合理惩戒""明确归属民法典第26条，定性误差已弱化；但仍未明确点出该内容出自未成年人保护法第16条，且把""约束、引导、批评教育""与民法典抚养教育保护义务混合表述。仍建议直接援引未成年人保护法第16条，或将民法典义务表述为""第26条规定抚养、教育和保护义务""以彻底厘清归属。"	
①汇编v34复核	58	57		2026·西城·二模·第18题第2问		答案与评分逻辑	中		部分改			"v34已在细则补""评分口径提示：本稿按三个角度各2分呈现；原细则另有'任选两个角度…每角度3分'的表述，实质…总分6分""（第1129-1130行），点明两套赋分的关系、明确总分6分；但正文三点仍按""各2分""逐条标注（释放产业创新活力2分/统一裁判标准2分/长期健康发展2分），未直接改为""任选两点、每点3分""。歧义已通过口径提示缓解，但仍建议正文统一为""任选两个角度，每个3分，共6分""。"	
①汇编v34复核	59	58		2026·通州·一模·第20题		法律准确性	中		部分改			"v34法律依据栏已重建为真表格并补全第1198条主体""群众性活动的组织者未尽到安全保障义务造成他人损害的，应当承担侵权责任""，另补入第1176条自甘风险条款（第1174行）；但第1198条仍只引及第一款，未补""因第三人行为造成他人损害…承担相应的补充责任""第二款，亦未标""（节选）""。本案核心适用第1176条+第1198条第一款，定性无误；仍建议补全第二款或标注节选。"	
①汇编v34复核	60	59		2026·顺义·一模·第18题		法律准确性	中		部分改			"v34答案落点已补""可结合B公司关联公司为张某缴纳社保说明利益关系""（第1234行）；但细则正文仍直接以""张某与配偶…生产、经营所得属于夫妻共同财产，具有利益一致性""作为认定违反竞业限制的主据（第1227行），未在细则端突出""张某本人实际参与/受益于竞业经营（社保缴纳）""。仍建议细则正文也突出社保缴纳等""实际参与竞业""事实证据，而非仅凭夫妻共同财产推定。"	
①汇编v34复核	61	60		2024·石景山·一模·第18题第2问		法律准确性	低		部分改			"v34【答案落点】末点已为""经人民法院司法确认有效的调解协议具有强制执行效力；一方不履行的，另一方可以申请人民法院强制执行""；但【细则】正文(line174)仍为""经人民法院司法确认有效的调解协议，具有强制执行效力""，未补""可申请强制执行""。仍需：细则同步补""一方不履行的，另一方可以申请人民法院强制执行""，与落点一致。"	
①汇编v34复核	62	61		2026·东城·一模·第18题		题源与同题组	低		部分改			"[对应v33新回归2]v34细则中""案例三…（与案例一不重复给，1分）总说：""仍紧贴上一采分点排在同段未另起，且""案例一""标签仍被换行打断（第738-739行""与案例\n一不重复给""；""总说：""直接续在""1分）""之后）。四层（案例一/二/三/总说）界限仍未完全清晰，""总说""易被误读为案例三下位点。仍需将""总说：""另起一行单列、修复被换行打断的标签。"	
①汇编v34复核	63	62		2026·丰台·一模·第20题		法律准确性	低		部分改			"v34材料引文已规范（第792行第1198条原文含""未尽到安全保障义务""）；但细则与答案落点仍写""宾馆、商场等公共场所经营者、管理者未尽到安全保障义务造成他人损害的，应当承担侵权责任""，与第1198条相比删略了主体且未照搬原句结构。落点端已含""未尽到安全保障义务""关键语，定性无误，可视为基本贴合；若求严谨，仍可统一为完整援引第1198条主体表述。"	
①汇编v34复核	64	63		2026·朝阳·期末·第18题第1问		答案与评分逻辑	低		部分改			"v34细则仍将""5.判决的法律意义（2分）""列为踩分点（第973行），与设问只问""判决的依据""口径仍有偏差；细则已补""四个维度中选两个即可，消费者、经营者二选一，消费环境、公平正义二选一""等择优口径。仍建议将设问微调为""说明判决依据及其意义""或在细则点明依据可延伸至意义，使口径一致。"	
①汇编v34复核	65	64		2026·顺义·二模·第18题第2问		答案与评分逻辑	低		部分改			"v34细则仍跨""必修3《政治与法治》""与""选必2《法律与生活》""两本组织答案（第1241-1242行），未标两部分各占几分；答案落点已分列""选必二角度…必修三角度…""（第1244、1247行）使结构清晰。设问含""运用法治知识""可涵盖两模块。仍需明确两部分赋分（如侵权权利2分、选必二维权3分、必修三治理3分）。"	
①汇编v34复核	66	65		2024·东城·一模·第19题		错别字与表述	高		已改			"[v33新回归]v34案件2(line15)已恢复连贯：""冯某与其母程某约定，自2018年3月起…自2019年1月起，冯某再未支付上述费用…""，诉讼时效定义已抽为独立【资料卡】段(line16)，原双栏抽取串栏(""2019年1月[资料卡定义…]起"")已消除。回归已修复。"	
①汇编v34复核	67	66		2024·海淀·一模·第19题		错别字与表述	高		已改			"[v33新回归]v34材料(line122-123)已恢复连贯：""甲公司系一家以计算机图形学和AI技术为核心的科技公司，Ada系…于2019年10月、11月通过某平台发布…""，资料卡(虚拟数字人定义)已抽为独立【资料卡】段(line124)，原""科资料卡技公司""等穿插串栏已消除。回归已修复。"	
①汇编v34复核	68	67		2026·石景山·一模·第18题		错别字与表述	高		已改			"[对应v33新回归1]v34示例表格已以真表格重建为""案例|举证责任分配方式|理由""三列对齐：案例一公诉案件检察院举证、案例二行政诉讼被告举证、案例三待填（第1064-1069行）；正文中重复的表头串行文字已删除，左右串行交错已消除，学生可据材料读出案例一/二示范填法。回归问题已修复。"	
①汇编v34复核	69	68		2024·西城·一模·第18题第1问/第2问		题源与同题组	中		已改			"[v33新回归]v34第1问(line183-184)、第2问(line197-198)、第3问(line208-209)材料均已统一为""赡养费""，同案三个分问材料用词已一致(子女对父母为赡养)。回归已修复。"	
①汇编v34复核	70	69		2025·丰台·一模·第19题		答案与评分逻辑	中		已改			"v34【细则】(line318)已补""评分标准说明（本题8分封顶）""，文末(line319)已补""上述角度择优累计，总分不超过8分""。本题总分8分及封顶规则均已标注。原意见已落实。"	
①汇编v34复核	71	70		2025·丰台·二模·第19题第2问		答案与评分逻辑	中		已改			"v34【细则】(line334-335)已统一为8分口径，三段各标(2分)(3分)(3分)=8分，并明确""本稿统一为8分口径，不重复并列两套切分""，旧""标准/说明""两套切分已合并。原意见已落实。"	
①汇编v34复核	72	71		2025·丰台·期末·第19题		错别字与表述	中		已改			"v34材料法条已重建为真表格(line347-349)，《劳动法》第三条与《劳动合同法》第三十九条分列两栏、各自文字连贯，原严重串栏(""选择职业《劳动合同法》的权利……"")已消除。原意见已落实。"	
①汇编v34复核	73	72		2025·顺义·一模·第19题第2问		错别字与表述	中		已改			"[v33新回归]v34第2问材料(line714)已为""侵犯甲公司合法权益""，""甲公司公司""衍字已删，与第1问(line693)一致。回归已修复。"	
①汇编v34复核	74	73		2026·东城·二模·第19题		答案与评分逻辑	中		已改			"v34细则已改为""商业诋毁/不正当竞争定性计2分。若只笼统写违背诚信原则，且未说明商业诋毁或不正当竞争，只给1分""，删去了原""2分/1分并存""的两个独立分值，歧义消除，与上次建议一致。"	
①汇编v34复核	75	74		2026·海淀·二模·第18题第2问		错别字与表述	中		已改			"[对应v33新回归3]v34本题落点与细则中""财 产权""""知识产 权""""流通使 用""""上述法 律""等词内OCR断字已全部清理（第1008-1017行均正常连写），全文检索无残留。回归问题已修复。"	
①汇编v34复核	76	75		2026·石景山·一模·第18题		题源与同题组	中		已改			"v34材料表格已重建为真表格，表头与三行示例均统一使用""案例一/案例二/案例三""（第1066-1069行），正文不再出现""案件一/二/三""（全文检索无匹配），标签已统一，与上次建议一致。"	
①汇编v34复核	77	76		2026·石景山·一模·第18题		答案与评分逻辑	中		已改			v34【材料】举证责任分配表已重建为对齐真表格（第1064-1069行：案例一刑事公诉/检察院举证、案例二行政诉讼/被告举证、案例三民事侵权待填①②③），原v33严重串栏已消除，学生可据表把①②③与案例对应；细则①②③与各案例对应关系亦清晰（第1071-1072行）。串栏问题已解决。	
①汇编v34复核	78	77		2024·东城·二模·19题第1问		答案与评分逻辑	低		已改			"v34【细则】已补""原告、被告身份不单列给分，但须在诉讼请求和事实理由中保持一致""，【答案落点】末行亦为""原告、被告身份不单列给分，但必须在诉讼请求和事实理由中正确体现""。原意见(原被告身份须在诉讼请求里正确体现)已落实。"	
①汇编v34复核	79	78		2024·东城·二模·19题第1问		错别字与表述	低		已改			"v34【细则】理由部分已统一为""示例自称统一为'我公司'""，参考答案旧示例整段(我司/我方)已删除，不再出现""参考答案示例一(我司)""与""阅卷细则示例一(我公司)""两套并存。前一套""我司/我方""示例已不存在。原意见已落实。"	
①汇编v34复核	80	79		2024·东城·二模·第19题第1问		答案与评分逻辑	低		已改			"[v33新回归]v34第1问【细则】(line28-29)仅一套示例，自称统一为""我公司""(""示例自称统一为'我公司'"")，前一套""我司/我方""示例一已删除，不再并列两套示例一。回归已修复。"	
