sheet	row	序号	题目定位	题目定位/模块	维度	原严重度	严重程度	严重度	v33状态	问题原文（摘录）	问题说明	复核说明（含仍需修改建议）	修改建议	备注
①汇编v33复核	41	40	2026·丰台·一模·第20题		法律准确性	低			未改			"v33细则与答案落点仍为""宾馆、商场等公共场所经营者、管理者因过错造成他人损害的，应当承担侵权责任""，未按v32建议贴合第1198条原文。仍需改为""未尽到安全保障义务造成他人损害的，应当承担侵权责任""。"		
①汇编v33复核	42	41	2026·丰台·一模·第20题		答案与评分逻辑	低			未改			"v33第20题（8分）细则与答案落点仍为整段叙述，未拆分标注法理依据/现实意义各占几分，8分分配仍不明确。仍需按""法理依据5分、现实意义3分""或按要点拆分标注。"		
①汇编v33复核	43	42	2026·丰台·二模·第18题		法律准确性	低			未改			"v33材料与细则仍引《生态环境法典》""系统治理、生态优先、绿色发展""原则及""损害担责""理念，未注明该法典2026年8月15日才施行、本案2026年3月案发时尚未生效。仍需在材料或细则注明施行时点，避免学生误认案发时已可适用。"		
①汇编v33复核	44	43	2026·延庆·一模·第18题第1问		法律准确性	低			未改			"v33细则与答案落点仍仅定性""侵犯李某的肖像权、名誉权""，未按v32建议补充民法典第1019条（禁止利用信息技术手段伪造侵害肖像权）作AI深度伪造法条落点。属可选优化，建议补注第1019条提升严谨度。"		
①汇编v33复核	45	44	2026·房山·一模·第17题第1问		答案与评分逻辑	低			未改			"v33""辨析""题的结论与落点仍为单向""AI幻觉造成的损失不由A公司买单""，未补对梁某诉求合理性的辨析过渡。细则三维兜底基本可控；建议落点首句补半句辨析过渡以契合""辨析""题型。"		
①汇编v33复核	46	45	2026·朝阳·二模·第18题		错别字与表述	低			未改			"v33材料问题三仍为""原告应当举证可能违法构筑物确实影响其通行、通风、采光""，""可能违法构筑物""作宾语缺动词搭配、句子成分残缺未改。仍需改为""举证该（可能违法的）构筑物确实影响其通风、采光等相邻权益""。"		
①汇编v33复核	47	46	2026·海淀·二模·第18题第2问		错别字与表述	低			未改			"v33细则与答案落点仍存在词内OCR断字：""财 产权""""知识产 权""""知识产 权""""流通使 用""等空格未删（见v33第1016、1018、1021行）。仍需删除词内多余空格，恢复为""财产权""""知识产权""""流通使用""。"		
①汇编v33复核	48	47	2026·海淀·期末·第18题第1问		答案与评分逻辑	低			未改			v33细则与答案落点（共6分）仍未逐点标注各采分点分值（结论/格式条款认定/公平原则或497条/限制主要权利/认定无效）。仍需拆分标注分值至加总6分。		
①汇编v33复核	49	48	2026·石景山·一模·第18题		法律准确性	低			未改			"v33③仍为""被告卢某作为建筑物的使用人，需要对事故发生没有过错承担举证责任""，未按v32建议补注""依据民法典第1253条""。属可选优化，建议补条号强化法条落点。"		
①汇编v33复核	50	49	2026·石景山·二模·第19题		题源与同题组	低			未改			"v33设问行""谈谈对…'惩''教'并行的认识。""仍未标分值，细则标""19．（8分）""，口径不一致未改。仍需在设问末补""（8分）""。"		
①汇编v33复核	51	50	2026·西城·二模·第18题第3问		答案与评分逻辑	低			未改			"v33细则仍为""发挥…示范指引与警示教育作用、规范权力运行、提升司法公正、推进依法行政。（任二，3分；一点2分，两点3分）""，""任二/一点/两点""三词并列、口径仍易混。仍需改为""答出任意一点2分，任意两点及以上3分""。"		
①汇编v33复核	52	51	2026·西城·二模·第18题第3问		错别字与表述	低			未改			"v33设问与细则、答案落点仍反复使用""推进国家治理能力现代化""，未统一为规范的""国家治理体系和治理能力现代化""。属低度，若仅指能力维度可保留；建议全题统一。"		
①汇编v33复核	53	52	2026·西城·期末·第17题		法律准确性	低			未改			"v33材料仍标""《中华人民共和国未成年人保护法》第七十四条第二款""，所引""设置时间管理、权限管理、消费管理等功能""内容款次仍未核正（该内容更接近第74条相关款项，标""第二款""存疑）。仍需核实并按实际款次标注。"		
①汇编v33复核	54	53	2026·通州·期末·第19题第1问		答案与评分逻辑	低			未改			v33第19题第1问（8分）细则与答案落点仍未给出踩分点分值分配（判决结论/程序合法/相邻关系原则及法条/价值导向各几分）。仍需补充踩分点分值。		
①汇编v33复核	55	54	2026·门头沟·一模·第18题第1问		答案与评分逻辑	低			未改			"v33第18题第1问（8分）细则仍按""诉讼主体/纠纷解决方式/法律效力""三点组织但未标每点分值。仍需补每点分值（如三角度各2分、逻辑与结论2分）。"		
①汇编v33复核	56	55	2026·门头沟·一模·第18题第1问		法律准确性	低			未改			"v33细则与答案落点仍以""公民、法人或者其他组织认为自己所享有或依法由自己管理、支配的民事权益受到侵害，可以向人民法院提出诉讼请求""概括公益诉讼起诉主体，仍用私益诉讼适格条件解释环境民事公益诉讼（其适格主体为法律规定的机关和有关组织）。仍需区分公益诉讼适格主体与一般私益诉讼起诉条件。"		
①汇编v33复核	57	56	2026·顺义·一模·第18题		法律准确性	低			未改			"v33细则与答案落点未补充劳动合同法第24条说明张某作为总经理属适格竞业限制对象。v32评价本身为""无需修改、建议可补充""，原判仅为可选完善；属保留状态。"		
①汇编v33复核	58	57	2024·海淀·一模·19题		答案与评分逻辑	中			部分改			"层次3""不正当竞争""已补标(得2分)，等级水平最高档已改为""水平4，7-8分""；但层次1(1分)+层次2(2分)+层次3(2分)+层次4(2分)=7分，仍凑不满设问标注的""19（8分）""。仍需：将层次1提为2分(或层次某点补1分)使四层加总=8分，与题头8分及水平4(7-8分)闭合。"		
①汇编v33复核	59	58	2024·西城·一模·第18题第3问		答案与评分逻辑	中			部分改			"【答案落点】已分行列出赡养义务1分/赡养内容2分(五选二)/权益保护1分/意义2分，较清晰；但【细则】正文仍是""（1分，多选一）……（2分，多选一）""与变通说明混排的旧版。仍需：将细则正文的踩分点与分值也单列、与变通项分行。"		
①汇编v33复核	60	59	2025·东城·一模·第19题		法律准确性	中			部分改			"【细则】③已将""遗产管理制度""单列为独立层次，制度区分有改善；但材料(line266)仍把""符合可以分给适当遗产情形""与""申请指定遗产管理人""并在同格，且未补民法典第1131条(酌分)、第1146条(指定管理人)条号。仍需：补两项制度的条号并厘清材料表述。"		
①汇编v33复核	61	60	2025·东城·二模·第19题		法律准确性	中			部分改			"【答案落点】已改为""文身合同效力待定；法定代理人拒绝追认后，合同归于无效""，环节完整；但【细则】仍为""限制民事行为能力人/法定代理人未追认（1分）+合同无效（1分）""，直接跳到合同无效，未经效力待定。仍需：细则同步补""效力待定→拒绝追认→无效""。"		
①汇编v33复核	62	61	2025·丰台·期末·第19题		答案与评分逻辑	中			部分改			"【细则】已给7个踩分点各标(1分)，加总=7分；但""评分标准说明""仍称""法理依据占4分，现实意义占3分……采用1+1+1+1""，7个inline点与""法理4分(1+1+1+1)""的对应、第39条(1分)归法理还是现实仍不清。仍需：明确列出法理4分、现实3分各自对应哪几个踩分点。"		
①汇编v33复核	63	62	2025·昌平·二模·第20题第1问		法律准确性	中			部分改			"裁判理由已补""AI不能成为作者或著作权主体""(加""作者"")；但""著作权法规定著作权人限于自然人、法人或非法人组织""这一偏绝对表述仍在(著作权可经继承/受让取得)。仍需：改为""著作权法上的作者为自然人、法人或非法人组织""。"		
①汇编v33复核	64	63	2025·朝阳·二模·第20题第1问		法律准确性	中			部分改			"【答案落点】已加强隐私利益、过错与必要限度的衔接说理；但【细则】②确权仍单列""楼道属共有部分，双方享有共有和共同管理的权利（1分）""，与隐私侵权的逻辑衔接在细则层面仍较弱。仍需：在细则点明共有部位安装设备须顾及他人权益，加强与隐私权、相邻关系衔接。"		
①汇编v33复核	65	64	2025·朝阳·二模·第20题第2问		答案与评分逻辑	中			部分改			"细则已较清晰列""①拆除设备…1分②清除信息…1分""及""只写其一只给1分""规则，口径较前清楚；但仍未直接写明""二者须同时答出方得满分2分""，且""拆除设备只给1分""与正向①""拆除摄像头1分""措辞仍易混。仍需：补一句""二者同时答出方得满分2分，只答其一得1分""。"		
①汇编v33复核	66	65	2025·朝阳·期末·第20题		法律准确性	中			部分改			"裁判结果已补""停止侵害可替换为停止数据使用等相关表述""；但仍保留""被告停止侵权、消除影响""，""消除影响""用于数据竞争权益是否恰当v32存疑之处未删去或改为可选。仍需：将""消除影响""作为可选项或删去，主表述用""停止不正当竞争行为(停止数据使用)、赔偿损失""。"		
①汇编v33复核	67	66	2025·朝阳·期末·第20题		答案与评分逻辑	中			部分改			"【答案落点】已补""案件三也可从合同关系作答""，明确侵权/违约择一路径；但题头仍仅""20.（10分）""，未标注案件三占几分、各踩分点(①—⑥)分值及与10分总分的对应。仍需：标注本案各踩分点分值及与10分的对应关系。"		
①汇编v33复核	68	67	2025·海淀·期中·第21题第1问		答案与评分逻辑	中			部分改			"【答案落点】已补""评分提醒：分析要覆盖时代背景、男女个体、科学立法……不能只罗列结论""，结构提示有改善；但【细则】角度一仍为2+1+1=4分、角度二仅""知识1分""无配套材料分析点，5分在两角度4:1分布、角度二无材料分析的失衡仍在。仍需：在细则说明""角度一、角度二可任选其一展开亦可兼顾，分析共5分按要点累计、上不封顶到5分""。"		
①汇编v33复核	69	68	2025·海淀·期末·第20题		法律准确性	中			部分改			"原题表格已重建为真表格，示例+①(第十九条产品责任)+②(第二十三条烈性犬)对应清晰，续块文字与表格已基本一一对应(法理无误)；惟同题下另有一处""########## 原题图 ##########""空块冗余。仍需：清理重复的原题图占位段。"		
①汇编v33复核	70	69	2025·石景山·一模·第20题		答案与评分逻辑	中			部分改			"细则已较清晰为""法理依据(案例一)一方面2分/两方面4分""""事实依据(案例二/反法)一点2分/两点4分""，4+4=8分框架清楚；但""保障作用②""仍无独立分值标注。仍需：明确保障作用②是否单独赋分及三块在8分内的最终分配。"		
①汇编v33复核	71	70	2026·东城·期末·第18题第1问		法律准确性	中			部分改			"v33已补正""生产者承担无过错产品责任，销售者承担一般过错侵权责任""并明确""不涉及过错推定责任或举证责任倒置；'无过错推定'为错误表述""，表意已通顺、定性正确；但仍保留""'无过错推定'为错误表述""这一不规范提法做反面警示。仍可微调为直接表述规范概念（过错推定责任/无过错责任），避免学生记住""无过错推定""一词。"		
①汇编v33复核	72	71	2026·丰台·二模·第18题		错别字与表述	中			部分改			"金额自相矛盾仍在：v33正文调解方案仍写""由李某分期支付赔偿款""，结尾却写""李某当庭向张某支付赔偿款2600元""，分期与当庭一次性付款矛盾未除，且2600元与""主张35000元、仅同意1000元""落差仍大、来源不明。仍需改为""当庭支付首期××元并承诺分期支付剩余款项""或统一金额口径。"		
①汇编v33复核	73	72	2026·朝阳·二模·第18题		法律准确性	中			部分改			"v33在答案落点已补充辨析""墙砖脱落、花盆坠落更接近物件脱落、坠落责任，通常适用过错推定，由所有人/管理人/使用人证明无过错；如确指高空抛物再按高空抛物规则处理""；但【材料】问题一仍把""墙砖脱落、花盆坠落""与""高空抛物、坠物""混作一谈并笼统称""由对方负责举证""，概念边界在材料端未澄清。仍需修正材料表述，区分第1253条（过错推定）与第1254条（高空抛物补偿）。"		
①汇编v33复核	74	73	2026·石景山·一模·第18题		答案与评分逻辑	中			部分改			"v33细则与答案落点已明确①对应案例二（行政诉讼）、②③对应案例三（民事·过错推定），①与②③错位的误导在落点端已澄清；但【材料】表格仍严重串栏（""案例 举证责任的分配方式 理由本案属于刑事诉讼…公诉案件由作为国家机关本案中，被告人朱某、宁某的人民检察院承担…""列间交错），学生据材料仍无法把①②③与案例一一对应。仍需重建材料表格使设问与示例行对齐。"		
①汇编v33复核	75	74	2026·通州·一模·第20题		法律准确性	中			部分改			"v33已用""原题结构重建""将第1198条引文补全为含""经营者、管理者或者群众性活动的组织者，未尽到安全保障义务，造成他人损害的，应当承担侵权责任""（法律依据栏，第1177行），主体已较完整；但仍未补""因第三人的行为造成他人损害的…承担相应的补充责任""第二款，亦未标""（节选）""。仍建议补全第二款或标注节选。"		
①汇编v33复核	76	75	2026·顺义·一模·第18题		法律准确性	中			部分改			"v33答案落点已补""可结合B公司关联公司为张某缴纳社保说明利益关系""，论证链有所补强；但细则正文仍直接以""张某与配偶…生产、经营所得属于夫妻共同财产，具有利益一致性""作为认定违反竞业限制的主据，未突出""张某本人实际参与/受益于竞业经营""。仍建议细则正文也突出社保缴纳等""实际参与竞业""事实证据，而非仅凭夫妻共同财产推定。"		
①汇编v33复核	77	76	2024·东城·一模·19题		答案与评分逻辑	低			部分改			"v33【细则】已改为三个踩分点各标(2分)，内部加总=6分清晰；但设问""谈谈法律规定诉讼时效……的原因""处及来源行仍未标注本题总分(6分)。仍需：在设问或细则头补注""（6分）""。"		
①汇编v33复核	78	77	2024·东城·二模·19题第1问		错别字与表述	低			部分改			"阅卷细则版示例已统一为""我公司""，但其上方""参考答案 示例一""整段仍用""我司""""我方""(我司于2024年3月10日…我方属于以默示方式)，且v33出现""参考答案示例一(我司)""与""阅卷细则示例一(我公司)""两套示例并存。仍需：删除或统一前一套示例一的""我司/我方""为""我公司""。"		
①汇编v33复核	79	78	2024·石景山·一模·第18题第2问		法律准确性	低			部分改			"【答案落点】末点已补""一方不履行的，另一方可以申请人民法院强制执行""；但【细则】正文仍为""经人民法院司法确认有效的调解协议，具有强制执行效力""。仍需：细则同步改为""可申请人民法院强制执行""，与落点一致。"		
①汇编v33复核	80	79	2024·西城·一模·第18题第3问		题源与同题组	低			部分改			"第3问材料(line213)已改为""未支持老人要求赡养费的主张""；但同案第1问(line189)、第2问(line203)材料仍为""未支持老人要求抚养费的主张""，造成同一案件三个分问材料用词不一致(详见新问题行)。仍需：三个分问统一改为""赡养费""。"		
①汇编v33复核	81	80	2025·东城·期末·第19题第1问		错别字与表述	低			部分改			"【答案落点】已改用""改变共有部分用途""；但【细则】思路1仍为""改变公有部分用途的法律程序问题""""涉及民法典对公共区域功能改变的规定""，公有部分/公共区域用语未改。仍需：细则统一为""共有部分""(民法典第278条)。"		
①汇编v33复核	82	81	2025·顺义·一模·第19题第1问		错别字与表述	低			部分改			"第1问材料(line697)已改为""侵犯甲公司合法权益""，衍字已去；但第2问材料(line718)仍为""侵犯甲公司公司合法权益""，同案另一分问衍字未修(详见新问题行)。仍需：第2问材料同步删去多余""公司""。"		
①汇编v33复核	83	82	2026·朝阳·期末·第18题第1问		答案与评分逻辑	低			部分改			"v33细则仍将""5.判决的法律意义（2分）""列为踩分点，与设问只问""判决的依据""口径仍有偏差；但细则已补""四个维度中选两个即可""等择优口径。仍建议将设问微调为""说明判决依据及其意义""或在细则点明依据可延伸至意义，使口径一致。"		
①汇编v33复核	84	83	2026·顺义·二模·第18题第2问		答案与评分逻辑	低			部分改			"v33细则仍跨""必修3《政治与法治》""与""选必2《法律与生活》""两本组织答案且未标两部分各占几分；但答案落点已分列""选必二角度…必修三角度…""使结构更清。仍需明确两部分赋分（如侵权权利2分、选必二维权3分、必修三治理3分）并确认设问是否允许跨模块作答。"		
①汇编v33复核	85	84	2024·海淀·二模·19题		法律准确性	高			已改			"【答案】与【细则】已统一为""认定居委会的扶养行为""""居委会尽到扶养义务""，全题用""扶养""，赡养/扶养混淆已消除。"		
①汇编v33复核	86	85	2025·昌平·二模·第20题第1问		答案与评分逻辑	高			已改			v33重排为第1问=案件一(本空3分，本题共6分)、第2问=案件二(本空3分，本题共6分)，细则各给①②③三点1分=3分，第1问与第2问分工及分值结构矛盾已解决。		
①汇编v33复核	87	86	2025·朝阳·一模·第19题		法律准确性	高			已改			"v33细则已删去""合同成立不等于生效""铺垫，③直接表述""根据民法典该合同属于可撤销合同；本案不属于无效合同情形""，成立/生效与可撤销的混淆已消除。"		
①汇编v33复核	88	87	2025·朝阳·一模·第19题		法律准确性	高			已改			"原""合同无效或可撤销（1分）""已删除，细则③改为""属于可撤销合同；本案不属于无效合同情形""，明确排除无效，法律硬伤已纠正。"		
①汇编v33复核	89	88	2025·海淀·一模·第18题		法律准确性	高			已改			"细则已明确""主题乐园可以依合同约定解除合同、停止年卡权益""""此处不是民法典上的合同撤销权，不写'撤销合同'""，撤销权/解除权混淆已纠正。"		
