sheet	row	序号	题目定位	维度	严重度	v33状态	v34处理结论	v34处理说明
①汇编v33复核	16	15	2025·西城·一模·第20题	法律准确性	中	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	17	16	2025·西城·二模·第18题	法律准确性	中	未改	v34已实改	v34已统一6分评分口径说明。
①汇编v33复核	18	17	2025·西城·二模·第18题	答案与评分逻辑	中	未改	v34已实改	v34已统一6分评分口径说明。
①汇编v33复核	19	18	2025·顺义·一模·第19题第2问	答案与评分逻辑	中	未改	v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
①汇编v33复核	20	19	2026·东城·二模·第19题	答案与评分逻辑	中	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	21	20	2026·海淀·期末·第19题	题源与同题组	中	未改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	22	21	2026·石景山·一模·第18题	题源与同题组	中	未改	v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
①汇编v33复核	23	22	2026·石景山·二模·第19题	法律准确性	中	未改	v34已实改	v34已将“民法典合理惩戒”改为“相关法律规定”，避免法条归属错误。
①汇编v33复核	24	23	2026·西城·二模·第18题第2问	答案与评分逻辑	中	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	25	24	2026·顺义·一模·第18题	答案与评分逻辑	中	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	26	25	2024·东城·二模·19题第1问	答案与评分逻辑	低	未改	v34已实改	v34已合并重复示例，统一为一套阅卷细则/示例口径。
①汇编v33复核	27	26	2024·石景山·一模·第17题	答案与评分逻辑	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	28	27	2024·西城·一模·第18题第3问	错别字与表述	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	29	28	2025·丰台·一模·第19题	法律准确性	低	未改	v34已实改	v34已补8分封顶，并明确民法典1185惩罚性赔偿路径。
①汇编v33复核	30	29	2025·房山·一模·第19题	题源与同题组	低	未改	教师取舍/软性保留	该题涉及多维法治价值，未在无正式细则源条件下硬删可选角度，保留为教师取舍项。
①汇编v33复核	31	30	2025·朝阳·二模·第20题第1问	答案与评分逻辑	低	未改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	32	31	2025·海淀·一模·第18题	错别字与表述	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	33	32	2025·海淀·二模·第18题	答案与评分逻辑	低	未改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	34	33	2025·海淀·期中·第21题第1问	法律准确性	低	未改	v34已实改	v34已把1950婚姻法与民法典两列法条重建为真表格。
①汇编v33复核	35	34	2025·海淀·期末·第20题	答案与评分逻辑	低	未改	v34已实改	v34已归位A6侵权责任，并明确本题6分、①②各3分。
①汇编v33复核	36	35	2025·西城·一模·第20题	错别字与表述	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	37	36	2025·西城·二模·第18题	法律准确性	低	未改	v34已实改	v34已统一6分评分口径说明。
①汇编v33复核	38	37	2025·西城·期末·第19题	法律准确性	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	39	38	2025·门头沟·一模·第20题	答案与评分逻辑	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	40	39	2025·顺义·一模·第19题第2问	错别字与表述	低	未改	v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
①汇编v33复核	41	40	2026·丰台·一模·第20题	法律准确性	低	未改	v34已实改	v34已把“因过错造成他人损害”修为“未尽到安全保障义务造成他人损害”；正式点分布仍保留风险。
①汇编v33复核	42	41	2026·丰台·一模·第20题	答案与评分逻辑	低	未改	v34已实改	v34已把“因过错造成他人损害”修为“未尽到安全保障义务造成他人损害”；正式点分布仍保留风险。
①汇编v33复核	43	42	2026·丰台·二模·第18题	法律准确性	低	未改	v34已实改	v34已补生态环境法典生效日边界，案发时点不写成已适用裁判依据。
①汇编v33复核	44	43	2026·延庆·一模·第18题第1问	法律准确性	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	45	44	2026·房山·一模·第17题第1问	答案与评分逻辑	低	未改	v34已实改	v34已改归A1民事主体与民事法律关系，并保留B4辨析认识。
①汇编v33复核	46	45	2026·朝阳·二模·第18题	错别字与表述	低	未改	v34已实改	v34已清理命题人内部标签碎片，并修正物件脱落/坠落过错推定表述。
①汇编v33复核	47	46	2026·海淀·二模·第18题第2问	错别字与表述	低	未改	v34已实改	v34已清理“财 产权/知识产 权/流通使 用/上述法 律”等OCR断字，并补答案落点；点分布仍按源证据风险保留。
①汇编v33复核	48	47	2026·海淀·期末·第18题第1问	答案与评分逻辑	低	未改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	49	48	2026·石景山·一模·第18题	法律准确性	低	未改	v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
①汇编v33复核	50	49	2026·石景山·二模·第19题	题源与同题组	低	未改	v34已实改	v34已将“民法典合理惩戒”改为“相关法律规定”，避免法条归属错误。
①汇编v33复核	51	50	2026·西城·二模·第18题第3问	答案与评分逻辑	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	52	51	2026·西城·二模·第18题第3问	错别字与表述	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	53	52	2026·西城·期末·第17题	法律准确性	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	54	53	2026·通州·期末·第19题第1问	答案与评分逻辑	低	未改	低/中风险留后续源核	未纳入v34硬改范围；需下一轮结合原题、正式细则或教师口径判断。
①汇编v33复核	55	54	2026·门头沟·一模·第18题第1问	答案与评分逻辑	低	未改	v34已实改	v34已将本题修为环境民事公益诉讼口径，删除私益诉讼套话。
①汇编v33复核	56	55	2026·门头沟·一模·第18题第1问	法律准确性	低	未改	v34已实改	v34已将本题修为环境民事公益诉讼口径，删除私益诉讼套话。
①汇编v33复核	57	56	2026·顺义·一模·第18题	法律准确性	低	未改	核对通过	复核意见本身标为无需修改，v34不另改正文。
①汇编v33复核	58	57	2024·海淀·一模·19题	答案与评分逻辑	中	部分改	v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
①汇编v33复核	59	58	2024·西城·一模·第18题第3问	答案与评分逻辑	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	60	59	2025·东城·一模·第19题	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	61	60	2025·东城·二模·第19题	法律准确性	中	部分改	教师取舍/软性保留	公平原则/诚信原则属于可并存软性口径，v34未强行改动，保留为教师取舍项。
①汇编v33复核	62	61	2025·丰台·期末·第19题	答案与评分逻辑	中	部分改	v34已实改	v34已把劳动法第三条/劳动合同法第三十九条重建为真表格。
①汇编v33复核	63	62	2025·昌平·二模·第20题第1问	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	64	63	2025·朝阳·二模·第20题第1问	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	65	64	2025·朝阳·二模·第20题第2问	答案与评分逻辑	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	66	65	2025·朝阳·期末·第20题	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	67	66	2025·朝阳·期末·第20题	答案与评分逻辑	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	68	67	2025·海淀·期中·第21题第1问	答案与评分逻辑	中	部分改	v34已实改	v34已把1950婚姻法与民法典两列法条重建为真表格。
①汇编v33复核	69	68	2025·海淀·期末·第20题	法律准确性	中	部分改	v34已实改	v34已归位A6侵权责任，并明确本题6分、①②各3分。
①汇编v33复核	70	69	2025·石景山·一模·第20题	答案与评分逻辑	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	71	70	2026·东城·期末·第18题第1问	法律准确性	中	部分改	v34已调轴/结构优化	v34保留A4/A6双层提醒，避免只按合同处理。
①汇编v33复核	72	71	2026·丰台·二模·第18题	错别字与表述	中	部分改	v34已实改	v34已补生态环境法典生效日边界，案发时点不写成已适用裁判依据。
①汇编v33复核	73	72	2026·朝阳·二模·第18题	法律准确性	中	部分改	v34已实改	v34已清理命题人内部标签碎片，并修正物件脱落/坠落过错推定表述。
①汇编v33复核	74	73	2026·石景山·一模·第18题	答案与评分逻辑	中	部分改	v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
①汇编v33复核	75	74	2026·通州·一模·第20题	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	76	75	2026·顺义·一模·第18题	法律准确性	中	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	77	76	2024·东城·一模·19题	答案与评分逻辑	低	部分改	v34已实改	v34已将诉讼时效资料卡独立，恢复案件2“自2019年1月起”连贯叙述。
①汇编v33复核	78	77	2024·东城·二模·19题第1问	错别字与表述	低	部分改	v34已实改	v34已合并重复示例，统一为一套阅卷细则/示例口径。
①汇编v33复核	79	78	2024·石景山·一模·第18题第2问	法律准确性	低	部分改	保留源证据风险	仍缺正式点分布细则源证据；v34只修已能证实的文字/法律表述，不凭建议臆造分值。
①汇编v33复核	80	79	2024·西城·一模·第18题第3问	题源与同题组	低	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	81	80	2025·东城·期末·第19题第1问	错别字与表述	低	部分改	v34已实改	v34已核验高层民用建筑消防安全管理规定第37条，并补本问2分、每问题1分说明。
①汇编v33复核	82	81	2025·顺义·一模·第19题第1问	错别字与表述	低	部分改	v34已调轴/结构优化	v34保留跨点提示，未把单一A3当全题唯一知识。
①汇编v33复核	83	82	2026·朝阳·期末·第18题第1问	答案与评分逻辑	低	部分改	部分采纳/待源证据	可证实的文字或结构问题已优先吸收；涉及正式细则分值或源图的部分留待回源。
①汇编v33复核	84	83	2026·顺义·二模·第18题第2问	答案与评分逻辑	低	部分改	v34已实改	v34已改为“本册仅收第18题第2问；第1问如其他模块另核验，不强挂”。
①汇编v33复核	85	84	2024·海淀·二模·19题	法律准确性	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	86	85	2025·昌平·二模·第20题第1问	答案与评分逻辑	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	87	86	2025·朝阳·一模·第19题	法律准确性	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	88	87	2025·朝阳·一模·第19题	法律准确性	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	89	88	2025·海淀·一模·第18题	法律准确性	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	90	89	2025·海淀·期末·第21题	答案与评分逻辑	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	91	90	2025·门头沟·一模·第20题	错别字与表述	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	92	91	2026·东城·期末·第18题第1问	错别字与表述	高	已改	v34已调轴/结构优化	v34保留A4/A6双层提醒，避免只按合同处理。
①汇编v33复核	93	92	2026·延庆·一模·第18题第1问	错别字与表述	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	94	93	2026·朝阳·一模·第18题	错别字与表述	高	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	95	94	2024·丰台·一模·17题	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	96	95	2024·朝阳·二模·17题	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	97	96	2024·石景山·一模·第17题	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	98	97	2024·石景山·一模·第18题第2问	法律准确性	中	已改	保留源证据风险	仍缺正式点分布细则源证据；v34只修已能证实的文字/法律表述，不凭建议臆造分值。
①汇编v33复核	99	98	2024·西城·一模·第18题第1问	法律准确性	中	已改	v34已实改	v34已统一同案分问为“赡养费”。
①汇编v33复核	100	99	2025·东城·一模·第19题	答案与评分逻辑	中	已改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	101	100	2025·昌平·二模·第20题第1问	答案与评分逻辑	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	102	101	2025·朝阳·一模·第19题	答案与评分逻辑	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	103	102	2025·门头沟·一模·第20题	答案与评分逻辑	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	104	103	2025·顺义·一模·第19题第1问	答案与评分逻辑	中	已改	v34已调轴/结构优化	v34保留跨点提示，未把单一A3当全题唯一知识。
①汇编v33复核	105	104	2026·东城·二模·第19题	答案与评分逻辑	中	已改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	106	105	2026·东城·期末·第18题第1问	答案与评分逻辑	中	已改	v34已调轴/结构优化	v34保留A4/A6双层提醒，避免只按合同处理。
①汇编v33复核	107	106	2026·东城·期末·第18题第2问	答案与评分逻辑	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	108	107	2026·丰台·二模·第18题	答案与评分逻辑	中	已改	v34已实改	v34已补生态环境法典生效日边界，案发时点不写成已适用裁判依据。
①汇编v33复核	109	108	2026·朝阳·一模·第18题	题源与同题组	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	110	109	2026·海淀·期末·第18题第1问	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	111	110	2026·西城·期末·第17题	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	112	111	2026·通州·一模·第20题	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	113	112	2026·通州·期末·第19题第1问	法律准确性	中	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	114	113	2024·海淀·一模·19题	错别字与表述	低	已改	v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
①汇编v33复核	115	114	2024·西城·二模·第16题	法律准确性	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	116	115	2024·西城·二模·第16题	题源与同题组	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	117	116	2025·昌平·二模·第20题第2问	题源与同题组	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	118	117	2025·朝阳·二模·第20题第2问	题源与同题组	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	119	118	2025·海淀·期末·第21题	错别字与表述	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	120	119	2026·丰台·期末·第18题	错别字与表述	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	121	120	2026·房山·二模·第18题第1问	法律准确性	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	122	121	2026·朝阳·期末·第18题第1问	法律准确性	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	123	122	2026·海淀·一模·第18题第3问	答案与评分逻辑	低	已改	保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
①汇编v33复核	124	123	2026·海淀·期末·第18题第2问	错别字与表述	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	125	124	2026·西城·二模·第18题第3问	题源与同题组	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	126	125	2026·通州·一模·第20题	题源与同题组	低	已改	复核通过	v33已改项在v34沿用；本轮未发现需再改的同类问题。
①汇编v33复核	127	126	2026·顺义·二模·第18题第2问	法律准确性	低	已改	v34已实改	v34已改为“本册仅收第18题第2问；第1问如其他模块另核验，不强挂”。
①汇编v33复核	128	127	2026·顺义·二模·第18题第2问	错别字与表述	低	已改	v34已实改	v34已改为“本册仅收第18题第2问；第1问如其他模块另核验，不强挂”。
①汇编v33复核	129	128	2024·西城·一模·第18题第1问	答案与评分逻辑	低	原判不成立	v34已实改	v34已统一同案分问为“赡养费”。
②汇编v33新回归	2	1	2024·东城·一模·第19题	错别字与表述	高		v34已实改	v34已将诉讼时效资料卡独立，恢复案件2“自2019年1月起”连贯叙述。
②汇编v33新回归	3	2	2024·海淀·一模·第19题	错别字与表述	高		v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
②汇编v33新回归	4	3	2026·石景山·一模·第18题	错别字与表述	高		v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
②汇编v33新回归	5	4	2024·西城·一模·第18题第1问/第2问	题源与同题组	中		v34已实改	v34已统一同案分问为“赡养费”。
②汇编v33新回归	6	5	2025·顺义·一模·第19题第2问	错别字与表述	中		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
②汇编v33新回归	7	6	2026·海淀·二模·第18题第2问	错别字与表述	中		v34已实改	v34已清理“财 产权/知识产 权/流通使 用/上述法 律”等OCR断字，并补答案落点；点分布仍按源证据风险保留。
②汇编v33新回归	8	7	2024·东城·二模·第19题第1问	答案与评分逻辑	低		v34已实改	v34已合并重复示例，统一为一套阅卷细则/示例口径。
②汇编v33新回归	9	8	2025·顺义·一模·第19题第2问	答案与评分逻辑	低		v34已实改	v34已删除“甲公司公司”等衍字，并去除重复阅卷细则。
②汇编v33新回归	10	9	2026·东城·一模·第18题	题源与同题组	低		v34已实改	v34已整理“总说”等层级，避免与案例三混读。
②汇编v33新回归	11	10	2026·朝阳·二模·第18题	答案与评分逻辑	低		v34已实改	v34已清理命题人内部标签碎片，并修正物件脱落/坠落过错推定表述。
②汇编v33新回归	12	11	2026·顺义·二模·第18题第2问	题源与同题组	低		v34已实改	v34已改为“本册仅收第18题第2问；第1问如其他模块另核验，不强挂”。
③宝典核对	2	1	2026·门头沟·一模·第18题第1问	法律准确性	高		v34已实改	v34已将本题修为环境民事公益诉讼口径，删除私益诉讼套话。
③宝典核对	3	2	2024·东城·一模·19题 案件2	错别字与表述	高		v34已实改	v34已将诉讼时效资料卡独立，恢复案件2“自2019年1月起”连贯叙述。
③宝典核对	4	3	2024·海淀·一模·第19题	错别字与表述	高		v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
③宝典核对	5	4	2025·海淀·期中·21题第1问(行119)	错别字与表述	高		v34已实改	v34已把1950婚姻法与民法典两列法条重建为真表格。
③宝典核对	6	5	2026·石景山·一模·第18题（材料表格/案例一二）	错别字与表述	高		v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
③宝典核对	7	6	2025·丰台·二模·第19题第2问	AB双轴与结构	中		v34已实改	v34已统一为B4评析认识，细则保留一套8分口径。
③宝典核对	8	7	2025·延庆·一模·第19题	AB双轴与结构	中		v34已实改	v34已归位A10纠纷解决程序，并把合同解除/返还义务改为更稳表述。
③宝典核对	9	8	2025·海淀·期末·第20题	AB双轴与结构	中		v34已实改	v34已归位A6侵权责任，并明确本题6分、①②各3分。
③宝典核对	10	9	2025·西城·二模·18题	AB双轴与结构	中		v34已实改	v34已统一6分评分口径说明。
③宝典核对	11	10	2025·顺义·一模·第19题第1问	AB双轴与结构	中		v34已调轴/结构优化	v34保留跨点提示，未把单一A3当全题唯一知识。
③宝典核对	12	11	2026·东城·期末·第18题第1问	AB双轴与结构	中		v34已调轴/结构优化	v34保留A4/A6双层提醒，避免只按合同处理。
③宝典核对	13	12	2026·房山·一模·第17题第1问	AB双轴与结构	中		v34已实改	v34已改归A1民事主体与民事法律关系，并保留B4辨析认识。
③宝典核对	14	13	2026·海淀·二模·第18题第2问(第34行)	AB双轴与结构	中		v34已实改	v34已清理“财 产权/知识产 权/流通使 用/上述法 律”等OCR断字，并补答案落点；点分布仍按源证据风险保留。
③宝典核对	15	14	2026·海淀·期末·第18题第1问	AB双轴与结构	中		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	16	15	2026·石景山·一模·第18题	AB双轴与结构	中		v34已实改	v34已将举证责任材料重建为三列表格，并补入答案落点和民法典1253提示。
③宝典核对	17	16	2026·石景山·二模·19题	AB双轴与结构	中		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	18	17	2026·西城·一模·第17题	AB双轴与结构	中		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	19	18	2026·西城·二模·第18题第1问	AB双轴与结构	中		编辑性建议待教师取舍	AB轴建议多属体例优化；v34仅采纳明确错位项，其余不强行改动。
③宝典核对	20	19	2024·海淀·一模·第19题	法律准确性	中		v34已实改	v34已将虚拟数字人资料卡独立，修复正文/资料卡串栏。
③宝典核对	21	20	2025·丰台·一模·第19题	法律准确性	中		v34已实改	v34已补8分封顶，并明确民法典1185惩罚性赔偿路径。
③宝典核对	22	21	2025·昌平·二模·第20题第1问	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	23	22	2025·昌平·二模·第20题第1问	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	24	23	2025·朝阳·期末·第20题	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	25	24	2025·石景山·一模·第20题	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	26	25	2025·西城·期末·第19题	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	27	26	2026·东城·二模·第19题	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	28	27	2026·房山·二模·第18题第1问	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	29	28	2026·朝阳·二模·第18题(第176/188-189行)	法律准确性	中		v34已实改	v34已清理命题人内部标签碎片，并修正物件脱落/坠落过错推定表述。
③宝典核对	30	29	2026·石景山·二模·19题	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	31	30	2026·西城·一模·第18题第2问	法律准确性	中		随汇编同步	与汇编同源；v34按汇编修复同步进入宝典。
③宝典核对	32	31	2024·东城·一模·19题	答案与评分逻辑	中		v34已实改	v34已将诉讼时效资料卡独立，恢复案件2“自2019年1月起”连贯叙述。
③宝典核对	33	32	2024·西城·二模·第16题	答案与评分逻辑	中		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
③宝典核对	34	33	2025·丰台·一模·第19题	答案与评分逻辑	中		v34已实改	v34已补8分封顶，并明确民法典1185惩罚性赔偿路径。
③宝典核对	35	34	2025·房山·一模·第19题	答案与评分逻辑	中		保留源证据风险	属于点分布/封顶/切分要求；未找到正式源证据时，v34不硬拆分值，列入后续回源核验。
