relative_path,text_path,snippet_no,start,end,snippet
2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,1,16,41,"C.做到了把严谨的科学态度和改良客观规律相结合，从而改造了自然
D.表明正确的自然观在改造自然的生产实践中发挥了决定性作用
A
本题主要考查学生对材料主旨的概括、理解能力，
选择最能体现选育“吃盐”植物驱盐化碱的哲学道理的选项。

A
6.要想准确鲜明地表达思想，思维必须合乎逻辑。下列表达中，符合逻辑规则的是
A.财产权可分为物权、债权、知识产权、著作权、商标权（越级划分）
B.我不赞成所有人都有崇高的理想，也不赞成所有人都没有崇高的理想（排中律）
C.所有的科技人员都是懂计算机的，并且有些不懂计算机的是科技人员（矛盾律）
D.我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念）
B
C
8.随着数字技术的迅猛发展，网络预约、线上购票已深入人们生活的方方面面。但看似智能简便的流程，却是部分人群的“数字鸿沟”。近日，文化和旅游部有关负责人表示，将推动旅游景区保留人工窗口。保留人工窗口的做法
①是建设保障权利、和谐有序的社会主义法治社会的题中之义（不可或缺的关键、核心、目的）
②是通过在服务便利化上做减法，让数字便利关照更多人的生活
③不仅适用于文化和旅游领域，而且也值得其他领域借鉴
④体现了政府部门“致广大而尽精微”，践行以人民为中心的思想
A.①②	    B.①③	    C.②④	    D.③④
D
9.几名中学生针对许多小区存在闲置车辆长期占用车位，导致小区车位紧张的问题，在模拟政协活动中提出解决该问题的提案。市政协委员关注到了这一模拟提案，指导同学们务实调查、充实内容、完善提案。在此基础上，市政协委员向市政协会议提交了相关正式提案。从“模拟提案”到“正式提案”的探索
①需要针对所研究的问题制定具体政策，协调多方利益
②有益于提高学生引领社会治理、参与政治生活的能力
③需要坚持系统观念，有序地完成调查研究和思考任务
④有益于增进学生对于中国特色社会主义制度的特点和优势的理解"
2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,2,171,202,"“应如何类”，但材料中并未明确“存在何种问题”，
需要提取材料信息，找到发展银发经济的切入点，在答案建构时，落脚点要落在“增进老年人福祉”上。
政府主体
政策、产业角度：
（1）制定和完善相关政策支持和引导银发事业和产业，推进养老产业的供给侧结构性改革，引导行业布局的优化重组，（优化产业结构）/扩大产品供给，提升质量水平，增强老年人的安全感、获得感、幸福感；
宏观调控角度：
（2）政府要实行科学的宏观调控，通过财政税收和金融政策，/激发市场主体活力，培育发展银发经济领域龙头企业;，更好满足老年消费需求；
市场监管角度：
（3）通过市场监管，规范银发经济市场秩序，依法严厉打击涉老诈骗行为，/更好维护老年消费者合法权益，2.企业主体
经营战略角度：
（1）抓住市场与政策机遇，调整经营策略，/主动占领银发经济市场;
技术创新角度：
（2）强化老年用品创新，/打造智慧健康养老等新业态，丰富“养老”和“备老”产品的供给，提升银发产品的质量和服务水平；设立银发消费专区，拓宽消费渠道，满足老年消费者的多样化需求；
诚信经营角度：
（3）企业依法诚信经营，树立良好信誉形象，坚持经济效益与社会效益统一，/维护老年消费者合法权利。3.发展银发经济应推动有效市场和有为政府更好结合，实现应对人口老龄化和促进经济社会发展相结合，增进老年人福祉。/充分发挥市场在资源配置中的决定性作用（1分）
评分细则：每个角度2分，政府、企业选两个主体，选3个角度就6分；
1个主体最高4分，2个主体6分。
18.（16分）科技创新、科学普及是实现创新发展的两翼。
材料一 加快建设北京国际科技创新中心，是党中央赋予北京的重大战略任务，既需要有坚实有力的法制保障，更需要法制的严格实施。
北京市第十六届人民代表大会第二次会议表决通过了《北京国际科技创新中心建设条例》。条例紧紧围绕“建设一个什么样的国际科技创新中心、怎么建设国际科技创新中心”作出规定，为高质量建设国际科技创新中心提供法制保障。
《北京国际科技创新中心建设条例》制度覆盖面广、涉及主体多，后续需要各方齐心协力，共同抓好贯彻落实。
（1）《北京国际科技创新中心建设条例》于2024年3月1日起施行。结合材料一，运用《政治与法治》知识，为推动条例的贯彻落实提出合理建议。（8分）
一是有关部门积极开展条例的宣传解读，增进理解，营造“知法尊法”良好氛围。
二是政府"
2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,3,229,258,"话题选择
问题设计
教考衔接

注重对教材基础内容的整合、深化、拓展，指导师生完善知识结构，织补知识漏洞。
重视对教材变化点的考查，引导师生与时俱进备考。
2.试题特点：精准把握北京等级考命题题规律和评价要求
参考答案：
社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。

诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。

诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。
意义叙写原则：
由小到大 由近及远 由直接到间接


1
以法律为准绳


2
以事实为依据
明确主体有哪些；
民事主体的行为是否侵权/违约；
侵犯了XXX权利


4"
2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d64506799887753e_2024朝阳一模细则.txt,4,275,312,"法院判决的典型意义类
     前因      +           意义或影响


理论原因
现实原因
评分细则：
总述（1分）
社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。（民法典将诚信原则确立为基本原则之一/凸显了社会主义核心价值观/坚持法治和德治相结合，均可给1分）
分述（6分）
角度一：诚信原则要求（1分）+有利于（2分）
诚信原则要求合同当事人按照约定全面履行义务（替换：诚信履行1分），
有利于
1、规范民事主体行为（替换：尊重和维护民事主体/当事人/A公司/双方/企业的合法权利，给1分）；
2、司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序
（替换：公平竞争/规范市场秩序/建立统一开放竞争有序的市场体系/营造良好的营商环境/良好的市场环境，抄设问词语不给分）。（1分）
角度二：诚信原则要求（1分）+有利于（2分）
诚信原则要求经营者依法、诚信经营/企业诚信经营（1分），
有利于
保护消费者的合法权益,（替换：知情权、安全消费的权利）
平衡经营者与消费者之间的关系，（平衡、解决信息不对称问题）
有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。（激发市场活力/社会和谐稳定）
（写出以上任意1点给1分，总分不超过2分）
20（1）参考答案：
以上推理属于充分条件假言推理。
充分条件假言判断，前件真，后件一定真，后件假，前件一定假。
考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。

细则：
推理类型： 充分条件假言推理（1分），没有替代，其他表述都不给分。
理由：充分条件假言判断，前件真，后件一定真，后件假，前件一定假。（2分）
替代：肯定前件，就能肯定后件/肯定前件式/前真后必真
考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。（2分）
结合材料分析，踩意。
20（2）示例：
前提1:只有A区域古代气候温暖，A区域古代才有可能生长竹子。
前提2:A区域古代广泛生长着竹子"
2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\25b655e73b7424e7_202404朝阳高三一模试题.txt,1,50,115,"北京大运河博物馆标志
三大文化建筑的开放
①是传承北京历史文脉、落实首都战略定位的重要举措和生动实践
②融通了各种资源ꎬ旨在实现城市现代文明与悠久运河文化的碰撞
③有利于让文化发展成果更好地惠及人民ꎬ满足大众精神文化需求
④打造了全面展示中华传统文化、服务京津冀协同发展的文化阵地
Ａ􀆰 ①③ Ｂ􀆰 ①④ Ｃ􀆰 ②③ Ｄ􀆰 ②④
６􀆰 要想准确鲜明地表达思想ꎬ思维必须合乎逻辑ꎮ 下列表达中ꎬ符合逻辑规则的是
Ａ􀆰 财产权可分为物权、债权、知识产权、著作权、商标权
Ｂ􀆰 我不赞成所有人都有崇高的理想ꎬ也不赞成所有人都没有崇高的理想
Ｃ􀆰 所有的科技人员都是懂计算机的ꎬ并且有些不懂计算机的是科技人员
Ｄ􀆰 我无法一天读完老舍的作品ꎬ« 茶馆» 是老舍的作品ꎬ因此我无法一天读完« 茶馆»
７􀆰 抢占科技制高点ꎬ必须坚持原始创新、集成创新、开放创新一体设计ꎬ实现有效贯通ꎮ
下列说法正确的是
①原始创新中的创新思维ꎬ深深地依赖迁移、想象、逆向等逻辑思维活动
②集成创新中的创新思维ꎬ具有跨越性ꎬ但不排斥有步骤的逻辑推导与分析
③开放创新中的合作创新ꎬ离不开对前人和他人已有成果的继承与借鉴
④有效贯通发散思维、聚合思维、超前思维方法ꎬ就能确保抢占科技制高点
Ａ􀆰 ①③ Ｂ􀆰 ①④ Ｃ􀆰 ②③ Ｄ􀆰 ②④

高三思想政治　 第 ３　　　　 页( 共 ８ 页)
８􀆰 随着数字技术的迅猛发展ꎬ网络预约、线上购票已深入人们生活的方方面面ꎮ 但看似智
能简便的流程ꎬ却是部分人群的“ 数字鸿沟” ꎮ 近日ꎬ文化和旅游部有关负责人表示ꎬ将推
动旅游景区保留人工窗口ꎮ 保留人工窗口的做法
①是建设保障权利、和谐有序的社会主义法治社会的题中之义
②是通过在服务便利化上做减法ꎬ让数字便利关照更多人的生活
③不仅仅适用于文化和旅游领域ꎬ而且也值得其他领域借鉴
④体现了政府部门“ 致广大而尽精微” ꎬ践行以人民为中心的思想
Ａ􀆰 ①② Ｂ􀆰 ①③ Ｃ􀆰 ②④ Ｄ􀆰 ③④
９􀆰 几名中学生针对许多小区存在的闲置车辆长期占用车位导致车位紧张的问题ꎬ在模拟政
协活动中提出解决该问题的提案ꎮ 市政协委员关注到了这一模拟提案ꎬ指导同学们务实
调查、充实内容、完善提案ꎮ 在此基础上ꎬ市政协委员向市政协会议提交了相关正式提
案ꎮ 从“ 模拟提案” 到“ 正式提案” 的探索
①需要针对所研究的问题制定具体政策ꎬ协调多方利"
2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\25b655e73b7424e7_202404朝阳高三一模试题.txt,2,188,227,"轻科普” ꎬ科普人才严重不足的现象仍一定程度上存在ꎮ
«人民日报» 刊发了题为« 让科学普及与科技创新“ 两翼齐飞” » 的时评ꎬ呼吁进一步加强
国家科普能力建设ꎬ为高质量发展提供强劲动能ꎮ
(２) 结合材料二ꎬ运用 « 哲学与文化» 知识ꎬ 谈谈对 “ 让科学普及与科技创新 ‘ 两翼齐
飞’ ” 的认识ꎮ (８ 分)

高三思想政治　 第 ７　　　　 页( 共 ８ 页)
１９􀆰 (７ 分)
诚信是法治精神的重要伦理基础ꎮ 民法典第七条规
定:“ 民事主体从事民事活动ꎬ应当遵循诚信原则ꎬ秉持诚
实ꎬ恪守承诺” ꎮ
镜头一
２０２２ 年 １２ 月ꎬＡ 公司与 Ｂ 公司签订购销合同约定:Ａ
公司向 Ｂ 公司提供产品ꎬ货款于发货后的 ６０ 日内付清ꎮ
２０２３ 年 １ 月ꎬＡ 公司依约向 Ｂ 公司提供货物ꎬ但截至 ２０２３ 年 ７ 月ꎬ Ｂ 公司欠 Ａ 公司货款 ５９０
万元未支付ꎮ ２０２３ 年 ８ 月ꎬＡ 公司起诉 Ｂ 公司ꎬ要求其支付货款及违约金ꎮ 人民法院最终判
决 Ｂ 公司尽快付清全部欠款并支付逾期违约金ꎮ
镜头二
某购物中心为 ２００ 余家商户建立了“ 码上诚信” 二维码ꎬ消费者扫描二维码ꎬ即可查询此
商户相关的行政许可、行政处罚、主动承诺、自愿注册等信用信息ꎮ 有市民说:“ 我经常来这
个商场消费ꎬ一是因为‘ 码上诚信’ 让我感觉在这里购物很放心ꎬ二是因为这里的商品质量和
售后服务态度都很好ꎮ”
结合材料ꎬ运用« 法律与生活» 知识ꎬ分析诚信原则对促进社会主义市场经济健康发展的
积极作用ꎮ
２０􀆰 (９ 分) 学会正确地运用推理ꎬ对于科学研究具有重要意义ꎮ
材料一　 有科学家对我国古代气候及其变化进行了一系列考古研究和调查论证ꎬ其中
之一是关于 Ａ 区域古代气候较为温暖的论证ꎮ 科学家的论证过程包含了两个推理ꎮ􀪋
􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 推理一:
如果 Ａ 区域古代没有广泛生长竹子ꎬ就不可能有大量的炭化竹节ꎬ
考古发掘中已发掘出地底下有大量炭化竹节ꎬ
所以ꎬＡ 区域古代广泛生长着竹子ꎮ
(１) 推理一属于哪种推理类型? 其成立的理由是什么? (５ "
2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\950d6b2d3cdda441_2024丰台一模细则.txt,1,12,44,"宣传角度：通过宣传，使党的路线方针政策直达基层、促进贯彻落实。
从群众来角度：通过调查研究使党和政府更好地了解群众需求、提高决策质量水平。
到群众中去角度：通过信访接待、现场办公等为群众办实事解难题、维护群众权利，化解社会矛盾、促进社会和谐稳定。

说明：共性角度中，创新工作机制方法这一分最难，是必采点，学生其他角度都答得很好，缺少这个角度最多给7分。
在个性角度中，学生要强调出相关措施是如何为社会主义现代化建设注入强劲活力的，才能给5分。只分析具体的作用的，最多给4分。


结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
参考答案：法院判决应以事实为依据，以法律为准绳。本案中，驾驶人乙某和搭乘人甲某之间形成好意同乘关系。驾驶人对搭乘人的生命财产安全负有保障义务，被告乙某发生交通事故，造成原告甲某受伤，侵犯了其生命权、健康权，需要承担相应责任。被告乙某在原告甲某受伤一事上，固然存在过错，但并非故意或重大过失，原告甲某诉请其承担全部赔偿责任，有违民事活动的平等原则，根据民法典和好意同乘相关规定，应当减轻被告乙某的赔偿责任。
法院判决有利于维护双方合法权益，促进社会公平，对维持人际关系和谐，弘扬社会主义核心价值观及减少交通拥堵、倡导绿色出行具有积极意义。
拓展答案：
在回答现实意义时，从对个人、对国家司法、对社会发展三个角度作答。涉及维护双方合法权益、保障公正司法、弘扬社会主义核心价值观等方面。
评分标准说明：
本题8分，涉及两问。其中法理依据占5分，现实意义占3分。
在法理依据方面，采用1+2+2的评分细则。其中“法院判决应以事实为依据，以法律为准绳”为必踩点，1分；双方形成好意同乘，在这一过程中要明确权利、义务，做到行使权力、履行义务，否则涉及侵权，需对照侵权责任的一般规定解释说明，此点2分；结合好意同乘中发生事故减轻赔偿责任的条件和案件实际进行解释说明，此点2分。
在现实意义方面，为提高学生辩证思考问题的能力，可从对个人、对国家司法、对社会发展三个角度作答，涉及维护双方合法权益、保障公正司法、弘扬社会主义核心价值观等方面，每点1分，共3分。

18（1）新质生产力丰富发展了马克思主义生产力理论，深化了对生产力发展规律的认识。从哲学角度，谈谈你对新质生产力的理解。（7分）
参考答案：
可以从联系、发展、矛盾、唯物史观等角度作答。"
2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.txt,1,43,68,"③修订该法旨在形成海洋环境监督机制，提高相关工作人员工作效率
④ 坚持科学立法，维护国家海洋权益，推动生态文明建设和海洋强国建设
A.①②         B.①③         C.②④           D.③④
5.就立案工作不规范问题，最高人民法院起草《人民法院立案窗口工作规范》,对材料接收、一次性补正
告知、形式审核要件、网上立案、跨域立案办理、窗口行为规范等群众反映较多的不规范情形作出明确规
定，全面提升立案工作标准化、规范化和便利化水平。以上措施
A. 拓宽了群众诉求表达渠道，推动法院工作更加便利化
B. 优化了法院公开审判流程，坚持有案必立、有诉必理
C. 意在鼓励案件当事人通过诉讼来解决争议、维护权益
D. 有利于加强对公民的诉权保障，彰显司法为民的温度
6.15 岁的中学生李某乘地铁站内自动扶梯上行至末端时，因双手拿手机低头看，未拉住随 身携带的行李
箱，行李箱翻滚并迅速滑落到扶梯底端，砸伤刚刚踏上扶梯的沈某，导致沈某受伤住院。法院判决李某及
其监护人赔偿沈某全部损失。以下说法正确的是
① 该判决体现了权利义务相统一，平衡了双方的利益
② 李某是无民事行为能力人，所以应由其法定监护人进行赔偿
③ 依据无过错侵权原则，沈某对损害后果的发生不具有过错
④ 该案提示我们要坚持文明出行，增强公共安全意识
A.①②         B.①④         C.②③        D.③④
7.
对上述文段的分析正确的是
A. 上述文段存在假言判断
B.法律和社会规范是属种关系
C.“社会规范”在文中是不周延的
D.“法者，治之端也”是特称肯定判断
8.30 多年前， 《福州市20年经济社会发展战略设想》系统谋划了福州 3年、8 年、20 年经济社会发展的目
标、步骤、布局、重点等，明确了“建设现代化国际城市”的宏伟目标，为福州擘画了美好蓝图。从“后"
2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.txt,2,99,124,"B.火星在远古时期存在过生命宜居的河流，可以得出远古时期火星上存在生命的结论
C. “火星上的陨坑结构很可能是远古河床的遗迹”是一个非对称性关系判断
D. 河流是地球生命宜居的必要条件，没有河流就不会有生命产生
12.围绕促进民营经济发展壮大， 一系列重磅政策出台落地，破除壁垒、要素支持、保护权益，民营经济
恢复向好发展因素持续累积，展现出强大的经济韧性和活力。关于发展民营经济，下列理解正确的是
①民营企业要制定正确的经营战略，持续提质增效，追求高质量发展
②政府深化要素市场化配置改革，有利于民营企业公平参与市场竞争
③民营企业加大科技研发投入，有利于增强其在国民经济中的控制力
④政府实施知识产权侵权惩罚性赔偿制度，提高企业专利成果转化能力
A.①②           B.①③           C.②④            D.③④
13.手持数字“一卡通”,自由走遍京津冀。数据显示，京津冀区域社保卡持卡人数达 1.15 亿，覆盖74%的
常住人口。三地参加社保人员，在区域内所有定点医疗机构就医、购药，均视同备案，无须办理异地就医
备案手续即可享受医保报销待遇。跨省通用、 一卡 多用，社保卡贯通着线上线下旅游、文化、政务、就
医等民生服务，受到百姓欢迎。京津冀“一卡通”建设


第4页/共9页

①加快公共服务数字化转型，促进民生服务便利共享
②优化三地资源配置，提高了居民收入初次分配比例
③打造京津冀同城化服务场景，实现社会保障平均化
④推动协同发展转化为民生红利，增强人们的获得感
A.①②           B.①④           C.②③          D.③④
14. 中间品是指生产过程中用于生产其他商品和服务的产品，包括生产过程中的原材料、零部件、半成品
等。它是连接全球产业上下游的重要纽带。关于拓展中间品贸易的传导路径，下列理解正确的是
①引导中间品生产企业“走出去”→充分利用国内外资源→增强国内外联动效应"
2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.txt,3,158,197,"新时代新征程上，用好“四下基层”这一重要抓手，为社会主义现代化建设注入强劲动力。
结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动
力。
17.(8 分)


第5页/共9页

《中华人民共和国民法典》
第一千二百一十七条  非营运机动车发生交通事故造
成无偿搭乘人损害，属于该机动车一方责任的，应当
减轻其赔偿责任，但是机动车使用人有故意或重大过
失的除外。
资料卡
好意同乘：指驾驶人基于善意互助或友情帮助，无偿
搭载他人或允许大人无偿搭乘的情谊行为。
甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。乙某在驾驶过程中因雨天 路滑，撞到灯杆，造
成甲某受伤住院。为此，乙某主动垫付了部分医疗费用。甲某认为， 本次交通事故对自己造成严重人身
财产损害，乙某应承担全部责任，向其赔付医疗费、误 工费和护理费等损失。乙某认为自己好意让甲某
免费搭乘，由于客观原因发生意外，并无过错，不应该承担全部责任。两人为此诉至法院。
法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分责任的行为等，酌情减轻
乙某赔偿责任。
结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。


18.(16 分)以新质生产力推动高质量发展。
材料一  生产力是人类改造自然、征服自然的能力，是推动人类文明不断向前发展的决定力量和动力源
泉。回顾整个人类社会历史进程，其实就是社会生产力从低级到高级、从落后到先进的不断发展的过程。
2024 年 1 月，习近平总书记在主持中央政治局第十一次集体学习时强调“发展新质 生产力是推动高质量
发展的内在要求和重要着力点”。新质生产力是创新起主导作用。 摆脱传统经济增长方式、生产力发展
路径，具有高科技、高效能、高质量特征，符合新发展 理念的先进生产力质态。它由技术革命性突破、
生产要素创新性配置、产业深度转型升 级而催生，以劳动者、劳动资料、劳动对象及其优化组合的跃升
为基本内涵，以全要素生产率大幅提升为核心标志，特点是创新，关键在质优，本质是先进生产力。
(1)新质生产力丰富发展了马克思主义生产力理论，深化了对生产力发展规律的认识。从哲学角度，谈谈
你对新质生产力的理解。(7 分)

材料二  多措并举赋能新质生产力发展
要畅通教育、科技、人才的良性循环，加
大颠覆性技术和前"
2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.txt,4,275,300,"16.(8 分)中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群
众的重要抓手，能为社会主义现代化建设注入强进动力。通过宣传，使党的路线、方针、政策直达基层，
落地生根；党员和干部坚持人民至上，坚持实事求是、求真务实，走入基层，融入 百姓，为群众办实事解
难题。“四下基层”创新工作机制方法，架起干部与群众之间的“连心桥”, 既能有效促进党的路线、方
针、政策贯彻落实，提高决策质量水平，又能畅通民意诉求通道，直抵民心，推动干部作风转变。
17.(8 分)法院判决应以事实为根据，以法律为准绳。本案中，驾驶人乙某和搭乘人甲某之间形成 好意同
乘关系。驾驶人对搭乘人的生命财产安全负有保障义务，被告乙某发生交通事故，造成原告 甲某受伤，侵
犯了其生命权、健康权，需要承担相应责任。被告乙某在原告甲某受伤一事上，固然  存在过错，但并非
故意或重大过失，原告甲某诉请其承担全部赔偿责任，有违民事活动的公平原则，根据民法典和好意同乘
相关规定，应当减轻被告乙某的赔偿责任。法院判决有利于维护双方合法权益，促进社会公平，对维持人
际关系和谐、弘扬社会主义核心价值观及减少交通拥堵、倡导绿色出行具有积极意义。
18.(16 分)
(1)(7 分)可以从联系、发展、矛盾、唯物史观等角度作答。
等级水平 等级描述
水平 4
（6-7 分）
观点鲜明，能明确表达自己的见解；紧扣观点，综合运用所学知识展开论述；逻辑严密，
条理清晰
水平 3
（4-5 分）
观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较
强，有条理
水平 2
（2-3 分）
观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理
性差"
2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt,1,8,40,"（语句中的概念搭配不当）
解析：依据人民法院的法律文书取得不动产所有权属于不经登记即可取得不动产所有权的特殊情形（22版教材第14页相关链接）。A选项排除
    由建设用地使用权“人们……拥有商品房的所有权，又合法享有该商品房所在地块的建设用地使用权”，可知若房屋所有权不明晰，则该房相关的建设用地使用权份额也不明晰。所以B选项所称“该案所涉他物权”指的是建设用地使用权，属于用益物权。用益物权对应物的使用价值。B说法正确
   法律关系的内容指的是权利&义务，房产——所有权，占地——用益物权（建设用地使用权），二者权利内容分别是：占有 使用 收益 处分 VS 占有 使用 收益，法律关系内容不一致。C说法错误
   一审判决宣告时法律文书并未生效，可能涉及上诉问题，即使不上诉，也应该在上诉期届满时生效。所以D说法错误。


解析：题干中有两个信息：1.高某翔对《遗嘱》毫不知情；2.先有高某翔的“专职照顾”，后有《遗嘱》签署。遗赠抚养协议是“协议”，其本质是合同行为。不存在一方当事人毫不知情的协议；另一方面，应先有协议，后有双方对于协议所约定的义务的承担。因此，A选项错误，该《遗嘱》并非遗赠扶养协议。
    高某翔并无继承权，不能“继承”遗产，只有继承人（有继承权的人）可以继承遗产。而无继承权的人（如高某翔作为侄子）只能“被分得”/“被分给”遗产，资料卡中的法条也有明确的描述——“分给适当的遗产”。因此B选项“继承适当的遗产”表述错误。
   取得继承权的根据有两种：一是基于法律的直接规定，称为法定继承，即基于婚姻关系、血缘关系、扶养关系获得继承权；二是基于合法有效遗嘱的指定，称为遗嘱继承。遗嘱继承只能在法定继承人范围内指定继承人。（P46）法定继承的范围和顺序是：配偶、子女、父母（第一顺序）。此外，法律也规定，丧偶儿媳对公婆，丧偶女婿对岳父母，尽了主要赡养义务的，作为第一顺序继承人。


【经典试题回顾】
（24西城期末）我国已进入老龄化社会，为防止老年人的合法权益受损，民法典专门规定了成年意定监护制度。对于这一制度，下列理解正确的是
①具有完全民事行为能力的成年人，只可以与其近亲属事先协商确定自己的监护人
②意定监护人可以在被监护人去世后继承被监护人的遗产
③监护人在被监护人丧失或者部分丧失民事行为能力时，履行监护职责
④成年意定监护制度可以更好地保障老年人的合法"
