score,relative_path,status,chars,text_path,source_path,hits
35,2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,text-extracted,8265,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4bc0edec2a08a90e_高三政治_一模试题.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,合同:9?劳动合同:8?劳动者:4?民法:3?诉讼:3?调解:2?法律与生活:1?侵权:1?商标:1?专利:1
35,2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,text-extracted,7822,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\46c444a91d491a4f_2025北京东城高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,法治:8?违约:5?诉讼:5?合同:3?劳动者:3?仲裁:3?民法:2?继承:2?民法典:1?侵权:1
35,2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,text-extracted,7954,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0dafc181e82eb031_2026北京东城高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,诉讼:8?民法:5?法治:4?侵权:3?夫妻:3?专利:2?惩罚性赔偿:2?法律与生活:1?消费者:1?劳动者:1
35,2026各区期末和期中\2026通州期末\试卷\2026北京通州高三（上）期末政治（教师版）.pdf,text-extracted,8285,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\试卷\2026北京通州高三（上）期末政治（教师版）.pdf,法治:20?侵权:3?民法:2?著作权:2?举证责任:2?法律与生活:1?民法典:1?合同:1?专利:1?继承:1
34,2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf,text-extracted,9399,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\94785525e6452e6f_2025北京延庆高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf,法治:8?消费者:7?合同:3?调解:3?劳动合同:2?举证责任:2?法律与生活:1?民法:1?民法典:1?侵权:1
33,2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx,text-extracted,7986,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\33010f3bed39e275_20240318顺义思政二模试题_定.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx,诉讼:8?合同:6?法治:4?民法:2?消费者:2?知识产权:2?仲裁:2?继承:2?举证责任:2?侵权:1
33,2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx,text-extracted,7786,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\af3875177855a611_2025昌平二模细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx,著作权:14?违约:5?合同:4?侵权:2?知识产权:2?法治:2?法律与生活:1?消费者:1?诉讼:1?继承:1
32,2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,text-extracted,14297,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fee5258a9b7359d5_2024海淀期中细则.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,民法:9?民法典:8?法治:8?夫妻:4?消费者:3
32,2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf,text-extracted,9016,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7ebce670784d805e_2025北京海淀高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf,法治:16?合同:8?诉讼:5?法律与生活:1?侵权:1?消费者:1
32,2025各区二模\2025丰台二模\试卷\2025北京丰台高三二模政治（教师版）.pdf,text-extracted,9314,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9f3b486088840b52_2025北京丰台高三二模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\试卷\2025北京丰台高三二模政治（教师版）.pdf,调解:11?法治:11?侵权:3?诉讼:3?专利:2?合同:1?违约:1
31,2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,text-extracted,5432,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\99e851c9338f0983_26东城一模细则.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,诉讼:8?民法:5?法治:5?侵权:2?专利:2?不正当竞争:2?调解:2?惩罚性赔偿:2?法律与生活:1?消费者:1
30,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,text-extracted,1952,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\6c445538df98876c_18_2.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,劳动者:18?法治:5?合同:3?劳动合同:3?法律与生活:1
30,2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx,text-extracted,9690,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\360d57a4b250de81_2025丰台期末细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx,专利:11?劳动者:6?法治:5?合同:3?劳动合同:3?诉讼:1?继承:1
30,其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx,text-extracted,12309,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b2adb9acbea55152_2024届各区一模试题分类汇编必修3.txt,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx,法治:26?民法:2?劳动者:1?个人信息:1
29,2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf,text-extracted,9536,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\6009b3f19a33a729_2025北京朝阳高三二模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf,法治:9?合同:3?劳动者:3?继承:3?民法:2?民法典:2?法律与生活:1?侵权:1?违约:1?劳动合同:1
29,2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf,text-extracted,9551,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b452d8b4e21b94be_2024北京海淀高三_上_期中政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf,民法:6?民法典:5?消费者:5?法治:5?夫妻:4?知识产权:2?商标:1?诉讼:1
28,2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,text-extracted,8895,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9223488a4b5e6f80_003202405朝阳高三二模政治试题.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,继承:6?劳动者:5?仲裁:5?诉讼:5?民法:2?合同:2?劳动合同:2?法治:1
28,2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,text-extracted,2709,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\be30611f2f07a137_EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,法治:21?合同:5?消费者:1?不正当竞争:1
28,2026各区一模\2026顺义一模\试卷\2026顺义一模.pdf,text-extracted,9619,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8d19592ca0679f21_2026顺义一模.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\试卷\2026顺义一模.pdf,诉讼:6?违约:4?劳动者:4?合同:3?劳动合同:3?侵权:2?法律与生活:1?仲裁:1?调解:1?举证责任:1
27,2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,text-extracted,9673,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e051761a7fc68fef_2025北京朝阳高三一模政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,消费者:7?诉讼:6?法治:6?民法:2?著作权:2?法律与生活:1?侵权:1?不正当竞争:1?赡养:1
26,2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,text-extracted,5398,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\606dbae1d5ce3e59_2025东城二模细则.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,民法:5?合同:5?消费者:4?法治:4?侵权:3?名誉权:2?民法典:1?违约:1?诉讼:1
25,2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\17题.docx,text-extracted,2026,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\71d970ada83cbd28_17题.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\17题.docx,法治:25
24,2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,text-extracted,6948,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\25b655e73b7424e7_202404朝阳高三一模试题.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,专利:4?法治:4?民法:2?侵权:2?违约:2?知识产权:2?法律与生活:1?民法典:1?合同:1?消费者:1
24,2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,text-extracted,7314,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,消费者:5?赡养:5?调解:4?民法:3?仲裁:2?法治:2?民法典:1?不正当竞争:1?夫妻:1
24,2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,text-extracted,3784,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\71fcaa9e66afc5db_2024丰台二模细则.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,民法:9?民法典:9?侵权:2?知识产权:2?法律与生活:1?法治:1
23,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,text-extracted,1542,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\d682ecb2695e5e33_19_1.txt,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,诉讼:10?合同:8?违约:5
23,2025各区期末\2025西城期末\试卷\2025北京西城高三（上）期末政治（教师版）.pdf,text-extracted,7990,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\6662da1c2772cc38_2025北京西城高三_上_期末政治_教师版.txt,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\试卷\2025北京西城高三（上）期末政治（教师版）.pdf,法治:7?侵权:4?消费者:3?商标:3?不正当竞争:2?民法:1?合同:1?诉讼:1?无过错:1
23,2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx,text-extracted,7904,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\795b221243cdf7b6_高三统一测试思想政治试卷.txt,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx,商标:12?合同:4?民法:2?民法典:2?法治:2?侵权:1
