rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_Q0001_2024_东城_一模_16_11,Q0001_2024_东城_一模_16,（2）功能圈 主次矛盾／两点论／整体部分等----结合材料意思---区域协调,evaluation_standard,formal,（2）功能圈 主次矛盾／两点论／整体部分等----结合材料意思---区域协调,M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,（2）功能圈 主次矛盾／两点论／整体部分等----结合材料意思---区域协调,判断法律关系/行为性质/责任或程序路径，需回源细化,,,material,no,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0001_2024_东城_一模_16_12,Q0001_2024_东城_一模_16,（4）三圈总说 立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等 （每一层2分，满分7分） 细则： [slide 72] 示例： 坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展； 坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展； 坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。 [slide 73] [slide 74],evaluation_standard,formal,（4）三圈总说 立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等 （每一层2分，满分7分） 细则： [slide 72] 示例： 坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展； 坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展； 坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。 [slide 73] [slide 74],M_Q0001_2024_东城_一模_16_01|M_Q0001_2024_东城_一模_16_02,（4）三圈总说 立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等 （每一层2分，满分7分） 细则： [slide 72] 示例： 坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展； 坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展； 坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。 [slide 73] [slide 74],判断法律关系/行为性质/责任或程序路径，需回源细化,,促进,material+value,no,F0009:slide 27 | F0234:slide 27,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_01,Q0003_2024_东城_二模_18_2,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,marking_report,formal,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_02,Q0003_2024_东城_二模_18_2,②政府：相关政府部门（劳动和社会保障部门）给出新型劳动关系认定依据（1分）——（依据）上层建筑适应经济基础的发展/有法可依/权责法定/科学立法（政府部门被授权立法）/提供法律保障/与时俱进，符合时代发展需求/法治政府要求政府坚持法治思维和法治方式（1分）,marking_report,formal,②政府：相关政府部门（劳动和社会保障部门）给出新型劳动关系认定依据（1分）——（依据）上层建筑适应经济基础的发展/有法可依/权责法定/科学立法（政府部门被授权立法）/提供法律保障/与时俱进，符合时代发展需求/法治政府要求政府坚持法治思维和法治方式（1分）,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,②政府：相关政府部门（劳动和社会保障部门）给出新型劳动关系认定依据（1分）——（依据）上层建筑适应经济基础的发展/有法可依/权责法定/科学立法（政府部门被授权立法）/提供法律保障/与时俱进，符合时代发展需求/法治政府要求政府坚持法治思维和法治方式（1分）,判断法律关系/行为性质/责任或程序路径，需回源细化,,,value,uncertain,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_03,Q0003_2024_东城_二模_18_2,③司法机关：最高法颁布指导性案例，对劳动关系的认定进行明确/两高出台司法解释，对于法律的规定进行时代性的细化（1分）——（依据）上层建筑适应经济基础的发展（1分）,marking_report,formal,③司法机关：最高法颁布指导性案例，对劳动关系的认定进行明确/两高出台司法解释，对于法律的规定进行时代性的细化（1分）——（依据）上层建筑适应经济基础的发展（1分）,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,③司法机关：最高法颁布指导性案例，对劳动关系的认定进行明确/两高出台司法解释，对于法律的规定进行时代性的细化（1分）——（依据）上层建筑适应经济基础的发展（1分）,判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_04,Q0003_2024_东城_二模_18_2,④党：出台明确新型劳动关系的相关方针政策，经法定程序上升为国家意志（1分）——（依据）党领导立法（1分）注意：答党总揽全局、协调各方，以人民为中心不给分。 针对问题2：企业违法问题隐蔽（答订立劳动合同，有据可循不给分）,marking_report,formal,④党：出台明确新型劳动关系的相关方针政策，经法定程序上升为国家意志（1分）——（依据）党领导立法（1分）注意：答党总揽全局、协调各方，以人民为中心不给分。 针对问题2：企业违法问题隐蔽（答订立劳动合同，有据可循不给分）,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,④党：出台明确新型劳动关系的相关方针政策，经法定程序上升为国家意志（1分）——（依据）党领导立法（1分）注意：答党总揽全局、协调各方，以人民为中心不给分。 针对问题2：企业违法问题隐蔽（答订立劳动合同，有据可循不给分）,判断法律关系/行为性质/责任或程序路径，需回源细化,合同,,knowledge,uncertain,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_05,Q0003_2024_东城_二模_18_2,①企业：依法/守法经营（替换：诚信经营）1分——（依据）保护劳动者合法权益（替换：获取劳动报酬的权利，休息休假的权利）/全面履行劳动合同 1分,marking_report,formal,①企业：依法/守法经营（替换：诚信经营）1分——（依据）保护劳动者合法权益（替换：获取劳动报酬的权利，休息休假的权利）/全面履行劳动合同 1分,M_Q0003_2024_东城_二模_18_2_03|M_Q0003_2024_东城_二模_18_2_05|M_Q0003_2024_东城_二模_18_2_06|M_Q0003_2024_东城_二模_18_2_07|M_Q0003_2024_东城_二模_18_2_08|M_Q0003_2024_东城_二模_18_2_09|M_Q0003_2024_东城_二模_18_2_10|M_Q0003_2024_东城_二模_18_2_11|M_Q0003_2024_东城_二模_18_2_13|M_Q0003_2024_东城_二模_18_2_14|M_Q0003_2024_东城_二模_18_2_15|M_Q0003_2024_东城_二模_18_2_16|M_Q0003_2024_东城_二模_18_2_17|M_Q0003_2024_东城_二模_18_2_18|M_Q0003_2024_东城_二模_18_2_19|M_Q0003_2024_东城_二模_18_2_21|M_Q0003_2024_东城_二模_18_2_22|M_Q0003_2024_东城_二模_18_2_23|M_Q0003_2024_东城_二模_18_2_24,①企业：依法/守法经营（替换：诚信经营）1分——（依据）保护劳动者合法权益（替换：获取劳动报酬的权利，休息休假的权利）/全面履行劳动合同 1分,判断法律关系/行为性质/责任或程序路径，需回源细化,合同；权利；劳动者,,knowledge+material,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_06,Q0003_2024_东城_二模_18_2,②劳动者：提高维权意识（任何主体答搭建维权平台都不给分）——（依据）同企业 1分,marking_report,formal,②劳动者：提高维权意识（任何主体答搭建维权平台都不给分）——（依据）同企业 1分,M_Q0003_2024_东城_二模_18_2_03|M_Q0003_2024_东城_二模_18_2_05|M_Q0003_2024_东城_二模_18_2_06|M_Q0003_2024_东城_二模_18_2_07|M_Q0003_2024_东城_二模_18_2_08|M_Q0003_2024_东城_二模_18_2_09|M_Q0003_2024_东城_二模_18_2_11|M_Q0003_2024_东城_二模_18_2_13|M_Q0003_2024_东城_二模_18_2_14|M_Q0003_2024_东城_二模_18_2_15|M_Q0003_2024_东城_二模_18_2_16|M_Q0003_2024_东城_二模_18_2_17|M_Q0003_2024_东城_二模_18_2_19|M_Q0003_2024_东城_二模_18_2_21|M_Q0003_2024_东城_二模_18_2_22|M_Q0003_2024_东城_二模_18_2_23|M_Q0003_2024_东城_二模_18_2_24,②劳动者：提高维权意识（任何主体答搭建维权平台都不给分）——（依据）同企业 1分,判断法律关系/行为性质/责任或程序路径，需回源细化,劳动者,,knowledge+material,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_07,Q0003_2024_东城_二模_18_2,③政府：加强监管，严格执法 1分——（依据）市场监管职能，法治政府是执法严明的政府 针对问题3：劳动者不适应岗位需求变化（答让工作适应个人/劳动者要认清自身能力选择合适岗位均不给分）,marking_report,formal,③政府：加强监管，严格执法 1分——（依据）市场监管职能，法治政府是执法严明的政府 针对问题3：劳动者不适应岗位需求变化（答让工作适应个人/劳动者要认清自身能力选择合适岗位均不给分）,M_Q0003_2024_东城_二模_18_2_03|M_Q0003_2024_东城_二模_18_2_05|M_Q0003_2024_东城_二模_18_2_06|M_Q0003_2024_东城_二模_18_2_07|M_Q0003_2024_东城_二模_18_2_08|M_Q0003_2024_东城_二模_18_2_09|M_Q0003_2024_东城_二模_18_2_11|M_Q0003_2024_东城_二模_18_2_13|M_Q0003_2024_东城_二模_18_2_14|M_Q0003_2024_东城_二模_18_2_15|M_Q0003_2024_东城_二模_18_2_16|M_Q0003_2024_东城_二模_18_2_17|M_Q0003_2024_东城_二模_18_2_19|M_Q0003_2024_东城_二模_18_2_21|M_Q0003_2024_东城_二模_18_2_22|M_Q0003_2024_东城_二模_18_2_23|M_Q0003_2024_东城_二模_18_2_24,③政府：加强监管，严格执法 1分——（依据）市场监管职能，法治政府是执法严明的政府 针对问题3：劳动者不适应岗位需求变化（答让工作适应个人/劳动者要认清自身能力选择合适岗位均不给分）,判断法律关系/行为性质/责任或程序路径，需回源细化,劳动者,,knowledge+material,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_08,Q0003_2024_东城_二模_18_2,①劳动者：提升劳动技能，适应经济社会发展 1分——（依据）提升劳动职业技能是劳动者的义务（替换：权利义务相一致）1分,marking_report,formal,①劳动者：提升劳动技能，适应经济社会发展 1分——（依据）提升劳动职业技能是劳动者的义务（替换：权利义务相一致）1分,M_Q0003_2024_东城_二模_18_2_03|M_Q0003_2024_东城_二模_18_2_05|M_Q0003_2024_东城_二模_18_2_06|M_Q0003_2024_东城_二模_18_2_07|M_Q0003_2024_东城_二模_18_2_08|M_Q0003_2024_东城_二模_18_2_09|M_Q0003_2024_东城_二模_18_2_10|M_Q0003_2024_东城_二模_18_2_11|M_Q0003_2024_东城_二模_18_2_13|M_Q0003_2024_东城_二模_18_2_14|M_Q0003_2024_东城_二模_18_2_15|M_Q0003_2024_东城_二模_18_2_16|M_Q0003_2024_东城_二模_18_2_17|M_Q0003_2024_东城_二模_18_2_18|M_Q0003_2024_东城_二模_18_2_19|M_Q0003_2024_东城_二模_18_2_21|M_Q0003_2024_东城_二模_18_2_22|M_Q0003_2024_东城_二模_18_2_23|M_Q0003_2024_东城_二模_18_2_24,①劳动者：提升劳动技能，适应经济社会发展 1分——（依据）提升劳动职业技能是劳动者的义务（替换：权利义务相一致）1分,判断法律关系/行为性质/责任或程序路径，需回源细化,权利；义务；劳动者,,knowledge+material+value,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_09,Q0003_2024_东城_二模_18_2,②政府：开展职业技能培训（替换：搭建/提供职业技能培训平台）1分——（依据）政府公共服务职能 1分,marking_report,formal,②政府：开展职业技能培训（替换：搭建/提供职业技能培训平台）1分——（依据）政府公共服务职能 1分,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,②政府：开展职业技能培训（替换：搭建/提供职业技能培训平台）1分——（依据）政府公共服务职能 1分,判断法律关系/行为性质/责任或程序路径，需回源细化,,,material,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_10,Q0003_2024_东城_二模_18_2,③企业：对劳动者进行职业技能培训 1分 ——（依据）劳动者有接受职业技能培训的权利（替换：用人单位有为劳动者提供职业技能培训的义务）1分 | 针对问题1：认定标准不明,marking_report,formal,③企业：对劳动者进行职业技能培训 1分 ——（依据）劳动者有接受职业技能培训的权利（替换：用人单位有为劳动者提供职业技能培训的义务）1分 | 针对问题1：认定标准不明,M_Q0003_2024_东城_二模_18_2_03|M_Q0003_2024_东城_二模_18_2_05|M_Q0003_2024_东城_二模_18_2_06|M_Q0003_2024_东城_二模_18_2_07|M_Q0003_2024_东城_二模_18_2_08|M_Q0003_2024_东城_二模_18_2_09|M_Q0003_2024_东城_二模_18_2_10|M_Q0003_2024_东城_二模_18_2_11|M_Q0003_2024_东城_二模_18_2_13|M_Q0003_2024_东城_二模_18_2_14|M_Q0003_2024_东城_二模_18_2_15|M_Q0003_2024_东城_二模_18_2_16|M_Q0003_2024_东城_二模_18_2_17|M_Q0003_2024_东城_二模_18_2_18|M_Q0003_2024_东城_二模_18_2_19|M_Q0003_2024_东城_二模_18_2_21|M_Q0003_2024_东城_二模_18_2_22|M_Q0003_2024_东城_二模_18_2_23|M_Q0003_2024_东城_二模_18_2_24,③企业：对劳动者进行职业技能培训 1分 ——（依据）劳动者有接受职业技能培训的权利（替换：用人单位有为劳动者提供职业技能培训的义务）1分 | 针对问题1：认定标准不明,判断法律关系/行为性质/责任或程序路径，需回源细化,权利；义务；劳动者；用人单位,,knowledge+material,no,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
R_Q0003_2024_东城_二模_18_2_11,Q0003_2024_东城_二模_18_2,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,marking_report,formal,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,M_Q0003_2024_东城_二模_18_2_01|M_Q0003_2024_东城_二模_18_2_02,①人大：对于新型劳动关系认定进行立法（1分）立法针对问题要明确具体，泛泛而谈“科学立法”“进行相关问题立法”不得分——（依据）人大有立法权/（科学立法的内涵）法律要体现国情世情，顺应时代发展要求（1分）,判断法律关系/行为性质/责任或程序路径，需回源细化,,,uncertain,uncertain,F0036:text | F0261:text,heuristic_atom_split; verify original rubric line
