module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型,1,2026海淀一模Q20,,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,题面把国际标准称为全球产业界的“通用语言”，并列出低碳能源、人工智能等领域中国向ISO、IEC提交提案和牵头制定标准的数据；答题要从标准互认、技术扩散和全球产业绿色转型说明意义。,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国在低碳能源、人工智能等领域贡献国际标准，促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型。,（本题8分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
经济全球化,【术语家族】 “共同维护多边贸易体制”“坚定维护多边贸易体制”“维护多边贸易体制”在本稿中作为同一采分家族处理；2026石景山一模可结合世界贸易组织改革方向、最惠国待遇、非歧视原则展开，2026丰台期末使用细则原词“坚定维护多边贸易体制”。,顺应经济全球化趋势，反对贸易保护主义,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,材料同时呈现经济全球化深入发展和贸易保护主义、关税霸凌等逆全球化障碍，设问要求说明中国特色大国外交为什么要主动作为。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,经济全球化是不可逆转的历史大势，贸易保护主义会阻碍资源流动和国际分工，不利于世界经济复苏和共同发展，中国外交需要主动维护开放合作的国际经济环境。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,共商共建共享的全球治理观,11,2026西城期末Q20,——参与全球气候治理中的中国实践,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,"题面把中国持续提交并更新NDC目标作为治理体系层面的贡献呈现，需要把中国履约行动接到""以行动推动构建公平合理、合作共赢的全球气候治理体系""上，而不是只说中国履约。",结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国持续向联合国提交并更新国家自主贡献目标，以实际行动推动构建公平合理、合作共赢的全球气候治理体系。,（本题8分）,NO_MATCH,NO_MATCH,NO_MATCH,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,3,2026海淀一模Q20,中国标准走出国门推动治理体制公正合理,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,题面把中国标准放在国际标准与全球治理体制中话语权分布变化的语境中考查：长期以来发达国家在国际标准与治理体制中拥有优势话语，中国通过贡献提案、牵头制定改变这一不均衡格局；设问问意义，必须从治理体制公正合理化角度回答。,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国标准走出国门，有利于推动全球治理体制向着更加公正合理方向发展，使发展中国家在标准与规则中的代表性和发言权得到提升。,（本题8分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,世界多极化与全球南方联合自强,2,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目追问中国外交在国际政治层面更有作为的原因，材料把“支持金砖机制做大做强”“推动金砖国家在多极化进程中提升代表性和话语权”“全球南方联合自强”连成一条政治格局关系链，触发多极化背景与发展中国家话语权目标。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,世界多极化深入发展，单边主义、霸权强权仍然存在。中国维护发展中国家整体利益，支持金砖机制做大做强，推动发展中国家提升代表性和话语权，促进全球南方联合自强。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,贡献中国智慧、中国方案、中国力量,3,2026西城期末Q20,——参与全球气候治理中的中国实践,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,"中国通过全国碳市场、气候适应战略和持续更新NDC，把国内实践转化为可向其他国家输出的治理经验，构成""中国方案""的实际内容；""中国实践""必须从国内做法上升到为全球治理贡献方案。",结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国通过构建全国碳市场、完善碳交易机制和推进气候适应行动，为全球气候治理提供可借鉴的中国方案。,（本题8分）,NO_MATCH,NO_MATCH,NO_MATCH,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,贡献中国智慧、中国方案、中国力量,6,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,材料写全球南方代表团到中国城市乡村参观学习，问题要求解释中国发展理念成为国际公共产品，说明应从世界意义上写中国经验为发展中国家现代化提供路径与方案。,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,中国发展理念和实践成就为全球南方国家提供可借鉴经验，拓展了发展中国家走向现代化的途径，贡献了中国智慧中国方案。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国推动构建人类命运共同体,10,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,题目整体说明“三大倡议”如何助力未来，作答不能只把发展、安全、文明三项分开写，还要先写出三大倡议与人类命运共同体的总体关系。,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,中国的三大倡议为推动构建人类命运共同体提供方案和路径，为动荡变化的时代注入更多稳定性和确定性，为人类走向美好未来提供中国方案。,（本题7分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国推动构建人类命运共同体,12,2026顺义一模Q21,,2026_顺义_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q21.md,“审势、乘势、驭势”综合题的作答要求单列国政经角度：和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，坚持多边主义，坚持互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。,结合材料，综合运用所学，谈谈如何在推进中国式现代化进程中“审势、乘势、驭势”。,,和平与发展仍是时代主题，中国式现代化是走和平发展道路的现代化，中国坚持多边主义和互利共赢，倡导人类命运共同体，为世界和平与发展提供中国智慧和中国方案。,,NO_MATCH,EMPTY,PARTIAL,PROMPT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球发展倡议：以发展促繁荣,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,材料列举共建“一带一路”、“小而美”项目、合作发展基金等具体行动，说明全球发展倡议的路径是合作援助，效果是增强发展中国家内生动力并促进世界经济。,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,全球发展倡议通过共建“一带一路”、“小而美”项目和合作发展基金等合作援助，为世界发展合作开辟新空间、提供新机遇、注入新动力，增强发展中国家的发展内生动力，繁荣世界经济。,（本题7分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球安全倡议：以安全保稳定,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,材料把全球安全倡议与维和行动、全球安全挑战放在一起，要求把中国路径写成和平协商、联合国宪章原则和共赢安全的统一链条。,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,全球安全倡议通过参与联合国维和行动，主张在联合国宪章宗旨和原则下通过对话协商和平解决国际争端，以共赢思维应对安全挑战，推动建设持久和平、普遍安全的世界。,（本题7分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球文明倡议：以文明增互信,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,材料说明不同文明交流、碰撞甚至冲突日趋频繁，文明倡议的答题重点是通过民间外交、公共外交和交流互鉴化解隔阂、促进民心相通。,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,面对不同文明交流碰撞甚至冲突日趋频繁，全球文明倡议通过民间外交、公共外交推动文明交流互鉴、传承创新，促进民心相通、各国人民相知相亲，建设开放包容的世界。,（本题7分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战,1,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,题目解释中国发展理念为什么成为国际公共产品，关键是说明这些理念具有跨国适用价值，能回应共同挑战并促成国际合作。,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,我国发展理念经深圳、安吉、宁德、十八洞村等实践检验并被全球南方国家学习借鉴，因其蕴含普遍价值，能够回应全人类共同问题和共同挑战，推动各国形成共识并开展合作发展，所以能够成为国际公共产品。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国推进绿色低碳转型并参与全球气候治理,1,2026西城期末Q20,,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,NDC表格同时列出温室气体减排和气候适应型社会目标，说明中国把减缓与适应结合起来形成系统性治理方案。,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国在积极减排的同时，实施《国家适应气候变化战略2035》，提升气候适应能力，推动气候减缓与适应协同发展，增强气候治理系统性，为发展中国家应对气候变化提供系统性方案。,（本题8分）,NO_MATCH,NO_MATCH,PARTIAL,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,严格落实《巴黎协定》要求，每五年向联合国提交国家自主贡献目标，维护全球气候治理多边进程,1,2026西城期末Q20,,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,题面注释说明NDC是《巴黎协定》的核心机制，各缔约方每五年提交一次国家自主行动目标，中国已在2015年、2020年提交过两轮目标。,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国严格落实《巴黎协定》要求，按每五年一次的机制向联合国提交国家自主贡献目标，在2015年、2020年两轮目标基础上于2025年继续更新2035年NDC目标，以实际行动维护全球气候治理多边进程。,（本题8分）,NO_MATCH,NO_MATCH,PARTIAL,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国是负责任大国并勇于担当,1,2026西城期末Q20,,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,中国此前已于2015年、2020年两轮提交NDC，2025年11月又向联合国提交《中国2035年国家自主贡献目标》，体现中国持续更新气候行动承诺、主动担当大国责任。,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,中国主动担当全球气候治理责任，于2025年11月向联合国提交《中国2035年国家自主贡献目标》，持续更新气候行动承诺，以实际行动展现负责任大国担当。,（本题8分）,NO_MATCH,NO_MATCH,PARTIAL,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
