module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
经济全球化,国：成员国和相关国家发展,加强技术创新、提高产品质量，增强竞争力,6,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,积极参与全球经济治理和经贸规则完善,3,2026海淀一模Q20,,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,参与国际标准制定，提升国际规则话语权,2,2026海淀一模Q20,中国标准与全球经济治理参与,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型,1,2026海淀一模Q20,,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,【术语家族】 “共同维护多边贸易体制”“坚定维护多边贸易体制”“维护多边贸易体制”在本稿中作为同一采分家族处理；2026石景山一模可结合世界贸易组织改革方向、最惠国待遇、非歧视原则展开，2026丰台期末使用细则原词“坚定维护多边贸易体制”。,顺应经济全球化趋势，反对贸易保护主义,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,相互尊重、公平正义、合作共赢的新型国际关系,10,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,共商共建共享的全球治理观,11,2026西城期末Q20,——参与全球气候治理中的中国实践,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,,（本题8分）,NO_MATCH,NO_MATCH,EMPTY,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,共商共建共享的全球治理观,15,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,3,2026海淀一模Q20,中国标准走出国门推动治理体制公正合理,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,8,2026西城期末Q20,——参与全球气候治理中的中国实践,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,,,NO_MATCH,NO_MATCH,EMPTY,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际秩序和全球治理体系更加公正合理,10,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序,4,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动构建人类命运共同体,16,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动构建人类命运共同体,17,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动构建人类命运共同体,18,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际关系民主化,7,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,推动国际关系民主化、和平解决国际争端,3,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,世界多极化与全球南方联合自强,2,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
政治多极化,新国关：新型国际关系,世界多极化是当今国际形势的突出特点,7,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,贡献中国智慧、中国方案、中国力量,3,2026西城期末Q20,——参与全球气候治理中的中国实践,2026_西城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，阐释参与全球气候治理中的中国实践。,8分；中国实践是什么2分，为什么参与该实践3分，实践效果3分。,,（本题8分）,NO_MATCH,NO_MATCH,EMPTY,PROMPT_NOT_IN_CARD;SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,贡献中国智慧、中国方案、中国力量,6,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国推动构建人类命运共同体,10,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,（本题7分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,中国推动构建人类命运共同体,21,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,四大全球倡议相互促进、有机统一，系统推动构建人类命运共同体,2,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球发展倡议：以发展促繁荣,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,（本题7分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球安全倡议：以安全保稳定,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,（本题7分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,全球文明倡议：以文明增互信,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,（本题7分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,理念蕴含普遍价值，能够形成共识、促成合作和发展、应对全人类共同问题和共同挑战,1,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,5,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
中国,【使用标注】 当前 3 个题例均按“准则层”计数；题号后标注〔本题可同时联系外交政策层与准则层〕，表示该题与上一条政策层同题同判；题号后标注〔本题只写准则层〕，表示本题只计五项原则层、不计政策层。未在本条出现的政策层题例只判政策，不计入五项原则次数。,民心相通与文明互鉴,2,2024东城二模Q20,,2024_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_东城_二模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。（7分）,7分；等级题，观点、知识运用、论述逻辑与条理共同决定分值。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
