module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
时代背景,机遇,百年变局与外部风险挑战,1,2025东城二模Q20,,2025_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,,当今国际局势变乱交织，局部动荡不断，人类面临经济复苏乏力、贸易保护主义、冲突动荡和非传统安全威胁等诸多问题和挑战，因此更需要弘扬“同球共济”精神。,（本题8分）,EXACT,EMPTY,NO_MATCH,
时代背景,机遇,百年变局与外部风险挑战,2,2024朝阳一模Q21,,2024_朝阳_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_一模_Q21.md,题目先要求分析“变局”中的经济形势，细则明确我国发展的外部环境日趋严峻、风险挑战增多，因此要先写外部风险压力。,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,,我国发展的外部环境日趋严峻、风险挑战增多，使中国经济开新局必须统筹发展与安全。,,PARTIAL,EMPTY,PARTIAL,
时代背景,机遇,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,1,2024朝阳二模Q20,,2024_朝阳_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_二模_Q20.md,表格题先要求形成研讨共识，研讨背景集中呈现气温上升对粮食、生态、能源、基础设施和生命财产安全的威胁，因此必须先说明气候治理的全球公共问题属性。,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。,,气候变化给全人类带来巨大风险和挑战，已成为全球治理的重要议题，各国应把应对气候变化作为共同责任推进。,,PARTIAL,EMPTY,PARTIAL,
理论,合作,国家间共同利益是国家合作的基础,1,2025东城一模Q20,,2025_东城_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q20.md,此次出访中，中国同秘鲁签署自贸协定升级议定书和共建“一带一路”合作规划，并在11天内达成60多项合作文件，说明相关国家围绕贸易合作、区域合作和发展议题存在共同利益。,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,,此次元首外交围绕自贸协定升级、共建“一带一路”合作规划和多项合作文件拓展务实合作，体现国家间共同利益是合作的基础。,,EXACT,EMPTY,NO_MATCH,
理论,合作,国家间共同利益是国家合作的基础,2,2026石景山一模Q20,,2026_石景山_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_一模_Q20.md,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。",运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,,中国倡议立足亚太各国在多边贸易、产业链供应链和开放发展中的共同利益，凝聚共同维护、共同推进、共享繁荣的合作共识，助推亚太合作走深走实。,,EXACT,EMPTY,NO_MATCH,
理论,合作,国家间共同利益是国家合作的基础,3,2026丰台一模Q19,,2026_丰台_一模_Q19,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_丰台_一模_Q19.md,题面用减贫国际合作、教育合作和卫生健康经验分享三组材料，说明中国把自身发展同各国发展利益结合起来；要回答中国大国情怀与担当，需要先解释中国为什么能与各国在可持续发展上形成合作。,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,,中国致力于扩大同各国利益的汇合点，在消除贫困、教育普及和卫生健康等领域同各国合作，把自身发展成就转化为推动全球可持续发展的共同利益。,,EXACT,EMPTY,PARTIAL,
理论,合作,国家间共同利益是国家合作的基础,4,2025丰台期末Q20,——中非达成战略性共识的理论逻辑和价值意蕴,2025_丰台_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_丰台_期末_Q20.md,题面写中非合力反对脱钩断链、提升发展中国家在全球治理体系中的代表性和发言权，并把战略共识嵌入南南合作；设问问理论逻辑，回答合作为什么能够成立时必须先写共同利益。,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,,国家间共同利益是合作的基础，中非在维护发展中国家共同利益、反对脱钩断链、推进全球治理公平方面具有共同关切，因此能够达成战略性共识。,,EXACT,EMPTY,NO_MATCH,
理论,合作,国家间共同利益是国家合作的基础,5,2026延庆一模Q19(2),"——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026_延庆_一模_Q19_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_延庆_一模_Q19_2.md,题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。,"结合材料二,运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。",,中国与国际社会在绿色能源开发利用、应对气候变化和实现可持续发展方面存在共同利益，共同利益是国家间合作的基础，因此中国能够推动重塑全球能源治理格局。,,PARTIAL,EMPTY,NO_MATCH,
理论,合作,国家间共同利益是国家合作的基础,6,2026石景山二模Q18,,2026_石景山_二模_Q18,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作能够提质升级的原因。,,中国与东盟经贸合作建立在双方共同利益基础上，顺应区域发展和时代发展主题，因此能够提质升级。,,PARTIAL,EMPTY,NO_MATCH,
理论,合作,国家间共同利益是国家合作的基础,7,2025东城二模Q20,（同球共济精神）,2025_东城_二模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md,设问要求论证“同球共济”精神为何能成立、为何能丰富人类命运共同体内涵，当材料呈现国际局势变乱交织、局部动荡不断时，要先回答各国在和平、安全、发展上存在共同利益。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。,,当今国际局势变乱交织，各国在发展、安全、文明等问题上存在共同利益，这是“同球共济”精神能够丰富人类命运共同体内涵、被各国接受的客观基础。,,EXACT,EMPTY,NO_MATCH,
理论,合作,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,1,2024西城一模Q19(6),,2024_西城_一模_Q19_6,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_一模_Q19_6.md,题目同时追问未来产业的挑战，前沿科技竞争具有国家战略属性，答题要把技术、人才、资源竞争上升到综合国力较量和风险防范。,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。,,未来产业处在激烈的国际竞争之中，当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，面对技术制裁、技术垄断和贸易壁垒等风险，我国需要加强风险应对和防范，为未来产业开放发展筑牢安全屏障。,,EXACT,EMPTY,NO_MATCH,
理论,合作,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2,2024顺义思政二模Q19(2),,2024_顺义_二模_Q19_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_顺义_二模_Q19_2.md,题目把新质生产力放在世界新一轮科技革命和产业变革中考查，问中国积极推动发展的原因；涉及国际竞争中的科技和产业制高点，触发“国际竞争实质”这一能力来源分析。,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。（8分）,,当前国际竞争的实质是以经济和科技实力为基础的综合国力的较量，发展新质生产力能够增强我国科技和产业竞争力。,（本题8分）,EXACT,EMPTY,PARTIAL,
理论,合作,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,3,2024西城二模Q17,,2024_西城_二模_Q17,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q17.md,题目把我国发展新质生产力放在“新一轮科技革命在全球范围内风起云涌”的背景下，问我国作为世界上最大的发展中国家应当扮演什么角色；作答要求把“当前国际竞争实质”列为可作答角度。,新一轮科技革命在全球范围内风起云涌。结合材料，综合运用所学，谈谈在当今时代，我国作为世界上最大的发展中国家应当扮演的角色。,,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，我国加快形成新质生产力、增强科技实力和综合国力，能够以世界上最大的发展中国家身份为世界发展贡献力量。,,EXACT,EMPTY,NO_MATCH,
理论,合作,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,4,2026朝阳一模Q20,,2026_朝阳_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_一模_Q20.md,"设问问""为什么能""，要回答中国向世界释放正能量的能力来源。材料给出中国科技创新、自主研发芯片、新能源汽车产量等事实——触发的是国际竞争实质论与中国创新驱动战略对综合国力的支撑，而不是把""全球产业链供应链稳定""当作要积累的核心答题点。",结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，成为全球创新策源地，为全球产业链供应链稳定与全球发展提供坚实支撑。,,EXACT,EMPTY,PARTIAL,
理论,合作,科教兴国战略与人才强国战略（细则用语：人才与国际竞争力的关系）,1,2025东城一模Q21,,2025_东城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q21.md,教育强国题的材料二写到“当今世界变乱交织，大国博弈更加激烈复杂”，作答要求把“教育的战略支撑地位”“人才与国际竞争力的关系”“综合国力和国际竞争力”列为可作答角度。,结合材料，综合运用所学，谈谈你对“教育是强国建设、民族复兴之基”的理解。,,人才是第一资源，综合国力竞争说到底是人才竞争，教育提高劳动者素质、培养科技人才，能够把人口规模优势转化为人才优势，增强我国综合国力和国际竞争力。,（本题10分）,EXACT,EMPTY,NO_MATCH,
理论,合作,维护国家利益是主权国家对外活动的出发点和落脚点,1,2025海淀期中Q21(2),,2025_海淀_期中_Q21_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q21_2.md,设问分析“不变”，题面虽展示外交阶段变化，但外交的根本立足点仍是维护国家利益，尤其是主权、安全和发展利益。,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,,无论外交阶段和任务怎样变化，新中国外交始终维护我国国家利益，维护我国主权、安全和发展利益。,,EXACT,EMPTY,NO_MATCH,
理论,合作,维护国家利益是主权国家对外活动的出发点和落脚点,2,2025东城期末Q20,——评价欧盟对中国新能源汽车征收临时反补贴税,2025_东城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_期末_Q20.md,"题面写中方坚决反对欧方临时反补贴税并多次提出建设性解决方案；设问要写认识短文，谈到中国态度必须把""维护本国利益""明确写出。",运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,面对欧盟对中国新能源汽车的不当贸易限制，中方坚定维护本国利益和中国企业的正当权益，通过磋商方式解决争议，避免争端进一步升级。,,EXACT,EMPTY,NO_MATCH,
理论,合作,维护国家利益是主权国家对外活动的出发点和落脚点,3,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目追问“捍卫国家利益”为什么构成大国外交更有作为的理由，材料呈现“维护国家主权、安全、发展利益”的关系链，触发国家利益理论作为中国特色大国外交主动作为的重要依据。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,国家利益是国际关系的决定性因素，维护国家利益是主权国家对外活动的出发点和落脚点。中国必须坚定维护国家主权、安全、发展利益，因此中国特色大国外交要更有作为。,（本题8分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,共享经济全球化成果，促进世界经济共同繁荣,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,材料要求从中国特色大国外交的世界意义作答，经济维度不仅要写开放合作，还要写共享成果和共同繁荣。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,中国推动经济全球化成果共享，有利于让更多国家分享开放合作机遇，缩小发展差距，促进世界经济共同繁荣。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,处理好自力更生和对外开放的关系，参与经济全球化和国际分工,1,2026朝阳期中Q17,,2026_朝阳_期中_Q17,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期中_Q17.md,题目让学生说明人工智能发展中需要处理好的重要关系，题面一方面强调芯片、算法、大模型等核心环节自主可控，另一方面说明自主可控不是闭门造车，因此要把自主创新和开放合作放在同一层处理。,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,总分结构：一层3分，两层6分，三层8分；每一层采用“总—分”结构（处理什么关系—如何处理关系），不能只罗列材料或空写教材词。,推进“人工智能+”要处理好自力更生和对外开放的关系，既增强核心技术自主可控能力、把握创新主动权，又开展国际交流合作，参与经济全球化和国际分工。,（本题8分）,EXACT,PARTIAL,NO_MATCH,
经济全球化,国：成员国和相关国家发展,促进全球资源优化配置和国际贸易发展,1,2025东城期末Q20,,2025_东城_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_期末_Q20.md,东城期末题面先呈现我国新能源汽车出口增长和在欧盟市场的竞争力，再让评价欧盟反补贴税，说明答案不能只批判欧盟，还要先说明中国新能源汽车产业对世界经济和新能源产业的积极贡献。,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,中国新能源汽车产业成功走向世界市场，有利于促进全球资源优化配置和国际贸易发展，提高世界经济运行效率。,,EXACT,EMPTY,NO_MATCH,
经济全球化,国：成员国和相关国家发展,对最不发达国家实行零关税，推动普惠包容的经济全球化,1,2025西城二模Q19(2),,2025_西城_二模_Q19_2,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_二模_Q19_2.md,对最不发达国家实行零关税，直接降低其进入中国市场的制度性成本，体现贸易自由化和普惠包容的经济全球化方向。,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,,中国对最不发达国家实行零关税待遇，促进贸易自由化，推动建设开放型世界经济和普惠包容的经济全球化。,,EXACT,EMPTY,NO_MATCH,
