suite_id,suite_name,question,answer,module,stem_or_material,material_trigger,correct_chain,wrong_or_boundary,student_action,evidence,_source_file
S042,2026丰台一模,4,A,correct_chain,中国传统四曲屋面设计与现代最速降线解释高度吻合。,中国传统四曲屋面设计与现代最速降线解释高度吻合。,实践是认识的基础；中华优秀传统文化智慧；正确项落在建筑营造实践积累排水、防雨、审美智慧，并可被现代科学解释。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md; C:\bp_sync_visible\reports\choice_question_processing_ledger.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,4,A,wrong_option,四曲屋面设计与现代解释。,四曲屋面设计与现代解释。,夸大创新程度；材料重在传统建筑实践智慧被现代科学解释。,屋顶设计实现了对中国传统风格建筑营造方式的全新重构,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,4,A,wrong_option,四曲屋面设计与现代解释。,四曲屋面设计与现代解释。,现代概念倒灌古代实践；不能倒推古人掌握现代数学理论。,古人运用联想思维，将最速降线理论迁移至屋顶建造之中,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,5,A,correct_chain,量子通信利用量子态不可克隆性和不确定性，使窃听可被察觉，推动密钥分发安全。,量子通信利用量子态不可克隆性和不确定性，使窃听可被察觉，推动密钥分发安全。,实践推动认识发展；科技实践与主观能动性；正确项抓深化对量子技术的认识并推动实践发展。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,5,A,wrong_option,量子通信安全。,量子通信安全。,把技术作用绝对化，违背尊重客观条件。,量子通信解决传统加密通信的安全问题，超越客观条件对人类活动的限制,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,5,A,wrong_option,量子通信安全。,量子通信安全。,混淆意识与实践；具有直接现实性的是实践。,量子通信是人类发挥主观能动性的产物，体现了意识具有直接现实性,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,6,D,correct_chain,苏州园林借景把临水古树、湖塔、斜晖轨迹等景物通过远近时空条件组织成整体意境。,苏州园林借景把临水古树、湖塔、斜晖轨迹等景物通过远近时空条件组织成整体意境。,联系观点、系统优化、中华优秀传统文化审美；从整体意境统摄局部景物，人文意境与自然景观相得益彰。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,6,D,wrong_option,苏州园林借景。,苏州园林借景。,立足点错误；系统优化要求立足整体、统筹部分。,借景应坚持系统优化，立足局部景观以实现园林整体效果最优,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S042,2026丰台一模,6,D,wrong_option,苏州园林借景。,苏州园林借景。,把具体园林技法拔高为民族整体风貌，外延过大。,借景集中展现中华民族的整体风貌和精神特征,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,2,D,correct_chain,从守作我到爱老己，材料把自我关照放在收入提升、生活品质改善和个人社会关系中理解。,从守作我到爱老己，材料把自我关照放在收入提升、生活品质改善和个人社会关系中理解。,人生价值、个人与社会统一、价值判断与价值选择；人的价值只能在社会中实现，爱老己需要正确处理个人与社会关系。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,2,D,wrong_option,守作我到爱老己。,守作我到爱老己。,误读材料；材料不是极端生活态度，而是改善条件下的自我关照。,爱老己是要么拼命、要么躺平的生活心态表达,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,2,D,wrong_option,守作我到爱老己。,守作我到爱老己。,错误使用自在事物联系；文化传承属于人的社会实践关系。,从守作我到爱老己，通过建立自在事物联系实现文化传承,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,4,A,correct_chain,中国大规模快速城镇化和反贫困实践获得世界承认，但原创区域经济研究仍较少，十五五强调构建中国哲学社会科学自主知识体系。,中国大规模快速城镇化和反贫困实践获得世界承认，但原创区域经济研究仍较少，十五五强调构建中国哲学社会科学自主知识体系。,实践是认识的基础、理论创新、系统优化；立足中国具体实践推动原创理论建构，并统筹理论创新、实践总结与学术交流。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,4,A,wrong_option,构建中国哲学社会科学自主知识体系。,构建中国哲学社会科学自主知识体系。,方向错误；材料强调中国自主知识体系建构，不是改造西方理论。,推动西方区域发展理论适应中国本土发展实际,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,4,A,wrong_option,构建中国哲学社会科学自主知识体系。,构建中国哲学社会科学自主知识体系。,一般性表述可成立但偏离材料核心；本题重在实践基础、自主知识体系和系统协同。,尊重社会意识相对独立性，发挥先进社会意识对中国实践的推动作用,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,6,D,correct_chain,科研团队通过实验印证光子波动性和粒子性的互补性，为量子未来写下基础研究成果。,科研团队通过实验印证光子波动性和粒子性的互补性，为量子未来写下基础研究成果。,实践检验认识、认识无限性、超前思维；基于现有实验成果预测未来发展趋势，不能说形成终极认识。,,补写正确项链。,C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,6,D,wrong_option,光子波动性和粒子性实验。,光子波动性和粒子性实验。,违背认识无限性、发展性。,多次实验验证完成了对光的本质的终极性认识,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,6,D,wrong_option,光子波动性和粒子性实验。,光子波动性和粒子性实验。,表述不准；题中更准确是科学实验实践，不是一般改造自然。,科研团队通过改造自然的实践活动推动量子物理发展,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S044,2026房山一模,6,D,wrong_option,光子波动性和粒子性实验。,光子波动性和粒子性实验。,把实验验证误写成演绎推理，推理类型不稳。,运用演绎推理，通过多次科学实验验证光的互补性特征,补写典型错肢链。,C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.csv
S003,2024东城一模,1,C,文化/中特交叉,中国故事从神舟家族太空接力到奋斗者号深潜、从荒漠治理到低碳生活、从杭州亚运到贵州村BA，问中国故事说明什么。,题干含中国故事、中国梦、世界人民梦想、接力奋斗；答案表显示第1题 C。,迁入正确项：②④；①③作为错肢边界。,见上句，正确项和错项已合并说明。,correct_option_chain,renders\74cdfac9253763bf\page_001.png; renders\7b4eece2963205d8\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S003,2024东城一模,2,B,文化,文旅产业发展呈现人间烟火气，土风、人气、心气、口碑传播、民心凝聚力，问这说明什么。,题干含文旅产业烟火气、主客共享、线上线下共情共鸣；答案表显示第2题 B。,迁入正确项①③；错肢②首要任务夸大，④流量/留量因果倒置。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\74cdfac9253763bf\page_001.png; renders\7b4eece2963205d8\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S003,2024东城一模,3,A,文化/逻辑交叉,龙年春晚吉祥物龙辰辰从龙形器、何尊、故宫九龙壁等传统文化中寻找设计灵感，问设计体现什么。,题干含中华优秀传统文化、中国传统色、生肖龙意蕴和美感；答案表显示第3题 A。,迁入传统文化元素创造性表达；③解构传统内涵、④直接纳入生肖吉祥寓意超出题干。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\74cdfac9253763bf\page_002.png; renders\7b4eece2963205d8\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S003,2024东城一模,15,C,哲学/国政经交叉,中国南极秦岭站填补太平洋扇区长期观测空白，构成南极观测网，问建设秦岭站。,题干含探索、保护利用、科学协作；答案表显示第15题 C。,迁入②③正确项；错肢①混淆思维存在同一性与物质条件创造，④夸大精神作用。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\74cdfac9253763bf\page_005.png; renders\7b4eece2963205d8\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S010,2024东城二模,1,D,文化/教育,北京大思政课实践教学基地数字地图点亮全市 16 区 200 余个实践教学基地，问这一举措。,题干含大思政课实践教学基地数字地图；答案表显示第1题 D。,迁入③④正确项；①②为主旨偏离。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\da9fdcae666d3412\page_001.png; renders\8db78abe18de2309\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S010,2024东城二模,2,B,文化,北京国际电影节展现不同国家电影艺术，中外影片齐聚，国内外电影产业融合，问电影节。,题干含讲述中国故事、文化独特魅力、文化互鉴桥梁；答案表显示第2题 B。,迁入①④正确项；错肢②混淆理解/认同，③缺实践转化环节。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\da9fdcae666d3412\page_002.png; renders\8db78abe18de2309\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S010,2024东城二模,3,B,哲学,解剖麻雀是调查研究方法，先选准麻雀并剖析研究，结论有可推广性，问从一个问题到一类问题说明什么。,题干含个性、共性、以点带面；答案表显示第3题 B。,迁入①④正确项；错肢③误用矛盾基本属性。,见上句，正确项和错项已合并说明。,correct_and_wrong_option_chain,renders\da9fdcae666d3412\page_002.png; renders\8db78abe18de2309\page_001.png,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S007,2024门头沟一模,2,C,哲学,"世界首例曲线钢桁斜拉桥转体, 连接区域交通",工程实践检验设计方案; 创新协调可持续发展,②对应技术创新与多目标协调; ③对应成功实践验证设计和施工方案正确性,①从国道建设直接推出区域繁荣超出题面; ④把转体套成矛盾主要方面缺少依据,PASS,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 1 and page 9,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S007,2024门头沟一模,5,B,文化,"文旅局长出圈, 花式内卷为家乡代言, 文旅融合新业态",文化功能; 文化与美好生活,①对应文旅融合促进发展; ④对应文化之美和美好生活期待,②实现文化认同拔高材料; ③经济发展水平取决于文化资源挖掘利用表述错误,PASS,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 2 and page 9,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S007,2024门头沟一模,9,A,哲学,科学实验发现3的倍数更牢固且21个更安全方便,实践认识; 认识发展,①由反复实验得出结论; ②认识随实验深化而变化,③错称科学实验是事物发展源泉和动力; ④真理谬误转化无题面支撑,PASS,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 3 and page 9,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S007,2024门头沟一模,10,D,哲学,电动载人汽车、锂电池、太阳能电池海外走俏,发展变化; 矛盾运动; 结构优化,②对应技术含量与竞争力增强; ④对应外贸出口结构优化升级,①以名称新旧判定新旧事物错误; ③只影响国内经济结构与海外市场材料不符,PASS,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 3 and page 9,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S007,2024门头沟一模,15,A,哲学,大历史观; 历史发展轨迹、规律、主动,社会历史观; 历史规律,①对应历史流变中掌握主动; ③为不坚持大历史观则不能探寻规律的条件判断,②只要就能绝对化; ④单因归因超出材料,PASS,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 4 and page 9,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S012,2024丰台二模,11,C,文化,北京推动祥体育博物馆、声音艺术博物馆、联合数字藏品博物馆等类博物馆建设,文化功能; 公共文化供给,②对应更加多元的展品; ④对应展示教育和公共文化功能,①目的表述过宽; ③确保和政治保障绝对化且不贴题,PASS,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_003.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S012,2024丰台二模,12,B,哲学,北斗卫星导航三步走,量变质变; 实践与认识工具,①对应三步积累; ④对应北斗导航扩展认识能力,②自然发展的必然结果忽视实践; ③充分条件表述过度,PASS,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_003.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S012,2024丰台二模,13,D,哲学,看比赛都站起来反而看不清; 家庭都大方出行导致道路拥堵,系统观念; 整体与部分,D对应从整体把握个体行为叠加后的系统后果,A逆向思维非主旨; B立足局部方向错误; C折中主义不等于适度原则,PASS,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_004.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
