suite,question,status,existing_coverage,missing_or_action,evidence_level,reason
2025西城一模,Q22,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 5 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025门头沟一模,Q16,已在宝典或 accepted JSONL 覆盖,prompt_gate_resolution final-DOCX proof: 价值判断与价值选择; accepted_base_docx_text mentions 4 time(s),不新增,strong rubric / final DOCX prompt proof; existing handbook body coverage,old question_prompt gate closed by final DOCX proof; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025门头沟一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 4 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025顺义一模,Q16,模块边界排除,blocked/skipped nodes: 价值观的导向作用 | 联系的普遍性 / 联系的观点（总） | 辩证否定 / 守正创新 | 量变与质变 / 适度原则; accepted_base_docx_text mentions 6 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | culture_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2025顺义一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026东城一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 5 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026东城一模,Q19,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026东城一模,Q20,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 4 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026丰台一模,Q16,已在宝典或 accepted JSONL 覆盖,prompt_gate_resolution final-DOCX proof: 价值观的导向作用 | 矛盾就是对立统一 | 矛盾的主要方面和次要方面 | 系统观念 / 系统优化; accepted_base_docx_text mentions 7 time(s),不新增,strong rubric / final DOCX prompt proof; existing handbook body coverage,old question_prompt gate closed by final DOCX proof; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026丰台一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026延庆一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 5 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026延庆一模,Q20,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 6 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026房山一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 4 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026房山一模,Q16(2),已在宝典或 accepted JSONL 覆盖,prompt_gate_resolution final-DOCX proof: 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一 | 尊重客观规律与发挥主观能动性相结合 | 整体与部分 | 矛盾的普遍性和特殊性,不新增,strong rubric / final DOCX prompt proof,old question_prompt gate closed by final DOCX proof
2026房山一模,Q18,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026房山一模,Q20,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026朝阳一模,Q16,模块边界排除,blocked/skipped nodes: 中华优秀传统文化的特点-文化自信 | 实践是认识的基础 | 尊重客观规律与发挥主观能动性相结合 | 矛盾的普遍性和特殊性 | 系统观念 / 系统优化; accepted_base_docx_text mentions 6 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | culture_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026朝阳一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 3 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026海淀一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 6 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026石景山一模,Q17,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 6 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026石景山一模,Q17(1),已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 发展的观点 / 发展的普遍性 | 矛盾就是对立统一 | 矛盾的特殊性 / 具体问题具体分析 | 系统观念 / 系统优化,不新增,强细则,same suite/question already covered in 5.2 base
2026石景山一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026西城一模,Q16,模块边界排除,blocked/skipped nodes: 主观能动性 / 意识的能动作用 | 价值观的导向作用 | 发展的观点 / 发展的普遍性 | 联系的普遍性 / 联系的观点（总）; accepted_base_docx_text mentions 5 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | module_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026西城一模,Q21,模块边界排除,blocked/skipped nodes: 发展的观点 / 发展的普遍性 | 实践观-探索是实践的本质要求 | 尊重客观规律与发挥主观能动性相结合 | 矛盾的特殊性 / 具体问题具体分析; accepted_base_docx_text mentions 7 time(s),follow blocked reason; 不新增,强细则; existing handbook body coverage,blocked reasons: already_in_base_exact_source | module_boundary; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026通州一模,Q18,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 矛盾就是对立统一 | 辩证否定 / 守正创新; tongzhou source repair accepted: 矛盾就是对立统一 | 辩证否定 / 守正创新,不新增,强细则; strong rubric + rendered question page,current student_patch_entries.accepted.jsonl covers this pair; 题面图片确认第18题；评标细则明确“矛盾对立统一”观点+阐述2分; 题面图片确认第18题；评标细则明确“辩证否定观”观点+阐述2分，发展观可替代; excluded/thin alternatives: 双创 | 立足社会实践
2026门头沟一模,Q16,已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 发展的观点 / 发展的普遍性 | 矛盾就是对立统一 | 联系的普遍性 / 联系的观点（总） | 辩证否定 / 守正创新; accepted_base_docx_text mentions 5 time(s),不新增,参考答案; existing handbook body coverage,same suite/question already covered in 5.2 base; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026门头沟一模,Q21,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 2 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026顺义一模,Q16,已在宝典或 accepted JSONL 覆盖,accepted_base_docx_text mentions 4 time(s),不新增,existing handbook body coverage,base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026顺义一模,Q21,已在宝典或 accepted JSONL 覆盖,blocked.jsonl says already in base: 主要矛盾和次要矛盾 | 人民群众 | 尊重客观规律与发挥主观能动性相结合; accepted_base_docx_text mentions 6 time(s),不新增,参考答案; existing handbook body coverage,same suite/question already covered in 5.2 base; base text proves artifact location only; source authority remains formal rubric/marking/lecture records
2026东城二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 价值观的导向作用 | 实践是认识的基础 | 物质决定意识 | 矛盾的特殊性 / 具体问题具体分析 | 系统观念 / 系统优化 | 辩证否定 / 守正创新,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2026丰台二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 价值观的导向作用 | 发展的观点 / 发展的普遍性 | 尊重客观规律与发挥主观能动性相结合 | 矛盾的特殊性 / 具体问题具体分析 | 系统观念 / 系统优化,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2026房山二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 尊重客观规律与发挥主观能动性相结合 | 系统观念 / 系统优化 | 量变与质变 / 适度原则,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair; old blocked row superseded by current accepted JSONL
2026房山二模,Q18(2),已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 辩证否定 / 守正创新,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2026朝阳二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 价值观的导向作用 | 矛盾就是对立统一 | 矛盾的特殊性 / 具体问题具体分析 | 辩证否定 / 守正创新,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2026朝阳二模,Q21,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 系统观念 / 系统优化 | 量变与质变 / 适度原则,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair
2026海淀二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 实践是认识的基础 | 矛盾就是对立统一 | 联系的普遍性 / 联系的观点（总） | 认识对实践的反作用,不新增,讲评细则,current student_patch_entries.accepted.jsonl covers this pair; old blocked row superseded by current accepted JSONL
2026海淀二模,Q21,模块边界排除,blocked boundary nodes: 矛盾就是对立统一,do not insert into Bixiu4 philosophy main-question handbook,弱参考答案,blocked reasons: module_boundary
2026石景山二模,Q17(3),已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 实践是认识的基础 | 矛盾就是对立统一 | 联系的普遍性 / 联系的观点（总）,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair; old blocked row superseded by current accepted JSONL
2026西城二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 价值观的导向作用 | 实践是认识的基础 | 矛盾的普遍性和特殊性,不新增,强细则,current student_patch_entries.accepted.jsonl covers this pair; old blocked row superseded by current accepted JSONL
2026顺义二模,Q16,已在宝典或 accepted JSONL 覆盖,docx_insert_ledger: 两点论与重点论 | 人民群众 | 价值观的导向作用 | 实践是认识的基础 | 辩证否定 / 守正创新,不新增,强阅卷版,current student_patch_entries.accepted.jsonl covers this pair; old blocked row superseded by current accepted JSONL
