"suite_id","suite_name","question","question_type","framework_slot","evidence_class","evidence_source","material_excerpt","knowledge_point","trigger_logic","student_answer_landing","choice_answer","wrong_option_pattern","status","blocker"
"S052","2026朝阳期中","Q19","subjective","2. 作用；4. 纵向；6. 民族精神","marking-rules+A-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:245-264; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:527-545; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:68","特刊素材围绕爱国基因、全民族抗战和习近平总书记对伟大抗战精神的阐释。","抗战精神；民族精神；优秀文化作用；双创","细则按是什么、为什么、如何弘扬分层，明确抗战精神是民族精神/爱国主义/革命文化，弘扬理由可写民族精神作用、优秀文化对人和社会，做法可写继承弘扬发展创新。","可落为：伟大抗战精神是以爱国主义为核心的民族精神的生动体现；新时代要继承、弘扬并创新表达，使其成为砥砺前行的精神力量。","","","PASS",""
"S052","2026朝阳期中","Q21(1)","subjective","2. 作用；4. 纵向；5. 建设文化强国，树立文化自信；6. 民族精神","marking-rules+A-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:284-298; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md:556-561; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:69","人文经济学强调文化、人文与经济有机统一；细则中文化传承与创新角度4分：传承与发展2分，对人1分，文化自信1分。","文化传承与创新；优秀文化对人；文化自信；民族精神","经济与文化双模块题中，文化链要说明经济发展为文化传承创新提供条件，文化消费使人感受文化魅力、丰富精神世界、增强精神力量，并形成文化认同。","可落为：人文经济学研究促进优秀文化传承与创新，丰富精神世界、增强精神力量，增强文化自信，并为经济发展提供精神动力。","","","PASS",""
"S053","2026朝阳期末","Q16","subjective","1. 特点；2. 作用；4. 纵向；5. 建设文化强国，树立文化自信","read-image-scoring-confirmed+A-level","C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:49; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期末.md:14-21","旧复核表确认2026朝阳期末第16题细则：是什么1分，为什么2分，怎么做4分，整体逻辑1分；触发点为传统戏曲传承创新统一、精神需求、文化自信、立足时代、双创。","传统戏曲；中华文化源远流长博大精深；精神需求；文化自信；创造性转化创新性发展","当前bundle无可靠文本层，主证据来自旧读图复核；文化链来自评分细则，不从OCR不清处新增高风险词。","可落为：传统戏曲焕发生命力，是中华优秀传统文化传承与创新的统一；要立足时代、回应人民精神需求，推动传统文化与现代元素融合，实现创造性转化和创新性发展。","","","PASS",""
"S053","2026朝阳期末","Q1-Q15","choice","客观文化选择题","rendered-paper-no-reliable-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期末.md:7-8; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期末.md:25-30","试卷和细则均为rendered-ocr-needed，当前bundle未提供选择题答案表。","","选择题必须有题干和可靠答案键；本套本地bundle未见第1-15题可靠答案键，不能补正确项链或错肢。","","","","BLOCKED","缺可靠答案键；只能确认扫描/渲染路径，不能从OCR不清或无答案表材料虚构选择题文化链。"
"S054","2026丰台期末","Q16","subjective","1. 特点；2. 作用","evaluation-report+B-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026丰台期末.md:24-58; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:51","试卷分析要求哲学与文化两个模块，文化角度写留白是中华优秀传统文化的美学智慧与审美特质，彰显中华文化独特魅力与精神价值，体现博大精深，丰富精神世界。","留白审美智慧；中华文化博大精深；优秀文化丰富精神世界","该题为等级题，文化角度只作为哲学与文化兼顾中的文化链；不能把参考答案写成逐点细则。","可落为：留白承载中华优秀传统文化的审美智慧，体现中华文化博大精深，能够丰富人的精神世界、彰显中华文化独特魅力。","","","PASS",""
"S054","2026丰台期末","Q1-Q15","choice","客观文化选择题","paper-rendered-no-reliable-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026丰台期末.md:7-8","当前bundle中细则可读，但试卷为rendered-ocr-needed，未见选择题答案表。","","选择题必须同时具备题干和答案键；本套缺可靠答案键，不补文化选择题正确项或错肢。","","","","BLOCKED","缺可靠答案键；不从试卷分析或主观评标材料反推客观题答案。"
"S055","2026石景山期末","Q18(1)","subjective","0. 载体；4. 纵向","answer-and-scoring-reference+B-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md:20-45; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md:57-61; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:56","答案及评分参考列第18(1)可从联系、发展、矛盾、中华优秀传统文化传承等角度回答；旧清单注明非遗漫游攻略把村落、主题和游客体验统一于非遗文化整体。","非遗漫游；文化载体；中华优秀传统文化传承","本套只有答案及评分参考，不能写成详细评标细则；可登记为B类等级支持链，落在非遗文化资源活化和传承。","可落为：非遗漫游把非遗主题、典型村落和游客体验组织成文化载体，推动中华优秀传统文化在当代生活中传承。","","","PASS",""
"S055","2026石景山期末","Q1-Q2","choice","6. 民族精神","answer-key-only-no-full-question-stem","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md:20-27; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_2024-2026题源穷尽清单.md:81","旧清单提示第1题抗战精神、第2题抗战主题展；当前bundle只含答案及评分参考，未提供第1-2题完整题干。","抗战精神；民族精神","选择题入文化框架必须有题干和可靠答案键；当前只有答案键和旧清单线索，不能写完整正确项链或错肢。","","1=C; 2=A","","BLOCKED","缺第1-2题完整题干；不得把旧清单线索或答案表扩写成选择题错肢分析。"
"S056","2026通州期末","Q6","choice","3. 横向","paper-question+teacher-answer-key","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:382-393; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:573-576","昆曲与莎士比亚戏剧跨越时空对话，牡丹亭与哈姆雷特同台，成为东西方文明互鉴的雅集。","文化交流互鉴；文化发展动力","汤莎同台的关键词是东西方文明互鉴，正确项落在不同文明交流互鉴为文化发展提供动力；不能写成引进外来文化或融入全球价值体系。","不同文明交流互鉴能够为文化发展提供动力，促进文化在互学互鉴中发展。","A","B把借鉴西方成果直接指向传统文化双创，材料不够；C价值体系表述错误；D强调载体和认同但不如A准确对应启示。","PASS",""
"S056","2026通州期末","Q16","subjective","2. 作用；4. 纵向；6. 民族精神","lecture-scoring+B-level","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:468-486; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:268-280; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md:573-581; C:\bp_sync_visible\reports\culture_all_suites_rerun_2026-04-29\prior_必修四文化_细则文化题逐题复核表.md:57","都江堰体现因地制宜、顺势而为、天人合一传统理念，成为生态文明教育、爱国主义教育和中华优秀传统文化教育课堂；当代通过智水、科技赋能文物保护和情景剧互动体验持续升级。","中华优秀传统文化传承；民族精神；创造性转化创新性发展；文化功能","讲评细则明确文化角度包括传统理念的传承、民族精神、双创和文化功能；材料从古代水利实践延伸到当代科技保护和文化表达创新。","可落为：都江堰承载天人合一等传统理念，体现中华优秀传统文化传承和民族精神；当代通过科技赋能、文化表达创新，实现创造性转化创新性发展，发挥教化育人和推动发展的文化功能。","","","PASS",""
