suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker
"S004","2024朝阳一模","第1题","choice","4.纵向;5.文化强国/文化自信","objective_key","bundle: 2024朝阳一模; 试卷《202404朝阳高三一模试题.pdf》; 答案《202404朝阳高三政治质量检测一参考答案 上交版.docx》","“两个结合”尤其把马克思主义基本原理同中华优秀传统文化相结合，拓展中国特色社会主义道路的文化根基。","两个结合；中华优秀传统文化；文化根基","两个结合题的文化链在“马克思主义中国化时代化-中华优秀传统文化-道路根基”。","正确项链：第二个结合巩固道路根基、把革命道路等实践理解为结合成果。","B；正确项①③","②把第一个结合说成新时代新命题；④把第二个结合说成一直明确强调，时序错误。","PASS",""
"S004","2024朝阳一模","第2题","choice","4.纵向","objective_key","bundle: 2024朝阳一模; 试卷《202404朝阳高三一模试题.pdf》; 答案《202404朝阳高三政治质量检测一参考答案 上交版.docx》","央视运用生成式人工智能制作演绎中华经典古诗词的动画节目《千秋诗颂》，制作效率提升。","科技赋能文化传播；融通资源；传统文化创新表达","材料同时出现新技术、效率提升、经典古诗词传播，说明技术服务优秀文化表达。","学生落点：科技赋能传统文化传播和创新表达，但本题答案主旨更偏新质生产力优势。","C","A消除技术与艺术界限；B彻底变革生产方式；D动画制作发展顶峰，均绝对化。","PASS",""
"S004","2024朝阳一模","第5题","choice","0.载体;2.作用;5.文化强国/文化自信","objective_key","bundle: 2024朝阳一模; 试卷《202404朝阳高三一模试题.pdf》; 答案《202404朝阳高三政治质量检测一参考答案 上交版.docx》","北京城市副中心三大文化建筑开放：北京艺术中心、北京城市图书馆、北京大运河博物馆。","文化建筑载体；历史文脉；文化成果惠及人民","公共文化建筑题抓“载体-历史文脉-人民精神文化需求”。","正确项链：文化建筑传承北京历史文脉、落实首都战略定位，让文化发展成果惠及人民。","A；正确项①③","②“旨在碰撞”表达失当；④“全面展示中华传统文化”范围过大。","PASS",""
"S004","2024朝阳一模","第18(2)题","subjective","2.作用;5.文化强国/文化自信","B_level_rubric","bundle: 2024朝阳一模; 细则/讲评《2024朝阳一模细则.pptx》《202404朝阳高三政治一模试卷讲评.pptx》","“科学普及与科技创新是实现创新发展的两翼”；讲评参考写科学普及与科技创新都是文化事业和文化强国举措。","文化事业；文化强国；以人民为中心","科普题出现公共服务、公众科学素养和基层供给时，可触发文化事业的社会功能。","可写科普服务社会、教育人民，提升公众科学素养，为文化强国和创新发展提供支撑。","","","PASS","旧复核定为B类等级支持，未见逐词固定分。"
"S005","2024丰台一模","第1题","choice","6.民族精神","objective_key","bundle: 2024丰台一模; 试卷《2024北京丰台高三一模政治试题及答案.pdf》","围绕再走长征路、再写英雄谱、再现红飘带开展活动，铭记革命先辈、赓续红色血脉。","革命文化；长征精神；红色基因","长征活动题链条是革命历史资源进入现实教育实践，转化为理想信念和行动。","正确项链：回望长征铭记先辈，历史融入现实，激励自信前行。","B","把革命文化时代价值说成“丰富长征精神基本内容”属过度创新；把历史比较直接等同现代化新征程也漂移。","PASS",""
"S005","2024丰台一模","第2题","choice","0.载体;1.特点;4.纵向","objective_key","bundle: 2024丰台一模; 试卷《2024北京丰台高三一模政治试题及答案.pdf》","汉唐宋明等传统纹样千百年来由人们创作出来，装点生活，如今仍熠熠生辉。","文化符号；审美旨趣；传统文化生命力","纹样题看“审美表达-美好生活期盼-当代表达生命力”。","正确项链：传统纹样表达审美旨趣和美好生活期盼，因独特文化表达今天仍具生命力。","D","把纹样说成主要载体或精神归宿，均是拔高。","PASS",""
"S005","2024丰台一模","第21题","subjective","3.横向;5.文化强国/文化自信","B_level_rubric","bundle: 2024丰台一模; 试卷/答案《2024北京丰台高三一模政治试题及答案.pdf》; prior复核表","全人类共同价值材料引用《尚书·尧典》“协和万邦”，并讨论人类文明进步正确方向；旧复核定为B类，提示拓展到中华优秀传统文化。","全人类共同价值；中华优秀传统文化；文明共通性","价值题若把中国价值表达与世界共同追求连接，可作文化与文明共通性的等级支持角度。","只能作为等级支持角度：说明中国传统智慧同全人类共同价值相通，为文明进步提供思想资源。","","","PASS","当前bundle参考答案仅明示“唯物辩证法、构建人类命运共同体”等；文化链依据旧复核B类，不标为逐点细则。"
"S006","2024石景山一模","第16题","subjective","4.纵向;5.文化强国/文化自信","blocked_reference_only","bundle: 2024石景山一模; 教师版《2024北京石景山高三一模政治（教师版带答案）.docx》; PPT《2024年石景山一模.pptx》","教师版答案列“可从文化的继承与发展，文化自信，认识的作用，联系，发展等角度回答”；PPT含通用文化框架。","文化继承发展；文化自信","材料具备文化角度，但当前证据没有逐题正式细则/评标给分口径。","","","","BLOCKED","只有教师版参考/等级描述和通用PPT框架，不能按用户口径升格为主观文化细则。"
"S007","2024门头沟一模","覆盖边界","coverage","边界","blocked_classification_supplement","roster: classification-bundle-supplement; prior清单夜间补丁同步; supplemental_source=C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf","该套无独立suite bundle；roster指向分类汇编bundle和补源PDF；旧复核明确“仅补客观答案源，主观参考答案/等级描述不升格”。","","","","","","BLOCKED","classification-bundle-supplement；可补客观来源但主观文化细则仍是reference-only边界，本轮不改最终Word。"
"S008","2024海淀二模","第15题","choice","3.横向","objective_key","bundle: 2024海淀二模; 试卷《高三政治：二模试题（海）(1).pdf》; 答案/细则《高三二模：政治答案(2).docx》《2024海淀二模细则.docx》","世界水日主题为“Water for Peace”，选项含以水为媒推进命运共同体、为不同水文化交流对话互学互鉴搭建平台。","文化交流；文明互鉴","国际主题日若出现不同水文化交流互鉴，可归横向传播，但本题也含国际政治共同体。","正确项链：水议题可成为文化对话平台，同时服务共同体意识。","D；正确项③④","把文化平台说成单向证明，或忽视共同体议题，均偏离。","PASS",""
"S008","2024海淀二模","第21题","subjective","5.文化强国/文化自信","B_level_rubric","bundle: 2024海淀二模; 细则《2024海淀二模细则.docx》","“循新出发，向新而行”；答案/细则列“可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答”；材料含“培育创新文化”。","文化自信；创新文化","开放综合题若选择文化自信，要说明文化激发创新、凝聚合力，服务强国建设和民族复兴。","作为等级支持角度写：培育创新文化、坚定文化自信，为强国建设提供精神动力。","","","PASS","B类等级细则支持，非逐点标分。"
"S009","2024西城二模","第18(4)题","subjective","2.作用;4.纵向;5.文化强国/文化自信;7.习近平文化思想","B_level_rubric","bundle: 2024西城二模; 细则《2024西城二模细则.docx》","“全国乡村文化振兴在行动”：传统村落形态、乡土风俗、公共文化空间；细则列习近平文化思想、文化产业、文化传承与文化创新、人民群众等角度。","乡村文化振兴；文化产业赋能；传承创新；人民主体","传统村落题要从资源保护、产业赋能、人民参与和乡村振兴目标组织。","可写坚持习近平文化思想，保护传承乡土文化，发展文化产业和公共文化空间，让人民参与并共享文化振兴成果。","","","PASS","等级细则支持，未逐词固定分。"
"S010","2024东城二模","第1题","choice","2.作用;4.纵向","objective_key_rendered","bundle: 2024东城二模; rendered pages da9fdcae666d3412 + answer render 8db78abe18de2309","大思政课数字地图整合红色场馆、文博场馆等资源，用数字化方式服务思政教育。","文化资源；数字化载体；教育人民","数字地图题抓“文化资源-数字载体-育人功能”。","正确项链：用数字技术整合文化教育资源，拓展育人空间。","D；正确项③④","①②偏离数字地图整合资源和育人主旨。","PASS","东城二模试卷/答案为rendered-ocr-needed，已按本地渲染页读图补证。"
"S010","2024东城二模","第2题","choice","3.横向","objective_key_rendered","bundle: 2024东城二模; rendered pages da9fdcae666d3412 + answer render 8db78abe18de2309","北京国际电影节通过电影展映、交流合作促进中外电影文化互动。","文化交流传播；文明互鉴","电影节题的横向链条是以艺术平台推动交流互鉴，不是要求认同所有外来文化。","正确项链：搭建电影文化交流平台，推动中外文化理解与互鉴。","B；正确项①④","②“理解和认同不同文化”错在认同对象；③把文化交流直接说成物质力量，缺少实践转化。","PASS","东城二模试卷/答案为rendered-ocr-needed，已按本地渲染页读图补证。"
"S010","2024东城二模","第16题","subjective","2.作用;4.纵向","A_formal_rubric","bundle: 2024东城二模; 细则《16题二模阅卷总结.docx》《16题评分细则.pptx》","题问“为何二千多岁的桑基鱼塘仍未老”；文化角度列实践生成文化、双创、优秀传统文化当代价值、文化功能、人民群众文化创新主体。","文化源于实践；创造性转化创新性发展；文化功能；人民主体","传统生产生活智慧题先写来源于实践，再写随时代发展和产业融合，最后写研学课程等文化功能。","答题落点：桑基鱼塘源于农业实践，是中华文化组成部分；与产业、乡村振兴和研学融合，实现双创并发挥优秀文化作用。","","","PASS",""
"S010","2024东城二模","第21题","subjective","5.文化强国/文化自信;6.民族精神","B_level_rubric","bundle: 2024东城二模; 细则《21.docx》《21题(1).pptx》","战略性有利条件题；细则写“自信自强是中华民族的固有品格，弘扬自强不息的民族精神……提供强大精神动力”。","民族精神；自信自强；文化自信","民族复兴综合题中文化点要落到精神动力和战胜风险挑战的底气。","可写弘扬自强不息的民族精神，增强志气、骨气、底气，为民族复兴提供精神动力。","","","PASS","B类等级题，至少三个点才满分。"
"S011","2024朝阳二模","第4题","choice","3.横向","objective_key","bundle: 2024朝阳二模; 试卷《003202405朝阳高三二模政治试题.pdf》; 答案《004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx》","中法文化艺术展览为增进中法两国在文化、艺术等领域交流互鉴提供平台，展现民族文化独特魅力。","文化交流互鉴；文化多样性","展览题属于典型横向文化交流：平台、互鉴、多样性。","正确项链：展览搭建交流平台，凸显文化多样性与民族文化独特魅力。","A；正确项①②","③若泛称各国文化包容性需看材料支撑；④“趋同”错误。","PASS",""
"S011","2024朝阳二模","第19(3)题","subjective","1.特点;4.纵向;5.文化强国/文化自信","A_formal_rubric","bundle: 2024朝阳二模; 细则《2024朝阳二模细则.pdf》","“中华优秀传统文化的特质赋予中国式现代化深厚底蕴”；细则给分含中华优秀传统文化特点、尊重自然顺应自然、自强不息厚德载物、双创/两个结合。","中华优秀传统文化特质；尊重自然；自强不息；双创","传统文化特质题要把具体思想资源对应到中国式现代化特征，再写新时代转化发展。","答题落点：中华优秀传统文化源远流长、博大精深，其天人观、自强不息等为中国式现代化提供文化基因和精神力量；新时代推进双创。","","","PASS",""
"S012","2024丰台二模","覆盖边界","coverage","边界","blocked_objective_scan","bundle: 2024丰台二模; roster suite-bundle; 试卷《丰台高三二模政治试卷.pdf》status rendered-ocr-needed; 细则《2024丰台二模细则.docx》","当前bundle只有主观评标文本可读，试卷为rendered-ocr-needed；旧文化清单未列2024丰台二模文化主观已核项。","","","","","","BLOCKED","不能从当前bundle穷尽确认1-15题文化选择题题干+可靠答案键；主观细则未见文化线给分点。"
"S013","2024顺义思政二模","第3题","choice","2.作用;4.纵向","objective_key","bundle: 2024顺义思政二模; 试卷《20240318顺义思政二模试题（定）.docx》; 细则《2024顺义思政二模细则.docx》","哈尔滨冰雪经济火爆出圈，各地文旅局亮家底、打造文旅名片。","文旅融合；文化与经济交融","文旅出圈题抓本地文化资源、政府履职和文旅发展，不把文化与经济关系绝对化。","正确项链：政府结合地方实际打造文旅名片，推动文化资源转化为发展资源。","C；正确项③④","①“让各地人们过上美好生活”过度；②文化与经济相互促进表述绝对化。","PASS",""
"S013","2024顺义思政二模","第4题","choice","3.横向","objective_key","bundle: 2024顺义思政二模; 试卷《20240318顺义思政二模试题（定）.docx》; 细则《2024顺义思政二模细则.docx》","北京文化论坛文艺晚会《同舟》由多国演奏家用不同文明古老乐器奏响人类文明和谐之音。","文化多样性；文化交流互鉴","多国艺术同台题触发“文化既是民族的又是世界的”“尊重文明多样性”。","正确项链：用艺术创新表达展示文化民族性与世界性，促进不同文化背景的人互动。","B；正确项①③","②国家对外活动出发点错误；④坚守中华文化立场不是该材料主要表现。","PASS",""
"S014","2024海淀期中","覆盖边界","coverage","边界","module_boundary","bundle: 2024海淀期中; 细则《2024海淀期中细则.pdf》; prior复核表夜间补丁同步","旧复核明确：细则第3页模块分布显示主观题属必修2、必修3、选择性必修1，不产生必修四文化主观链。","","","","","","MODULE_BOUNDARY","本轮不把期中主观题迁入必修四文化；未发现可按用户口径处理的文化主观链。"
"S015","2024朝阳期中","第17题","subjective","3.横向;4.纵向;5.文化强国/文化自信;7.习近平文化思想","A_formal_rubric","bundle: 2024朝阳期中; 细则《2024朝阳期中细则.rtf》","题问如何让历史悠久的农耕文明在新时代迎来全新面貌；细则：文化6分+哲学2分，坚持习近平文化思想1分，保护传承、规范传播、创新发展/双创等各有分值。","习近平文化思想；农耕文明保护传承；规范传播；双创；文化自信","传统文明新时代发展题按“指导思想-保护传承-传播规范-创新发展”展开。","答题落点：坚持习近平文化思想和文化自信，保护农耕文化遗产和非遗，规范短视频/综艺传播，推动与现代科技、文创产业融合。","","","PASS",""
