"suite_id","suite_name","question","question_type","framework_slot","evidence_class","evidence_source","material_excerpt","knowledge_point","trigger_logic","student_answer_landing","choice_answer","wrong_option_pattern","status","blocker"
"S029","2025朝阳二模","COVERAGE","coverage","2;4;0","coverage","SUITE_ROSTER.csv; 2025朝阳二模 bundle","主观第16题有评分细则；选择第3、4题有题干和答案键","从游自学；红色文物活化；艺术理论文化基因","有文化主观链且有文化选择题链，覆盖状态 PASS","从游提供知识传承与文化濡染，自学支撑文化创新基础","","","PASS",""
"S029","2025朝阳二模","3","choice","0;2;4","answer_key_and_stem","2025朝阳二模 bundle lines 431-442; answer key lines 662-667","香山公园校外思政课堂，现场教学、线上课程、实景研学、志愿服务，革命文物活化利用","红色文化引领；革命文物活化；大思政课实践教学基地","正确项 ②③ 对应红色文化教育引导和联系多样性；文化链只取红色文化引领和文物活化","红色文化材料要写育人价值、爱国情怀和革命文物活化利用","C","把课外实践绝对化为比书本知识更重要；把革命文物说成全方位展示传统文化价值","PASS",""
"S029","2025朝阳二模","4","choice","1;2;4","answer_key_and_stem","2025朝阳二模 bundle lines 443-450; answer key lines 662-667","诗论、文论、书论、画论解读文化基因传承序列，探究真善美表达","中华文化审美与人文精神；文化传承","正确项 ③④ 对应超越技艺层面的精神追求和真善美表达","艺术理论不仅是技艺说明，还承载文化基因和真善美价值追求","D","把艺术理论误写成艺术元素和方法的对立统一，或只谈创作者主体地位","PASS",""
"S029","2025朝阳二模","16","subjective","2;4","scoring_rubric","2025朝阳二模 bundle lines 35-75","从游提供知识传承与引导，营造学习氛围与文化濡染；自学促进独立思考和创新发展","文化传承重要途径；文化功能；文化创新基础","评分细则明确从游作用、自学作用、二者关系均按知识+材料给分，文化点包括文化传承、文化濡染、文化功能、文化创新","从游让学生在特定文化氛围中获得知识传承和精神滋养；自学深化拓展从游所学，成为文化创新的重要基础","","只写哲学联系/发展而不落文化传承和文化功能，会吞掉文化链","PASS",""
"S030","2025丰台二模","COVERAGE","coverage","0;2;3;4;5","coverage","SUITE_ROSTER.csv; 2025丰台二模 bundle","主观第16(1)有评标细则；选择第5、6题有题干和答案键","大思政课；汉字承载价值；胡同文化保护传承","有文化主观链且有文化选择题链，覆盖状态 PASS","第16(1)按哲学+文化两层，文化只写最多 3 分不能冒充全题细则","","","PASS",""
"S030","2025丰台二模","5","choice","0;5","answer_key_and_stem","2025丰台二模 bundle lines 86-93; answer key lines 377-381","韩非子追述仓颉造字，公私二字构造体现价值观念","汉字文化载体；文化价值观念","正确项 ①② 对应汉字构造承载文化价值和公私智慧道德关系","汉字材料先落文化载体，再写其承载价值观念和道德追求","A","把社会主流思想写成决定个人观念；把处理公私关系写成实现人生价值前提","PASS",""
"S030","2025丰台二模","6","choice","0;2;4","answer_key_and_stem","2025丰台二模 bundle lines 94-100; answer key lines 377-381","什刹海、南锣鼓巷保护性修缮，数字胡同 VR，胡同文化创意市集，体验传统手工艺","文化遗产保护传承；文化建设满足人民文化需求","正确项 ②④ 对应保护传承与人民文化需求；科技是手段，不能说丰富文化遗产基本内涵","胡同修缮和数字体验要写保护传承、文化活动和人民文化需求","D","把技术手段说成丰富文化遗产基本内涵；把活动说成扩大城市街区空间","PASS",""
"S030","2025丰台二模","16(1)","subjective","3;4;5","marking_rubric","2025丰台二模 bundle lines 237-240,383-401,488-535","西安、敦煌、喀什丝路明珠；古艺重焕生机、文化交融、多民族共生、文旅新业态","文化传承创新；文化交流交融；文化多样性；文化传播；文化认同文化自信","评标细则要求哲学+文化二层，关键词含优秀传统文化、民族文化、文化多样性、传承、创新、交流交融、传播；只写文化最多 3 分","推荐地点时要把具体材料转成文化链：西安写传承创新，敦煌写文化多样性与交流交融，喀什写民族文化交融与文旅发展","","只写文化不写哲学扣 1 分；把哲学链替代文化链也不完整","PASS",""
"S031","2025昌平二模","COVERAGE","coverage","0;2;4;5;6","coverage","SUITE_ROSTER.csv; 2025昌平二模 bundle","主观第16题有 PPT 细则；选择第3题有题干和答案键","书法鉴赏；机器人秧歌","有文化主观链且有文化选择题链，覆盖状态 PASS","书法题不能只写字形技艺，要落载体、作用、传承、民族精神、文化自信","","","PASS",""
"S031","2025昌平二模","3","choice","2;4","answer_key_and_stem","2025昌平二模 bundle lines 227-233; answer key lines 508-512","机器人穿红背心、跳秧歌、转手绢，人机共舞登上春晚","传统艺术科技赋能；传统文化创新表达","正确项 ①② 对应古老秧歌在现代科技加持下焕新、艺术与科技融合体现能动性","传统艺术+机器人/AI/舞台化，写科技赋能文化创新表达","A","把人机共舞说成矛盾双方相互转化；把春晚表演说成归纳推理","PASS",""
"S031","2025昌平二模","16","subjective","0;2;4;5;6","rubric_ppt","2025昌平二模 bundle lines 105-108,514-515","书法鉴赏中鉴字也鉴人；祭侄文稿维护国家统一，黄州寒食帖表现理想精神状态","文化载体；文化作用；优秀传统文化传承；民族精神；文化自信","PPT 细则列文化载体、文化作用、优秀传统文化传承、民族精神、文化自信等角度，为等级细则支持术语","中国书法不仅是技艺，还以文字、作品和书家人格承载精神追求、民族精神和优秀传统文化，能涵养文化自信","","只把书法写成审美技艺或只写哲学价值观，漏文化载体与民族精神","PASS",""
"S032","2025海淀期中","COVERAGE","coverage","none","coverage","SUITE_ROSTER.csv; 2025海淀期中 bundle lines 81-180,371-376","客观题主要为经济、政治、法律、国政经；未见正式细则支持的文化主观题","模块边界排除","无文化题，覆盖状态 MODULE_BOUNDARY","不新增文化链；二次元经济题按经济消费与市场处理，不把材料标签冒充文化链","","","MODULE_BOUNDARY","未发现文化主观题；未发现可确认为文化模块的选择题"
"S033","2025海淀期末","COVERAGE","coverage","0;1;2;4;5;7","coverage","SUITE_ROSTER.csv; 2025海淀期末 bundle","主观第16题有讲评细则；选择第1、3题有题干和答案键","中医药新时尚；中轴线声音；国产游戏讲中国故事","有文化主观链且有文化选择题链，覆盖状态 PASS","第16题每层原理2+材料1，习近平文化思想单独1分","","","PASS",""
"S033","2025海淀期末","1","choice","0;1","answer_key_and_stem","2025海淀期末 bundle lines 607-612; answer key lines 773-790","中轴线上的晨钟暮鼓、古树鸟鸣、京韵吆喝串联七百多年自然与人文之美","文化载体；中华文明连续性","正确项 ①② 对应声音承载北京历史文化记忆、展现中华文明连续性","声音、建筑、街巷等可作为城市历史文化记忆载体","A","把本地文化记忆直接写成增进各国人民认同；泛写民族精神当代价值","PASS",""
"S033","2025海淀期末","3","choice","3;4;5","answer_key_and_stem","2025海淀期末 bundle lines 619-624; answer key lines 773-790","国产游戏以西游记为背景，融入非遗文化和实景扫描，音译 Wukong","讲好中国故事；传统文化创新表达；中国文化独特魅力","正确项 ①③ 对应现代技术娱乐形式讲中国故事、融入传统文化展示魅力","游戏、影视、数字产品若承载传统文化并进入国际传播，落讲好中国故事和创新表达","B","把材料说成中外文化交流融合；写成引领世界文化属于拔高","PASS",""
"S033","2025海淀期末","16","subjective","4;7","rubric_ppt","2025海淀期末 bundle lines 40-54,571-580","药食同源理念与现代烘焙、年轻消费场景融合，打造中医药新时尚","中华优秀传统文化创造性转化创新性发展；融通不同资源；立足时代之基；人民立场；习近平文化思想","讲评细则明确文化角度每层3分，原理2+材料1；习近平文化思想单独1分","打造中医药新时尚，要推动药食同源等优秀传统文化创造性转化，融通中医药、烘焙产品和消费场景，回应年轻群体需求","","文化价值和功能、中华文化特点、意义分析被细则列为典型不给分，不可冒充本题文化链","PASS",""
"S034","2025西城期末","COVERAGE","coverage","0;2;3;4;5;6","coverage","SUITE_ROSTER.csv; 2025西城期末 bundle","主观第16(1)有评分参考；选择第1、2、3题有题干和答案键","中轴线文物建筑活化；人民广场记忆；播火之路；赴华旅游","有文化主观链且有文化选择题链，覆盖状态 PASS","第16(1)按载体、传承认同、双创、供给产业落点","","","PASS",""
"S034","2025西城期末","1","choice","0;2","answer_key_and_stem","2025西城期末 bundle lines 228-239; answer key lines 469-472","人民广场见证脱贫攻坚进程，成为多彩生活舞台和智慧城市实践场，承载共同记忆","公共文化空间；共同记忆；文化服务生活","正确项 ③④ 对应人民城市为人民与共同记忆、时代变迁","公共空间题可写共同记忆、人民生活舞台和城市文化活力","D","把人民需要说成衡量社会进步根本标准；漏掉共同记忆和时代变迁","PASS",""
"S034","2025西城期末","2","choice","6;0","answer_key_and_stem","2025西城期末 bundle lines 240-248; answer key lines 469-472","追随慈悲庵、高君宇、京报馆、李大钊旧居等播火之路","红色历史遗存；伟大建党精神；革命文化育人","正确项 ①④ 对应追寻信仰之路和实践中弘扬建党精神","红色线路材料要写以史育人、革命文化和精神传承","B","把播火之路说成社会主义建设艰辛历程；把新成果错配为马克思主义中国化时代化新成果","PASS",""
"S034","2025西城期末","3","choice","3","answer_key_and_stem","2025西城期末 bundle lines 249-261; answer key lines 469-472","外国游客赴华旅游从想象转向真实体验，打破文化隔膜，民相亲心相通","文化交流传播；民心相通","正确项 ②③ 对应建立多样联系打破文化隔膜、亲历了解真实立体中国","跨文化体验材料写文化交流、民相亲心相通和真实中国形象","C","说想象无法与真正中国一致；说只有亲眼所见才客观可靠","PASS",""
"S034","2025西城期末","16(1)","subjective","0;2;4","scoring_reference","2025西城期末 bundle lines 33-42,469-477","文物建筑活化利用，传承弘扬中华优秀传统文化、增强文化认同，丰富文化消费供给","文物建筑承载历史记忆；传承弘扬；文化认同；双创；文化供给；文化产业","评分参考列明第(1)问5分采分点，含载体、传承认同、双创、供给和产业发展","中轴线文物建筑活化利用，既承载历史记忆，又通过展陈、阅读、体验等新空间推动双创、满足文化消费需求","","只写文物保护不写活化利用后的供给、产业和城市魅力，链条不完整","PASS",""
"S035","2025东城期末","COVERAGE","coverage","0;1;2;4;5","coverage","SUITE_ROSTER.csv; 2025东城期末 bundle","主观第16题有讲评细则；选择第3、4题有题干和答案键","何尊；科学家故事；汉字笔画","有文化主观链且有文化选择题链，覆盖状态 PASS","器以述史、物以载道按载体、特征、共同标识、自信和双创落点","","","PASS",""
"S035","2025东城期末","3","choice","2","answer_key_and_stem","2025东城期末 bundle lines 396-403; answer explanation lines 668-677","课本中南仁东、邓稼先、屠呦呦故事播撒进孩子心田","文化的功能；优秀文化塑造人生","答案 B，解析明确文化是一种精神力量，可转化为物质力量，对社会发展产生影响","先进人物故事能生发报国斗志、滋养精神世界，并转化为推动社会发展的物质力量","B","兼顾经济效益无材料；文化影响不能决定社会前进方向；相对独立性不对应材料","PASS",""
"S035","2025东城期末","4","choice","1;0","answer_key_and_stem","2025东城期末 bundle lines 404-412; answer explanation lines 680-704","殷墟甲骨文三千多年，汉字结构未变，笔画主次长短布局留白彰显博大精深","中华文化源远流长、博大精深；汉字载体","答案 A，解析明确汉字笔画蕴含精神向往，彰显中华汉字之美","汉字材料要写源远流长、博大精深和人文精神承载","A","把个性寓于共性写反；抓主流主笔不是材料强调点","PASS",""
"S035","2025东城期末","16","subjective","0;1;4;5","lecture_rubric","2025东城期末 bundle lines 29-44","何尊铭文宅兹中国，用于文物展、模型国礼和何以中国对外展示","器物是中华文化载体；源远流长、博大精深；文化认同；文化自信；双创传播","讲评细则三层：载体2分；文化特征2分；共同标识/认同1分、文化自信1分；双创/传播替换1分","何尊不是普通器物，它以铭文和展陈承载中华文明连续性，凝聚共同文化标识，推动中华优秀传统文化传播和双创","","只写文化载体没有分；必须说清器物承载的中华文化内容","PASS",""
"S036","2025朝阳期末","COVERAGE","coverage","3;4;5","coverage","SUITE_ROSTER.csv; 2025朝阳期末 bundle","主观第16题有扫描细则 OCR；选择第4题有题干和答案键","文化同世界对话；乡村特色文旅","有文化主观链且有文化选择题链，覆盖状态 PASS","第16题文化每点2分，最多6分；哲学与文化可组合但不能互冒","","","PASS",""
"S036","2025朝阳期末","4","choice","2;4","answer_key_and_stem","2025朝阳期末 bundle lines 361-366; answer key lines 690-693","江南水乡、北方村落挖掘文化元素转化为旅游产品，游客感受乡村文化魅力","文化资源转化；文旅融合；文化产品供给","答案 C，对应带动产业就业增收和丰富文旅文化内涵、产品与服务","乡村文旅题写文化元素转化为产品、丰富文化内涵并服务发展","C","激发各国人民对中华文化认同过度外推；政府研制开发文旅产品主体错位","PASS",""
"S036","2025朝阳期末","16","subjective","3;4;5","marking_rubric_rendered","2025朝阳期末 bundle lines 572-582; scoring lines 81-86","论语和习近平谈治国理政海外发行，汉代文物出境展出，春节成为联合国假日和人类非遗","文化自信；尊重文化多样性；弘扬中华优秀传统文化；双创；现代传播；传播力影响力","细则明确文化每点2分，最多6分：自信、弘扬、发展、传播四类角度","用文化同世界对话，要坚定文化自信并尊重差异，弘扬中华优秀传统文化和共同价值，推动双创并用现代传播展示中华文化魅力","","只写哲学联系/发展不能替代文化自信、弘扬、发展、传播四类文化得分点","PASS",""
"S037","2025丰台期末","COVERAGE","coverage","1;5","coverage","SUITE_ROSTER.csv; 2025丰台期末 bundle","主观第16题为哲学给分口径；选择第1题有题干和答案解析","中华文明突出特性；文化自信；精神标识","有文化选择链，覆盖状态 PASS；主观题为 MODULE_BOUNDARY","第1题按中华文明开放包容、共同精神标识和价值观处理","","","PASS",""
"S037","2025丰台期末","1","choice","1;5","answer_key_and_explanation","2025丰台期末 bundle lines 291-298,571-579","中华文明不用单一文化代替多元文化，由多元文化汇聚共同文化，中华优秀传统文化塑造文明突出特性","中华文化博大精深；包容性；文化自信；中华民族共同精神标识","答案 B，解析确认①④入选，②③不选","中华文明突出特性材料可写开放包容、共同精神标识、共同价值观和文化自信","B","把兼收并蓄来源写成内心自豪自信；把思想人文道德理念写成实践经验总和","PASS",""
"S037","2025丰台期末","16","subjective","none","module_boundary","2025丰台期末 bundle lines 733-739","第16题答案为实践、一切从实际出发、联系观、发展观、矛盾观等角度","非文化主观题","评分口径未列文化给分术语，不能因材料或设问中有文化字样强行入文化链","不新增文化主观链","","把人民城市或哲学题中的文化字样当文化主观题","MODULE_BOUNDARY",""
