suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker
S042,2026丰台一模,16,subjective,"2;3;4;5",等级细则支持,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md,人工智能与人文精神；细则文化角度列以人民为中心、文化多样性、精神文化需求、文化创新与传承、文化自信。,文化功能；文化多样性；文化创新与传承；文化自信,AI 发展被放入人文精神守护语境时，文化链不能只写哲学联系观，应落到文化多样性、精神文化需求和文化传承创新。,答题可写：以人文精神守住技术底线，防止算法窄化文化视野，让科技服务人民精神文化需求，并助力优秀传统文化传承创新。,,,PASS,
S042,2026丰台一模,4,choice,"1;4",扫描题干阻塞/答案键补源,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md; C:\bp_sync_visible\reports\overnight_2026-04-25\objective_answer_source_closure.md; C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.md,四曲屋面与最速降线材料在既有补证中可定位；答案键为 A。,传统建筑实践智慧；中华优秀传统文化当代解释,答案键已补源，但本文化线当前 bundle 没有机器可读完整题干，不能按模板生成可靠选择题文化链。,,"A","典型错肢可参考：把传统屋面说成全新重构、把最速降线理论倒灌给古人。",BLOCKED,缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。
S042,2026丰台一模,6,choice,"0;4",扫描题干阻塞/答案键补源,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md; C:\bp_sync_visible\reports\overnight_2026-04-25\objective_answer_source_closure.md; C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\franklin_2026_ftfs_objective.md,苏州园林借景材料在既有补证中可定位；答案键为 D。,园林审美载体；整体意境；优秀传统文化审美,答案键已补源，但本文化线当前 bundle 没有机器可读完整题干，不能按模板生成可靠选择题文化链。,,"D","典型错肢可参考：立足局部实现整体最优；把具体借景技法拔高为民族整体风貌。",BLOCKED,缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。
S043,2026延庆一模,16,subjective,"2;4",正式评分细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md,赓续城市文脉，让灵魂与高楼共生长；细则列继承传统、推陈出新/双创、以人民为中心、文化功能。,文化传承与创新；以人民为中心；文化功能,城市更新中保留文脉并升级文化空间，触发传承传统、推陈出新和文化功能。,答题要写保护历史文化载体、创新利用旧空间，满足群众文化需求，让城市文脉在现代生活中延续。,,,PASS,
S043,2026延庆一模,4,choice,4,试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md,老墙承载居民集体记忆与社区文化，社区“微改造”保留主体并赋予新功能。,文化载体；创造性转化,本题正确项主要为价值判断和辩证否定；文化相关错肢可沉淀为“创新是文化发展根本动力”错误。,正确答案 A 不作为文化正确项链；只登记文化错肢：社会实践是文化发展的根本动力，不能把“创新”直接写成根本动力。,A,"③“微改造推动社区文化创造性转化，表明创新是文化发展的根本动力”错误。",PASS,
S044,2026房山一模,16（1）,subjective,2,A-跨模块正式细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md,经济题消费角度中列“培育文化新业态新模式，以新供给创造新需求，激发消费潜力/推动文化产业供给侧结构性改革”。,文化新业态；文化产业供给；文化消费,文化产业供给侧结构性改革出现在消费角度中，属于跨模块文化产业链，不升格为纯文化主干。,答题落到“培育文化新业态新模式，以新供给创造新需求，激发消费潜力，满足人民美好生活需要”。,,,PASS,
S044,2026房山一模,3,choice,5,扫描题干阻塞/答案键补源,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md; C:\bp_sync_visible\reports\overnight_2026-04-25\objective_answer_source_closure.md,既有客观补证显示第3题答案 B，错肢库有国潮消费相关错肢片段。,国潮消费；文化认同,答案键可补源，但当前 bundle 没有机器可读试卷题干，不能按“题干+可靠答案键”要求转 PASS。,,"B","既有错肢片段提示：不能从国潮消费直接推出文化交流互鉴源于社会实践，也不能直接推出道德修养增强。",BLOCKED,缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。
S045,2026石景山一模,17（1）,subjective,"1;4;5",评分参考/等级细则支持,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,中医药文化是中华优秀传统文化的重要组成部分，体现天人合一、仁心仁术、源远流长博大精深、文化自信。,中华优秀传统文化特点；文化认同；文化自信；文化传承创新,中医药材料出现健康理念、医德伦理和传承传播时，触发中华优秀传统文化特点、当代价值和文化自信。,答题要把中医药文化的哲学智慧与文化价值分开写：既有天人合一等智慧，也彰显源远流长、博大精深并增强文化自信。,,,PASS,
S045,2026石景山一模,4,choice,"2;4",试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,西安打造“唐诗之都”文化品牌，终南山下“唐诗之约”等文化体验。,优秀传统文化传承；文化记忆；文旅融合,唐诗文化品牌进入现实体验和城市文旅时，正确项应落在传统文化资源活化、文旅融合和文化记忆建构。,正确答案 C；学生落点写“以当代表达和文旅场景激活唐诗文化资源，推动优秀传统文化传承发展”。,C,,PASS,
S045,2026石景山一模,5,choice,0,答案键冲突,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,非物质文化遗产法定义非遗为传统文化表现形式和实践及相关实物、场所。,文化载体；非物质文化遗产,题干文本完整，但同一 bundle 中选择题答案表出现第5题 D/B 不一致，不能可靠确定正确项。,,"D/B冲突",,BLOCKED,同一套 bundle 内答案键冲突；不把不稳定答案键写成文化选择链。
S045,2026石景山一模,17（2）,subjective,4,模块边界,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,设问要求运用创新思维为传承中医药文化提出建议。,文化传播形式创新,本问虽围绕中医药文化，但设问知识限定是创新思维，不是必修四文化给分链。,可作为文化传播素材旁证，不纳入文化主观题 PASS。,,,MODULE_BOUNDARY,知识限定为逻辑与思维，不能把创新思维建议冒充文化细则链。
S046,2026门头沟一模,16,subjective,"1;2;4;5",正式细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md,永定河古渠不是沉睡的文物，而是奔流不息的活态遗产；细则列文化角度一点1分、最多3分，结合材料1分。,中华优秀传统文化特点；文化功能；当代价值；文化自信；文化强国；双创,活态遗产既保留灌溉防洪功能又拓展生态补水、文旅地标功能，触发传统文化当代价值和双创。,答题要写古渠作为文化载体和活态遗产，服务社会、推动发展，增强文化自信并助力文化强国。,,,PASS,
S046,2026门头沟一模,4,choice,"2;4",试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md,两园一河将工业遗存改造为消费地标，水上运动与生态景观串联，国潮时尚街区与工业遗存、高品质餐饮结合。,文化与经济交融；文旅融合,题干直指“以文塑旅、以旅彰文”，正确项应落在文化与经济相互交融、文旅产业提质升级。,正确答案 B；学生落点写“文化资源活化与旅游消费融合，促进文旅产业升级”。,B,"③只挖掘经济价值偏窄；②自在事物联系表述不当。",PASS,
S046,2026门头沟一模,12,choice,2,试题文本+答案表,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md,民生政策节选包含建设社区公共文化空间、邻里互助服务等。,公共文化空间；传统美德；公共服务,本题正确项不以文化产业为主，文化相关错肢可用于区分公共文化服务与文化产业。,正确答案 A；文化错肢提示：公共文化空间/邻里互助不能被偷换成“大力发展文化产业”。,A,"④“弘扬守望相助的传统美德，大力发展文化产业，提升公共服务均衡性”把公共服务偷换为文化产业。",PASS,
S047,2026顺义一模,16,subjective,2,B等级细则支持,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md,“破窗效应”防范题；5-6分层列文化功能、价值观导向作用等可选知识。,文化功能；价值观导向,材料若要求从思想道德素养、软约束防范从众破坏，文化功能可作为可选知识。,答题可写文化以价值引导和精神涵养方式提升自律意识，配合制度治理防止破窗效应扩散。,,,PASS,
S047,2026顺义一模,21,subjective,4,正式评标/细则,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md,中华优秀传统文化蕴含审势、乘势、驭势智慧；文化角度2分列传承发展中华优秀传统文化、推动创造性转化和创新性发展。,传承发展中华优秀传统文化；双创,传统治国理政智慧被用于理解中国式现代化中的识变应变求变，触发中华优秀传统文化创造性转化和创新性发展。,答题落到“汲取传统智慧并结合新时代实践加以转化，用创新思维、底线思维、系统观念服务中国式现代化”。,,,PASS,
S047,2026顺义一模,choice_screen,choice,,题干有/答案键缺,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md,试卷文本中可见话剧《金中都》、优秀传统文化魅力载体等文化选择题信号。,文化载体；文化呈现方式,当前 bundle 未提供可靠选择题答案表，不能按文化选择题正确项链处理。,,, ,BLOCKED,缺可靠答案键；只登记阻塞，不拆选择题文化链。
