key,question_title,question_paragraph_index,samegroup_paragraph_index,core_heading,samegroup_marker,samegroup_text
2026石景山二模Q18,11. 2026石景山二模Q18,165,170,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，依据4分，意义4分
· 依据层（4分，从政治、经济各答出1个观点）：国家利益和国家实力是影响国际关系的决定性因素；中国与东盟经贸合作提质升级顺应经济全球化趋势，基于双方共同利益，符合时代发展主题
· 意义层（4分，任意2个维度）：对本国，有利于充分利用两个市场、两种资源，促进经济转型升级，使发展成果惠及人民；对区域，为区域经济合作注入动能，为地区发展创造机遇；对世界，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展，有利于构建人类命运共同体"
2026延庆一模Q19(2),"12. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",174,179,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按理论逻辑4分和价值意蕴4分组织
· 理论逻辑（4分）：国家利益角度：共同利益是国家间合作的基础/维护国家利益是主权国家对外活动的出发点/坚持正确义利观；历史潮流角度：和平与发展时代主题、经济全球化趋势；需结合绿色能源合作材料说明
· 价值意蕴（4分，三选二）：推动构建人类命运共同体；践行共商共建共享的全球治理观；推动构建相互尊重、公平正义、合作共赢的新型国际关系"
2026朝阳一模Q20,13. 2026朝阳一模Q20,183,188,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按必答点、共享发展经验、发展潜力三个层次组织
· 必答点：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；中国坚持创新驱动战略，科技实力日益增强，成为全球创新策源地，为全球产业链供应链稳定提供坚实支撑
· 共享发展经验：通过分享减贫经验、生态治理经验、职业教育经验等助力发展中国家持续发展，改善发展中国家民生，展现大国责任担当，贡献中国智慧和中国方案，推动构建人类命运共同体
· 发展潜力和开放合作：中国不断释放超大规模市场潜力，统筹两个市场两种资源，坚定不移扩大高水平对外开放，推动贸易投资自由化便利化，推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展，推动建设合作共赢的新型国际关系，坚持共商共建共享，促进人才、商品、服务和生产要素在全球范围内流动，符合和平与发展的时代主题"
2025东城二模Q20,14. 2025东城二模Q20,193,198,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按背景、精神、行动三层组织
· 第一层：背景（2分）：结合第一自然段简述国际局势，如国际局势变乱交织、局部动荡不断、面临诸多问题和挑战。若只笼统写和平与发展主题、世界多极化等学科背景，给1分
· 第二层：精神（4分）：“同球共济”精神丰富人类命运共同体内涵（2分）；符合各国共同利益（2分）
· 第三层：行动（2分）：为解决问题贡献中国智慧和中国方案（2分）；可替代为具体方案、行动，如推动国际关系民主化、和平解决国际争端（2分）"
2026石景山一模Q20,15. 2026石景山一模Q20,203,208,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，任选两个关键词，每个关键词按学科用语加合理分析展开
· 共同：可从共商共建共享、人类命运共同体、维护共同利益等角度说明，中国倡议推动亚太各方共同维护多边贸易体制、共同推进产业链供应链稳定、共享区域发展繁荣，维护亚太各国共同利益
· 开放：可从经济全球化、贸易和投资自由化便利化、多边主义、开放型区域经济等角度说明，中国倡议坚持世贸组织基本原则，破除贸易壁垒，深化合作共赢，夯实亚太开放发展的基础
· 包容：可从和平发展合作共赢、包容普惠的经济全球化、维护发展中国家正当权益等角度说明，中国倡议着力解决发展不平衡问题，使发展成果更加可持续、更好惠及亚太全体人民"
2026海淀二模Q20(2),16. 2026海淀二模Q20(2),213,218,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按短评答题层次组织
· 逻辑分层（1分）：分清“背景及原因”和“具体举措及其积极影响”，通过分段呈现
· 背景及原因/意义（3分）：必要性知识1分，可写时代主题、经济全球化/世界多极化、共同利益等；重要性知识1分，可写推动国际秩序朝更加公正合理方向发展、推动经济全球化朝开放包容普惠平衡共赢方向发展、增强发展中国家话语权和国际地位等任意一点；结合材料论述1分
· 具体举措（3分）：共商共建共享、完善全球治理、践行多边主义、践行正确义利观、坚持《联合国宪章》宗旨和原则等任意两点给2分；结合材料论述1分
· 答题提醒：只写“人类命运共同体”且不关联其他发展知识，得1分；罗列知识、缺乏论述，最多3分"
2025房山一模Q18(2),17. 2025房山一模Q18(2),224,229,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按两条链条加逻辑分组织
· 第一链（4分）：当前国际竞争的实质 -> 坚持高水平对外开放/对外开放基本国策 -> 以科学技术的发展推动建设创新型、开放型世界经济（不可替代） -> 促进经济全球化发展
· 第二链（3分）：和平与发展的国际潮流 -> 在联合国宗旨和原则框架下（不可替代） -> 构建人类命运共同体 -> 加强国际交流和合作/坚持正确义利观 -> 积极参与全球治理
· 逻辑（1分）：观点鲜明，思维严密，条理清晰"
2026顺义一模Q21,18. 2026顺义一模Q21,234,239,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题提醒：综合题，8分任意4个角度；本题选必一对应国政经角度2分
· 国政经角度：和平与发展是当今时代主题；中国式现代化是走和平发展道路的现代化；坚持多边主义，坚持互利共赢，倡导人类命运共同体；为世界和平与发展提供中国智慧、中国方案"
2026丰台期末Q21,19. 2026丰台期末Q21,242,247,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，短评题，围绕“四大全球倡议为构建人类命运共同体凝聚磅礴合力”展开。
· 核心问题：不是简单罗列四个倡议，而是说明四大全球倡议如何推动构建人类命运共同体。
· 整体主线：四大全球倡议顺应和平与发展的时代主题，回应全球性问题和治理赤字，为世界提供公共产品，为构建人类命运共同体凝聚合力。
· 论证角度：可从四大全球倡议的本质、当前世界形势的必要性、四大全球倡议的作用三个角度展开；可使用多边主义、共商共建共享、相互尊重、公平正义、合作共赢的新型国际关系等知识。
· 高分写法：围绕四大全球倡议整体展开三层论证；也可以分别写全球发展、全球安全、全球文明、全球治理倡议，但要有总说，不能只摘抄材料。"
2026海淀期中Q22(1),20. 2026海淀期中Q22(1),255,260,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，按“必要性2分—重要性4分”组织，不能只堆知识点。
· 必要性（2分）：全球治理倡议顺应和平与发展的时代潮流（1分）；符合各国共同利益、共同愿望，弘扬全人类共同价值，推动构建人类命运共同体（1分）。
· 重要性（4分）：全球治理角度2分，写秉持共商共建共享全球治理观，推动建设更加公正合理的全球治理体系；联合国角度1分，写捍卫《联合国宪章》宗旨和原则；国际关系角度1分，写推进国际关系民主化、推动构建新型国际关系或国际政治经济新秩序。
· 作答要求：每个重要性层次都要结合全球治理倡议的核心理念展开；只推知识、不回应材料，该层次最多2分；不按必要性和重要性的逻辑回应，单纯知识堆砌最多3分。"
2026通州一模Q19,21. 2026通州一模Q19,267,272,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，措施或知识4分，材料分析且必须答作用4分，落点指向为世界注入稳定性与正能量
· 可采知识：和平与发展时代主题、共同利益是合作的基础、兼顾他国合理关切、维护多边贸易体制、推动经济全球化朝开放包容普惠平衡共赢方向发展、坚持正确义利观、推动国际关系民主化和国际政治经济新秩序、共商共建共享全球治理观、推动构建人类命运共同体、中国特色大国外交
· 作答提醒：不能只罗列知识；每个知识点都要接材料中元首外交的合作、治理、开放或和平作用，说明如何形成稳定性和正能量"
2026西城期末Q20,22. 2026西城期末Q20参与全球气候治理中的中国实践,280,285,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按“中国实践是什么—为什么参与—实践效果”三层组织
· 中国实践是什么：中国是全球气候治理的建设者、引领者和负责任大国；坚持绿色发展，根据自身实际自主提出气候治理行动目标，推动能源、产业、市场等全方位低碳转型
· 中国为什么参与全球气候治理：和平、发展、合作、共赢是时代潮流，气候变化属于全球性、非传统安全挑战；各国在应对气候变化中存在共同利益；中国坚持人类命运共同体、全人类共同价值、正确义利观、共商共建共享、真正的多边主义和互利共赢；中国自觉履行国际义务、遵循国际法、承担国际责任
· 实践效果：对国际社会，有利于促进全球可持续发展、建设清洁世界，维护联合国在国际事务中的核心作用，完善全球治理体系；对中国方案，有利于为全球气候治理贡献中国智慧和中国力量"
2024海淀二模Q18(1),1. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,295,300,核心答题点：霸权主义和强权政治、单边主义是和平与发展的现实挑战,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，时政述评定档
· 背景层：和平与发展，世界多极化，霸权主义、强权政治等现实挑战
· 原因层：共同利益或国家利益是国家合作的基础
· 做法与意义层：坚持共商共建共享的全球治理观，推动构建人类命运共同体，推动国际关系民主化，依托国际组织或发挥联合国作用
· 定档提示：一个知识1-3分，两个知识4-6分，三个知识7-8分；必须扣住所选议题论述，有逻辑。经济全球化不得分，选错议题酌情扣分"
2025东城二模Q20,1. 2025东城二模Q20,307,312,核心答题点：百年变局与外部风险挑战,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按背景、精神、行动三层组织
· 第一层：背景（2分）：结合第一自然段简述国际局势，如国际局势变乱交织、局部动荡不断、面临诸多问题和挑战。若只笼统写和平与发展主题、世界多极化等学科背景，给1分
· 第二层：精神（4分）：“同球共济”精神丰富人类命运共同体内涵（2分）；符合各国共同利益（2分）
· 第三层：行动（2分）：为解决问题贡献中国智慧和中国方案（2分）；可替代为具体方案、行动，如推动国际关系民主化、和平解决国际争端（2分）"
2024朝阳一模Q21,2. 2024朝阳一模Q21,317,322,核心答题点：百年变局与外部风险挑战,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题9分，按4+5结构组织；先用4分概括我国当前经济形势，再用5分回答如何在变局中开新局。
· 分析我国当前经济形势（4分）：经济总量持续增长、经济增速保持稳健；我国经济进入以新发展理念引领的高质量发展阶段；外部环境日趋严峻、风险挑战增多；我国经济保持强大韧性和良好势头，在世界经济中的地位和贡献稳步提升。
· 政治多极化维度：面对外部风险挑战，要维护我国主权、安全和发展利益，在谋求本国发展中促进各国共同发展，坚持合作共赢，推动建设新型国际关系，推动构建人类命运共同体，为我国发展营造良好外部环境。
· 经济全球化维度：依托我国超大规模市场优势，增强国内国际两个市场两种资源联动效应，深度参与全球产业分工和合作，推进高水平对外开放，构建国内国际双循环相互促进的新发展格局，同时坚持独立自主、自力更生，把发展主动权牢牢掌握在自己手中。
· 得分提醒：开新局部分要从政治多极化、经济全球化两个维度展开；只写一个维度，最高不超过3分。"
2024朝阳二模Q20,1. 2024朝阳二模Q20,329,334,核心答题点：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，基本原则2分，各方达成共识6分
· 基本原则（2分）：平等（1分；有平等/公平/公正/多边主义/协商一致一词即可）；开放（1分；有开放/合作/共享/共赢/包容/求同存异/共商共建一词即可）
· 共识一：为什么完善全球气候治理（1分）：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一；或写气候变化是全球性挑战、应对气候变化是人类共同责任
· 共识二：如何完善全球气候治理（5分）：各主权国家和国际组织携手建立公平合理、合作共赢的全球气候治理体系；可替代为共商共建共享全球治理观、公平正义合作共赢的新型国际关系、共同利益是国家合作的基础，并推动构建人类命运共同体；不同国家从各自实际出发落实责任，尤其发达国家为完善全球气候治理承担更多责任；跨国公司等全球企业尤其工业领域企业致力于技术创新，加快绿色低碳转型，降低碳排放。答出1个角度2分、2个角度4分、3个角度5分"
2025东城一模Q20,1. 2025东城一模Q20,342,347,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按原题三层得分层次组织
· 第一层（4分）：①共同利益是合作的基础（2分；替代：具体合作，如共建“一带一路”、贸易自由化便利化，可给1分）；②推动高水平对外开放/促进高质量发展/推动经济全球化发展朝着更加开放、包容、普惠、平衡、共赢的方向发展（2分）
· 第二层（2分）：维护发展中国家的利益（2分；替代：完善全球治理/推进国际关系民主化，可给1分）
· 第三层（2分）：开辟中国特色大国外交的新境界/构建人类命运共同体的新实践（2分）"
2026石景山一模Q20,2. 2026石景山一模Q20,352,357,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，任选两个关键词，每个关键词按学科用语加合理分析展开
· 共同：可从共商共建共享、人类命运共同体、维护共同利益等角度说明，中国倡议推动亚太各方共同维护多边贸易体制、共同推进产业链供应链稳定、共享区域发展繁荣，维护亚太各国共同利益
· 开放：可从经济全球化、贸易和投资自由化便利化、多边主义、开放型区域经济等角度说明，中国倡议坚持世贸组织基本原则，破除贸易壁垒，深化合作共赢，夯实亚太开放发展的基础
· 包容：可从和平发展合作共赢、包容普惠的经济全球化、维护发展中国家正当权益等角度说明，中国倡议着力解决发展不平衡问题，使发展成果更加可持续、更好惠及亚太全体人民"
2026丰台一模Q19,3. 2026丰台一模Q19,362,367,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （同主题练习提醒）,"【同题组】 （同主题练习提醒）
· 本题适合作为同主题训练，不按固定得分层次展开。
· 可写方向：围绕全球治理、中国担当、人类命运共同体、多边主义、正确义利观等组织答案。
· 易错提醒：不要把其他题目的逐点层次直接套到本题。"
2025丰台期末Q20,4. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,371,376,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，前四点各1分，后两点合计4分
· 理论逻辑层（4分）：中非达成战略性共识符合和平与发展的时代主题（1分）；基于国家间共同利益构建中非命运共同体（1分）；在平等互利基础上开展合作（1分）；落实共商共建共享的全球治理观（1分）
· 价值意蕴层（2分）：有利于推动建设相互尊重、公平正义、合作共赢的新型国际关系；只写新型国际关系给1分，具体写出“相互尊重、公平正义、合作共赢”给2分；推动国际关系民主化可替代得1分
· 材料落点层（2分）：有利于中非携手推进现代化（材料1分），构建人类命运共同体（1分）"
2026延庆一模Q19(2),"5. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",381,386,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按理论逻辑4分和价值意蕴4分组织
· 理论逻辑（4分）：国家利益角度：共同利益是国家间合作的基础/维护国家利益是主权国家对外活动的出发点/坚持正确义利观；历史潮流角度：和平与发展时代主题、经济全球化趋势；需结合绿色能源合作材料说明
· 价值意蕴（4分，三选二）：推动构建人类命运共同体；践行共商共建共享的全球治理观；推动构建相互尊重、公平正义、合作共赢的新型国际关系"
2026石景山二模Q18,6. 2026石景山二模Q18,390,395,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，依据4分，意义4分
· 依据层（4分，从政治、经济各答出1个观点）：国家利益和国家实力是影响国际关系的决定性因素；中国与东盟经贸合作提质升级顺应经济全球化趋势，基于双方共同利益，符合时代发展主题
· 意义层（4分，任意2个维度）：对本国，有利于充分利用两个市场、两种资源，促进经济转型升级，使发展成果惠及人民；对区域，为区域经济合作注入动能，为地区发展创造机遇；对世界，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展，有利于构建人类命运共同体"
2025东城二模Q20,7. 2025东城二模Q20（同球共济精神）,399,404,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按背景、精神、行动三层组织
· 第一层：背景（2分）：结合第一自然段简述国际局势，如国际局势变乱交织、局部动荡不断、面临诸多问题和挑战。若只笼统写和平与发展主题、世界多极化等学科背景，给1分
· 第二层：精神（4分）：“同球共济”精神丰富人类命运共同体内涵（2分）；符合各国共同利益（2分）
· 第三层：行动（2分）：为解决问题贡献中国智慧和中国方案（2分）；可替代为具体方案、行动，如推动国际关系民主化、和平解决国际争端（2分）"
2026顺义一模Q20,8. 2026顺义一模Q20,409,414,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按“共同利益必答 + 国际政治3分 + 国际经济3分”组织。
· 必答基础：国家间共同利益是国家合作的基础，科技小院回应全球南方农业发展、人才培养、绿色发展和可持续发展的共同需求。
· 国际政治：和平与发展是时代主题；构建人类命运共同体是习近平外交思想的核心理念；可结合独立自主的和平外交政策、外交政策宗旨、正确义利观、新型国际关系、合作共赢、互利共赢、共享发展成果说明南南合作为什么能成为典范。
· 国际经济：科技小院输出农业技术、提升生产率、降低成本、培养本土人才、激发内生发展动力，体现经济全球化朝普惠、平衡、共赢方向发展，让更多全球南方国家共享发展成果。"
2024朝阳二模Q20,9. 2024朝阳二模Q20,419,424,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，基本原则2分，各方达成共识6分
· 基本原则（2分）：平等（1分；有平等/公平/公正/多边主义/协商一致一词即可）；开放（1分；有开放/合作/共享/共赢/包容/求同存异/共商共建一词即可）
· 共识一：为什么完善全球气候治理（1分）：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一；或写气候变化是全球性挑战、应对气候变化是人类共同责任
· 共识二：如何完善全球气候治理（5分）：各主权国家和国际组织携手建立公平合理、合作共赢的全球气候治理体系；可替代为共商共建共享全球治理观、公平正义合作共赢的新型国际关系、共同利益是国家合作的基础，并推动构建人类命运共同体；不同国家从各自实际出发落实责任，尤其发达国家为完善全球气候治理承担更多责任；跨国公司等全球企业尤其工业领域企业致力于技术创新，加快绿色低碳转型，降低碳排放。答出1个角度2分、2个角度4分、3个角度5分"
2026海淀二模Q20(2),10. 2026海淀二模Q20(2),429,434,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按短评答题层次组织
· 逻辑分层（1分）：分清“背景及原因”和“具体举措及其积极影响”，通过分段呈现
· 背景及原因/意义（3分）：必要性知识1分，可写时代主题、经济全球化/世界多极化、共同利益等；重要性知识1分，可写推动国际秩序朝更加公正合理方向发展、推动经济全球化朝开放包容普惠平衡共赢方向发展、增强发展中国家话语权和国际地位等任意一点；结合材料论述1分
· 具体举措（3分）：共商共建共享、完善全球治理、践行多边主义、践行正确义利观、坚持《联合国宪章》宗旨和原则等任意两点给2分；结合材料论述1分
· 答题提醒：只写“人类命运共同体”且不关联其他发展知识，得1分；罗列知识、缺乏论述，最多3分"
2024西城二模Q19,11. 2024西城二模Q19中国答案的国际关系新思路,440,445,核心答题点：国家间共同利益是国家合作的基础,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题5分，1分总判断，4分任取二点
· 总判断（1分）：全人类是一个命运与共的大家庭，国与国之间利益交汇、命运交织、休戚与共；也可用和平与发展作时代背景替代
· 新思路层（4分，以下任取二点，每点2分）：人类命运共同体理念超越集团政治的“小圈子”规则；超越实力至上的逻辑；超越少数国家定义“普世价值”的垄断；顺应时代潮流，倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。正面解释可展开为赋予发展中国家更多发言权、推动国际关系民主化、坚持真正的多边主义、完善全球治理等"
