词,行号,位置,处理方式,原句
《巴黎协定》,864,题目材料触发点,保留为具体题目原文字段,【材料触发点】全球气候治理需要在联合国和《巴黎协定》框架下协商合作，各国共同参与而不是单方主导。
《巴黎协定》,867,题目答案落点,保留为具体题目原文字段,【答案落点】中国参与全球气候治理坚持共商共建共享，推动各方在联合国和《巴黎协定》框架下协商合作、共同应对气候变化。
零和博弈,962,题目答案落点,保留为具体题目原文字段,【答案落点】人类命运共同体理念超越集团政治的小圈子规则和实力至上逻辑，为处理国际关系提供不同于零和博弈的新思路。
治理赤字,965,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明四大全球倡议如何系统推动构建人类命运共同体 先引出人类命运共同体的目标世界总框架。；材料中的沙伊和解和国际调解院等安全行动引出全球安全倡议的和平路径。；材料中的文明对话国际日对应文明互鉴和民心相通 引出全球文明倡议的互信路径。；材料中的全球治理倡议和国际调解院对应全球治理赤字的制度回应 引出治理求
小而美项目,986,题目答案落点,保留为具体题目原文字段,【答案落点】小而美项目帮助共建国家改善发展条件有利于构建人类命运共同体，回应各国命运与共、合作发展的共同需要。；题面表格列出文明交流冲突和文明对话、民间外交等行动要路径与效果都写出有利于构建人类命运共同体，回应各国命运与共、合作发展的共同需要。
全球南方,989,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料把中国人工智能发展同世界共同发展、全球南方能力建设联系起来，说明中国发展和世界发展相协调。
治理赤字,1031,题目材料触发点,保留为具体题目原文字段,【材料触发点】全球治理倡议回应治理赤字和共同挑战，并把中国方案提供给国际社会，说明推动构建人类命运共同体。
治理赤字,1034,题目答案落点,保留为具体题目原文字段,【答案落点】全球治理倡议回应治理赤字和共同挑战，服务于推动构建人类命运共同体，为完善全球治理贡献中国力量。
全球南方,1037,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写中国方案应用于多国农业治理、让更多全球南方国家受益，引出中国开展南南合作的价值逻辑。
南南合作,1037,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写中国方案应用于多国农业治理、让更多全球南方国家受益，引出中国开展南南合作的价值逻辑。
南南合作,1038,设问,保留为具体题目原文字段,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,1040,题目答案落点,保留为具体题目原文字段,【答案落点】科技小院秉持构建人类命运共同体理念，坚持正确义利观，分享中国方案并帮助全球南方国家实现农业发展。
逆全球化,1078,题目材料触发点,保留为具体题目原文字段,【材料触发点】欧盟对中国新能源汽车征收反补贴税形成贸易壁垒 引出贸易保护主义和逆全球化批判。
逆全球化,1081,题目答案落点,保留为具体题目原文字段,【答案落点】欧盟对中国新能源汽车征收反补贴税是贸易保护主义和逆全球化行为，违背经济规律，破坏市场竞争和市场秩序。
全球性挑战,1084,题目材料触发点,保留为具体题目原文字段,【材料触发点】写研讨共识 先说明为什么要完善全球气候治理 材料中的气候风险引出全球性挑战背景。；完善全球气候治理首先要回答治理原则 材料中的发达国家与发展中国家责任分歧引出平等公平公正和多边协商。
全球南方,1102,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写回应全球南方求平等促变革的强烈意愿 引出发展中国家利益和全球治理改革。
全球南方,1114,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 引出命运共同体和全球治理目标。；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为引出反霸权与国际关系民主化。
全球南方,1117,题目答案落点,保留为具体题目原文字段,【答案落点】面对中国推动构建周边命运共同体并支持发展中国家联合自强，我国反对单边主义和贸易保护主义，反对霸权主义和强权政治，主张坚持真正的多边主义。；面对单边主义和霸权强权，中国特色大国外交推动多极化进程，提升发展中国家代表性和话语权，维护发展中国家利益并促进全球南方联合自强。
全球南方,1208,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写回应全球南方求平等促变革的强烈意愿 引出发展中国家利益和全球治理改革。
全球南方,1211,题目答案落点,保留为具体题目原文字段,【答案落点】此次元首外交回应全球南方求平等促变革的愿望，维护发展中国家利益，推动全球治理完善和国际关系民主化。
全球南方,1220,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 引出命运共同体和全球治理目标。；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为引出反霸权与国际关系民主化。
全球南方,1223,题目答案落点,保留为具体题目原文字段,【答案落点】中国推动构建周边命运共同体并支持发展中国家联合自强体现国际事务应由各国平等参与、共同商量，推动国际关系民主化。；全球南方联合自强和金砖扩员回答政治方面为什么更有作为体现国际事务应由各国平等参与、共同商量，推动国际关系民主化。
NDC,1309,题目材料触发点,保留为具体题目原文字段,【材料触发点】中国提出NDC目标并推进低碳转型、市场机制和气候适应，说明中国用行动为全球气候治理提供方案和支撑。
全球南方,1315,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料列举外国领导人和全球南方国家代表团学习中国发展经验 引出中国经验对发展中国家现代化路径的意义。
南南合作,1327,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料的环境合作对象落在发展中国家，引出南南合作及中国智慧中国方案。
南南合作,1330,题目答案落点,保留为具体题目原文字段,【答案落点】中国通过南南合作帮助发展中国家提升应对气候变化能力，贡献中国智慧、中国方案。
全球南方,1362,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料把我国人工智能发展同全球智能鸿沟、全球南方能力建设联系起来，说明中国发展和世界发展之间的关系。
全球南方,1365,题目答案落点,保留为具体题目原文字段,【答案落点】中国承担大国责任、发挥建设性作用，材料把我国人工智能发展同全球智能鸿沟、全球南方能力建设联系起来，说明中国发展和世界发展之间的关系展现负责任大国担当。
全球南方,1398,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写全球南方群体性崛起和全球南方为发展而起 回答中国力量首先要说明中国以发展中国家身份参与全球治理并推动全球南方现代化。
全球南方,1401,题目答案落点,保留为具体题目原文字段,【答案落点】中国作为世界上最大的发展中国家，是国际政治经济格局中的重要力量，积极参与全球治理，为推动全球南方实现现代化发挥作用。
NDC,1410,题目材料触发点,保留为具体题目原文字段,【材料触发点】要求说明参与全球气候治理的中国实践，材料写中国向联合国提交2035年NDC目标并总结气候行动进展，引出中国在全球气候治理中的角色定位。；题干说明NDC是巴黎协定核心且缔约方每五年提交行动目标，中国提交2035目标体现对国际机制和国际承诺的履行。
NDC,1413,题目答案落点,保留为具体题目原文字段,【答案落点】中国积极参与全球气候治理，是全球气候治理的建设者、引领者，展现负责任大国担当。；中国承担大国责任、发挥建设性作用，题干说明NDC是巴黎协定核心且缔约方每五年提交行动目标，中国提交2035目标体现对国际机制和国际承诺的履行展现负责任大国担当。
NDC,1522,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
《巴黎协定》,1522,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
NDC,1525,题目答案落点,保留为具体题目原文字段,【答案落点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持应遵循联合国宪章宗旨原则，在联合国框架下推进国际合作。
《巴黎协定》,1525,题目答案落点,保留为具体题目原文字段,【答案落点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持应遵循联合国宪章宗旨原则，在联合国框架下推进国际合作。
全球南方,1568,题目材料触发点,保留为具体题目原文字段,【材料触发点】材料写国际力量对比调整全球南方壮大和单边霸凌 引出多极化与全球治理秩序。
NDC,1580,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
《巴黎协定》,1580,题目材料触发点,保留为具体题目原文字段,【材料触发点】NDC属于《巴黎协定》框架下的气候行动目标，中国提交目标体现对多边气候治理机制的支持。
《巴黎协定》,1583,题目答案落点,保留为具体题目原文字段,【答案落点】中国在联合国和《巴黎协定》框架下参与全球气候治理，有利于维护多边气候治理机制，推动全球气候治理体系完善。
