题源,question_id,证据等级,设问入口,命中框架,材料信息,法律翻译,细则喜欢的话
2025东城一模 第17题,2025东城一模__Q17,正式给分口径,问意义/价值/作用,问法治作用 + 数字经济 + 立法执法司法,新业态需要发展空间也要守底线,包容审慎监管,既保护创新积极性，又维护公平竞争
2025东城一模 第17题,2025东城一模__Q17,正式给分口径,问意义/价值/作用,问法治作用 + 数字经济 + 立法执法司法,发布新业态纠纷典型案例,司法裁判导向,明确行为边界，为数字经济提供法治保障
2025东城一模 第19题,2025东城一模__Q19,正式给分口径,问补表/以案说法,补表 + 合同违约/仲裁/遗产管理 + 意义,装修公司未按工期完工，诉讼中经法官调解赔偿,诉讼调解,有效化解矛盾，避免损失扩大
2025东城一模 第19题,2025东城一模__Q19,正式给分口径,问补表/以案说法,补表 + 合同违约/仲裁/遗产管理 + 意义,医院出资培训，柳某服务期未满辞职后又要求返还违约金,合同有效与诚信履约,树立权利义务统一意识，维护用人单位合法权益
2025东城一模 第19题,2025东城一模__Q19,正式给分口径,问补表/以案说法,补表 + 合同违约/仲裁/遗产管理 + 意义,顾氏三兄弟照顾孤寡老人并申请遗产管理,遗产管理制度,合理处置遗产，弘扬友善互助
2025东城二模 第19题,2025东城二模__Q19,正式给分口径,问意义/价值/作用,补表 + 未成年人文身/名誉权/格式条款,13周岁钱某大面积文身并付费,限制民事行为能力与身体健康保护,法定代理人未追认时合同效力受限，经营者还可能有过错
2025东城二模 第19题,2025东城二模__Q19,正式给分口径,问意义/价值/作用,补表 + 未成年人文身/名誉权/格式条款,自媒体无事实依据攻击公司,名誉权侵权,侮辱诽谤造成社会评价降低，应公开道歉并赔偿
2025东城二模 第19题,2025东城二模__Q19,正式给分口径,问意义/价值/作用,补表 + 未成年人文身/名誉权/格式条款,到店支付却先扣款，服务条款未充分提示,格式条款与公平原则,提示说明不到位，保护消费者并规范格式条款使用
2025丰台一模 第19题,2025丰台一模__Q19,正式给分口径,问意义/价值/作用,问典型意义 + 技术秘密 + 惩罚性赔偿,核心人员离职后利用原单位技术信息申请专利,技术秘密侵权/不正当竞争,保护原权利人知识产权，严惩侵权
2025丰台一模 第19题,2025丰台一模__Q19,正式给分口径,问意义/价值/作用,问典型意义 + 技术秘密 + 惩罚性赔偿,法院适用二倍惩罚性赔偿，判赔6.4亿余元,提高侵权成本,规范竞争秩序，营造公平创新环境
2025丰台一模 第19题,2025丰台一模__Q19,正式给分口径,问意义/价值/作用,问典型意义 + 技术秘密 + 惩罚性赔偿,案件入选科技创新典型案例,裁判示范作用,为同类案件提供范例，增强司法公信力
2025房山一模 第19题,2025房山一模__Q19,正式给分口径,问意义/价值/作用,问法治价值 + 真创新真保护 + 商业秘密,B集团挖走核心技术人员并窃取技术秘密,典型不正当竞争,促使企业依法诚信经营，维护公平竞争环境
2025房山一模 第19题,2025房山一模__Q19,正式给分口径,问意义/价值/作用,问法治价值 + 真创新真保护 + 商业秘密,法院适用高额赔偿,提高侵权成本,强化知识产权保护，激发研发投入和创新活力
2025房山一模 第19题,2025房山一模__Q19,正式给分口径,问意义/价值/作用,问法治价值 + 真创新真保护 + 商业秘密,离职人员利用原单位秘密,劳动者保密义务,就业流动不能带走商业秘密和职业底线
2025昌平二模 第20题,2025昌平二模__Q20,正式给分口径,问理由/诉求/裁判理由,问裁判理由 + AI作品 + 著作权,李某使用AI软件制作图片并发布署名,自然人利用工具形成智力成果,作品具备智力成果和独创性，受著作权法保护
2025昌平二模 第20题,2025昌平二模__Q20,正式给分口径,问理由/诉求/裁判理由,问裁判理由 + AI作品 + 著作权,刘某直接拿图配文使用,未经许可传播作品,侵害信息网络传播权
2025昌平二模 第20题,2025昌平二模__Q20,正式给分口径,问理由/诉求/裁判理由,问裁判理由 + AI作品 + 著作权,刘某抹去平台署名水印,署名权被侵害,应承担侵权责任
2025朝阳一模 第19题,2025朝阳一模__Q19,讲评明确给分口径,问理由/诉求/裁判理由,问诉求支持理由 + 消费欺诈 + 三倍赔偿,王某在A平台购票并出票,合同成立,双方有要约承诺，形成网络服务合同
2025朝阳一模 第19题,2025朝阳一模__Q19,讲评明确给分口径,问理由/诉求/裁判理由,问诉求支持理由 + 消费欺诈 + 三倍赔偿,平台擅自搭售10元红包，消费者看不清也不能拒绝,欺诈与意思表示不真实,搭售、未明示、不可拒绝三个条件要写全
2025朝阳一模 第19题,2025朝阳一模__Q19,讲评明确给分口径,问理由/诉求/裁判理由,问诉求支持理由 + 消费欺诈 + 三倍赔偿,王某要求退票款并三倍赔偿,消保法惩罚性赔偿,经营者提供服务有欺诈，支持退还和三倍赔偿
2025朝阳二模 第20题,2025朝阳二模__Q20,正式给分口径,综合法律案例题,问分析案例 + 隐私权 + 相邻关系,刘先生在门口装具有人脸识别、广角、云存储的摄像头,行使权利超过合理限度,安防权利不能损害邻居合法权益
2025朝阳二模 第20题,2025朝阳二模__Q20,正式给分口径,综合法律案例题,问分析案例 + 隐私权 + 相邻关系,摄像头可拍到孙女士家日常出行规律等动态信息,隐私权保护,日常出行规律属于具有隐私性质的人格利益
2025朝阳二模 第20题,2025朝阳二模__Q20,正式给分口径,综合法律案例题,问分析案例 + 隐私权 + 相邻关系,两家入户门相对，共用楼道,相邻关系与共有部位,按有利生产、方便生活、团结互助、公平合理处理
2025海淀期中 第21题,2025海淀期中__Q21,正式给分口径,问评析,问评析 + 婚姻家庭法律变迁 + 良法,1950年婚姻法规定特定情况下由男方清偿,结合当时国情判断合理性,良法要符合国情和实际
2025海淀期中 第21题,2025海淀期中__Q21,正式给分口径,问评析,问评析 + 婚姻家庭法律变迁 + 良法,民法典规定共同债务共同偿还、协议不成由法院判决,夫妻地位与财产制度发展,法律随社会发展完善
2025海淀期中 第21题,2025海淀期中__Q21,正式给分口径,问评析,问评析 + 婚姻家庭法律变迁 + 良法,小海只肯定民法典、否定旧法,观点片面,两部法律在各自时代都可体现良法要求
2025石景山一模 第20题,2025石景山一模__Q20,正式给分口径,问理由/诉求/裁判理由,补表 + 合同违约 + 不正当竞争 + 新质生产力,被告未按期交付符合约定功能的研发成果,履行不符合约定构成违约,返还费用并支付违约金
2025石景山一模 第20题,2025石景山一模__Q20,正式给分口径,问理由/诉求/裁判理由,补表 + 合同违约 + 不正当竞争 + 新质生产力,被诉软件名称、图标相似，容易使消费者混淆,不正当竞争,停止侵害、赔偿损失
2025石景山一模 第20题,2025石景山一模__Q20,正式给分口径,问理由/诉求/裁判理由,补表 + 合同违约 + 不正当竞争 + 新质生产力,两个案例都服务创新产业,法治护航新质生产力,守约、诚信、公平竞争共同稳定创新环境
2025西城期末 第19题,2025西城期末__Q19,正式给分口径,问理由/诉求/裁判理由,问判决分析 + 唤醒词 + 不正当竞争,小爱同学已具有影响力,有一定影响的商业标识/名称,可受反不正当竞争法保护
2025西城期末 第19题,2025西城期末__Q19,正式给分口径,问理由/诉求/裁判理由,问判决分析 + 唤醒词 + 不正当竞争,陈某抢注并发函要求停止使用,滥用权利、搭便车,违背诚信原则和商业道德
2025西城期末 第19题,2025西城期末__Q19,正式给分口径,问理由/诉求/裁判理由,问判决分析 + 唤醒词 + 不正当竞争,Y公司合作使用并宣传,混淆和引人误解,停止侵害、赔偿损失，维护市场秩序
2025顺义一模 第19题,2025顺义一模__Q19,正式给分口径,问意义/价值/作用,问定分止争价值 + 调解/行政裁决/诉讼,邻里堆杂物、微信群辱骂，法院调解握手言和,民事权利边界与调解,依法维权也要选择适当方式
2025顺义一模 第19题,2025顺义一模__Q19,正式给分口径,问意义/价值/作用,问定分止争价值 + 调解/行政裁决/诉讼,企业名称争议经市监局裁决、法院审查,行政裁决与诉讼衔接,保护企业合法权益，规范市场主体行为
2025顺义一模 第19题,2025顺义一模__Q19,正式给分口径,问意义/价值/作用,问定分止争价值 + 调解/行政裁决/诉讼,多种机制协调运行,多元纠纷解决,化解矛盾、维护秩序、提升治理水平
2026东城一模 第18题,2026东城一模__Q18,正式给分口径,综合法律案例题,问如何守护向新力 + 调惩辨,专利权归属纠纷长期诉讼，法院促成和解,诉讼调解/实质解纷,节约资源，让创新主体回归创新
2026东城一模 第18题,2026东城一模__Q18,正式给分口径,综合法律案例题,问如何守护向新力 + 调惩辨,植物新品种侵权范围广，适用惩罚性赔偿,严惩知识产权侵权,提高侵权成本，保护创新
2026东城一模 第18题,2026东城一模__Q18,正式给分口径,综合法律案例题,问如何守护向新力 + 调惩辨,丙公司恶意诉讼干扰上市关键期,规制权利滥用,维护诉讼秩序和诚信市场秩序
2026朝阳一模 第18题,2026朝阳一模__Q18,正式给分口径,综合法律案例题,问护航新质生产力 + 调惩辨 + 知识产权,科研人员专利权归属纠纷，法院邀第三方调解,高效化解知识产权纠纷,降低诉讼成本，减少对创新活动干扰
2026朝阳一模 第18题,2026朝阳一模__Q18,正式给分口径,综合法律案例题,问护航新质生产力 + 调惩辨 + 知识产权,故意侵害植物新品种权、商业秘密，法院适用惩罚性赔偿,提高违法成本,保护核心利益，维护公平竞争环境
2026朝阳一模 第18题,2026朝阳一模__Q18,正式给分口径,综合法律案例题,问护航新质生产力 + 调惩辨 + 知识产权,恶意知识产权诉讼被驳回并受谴责,规制不诚信诉讼,避免假维权拖垮真创新
2026石景山一模 第18题,2026石景山一模__Q18,正式给分口径,问理由/诉求/裁判理由,补表 + 举证责任 + 行政/民事/刑事,公司不服工伤认定和行政复议决定,行政诉讼举证规则,行政机关承担行政行为合法性的证明责任
2026石景山一模 第18题,2026石景山一模__Q18,正式给分口径,问理由/诉求/裁判理由,补表 + 举证责任 + 行政/民事/刑事,窗户脱落砸车，张某起诉卢某,民事谁主张谁举证,张某证明损害事实和因果关系
2026石景山一模 第18题,2026石景山一模__Q18,正式给分口径,问理由/诉求/裁判理由,补表 + 举证责任 + 行政/民事/刑事,建筑物脱落事故中使用人更接近过错证据,过错推定/举证责任倒置,卢某需证明自己没有过错
2026西城一模 第17题,2026西城一模__Q17,正式给分口径,综合法律案例题,问如何推动绿色发展 + 物权编 + 绿色原则,物权编要求业主行为符合节约资源、保护生态环境,民法绿色原则落地,为绿色发展提供法律依据
2026西城一模 第17题,2026西城一模__Q17,正式给分口径,综合法律案例题,问如何推动绿色发展 + 物权编 + 绿色原则,业委会可请求停止侵害、排除妨碍、赔偿损失,明确权利救济与责任承担,减少损害他人和公共环境的行为
2026西城一模 第17题,2026西城一模__Q17,正式给分口径,综合法律案例题,问如何推动绿色发展 + 物权编 + 绿色原则,不得违法排污，用益物权人要合理开发利用资源,权利边界与生态公共利益平衡,推动资源开发利用绿色转型
