global_entry_no,source_label,bucket,second_level,core_point,year,district,exam_type,q_no,q_sub,overall_auto_status,paper_count,rubric_count,other_count,paper_statuses,rubric_statuses,q_in_paper,q_in_rubric,prompt_exact,prompt_match_fragment,prompt_match_score,score_match_fragment,score_match_score,surface_match_fragment,surface_match_score,paper_paths,rubric_paths,other_paths,prompt,score_layers,surface_sentence
11,2025东城二模Q20,时代背景,挑战,百年变局与外部风险挑战,2025,东城,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,因此更需要弘扬“同球共济”精神,0.002,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,,当今国际局势变乱交织，局部动荡不断，人类面临经济复苏乏力、贸易保护主义、冲突动荡和非传统安全威胁等诸多问题和挑战，因此更需要弘扬“同球共济”精神。
12,2024朝阳一模Q21,时代背景,挑战,百年变局与外部风险挑战,2024,朝阳,一模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,1,OK,OK,False,True,False,谈谈如何推动中国经济在变局中开新局,1.000,,0.000,我国发展的外部环境日趋严峻,1.000,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx || /Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。,,我国发展的外部环境日趋严峻、风险挑战增多，使中国经济开新局必须统筹发展与安全。
13,2024朝阳二模Q20,时代背景,挑战,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,2024,朝阳,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,完善全球气候治理应遵循的基本原则,1.000,,0.000,已成为全球治理的重要议题,1.000,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf || /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。,,气候变化给全人类带来巨大风险和挑战，已成为全球治理的重要议题，各国应把应对气候变化作为共同责任推进。
14,2025东城一模Q20,理论,合作,国家间共同利益是国家合作的基础,2025,东城,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,共建“一带一路”合作规划和多项合作文件拓展务实合作,0.004,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。,,此次元首外交围绕自贸协定升级、共建“一带一路”合作规划和多项合作文件拓展务实合作，体现国家间共同利益是合作的基础。
15,2026石景山一模Q20,理论,合作,国家间共同利益是国家合作的基础,2026,石景山,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,产业链供应链和开放发展中的共同利益,0.003,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,,运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,,中国倡议立足亚太各国在多边贸易、产业链供应链和开放发展中的共同利益，凝聚共同维护、共同推进、共享繁荣的合作共识，助推亚太合作走深走实。
16,2026丰台一模Q19,理论,合作,国家间共同利益是国家合作的基础,2026,丰台,一模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,教育普及和卫生健康等领域同各国合作,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。,,中国致力于扩大同各国利益的汇合点，在消除贫困、教育普及和卫生健康等领域同各国合作，把自身发展成就转化为推动全球可持续发展的共同利益。
17,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,理论,合作,国家间共同利益是国家合作的基础,2025,丰台,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐明中非达成一系列战略性共识的理论逻辑和价值意蕴,1.000,,0.000,中非在维护发展中国家共同利益,0.001,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,,国家间共同利益是合作的基础，中非在维护发展中国家共同利益、反对脱钩断链、推进全球治理公平方面具有共同关切，因此能够达成战略性共识。
18,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",理论,合作,国家间共同利益是国家合作的基础,2026,延庆,一模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,"说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",0.006,,0.000,共同利益是国家间合作的基础,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,,"结合材料二,运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。",,中国与国际社会在绿色能源开发利用、应对气候变化和实现可持续发展方面存在共同利益，共同利益是国家间合作的基础，因此中国能够推动重塑全球能源治理格局。
19,2026石景山二模Q18,理论,合作,国家间共同利益是国家合作的基础,2026,石景山,二模,18,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,分析中国与东盟经贸合作能够提质升级的原因,1.000,,0.000,中国与东盟经贸合作建立在双方共同利益基础上,0.004,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/细则/石景山区高三政治第二次模拟考试答案评分细则(1).doc,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作能够提质升级的原因。,,中国与东盟经贸合作建立在双方共同利益基础上，顺应区域发展和时代发展主题，因此能够提质升级。
20,2025东城二模Q20（同球共济精神）,理论,合作,国家间共同利益是国家合作的基础,2025,东城,二模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,这是“同球共济”精神能够丰富人类命运共同体内涵,0.003,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。,,当今国际局势变乱交织，各国在发展、安全、文明等问题上存在共同利益，这是“同球共济”精神能够丰富人类命运共同体内涵、被各国接受的客观基础。
21,2024西城一模Q19(6),理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2024,西城,一模,19,6,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,True,以及攻克“卡脖子”难题对经济开放发展的助推作用,1.000,,0.000,我国需要加强风险应对和防范,0.002,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。,,未来产业处在激烈的国际竞争之中，当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，面对技术制裁、技术垄断和贸易壁垒等风险，我国需要加强风险应对和防范，为未来产业开放发展筑牢安全屏障。
22,2024顺义思政二模Q19(2),理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2024,顺义,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,综合运用《政治与法治》和《当代国际政治与经济》知识,1.000,,0.000,当前国际竞争的实质是以经济和科技实力为基础的综合国力的较量,1.000,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。（8分）,,当前国际竞争的实质是以经济和科技实力为基础的综合国力的较量，发展新质生产力能够增强我国科技和产业竞争力。
23,2024西城二模Q17,理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2024,西城,二模,17,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,2,OK,OK,True,True,True,我国作为世界上最大的发展中国家应当扮演的角色,1.000,,0.000,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,0.005,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf || /Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx,新一轮科技革命在全球范围内风起云涌。结合材料，综合运用所学，谈谈在当今时代，我国作为世界上最大的发展中国家应当扮演的角色。,,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，我国加快形成新质生产力、增强科技实力和综合国力，能够以世界上最大的发展中国家身份为世界发展贡献力量。
24,2026朝阳一模Q20,理论,竞争,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2026,朝阳,一模,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,阐述中国为什么能为全球发展注入稳定性和正能量,1.000,,0.000,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，成为全球创新策源地，为全球产业链供应链稳定与全球发展提供坚实支撑。
25,2025东城一模Q21,理论,竞争,科教兴国战略与人才强国战略（细则用语：人才与国际竞争力的关系）,2025,东城,一模,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,谈谈你对“教育是强国建设,1.000,,0.000,增强我国综合国力和国际竞争力,0.002,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,,结合材料，综合运用所学，谈谈你对“教育是强国建设、民族复兴之基”的理解。,,人才是第一资源，综合国力竞争说到底是人才竞争，教育提高劳动者素质、培养科技人才，能够把人口规模优势转化为人才优势，增强我国综合国力和国际竞争力。
26,2025海淀期中Q21(2),理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,2025,海淀,期中,21,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,1,OK,OK,True,True,True,分析新中国外交的“变”与“不变”,1.000,,0.000,新中国外交始终维护我国国家利益,0.003,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,,无论外交阶段和任务怎样变化，新中国外交始终维护我国国家利益，维护我国主权、安全和发展利益。
27,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,2025,东城,期末,20,,NEEDS_MANUAL_SURFACE_CHECK,1,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,,0.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf || /Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,面对欧盟对中国新能源汽车的不当贸易限制，中方坚定维护本国利益和中国企业的正当权益，通过磋商方式解决争议，避免争端进一步升级。
28,2026朝阳期末Q20,理论,国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,2026,朝阳,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OCR_OK,True,True,True,分析中国特色大国外交为什么要更有作为,1.000,我国国家利益四个角度各2分,0.006,国家利益是国际关系的决定性因素,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,国家利益是国际关系的决定性因素，维护国家利益是主权国家对外活动的出发点和落脚点。中国必须坚定维护国家主权、安全、发展利益，因此中国特色大国外交要更有作为。
29,2026朝阳期末Q20,经济全球化,国：成员国和相关国家发展,共享经济全球化成果，促进世界经济共同繁荣,2026,朝阳,期末,20,,NEEDS_MANUAL_SURFACE_CHECK,1,1,0,OCR_OK,OCR_OK,True,True,True,分析中国特色大国外交为什么要更有作为,1.000,我国国家利益四个角度各2分,0.006,,0.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,中国推动经济全球化成果共享，有利于让更多国家分享开放合作机遇，缩小发展差距，促进世界经济共同繁荣。
30,2026朝阳期中Q17,经济全球化,环：经济环节与要素流动,处理好自力更生和对外开放的关系，参与经济全球化和国际分工,2026,朝阳,期中,17,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系,0.011,处理什么关系—如何处理关系,0.003,推进“人工智能+”要处理好自力更生和对外开放的关系,0.003,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx || /Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。,总分结构：一层3分，两层6分，三层8分；每一层采用“总—分”结构（处理什么关系—如何处理关系），不能只罗列材料或空写教材词。,推进“人工智能+”要处理好自力更生和对外开放的关系，既增强核心技术自主可控能力、把握创新主动权，又开展国际交流合作，参与经济全球化和国际分工。
31,2025东城期末Q20,经济全球化,配：资源配置,促进全球资源优化配置和国际贸易发展,2025,东城,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,中国新能源汽车产业成功走向世界市场,0.001,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf || /Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。,,中国新能源汽车产业成功走向世界市场，有利于促进全球资源优化配置和国际贸易发展，提高世界经济运行效率。
32,2025西城二模Q19(2),经济全球化,贸资：贸易投资自由化便利化,对最不发达国家实行零关税，推动普惠包容的经济全球化,2025,西城,二模,19,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,运用《当代国际政治与经济》知识,1.000,,0.000,推动建设开放型世界经济和普惠包容的经济全球化,0.003,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,,中国对最不发达国家实行零关税待遇，促进贸易自由化，推动建设开放型世界经济和普惠包容的经济全球化。
