suite_id,suite_name,item_type,question,status,evidence_level,evidence_path,evidence_lines,evidence_excerpt,student_entry,notes
S043,2026延庆一模,choice_correct,5,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md","210-215;441-442","第5题答案C；QT12基因研究以试验数据为依据，体现科学思维追求认识客观性。",yes,"哲学/思维选择题入学生版。"
S043,2026延庆一模,choice,1-15,PASS_FULL_OBJECTIVE,formal_answer_key,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md","23-55;441-442","答案键：1B 2D 3A 4A 5C 6D 7B 8C 9D 10A 11B 12D 13B 14C 15C。",no,"15题全处理，哲学/文化相关题另入学生版。"
S044,2026房山一模,subjective,16(2),NEED_EVIDENCE,formal_rubric_but_question_text_missing,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md","33-41;111-120","16(2)细则可从矛盾普遍性和特殊性统一、一切从实际出发、尊重客观规律、发挥主观能动性、联系观点作答；试卷PDF为rendered-ocr-needed。",no,"有评分细则但缺题干全文；记录证据等级，不进学生版。"
S044,2026房山一模,subjective,18(1),NEED_EVIDENCE,formal_rubric_but_question_text_missing,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md","62-68;111-120","18(1)空气治理题细则含系统治理、具体问题具体分析、量变质变、立足实践；但试卷PDF无可靠文本层。",no,"扫描或补源缺口；不生成学生版完整设问。"
S044,2026房山一模,choice,1-15,BLOCKED_SCAN_AND_KEY_MISSING,scan_only_plus_rubric_docx,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md","7-8;111-120","细则docx text-extracted；试卷PDF rendered-ocr-needed chars 0；bundle中未见客观题答案键。",no,"需OCR或答案补源。"
S045,2026石景山一模,subjective,17(1),PASS,formal_rubric_plus_teacher_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md","32-57;300-313;404-408","中医药文化题：细则列规律、联系、发展、矛盾、文化传承与创新；示例写阴阳平衡、四诊合参、系统优化、文化自信。",yes,"学生版写中医药文化的哲学文化智慧。"
S045,2026石景山一模,subjective,17(2),PASS,formal_rubric_plus_teacher_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md","56-57;314-319;410-412","传承中医药文化建议题：细则可从发散与聚合思维、超前思维作答；教师答案给联想、发散、超前思维示例。",yes,"学生版写创新思维服务文化传承。"
S045,2026石景山一模,choice_correct,2,PASS_WITH_KEY_CONFLICT_NOTE,teacher_answer_key_preferred,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md","146-153;397","第2题教师版答案B；材料为工业遗址开发文旅空间，正确项应为辩证思维与发展观点。",yes,"同套细则行24与教师版行397在第5题冲突；本题不受冲突影响。"
S045,2026石景山一模,choice_correct,4,PASS_WITH_KEY_CONFLICT_NOTE,teacher_answer_key_preferred,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md","166-173;397","第4题教师版答案C；唐诗之都文化品牌题，正确项指向文化记忆、文化传承与城市文化体验。",yes,"文化选择题入学生版。"
S045,2026石景山一模,choice,1-15,PASS_FULL_OBJECTIVE_WITH_CONFLICT,teacher_answer_key_and_conflict,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md","24-26;397","细则答案第5题为D；教师版题后答案第5题为B。其余答案一致，教师版题后答案为1B 2D 3A 4C 5B 6D 7C 8D 9A 10D 11B 12C 13C 14C 15B。",no,"按教师版题后答案处理全套，但审计保留Q5冲突。"
S046,2026门头沟一模,subjective,16,PASS,formal_answer_key_rubric_plus_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","55;68-76;389-396","永定河古渠题：细则列发展、矛盾对立统一、辩证否定、联系、中华优秀传统文化特点、文化功能、双创、文化自信；题干要求谈古渠不是沉睡文物而是奔流不息活态遗产。",yes,"学生版写活态遗产的哲学文化链。"
S046,2026门头沟一模,subjective,18(2),PASS,formal_answer_key_rubric_plus_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","123-126;420-430","赤泥库生态公益调解题：细则要求辩证思维、联系发展全面看问题、矛盾分析法、整体性动态性实践观，另有创新思维。",yes,"学生版写生态司法中辩证思维与创新思维。"
S046,2026门头沟一模,choice_correct,4,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","242-249;22-53","第4题答案B；两园一河题正确项为文化与经济相互交融、坚持从实际出发，错项包括改变自在事物联系、两点论重点论误套。",yes,"文化/哲学选择题入学生版。"
S046,2026门头沟一模,choice_correct,5,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","253-259;22-53","第5题答案C；公交专线题正确项含扬弃与更好满足需求，错项包括把联想说成矛盾对立性转化为同一性。",yes,"辩证否定/错肢入学生版。"
S046,2026门头沟一模,choice_correct,7,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","273-280;22-53","第7题答案B；学农实践题正确项为实践第一观点与辩证思维整体性。",yes,"哲学选择题入学生版。"
S046,2026门头沟一模,choice,1-15,PASS_FULL_OBJECTIVE,formal_answer_key,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md","22-53","答案键：1B 2D 3D 4B 5C 6A 7B 8C 9D 10C 11C 12A 13B 14A 15D。",no,"15题全处理，哲学/文化相关题另入学生版。"
S047,2026顺义一模,subjective,16,PASS,formal_rubric_plus_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md","90-98;378-391","破窗效应题：细则关键词包括及时发现、客观事实层面、源头防范、量质变、适度原则、矛盾转化、联系观、系统优化、文化功能、价值观导向。",yes,"学生版写防范破窗效应。"
S047,2026顺义一模,subjective,21,PASS,formal_rubric_plus_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md","53-80;526-543","审势乘势驭势题：细则列客观性、辩证性、价值性、传统文化创造性转化与创新性发展；材料含中华优秀传统文化治理智慧和中国共产党把握历史大势。",yes,"学生版写中国式现代化中的规律、矛盾、价值和文化智慧。"
S047,2026顺义一模,choice_correct,3,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md","222-225;21-51","第3题答案C；科技攻关题正确项涉及矛盾分析、质量互变等，错项风险在把主次矛盾/主次方面硬套。",yes,"高风险词量变质变有答案源支持，入学生版时保留为选择题正确项而非主观稳定触发。"
S047,2026顺义一模,choice_correct,5,PASS,formal_answer_key_and_paper,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md","239-250;21-51","第5题答案D；校园博物馆题正确项指向中华优秀传统文化浸润式体验和文化载体。",yes,"文化选择题入学生版。"
S047,2026顺义一模,choice,1-15,PASS_FULL_OBJECTIVE,formal_answer_key,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md","21-51","答案键：1B 2C 3C 4A 5D 6A 7D 8A 9B 10B 11D 12B 13C 14D 15C。",no,"15题全处理，哲学/文化相关题另入学生版。"
