entry_id,suite_id,suite_name,question,entry_type,knowledge_point,status,evidence_level,evidence_ref,evidence_excerpt,boundary_note
2025B-S026-C01,S026,2025海淀二模,9,choice_correct,根据固有联系建立新的具体联系,PASS,扫描试卷+公开答案图,"render page evidence; gaokzx answer page image","答案核为9A；题面为工业旅游资源与多场景结合","海淀客观答案用公开答案图核对；不作为主观细则"
2025B-S026-C02,S026,2025海淀二模,10,choice_correct,实践是检验认识真理性的唯一标准,PASS,扫描试卷+公开答案图,"render page evidence; gaokzx answer page image","答案核为10D；题干引用马克思实践检验真理","客观题答案核对"
2025B-S026-C03,S026,2025海淀二模,12,choice_correct,一分为二看问题,PASS,扫描试卷+公开答案图,"render page evidence; gaokzx answer page image","答案核为12D；题干围绕耐心资本处理短期长期和风险收益","客观题答案核对"
2025B-S027-C01,S027,2025西城二模,2,choice_correct,认识发展原理,PASS,教师版PDF答案表+题面,"bundle lines 188-195; 443-446","答案为2D；题干批评机械做事、事务主义和一孔之见","稳定选择题正确项"
2025B-S027-C02,S027,2025西城二模,4,choice_correct,认识对实践的反作用,PASS,教师版PDF答案表+题面,"bundle lines 209-216; 443-446","答案为4C；完整基因组图谱为育种奠定基础","稳定选择题正确项"
2025B-S027-C03,S027,2025西城二模,5,choice_correct,人生价值,PASS,教师版PDF答案表+题面,"bundle lines 217-225; 443-446","答案为5B；新农人扎根乡村、展现责任担当","稳定选择题正确项"
2025B-S028-C01,S028,2025东城二模,2,choice_correct,实现人生价值,PASS,教师版PDF答案表+题面,"bundle lines 255-262; 478","答案为2D；黄旭华科技报国，强国志强国技强国功统一","稳定选择题正确项"
2025B-S028-C02,S028,2025东城二模,3,choice_correct,实践是认识的来源,PASS,教师版PDF答案表+题面,"bundle lines 263-271; 478","答案为3C；油画场景源于创作者亲身经历","稳定选择题正确项"
2025B-S028-C03,S028,2025东城二模,4,choice_correct,联系观点,PASS,教师版PDF答案表+题面,"bundle lines 272-284; 478","答案为4C；国宝回归多条件联动","稳定选择题正确项"
2025B-S029-C01,S029,2025朝阳二模,2,choice_correct,矛盾普遍性与特殊性,PASS,教师版PDF答案表+题面,"bundle lines 417-430; 663-667","答案为2D；蔷薇科花朵共性和不同花卉个性并存","稳定选择题正确项"
2025B-S029-C02,S029,2025朝阳二模,3,choice_correct,联系的多样性,PASS,教师版PDF答案表+题面,"bundle lines 431-442; 663-667","答案为3C；香山大思政课多形式一体化","稳定选择题正确项"
2025B-S031-C01,S031,2025昌平二模,2,choice_correct,实践与认识、科学精神,PASS,教师版PDF答案表+题面,"bundle lines 219-226; 509-512","答案为2D；科学家精神在长期科研实践中形成","稳定选择题正确项"
2025B-S031-C02,S031,2025昌平二模,3,choice_correct,主观能动性与文化创新,PASS,教师版PDF答案表+题面,"bundle lines 227-233; 509-512","答案为3A；机器人秧歌体现传统艺术科技化呈现","稳定选择题正确项"
2025B-S031-C03,S031,2025昌平二模,4,choice_correct,合规律性与合目的性,PASS,教师版PDF答案表+题面,"bundle lines 234-246; 509-512","答案为4C；餐盒回收再利用形成生态经济效益","稳定选择题正确项"
2025B-W01,S027,2025西城二模,1,choice_wrong,文化精神力量与物质力量区分,PASS,教师版PDF题面+答案表,"bundle lines 179-187; 443-446","错项④把烈士家书说成巨大物质力量","典型错肢"
2025B-W02,S027,2025西城二模,5,choice_wrong,超越客观条件实现价值,PASS,教师版PDF题面+答案表,"bundle lines 217-225; 443-446","错项②说超越社会客观条件实现价值","典型错肢"
2025B-W03,S028,2025东城二模,3,choice_wrong,只有亲身经历才能创作,PASS,教师版PDF题面+答案表,"bundle lines 263-271; 478","错项①绝对化艺术创作来源","典型错肢"
2025B-W04,S028,2025东城二模,2,choice_wrong,主动追求曲折道路,PASS,教师版PDF题面+答案表,"bundle lines 255-262; 478","错项B把曲折道路写成主动追求目标","典型错肢"
2025B-W05,S029,2025朝阳二模,2,choice_wrong,普遍性特殊性关系倒置,PASS,教师版PDF题面+答案表,"bundle lines 417-430; 663-667","错项①说矛盾普遍性包含特殊性","典型错肢"
2025B-W06,S029,2025朝阳二模,3,choice_wrong,实践和书本知识简单排序,PASS,教师版PDF题面+答案表,"bundle lines 431-442; 663-667","错项①说课外实践比书本知识更重要","典型错肢"
2025B-W07,S031,2025昌平二模,4,choice_wrong,意识直接现实性错用,PASS,教师版PDF题面+答案表,"bundle lines 234-246; 509-512","错项③说意识具有直接现实性","典型错肢"
2025B-W08,S031,2025昌平二模,3,choice_wrong,人机共舞硬套矛盾双方转化,PASS,教师版PDF题面+答案表,"bundle lines 227-233; 509-512","错项③说人机共舞体现矛盾双方相互转化","典型错肢"
