suite_id,suite_name,question_no,entry_type,module,status,source_path,evidence_excerpt,evidence_level,boundary_note,fallback_used
S011,2024朝阳二模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024朝阳二模.md","答案表可读：1B 2C 3B 4A 5D 6C 7D 8A 9D 10C 11B 12C 13B 14D 15D。","answer docx + formal rubric pdf","客观题全 15 题完成。",no
S012,2024丰台二模,choice-all,choice-review,全模块,NEED_EVIDENCE,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024丰台二模.md","试卷 PDF 为 rendered-ocr-needed；细则 docx 可读，但缺完整客观题题干与答案 key。","formal scoring docx + cache metadata","主观题可处理；客观题不算全处理。",no
S013,2024顺义思政二模,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024顺义思政二模.md","答案键可读：1D 2D 3C 4B 5B 6C 7C 8B 9A 10B 11A 12A 13B 14D 15A。","reference answer / suite bundle","客观题可处理；主观题主要是参考答案，不能升级为正式细则链。",no
S014,2024海淀期中,choice-all,choice-review,全模块,NEED_EVIDENCE,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md","试卷 PDF cache 文本约 470 字，未见完整选择题 key。","formal rubric pdf + incomplete paper text","主观题只对细则可读部分保守处理；客观题不算全处理。",no
S015,2024朝阳期中,choice-all,choice-review,全模块,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md","参考答案可读：1B 2D 3D 4C 5D 6B 7C 8D 9C 10A 11D 12A 13B 14B 15A。","formal review docx + scoring rtf + paper pdf","客观题全 15 题完成；16、17 主观题入学生版。",no
S001,2024海淀一模,17(2),subjective,逻辑与思维,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md","细则列出各自功能定位和特色优势、共商合作大计、优势互补、在分析与综合的对立统一中把握发展特质。","formal rubric","学生版写分析与综合，不扩写主次矛盾。",no
S002,2024西城一模,17,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md","答案/补充提到生态价值观、人和自然生命共同体、人与自然和谐共生、实践与认识、规律与主观能动性。","formal rubric","学生版采用尊重客观规律、人与自然和谐共生，不写价值观导向。",no
S004,2024朝阳一模,18,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md","参考答案明确：科学普及与科技创新同等重要；坚持“两点论”和“重点论”的统一，培养壮大科普人才队伍，改变重科研、轻科普。","lecture scoring / rubric support","高风险词有源文支撑，学生版只用于该题。",no
S005,2024丰台一模,18(1),subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md","参考答案：可以从联系、发展、矛盾、唯物史观等角度作答。","formal scoring docx","只写整体、联系和发展，不写未细化的主次矛盾。",no
S008,2024海淀二模,16,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024海淀二模.md","答案：联系是普遍的；矛盾双方是对立统一的；人生价值要在个人与社会的统一中创造和实现。","formal rubric","价值观不作为独立高风险触发，只写个人与社会统一。",no
S009,2024西城二模,17,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024西城二模.md","题干要求处理人与自然关系应避免人类中心主义；答案含生态价值观、人与自然生命共同体、规律与主观能动性。","formal rubric","学生版写尊重自然规律，不写价值观导向。",no
S011,2024朝阳二模,16(2),subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024朝阳二模.md","答案写：可从物质与意识的辩证关系、矛盾的对立统一、联系、发展的观点、社会存在与社会意识的辩证关系等角度阐释。","formal rubric pdf","学生版只写可迁移方法链，避免把各角度都判成必答。",no
S014,2024海淀期中,18,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md","细则出现“辩证思维——两点与重点的统一”“知识的准确度”等评阅要求。","formal rubric pdf","完整题干不足，学生版只写方法型条目并在审计记录边界。",no
S015,2024朝阳期中,16,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md","评标：社会存在决定社会意识；人民群众是社会历史的主体和创造者；社会基本矛盾；改革是社会主义社会发展的直接动力。","formal marking report","学生版按历史唯物主义分层写。",no
S015,2024朝阳期中,17,subjective,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md","评标：文化6分+哲学2分；传承与创新农耕文明，结合时代需求进行转化与发展；保护传承、规范传播、创新发展。","formal marking report","学生版写文化传承发展，不把文化功能泛化。",no
S001,2024海淀一模,1,choice-correct,文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md","长征故事广为流传，长征精神已成为中国共产党人精神谱系中的宝贵财富；答案 B。","paper + answer key","正确项链入革命文化与民族精神；错肢不反推稳定链。",no
S004,2024朝阳一模,3,choice-correct,哲学,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md","李保国、顾方舟、钟扬长期服务人民与国家；答案 B。","paper + answer key","正确项链入人生价值实现。",no
S004,2024朝阳一模,4,choice-correct,哲学,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md","盐角草等优质“吃盐”植物降低盐碱地盐分；答案 A。","paper + answer key","正确项链入根据事物固有属性建立新的具体联系。",no
S005,2024丰台一模,1,choice-correct,文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md","长征活动材料和答案表显示第1题 B。","paper + answer key","源路径以 roster bundle 为准；本行摘录来自同套 bundle。",no
S006,2024石景山一模,12,choice-correct,文化/经济,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md","冰雪经济材料写文化、旅游、体育赛事、健康养老等相关产业与冰雪经济深度融合发展；答案 D。","teacher-version paper+answer","客观题可用；主观仍 reference-only。",no
S015,2024朝阳期中,1,choice-correct,文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md","功勋模范人物忠诚、执着、朴实的优秀品格值得全党全国各族人民学习；答案 B。","paper + answer key","链入民族精神和时代精神。",no
S004,2024朝阳一模,4,choice-wrong,哲学,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md","C项写改良客观规律；D项写自然观发挥决定性作用；答案 A。","paper + answer key","错肢识别：规律不能被改良，意识不能决定实践结果。",no
S006,2024石景山一模,12,choice-wrong,文化/经济,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md","①需求创造供给；③优化营商环境、诚信经营；答案 D。","teacher-version paper+answer","错肢识别：因果倒置、主体错位。",no
S005,2024丰台一模,1,choice-wrong,文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md","②开启社会主义现代化建设新征程；④丰富长征精神的基本内容；答案 B。","paper + answer key","错肢识别：时代定位错误、精神内涵不能随意丰富。",no
S015,2024朝阳期中,17,subjective-boundary,哲学与文化,PASS,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md","评标指出学生易把题答成文化功能、传统文化当代价值，或只答世界观不答方法论。","formal marking report","作为错因提醒进入学生版主观题写法，不作为客观题错肢。",no
S007,2024门头沟一模,subjective-all,boundary,综合,REFERENCE_ONLY,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__其他材料__202404各区一模试题分类_按模块.md; C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf","分类汇编出现门头沟题目和参考答案方向；补源 PDF 扫描不可读。","classification bundle + scan-only supplemental","必须单独说明补源和主观 reference-only 边界。",yes
S006,2024石景山一模,subjective-all,boundary,综合,REFERENCE_ONLY,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md","教师版带答案可读，未见正式评分细则/阅卷/评标来源。","teacher-version answer","主观题不进入学生版正式评分链。",no
S013,2024顺义思政二模,subjective-all,boundary,综合,REFERENCE_ONLY,"C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024顺义思政二模.md","文件名为细则，但正文主要为参考答案/答案示例，未见稳定分点评分细则。","reference answer","主观题不进入学生版正式评分链。",no
