suite_id,source_type,source_file,cache_file,hit_count,terms
2025各区二模,marking-report,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025年海淀二模评标实录.docx,778b86b674_2025年海淀二模评标实录.txt,4,联合国
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模\细则\2025昌平二模细则.pptx,7fc08e2231_2025昌平二模细则.txt,4,两个市场;两种资源;开放型经济;经济全球化
2024各区期中,marking-report,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx,81bcdf4167_2024.11期中政治朝阳评标2.txt,1,两个市场;全球治理;开放型经济;经济全球化
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx,83012e2676_21题_1_.txt,1,国家安全;总体国家安全观
2026各区期末和期中,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期中\细则\2026朝阳期中细则.docx,8681dbd75c_2026朝阳期中细则.txt,4,两个市场;两种资源;中国方案;中国智慧;人类命运共同体;共商共建共享;国家安全;开放型经济;当代国际政治与经济;总体国家安全观;经济全球化
2025各区期末,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\细则\2025东城期末细则.pptx,86dfff62a6_2025东城期末细则.txt,2,互利共赢;贸易保护主义
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模\细则\2026西城一模细则.docx,8fc4c427ba_2026西城一模细则.txt,1,共同利益;多边主义
2025各区期末,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\细则\2025西城期末细则.pdf,92a21728a4_2025西城期末细则.txt,1,两个市场
2026各区期末和期中,marking-report,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期中\其他材料\2025.11朝阳期中政治评标.docx,99c22d67a2_2025.11朝阳期中政治评标.txt,4,两个市场;两种资源;中国方案;中国智慧;人类命运共同体;共商共建共享;国家安全;开放型经济;当代国际政治与经济;总体国家安全观;经济全球化
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,9adf687007_2025东城一模细则.txt,9,一带一路;两个市场;人类命运共同体;全球南方;全球治理;共同利益;制度型开放;国际关系民主化;经济全球化;高水平对外开放
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,9d02a96c5d_2026丰台一模细则.txt,8,中国方案;中国智慧;人类命运共同体;全球治理;共商共建共享;多边主义;当代国际政治与经济;联合国
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\细则\2025海淀二模细则.docx,a0b7af572c_2025海淀二模细则.txt,15,世界多极化;中国方案;中国智慧;人类命运共同体;全球治理;多边主义;新型国际关系;经济全球化;联合国;高水平对外开放
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx,a66c8ad8b1_2024西城二模细则.txt,5,世界多极化;人类命运共同体;全球治理;共同利益;国家安全;国际关系民主化;多边主义;经济全球化
2025各区期末,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx,a72655dfd0_2025海淀期末细则.txt,2,中国方案;中国智慧;人类命运共同体
2024各区期中,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,aa74a63f9d_2024海淀期中细则.txt,31,一带一路;世界多极化;人类命运共同体;全球南方;全球治理;共同利益;南南合作;和平外交;国家安全;当代国际政治与经济;新型国际关系;独立自主;经济全球化;联合国
2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,ad2bfd8552_2024丰台一模细则.txt,5,人类命运共同体;全球供应链;当代国际政治与经济;经济全球化;贸易投资自由化;高水平对外开放
2025各区二模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,b3b4a5f7b2_2025东城二模细则.txt,6,世界多极化;中国方案;中国智慧;人类命运共同体;共同利益;国际关系民主化;当代国际政治与经济
2024各区二模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx,b5a37db90d_21.txt,1,国家安全;总体国家安全观
2025各区期末,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx,bd555d6bf8_2025丰台期末细则.txt,12,中国方案;中国智慧;人类命运共同体;全球治理;共同利益;共商共建共享;国际关系民主化;当代国际政治与经济;新型国际关系;经济全球化
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,cf33dbd71a_26东城一模细则.txt,4,中国方案;开放型经济;高水平对外开放
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,cfda4b7455_2026海淀一模细则.txt,3,两个市场;两种资源;全球治理;制度型开放;高水平对外开放
2024各区一模,rubric,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,d0ab10c766_2024西城一模细则.txt,4,两个市场;两种资源;制度型开放;国家安全;经济全球化
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模\细则\2026延庆一模细则.docx,d3f54ef726_2026延庆一模细则.txt,5,一带一路;中国方案;人类命运共同体;全球治理;共同利益;共商共建共享;新型国际关系;经济全球化
2025各区二模,lecture-scoring,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf,d5ffb9a20c_2025届二模考试讲评0510.txt,28,世界多极化;中国方案;中国智慧;人类命运共同体;全球治理;多边主义;新型国际关系;经济全球化;联合国
2025各区一模,rubric,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx,de06393b8b_2025丰台一模细则.txt,3,两个市场;两种资源;中国方案;中国智慧;人类命运共同体;开放型经济;当代国际政治与经济;新型国际关系;经济全球化
2026各区期末和期中,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\细则\2026通州期末细则.pptx,e35d3439d2_2026通州期末细则.txt,30,一带一路;中国方案;中国智慧;人类命运共同体;全球治理;共商共建共享;国际关系民主化;多边主义;大国担当;当代国际政治与经济;独立自主;经济全球化;联合国;高水平对外开放
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（3）.pptx,e69921e89b_19_3_.txt,7,制度型开放;开放型经济;当代国际政治与经济;高水平对外开放
2024各区期中,marking-report,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标docx.docx,e882bfe400_2024.11期中政治朝阳评标docx.txt,7,两个市场;全球治理;开放型经济;经济全球化
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模\细则\2026朝阳一模细则.docx,eb3cba10a3_2026朝阳一模细则.txt,9,两个市场;两种资源;人类命运共同体;共商共建共享;当代国际政治与经济;新型国际关系;经济全球化;贸易投资自由化;高水平对外开放
2025各区一模,lecture-scoring,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,eebdbe5520_高三政治一模试卷讲评.txt,8,全球治理;共商共建共享;单边主义;国家安全;多边主义;开放型经济;独立自主;经济全球化;联合国
2026各区一模,rubric,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx,fd6c1b63e9_2026门头沟一模细则.txt,6,两种资源;中国方案;互利共赢;人类命运共同体;制度型开放;大国担当;开放型经济;当代国际政治与经济;经济全球化;高水平对外开放
