entry_id,doc_order,start_block_id,end_block_id,bucket,sub_bucket,core_point,question_title,question_ref,fields_present,missing_doc_fields,char_count,text_preview
Q0011,11,167,175,时代背景,机遇,和平与发展仍是时代主题,2026石景山二模Q18,2026石景山二模Q18,为什么能想到;同题组;材料触发点;答案落点;设问,,572,"11. 2026石景山二模Q18
【材料触发点】 原卷写中国连续16年保持东盟第一大贸易伙伴地位、东盟连续5年成为中国第一大贸易伙伴，2025年双边贸易增长；材料还列出数字基础设施合作、绿色发展经验和自贸区3.0版规则共建，说明合作提质升级有经贸事实、共同利益和规则联通支撑。
【设问】 结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。
【为什么能想到】 中国东盟合作在贸易保护抬头中仍逆势上扬、迈向规则共建，双方共谋发展的空间依托于和平与发展仍是时代主题，故以它说明提质升级的外部前提。
【答案落点】 中国与东盟经贸合作提质升级，顺应经济全球化趋势、符合和平与发展的时代主题，推动区域共同发展。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，依据4分，意义4分
· 依据层（4分，从政治、经济各答出1个观点）：国家利益和国家实力是影响国际关系的决定性因素；中国与东盟经贸合作提质升级顺应经济全球化趋势，基于双方共同利益，符合时代发展主题
· 意义层（4分，任意2个维度）：对本国，有利于充分利用两个市场、两种资源，促进经济转型升级，使发展成果惠及人民；"
Q0012,12,176,184,时代背景,机遇,和平与发展仍是时代主题,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模Q19,为什么能想到;同题组;材料触发点;答案落点;设问,,648,"12. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴
【材料触发点】 题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。
【设问】 结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。
【为什么能想到】 题目要求说明中国推动重塑全球能源治理格局的理论逻辑和价值意蕴，材料把“一带一路”能源合作放在和平、发展、合作、共赢的历史潮流中。全球能源治理不是单国事务，而是各国在共同发展背景下的合作议题。因而可从和平与发展仍是时代主题出发，说明中国以“一带一路”为平台推动能源治理，顺应和平、发展、合作、共赢的历史潮流。
【答案落点】 中国顺应和平、发展、合作、共赢的历史潮流，以""一带一路""为平台推动全球能源治理，符合国际交往与合作的基本逻辑。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，按理论逻辑4分和价值意蕴4分组织。
· 理论逻辑（4分）：两个角度各2分，每个角度按观点1分+结合绿色能源合作材料说明1分。国家利益"
Q0013,13,185,194,时代背景,机遇,和平与发展仍是时代主题,2026朝阳一模Q20,2026朝阳一模Q20,为什么能想到;同题组;材料触发点;答案落点;设问,,740,"13. 2026朝阳一模Q20
【材料触发点】 题目问中国为什么能为全球发展注入稳定性和正能量，材料从创新、开放和发展合作三个镜头说明中国行动顺应和平与发展的时代需要。
【设问】 结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
【为什么能想到】 全球发展面临不稳定不确定因素时，题目把“中国能注入稳定性和正能量”作为核心追问。中国的创新成果、开放政策和发展合作共同服务于世界发展，应先用和平与发展仍是时代主题统摄这一价值方向。
【答案落点】 中国坚定不移扩大高水平对外开放、推动贸易投资自由化便利化，顺应了和平与发展这一时代主题，为全球发展注入稳定性。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，按必答点、共享发展经验、发展潜力三个层次组织；全题总分不超过8分，发展潜力角度最多5分。
· 必答点（2分）：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量1分；中国坚持创新驱动战略，科技实力日益增强，成为全球创新策源地，为全球产业链供应链稳定提供坚实支撑1分。
· 共享发展经验（3分）：通过分享减贫经验、生态治理经验、职业教育经验等"
Q0014,14,195,204,时代背景,机遇,和平与发展仍是时代主题,2025东城二模Q20,2025东城二模Q20,为什么能想到;同题组;材料触发点;答案落点;设问,,520,"14. 2025东城二模Q20
【材料触发点】 题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。
【设问】 结合材料，运用《当代国际政治与经济》知识，写一篇小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。
【为什么能想到】 论文开篇罗列经济复苏乏力、阵营对抗、脱钩断链等乱象，要给""同球共济""找时代坐标，须先点明乱局之下和平与发展仍是时代主题。
【答案落点】 当前国际局势变乱交织，而和平与发展仍是时代主题，需各国携手应对挑战、共谋发展。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，按背景、精神、行动三层组织
· 第一层：背景（2分）：结合第一自然段简述国际局势，如国际局势变乱交织、局部动荡不断、面临诸多问题和挑战。若只笼统写和平与发展主题、世界多极化等学科背景，给1分
· 第二层：精神（4分）：“同球共济”精神丰富人类命运共同体内涵（2分）；符合各国共同利益（2分）
· 第三层：行动（2分）：为解决问题贡献中国智慧和中国方案（2分）；可替代为具体方案、行动，如推动"
Q0015,15,205,217,时代背景,机遇,和平与发展仍是时代主题,2026石景山一模Q20,2026石景山一模Q20,为什么能想到;同题组;材料触发点;答案落点;设问,,628,"15. 2026石景山一模Q20
【材料触发点】 题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。
【设问】 运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。
【为什么能想到】 ""五个共同""里共建产业链供应链、共促区域繁荣，亚太各国愿意这样联动，前提是身处和平与发展仍是时代主题的大环境，故以它说明中国倡议顺势而为。
【答案落点】 中国倡议顺应和平、发展、合作、共赢的潮流，致力于亚太和平合作与共同发展。
【同题组】 （按原题答题层次）
· 本题8分：从1个关键词展开，可拿4分；从2个关键词展开，最多8分。
· 每个关键词都按“关键词+学科用语+结合材料分析”写，不只贴标签。
· 可选关键词：共商共建共享、人类命运共同体、经济全球化、和平发展合作共赢、维护共同利益；也可用材料中的“共同、开放、包容”组织。
· 高分表达要观点明确、紧扣问题、知识准确、逻辑清楚；只罗列知识、没"
Q0016,16,218,228,时代背景,机遇,和平与发展仍是时代主题,2026海淀二模Q20(2),2026海淀二模Q20,为什么能想到;同题组;材料触发点;答案落点;设问,,598,"16. 2026海淀二模Q20(2)
【材料触发点】 全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。
【设问】 结合材料，运用《当代国际政治与经济》知识，围绕“全球发展倡议从合作理念到丰富实践”这一主题，撰写一篇短评。（7分）
【为什么能想到】 全球发展倡议正是题目主题，而材料强调""同球共济、团结合作才是正确选择""，这一判断只有放在和平与发展仍是时代主题的背景下才能成立，故以它打底。
【答案落点】 和平与发展仍是当今时代主题，面对全球发展新挑战，同球共济、团结合作才是正确选择，全球发展倡议顺应了这一潮流。
【同题组】 （按原题答题层次）
· 答题层次：本题7分，按短评答题层次组织
· 逻辑分层（1分）：分清“背景及原因”和“具体举措及其积极影响”，通过分段呈现
· 背景及原因/意义（3分）：必要性知识1分，可写时代主题、经济全球化/世界多极化、共同利益等；重要性知识1分，可写推动国际秩序朝更加公正合理方向发展、推动经济全球化朝开放包容普惠平衡共赢方向发展、增强发展中国家话语权和国际地位等任意一点；结合材料论述1分
· 具体举措（3分）：共商共建共享、完善全"
Q0017,17,229,238,时代背景,机遇,和平与发展仍是时代主题,2025房山一模Q18(2),2025房山一模Q18,为什么能想到;同题组;材料触发点;答案落点;设问,,574,"17. 2025房山一模Q18(2)
【材料触发点】 开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。
【设问】 “中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。
【为什么能想到】 DeepSeek开源让140国开发者自由使用改进、有国家借此低成本做本地化模型，技术开放促成各国共进，这以和平与发展仍是时代主题为前提。
【答案落点】 顺应和平与发展的国际潮流，中国以开源战略加强国际交流合作，积极参与全球治理，推动全球合作新模式。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，按两条链条加逻辑分组织
· 第一链（4分）：当前国际竞争的实质 -> 坚持高水平对外开放/对外开放基本国策 -> 以科学技术的发展推动建设创新型、开放型世界经济（不可替代） -> 促进经济全球化发展
· 第二链（3分）：和平与发展的国际潮流 -> 在联合国宗旨和原则框架下（不"
Q0018,18,239,246,时代背景,机遇,和平与发展仍是时代主题,2026顺义一模Q21,2026顺义一模Q21,为什么能想到;同题组;材料触发点;答案落点;设问,,433,"18. 2026顺义一模Q21
【材料触发点】 “审势、乘势、驭势”综合题可从国政经角度说明：中国式现代化走和平发展道路，坚持多边主义、互利共赢和人类命运共同体理念，为世界和平与发展提供中国智慧和中国方案。
【设问】 结合材料，综合运用所学，谈谈以中国式现代化全面推进中华民族伟大复兴，应如何运用“审势、乘势、驭势”的智慧。
【为什么能想到】 材料称中国式现代化“是走和平发展道路的现代化”，又说中国是“世界和平的稳定力量”；要审清复兴可乘之“势”，先得点出和平与发展仍是时代主题这一大方向。
【答案落点】 和平与发展是当今时代主题，中国式现代化是走和平发展道路的现代化，应顺应时代潮流乘势而上。
【同题组】 （按原题答题层次）
· 答题提醒：综合题，8分任意4个角度；本题选必一对应国政经角度2分
· 国政经角度：和平与发展是当今时代主题；中国式现代化是走和平发展道路的现代化；坚持多边主义，坚持互利共赢，倡导人类命运共同体；为世界和平与发展提供中国智慧、中国方案"
Q0019,19,247,260,时代背景,机遇,和平与发展仍是时代主题,2026丰台期末Q21,2026丰台期末Q21,为什么能想到;同题组;材料触发点;答案落点;设问,,823,"19. 2026丰台期末Q21
【材料触发点】 题目要求围绕“四大全球倡议为构建人类命运共同体凝聚磅礴合力”写短评，题干呈现四大全球倡议回应时代课题、凝聚国际共识与共同未来之间的关系。回答这一关系时，应先说明和平与发展仍是时代主题，各国人民求和平、谋发展、促合作、图共赢的愿望构成合作基础。
【设问】 结合材料，运用《当代国际政治与经济》知识，以“四大全球倡议为构建人类命运共同体凝聚磅礴合力”为主题，撰写一篇短评。
【为什么能想到】 四大倡议能“凝聚磅礴合力”，前提是各国想要的一致；先讲出这份求和平、谋发展的普遍愿望，才说得通和平与发展仍是时代主题这一合力底座。
【答案落点】 和平与发展仍是时代主题，四大全球倡议顺应各国人民求和平、谋发展、促合作、图共赢的共同愿望，为构建人类命运共同体凝聚合作力量。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，短评题，围绕“四大全球倡议为构建人类命运共同体凝聚磅礴合力”展开，按整体回应和论证充分度定层级。
· 核心问题：不是简单罗列四个倡议，而是说明四大全球倡议如何推动构建人类命运共同体。
· 论证角度：可从四大全球倡议的本质、当前世界形势的"
Q0020,20,263,273,时代背景,机遇,和平与发展仍是时代主题,2026海淀期中Q22(1),2026海淀期中Q22,为什么能想到;同题组;材料触发点;答案落点;设问,,631,"20. 2026海淀期中Q22(1)
【材料触发点】 题目问全球治理倡议为何能获得国际社会认同，实质是在追问倡议的正当性和时代基础；全球治理处于十字路口，说明回答必须先判断它顺应和平、发展、合作的世界大势，而不是只复述倡议内容。
【设问】 运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同，（6分）
【为什么能想到】 题面把""全球治理处于十字路口""作为大背景，再问倡议为何获得认同；十字路口的表述本身就在暗示倡议要顺大势才能立住。6分题问""为什么能获得广泛认同""，重在解释认同的正当性来源，不是罗列倡议条目。先以和平与发展仍是时代主题、合作共赢的世界大势打开答案，再点出倡议符合各国人民共同愿望，最后接获得广泛认同的结论。
【答案落点】 全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。
【同题组】 （按原题答题层次）
· 答题层次：本题6分，按答案链训练，不展示固定分值层次。
· 时代基础：全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民共同愿望。
· 核心理念：奉行主权平等、遵守国际法治、践行多边主义、倡导以人"
Q0021,21,276,284,时代背景,机遇,和平与发展仍是时代主题,2026通州一模Q19,2026通州一模Q19,为什么能想到;同题组;材料触发点;答案落点;设问,,580,"21. 2026通州一模Q19
【材料触发点】 题目要求分析中国元首外交如何为世界注入稳定性与正能量；材料呈现中俄、中美、欧洲、周边国家和全球南方合作，说明答题不能只写外交活动本身，还要说明这些活动顺应和平、发展、合作、共赢的时代潮流。
【设问】 结合材料，运用《当代国际政治与经济》知识，分析中国元首外交如何为世界注入稳定性与正能量。（8分）
【为什么能想到】 题干直接把元首外交的作用概括为“稳定性与正能量”，这是时代主题题的信号。写法上先判断世界处在动荡变革中，再说明中国以对话合作回应共同愿望，为和平发展提供稳定支撑。
【答案落点】 中国元首外交顺应和平与发展的时代主题，通过沟通对话、互信合作和共同发展，为动荡变革的世界注入稳定性与正能量。
【同题组】 （按原题答题层次）
· 答题层次：本题8分，措施或知识4分，材料分析且必须答作用4分，落点指向为世界注入稳定性与正能量
· 可采知识：和平与发展时代主题、共同利益是合作的基础、兼顾他国合理关切、维护多边贸易体制、推动经济全球化朝开放包容普惠平衡共赢方向发展、坚持正确义利观、推动国际关系民主化和国际政治经济新秩序、共商共建共享全球治理观"
Q0022,22,289,298,时代背景,机遇,和平与发展仍是时代主题,2026西城期末Q20参与全球气候治理中的中国实践,2026西城期末Q20,为什么能想到;同题组;材料触发点;答案落点;设问,,601,"22. 2026西城期末Q20参与全球气候治理中的中国实践
【材料触发点】 答题要求角度2写明“国际背景：和平发展合作共赢是时代潮流/非传统安全威胁”，材料围绕全球气候治理这一跨国共同挑战展开。
【设问】 结合材料，运用《国际政治与经济》知识，阐释参与全球气候治理的中国实践。
【为什么能想到】 气候治理不是单纯国内绿色发展题，而是和平与发展时代主题下的全球共同治理议题。答题要求把时代潮流列为得分角度，提示应先交代中国参与治理的国际背景。
【答案落点】 和平与发展仍是时代主题，气候变化等非传统安全威胁需要国际社会合作应对，中国参与全球气候治理顺应和平、发展、合作、共赢的时代潮流。
【同题组】 （按原题答题层次）
· 本题8分，按“是什么—为什么—效果”三层写。
· 是什么2分：先说中国在全球气候治理中是建设者、引领者或负责任大国；再结合材料概括具体做法，如坚持绿色发展、新发展理念，发挥有为政府和有效市场作用。
· 为什么3分：从四类中写满三类即可：全球气候治理挑战或完善全球治理体系；世界各国共同利益；中国理念，如人类命运共同体、全人类共同价值、正确义利观、共商共建共享、真正的多边主义、互"
