"卷别","题号","题型","模块","主题","来源类型","主要链接"
"B","2","选择题","必修四","北京中轴线保护利用","央视网","https://news.cctv.cn/2026/01/16/ARTIpB5RMv4ndzhv7TxWUBGC260116.shtml"
"B","3","选择题","必修三","人大代表联系群众","新华社","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html"
"B","4","选择题","必修二","长期护理保险与社保","央视网","https://news.cctv.com/2026/03/26/ARTIFjC5QQtKdbBg1UCdgiIh260326.shtml"
"B","5","选择题","选必一","产品数字护照与绿色贸易","新华网","https://www.xinhuanet.com/tech/20260313/028b29a534424410bda84fb52f1e08ae/c.html"
"B","6","选择题","必修二","服务消费提质","新浪财经/中国经济网","https://finance.sina.com.cn/jjxw/2026-04-05/doc-inhtkvri2282450.shtml?froms=ggmp"
"B","7","选择题","选必二","知识产权执法","国家知识产权局","https://www.cnipa.gov.cn/art/2026/2/11/art_55_204620.html"
"B","8","选择题","选必二","生态环境法典与绿色原则","最高人民法院","https://www.court.gov.cn/zixun/xiangqing/498351.html"
"B","9","选择题","必修四","智慧农业中的实践判断","央视网","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml"
"B","10","选择题","必修四","全民阅读公共文化服务","央视网","https://book.cctv.com/2026/02/01/ARTIc9sqo4U0oGweeQeBaMVQ260201.shtml"
"B","11","选择题","选必一","WTO改革与发展中国家","商务部","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html"
"B","12","选择题","选必一","中国东盟自贸区3.0","人民网","https://cpc.people.com.cn/n1/2025/1210/c64387-40621155.html"
"B","13","选择题","选必三","智能经济概念辨析","新华网","https://www.xinhuanet.com/politics/20260308/05d28fb3f67c4159b8cae3cd5f297ce0/c.html"
"B","14","选择题","必修四","春节非遗互动传播","央视网","https://news.cctv.com/2026/02/08/ARTIhL6Ss8hzc48za3eNDRXu260208.shtml"
"B","15","选择题","必修三","基层平安共治","北京市政府网","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html"
"B","16","主观题","必修二","服务消费与以旧换新","新浪财经/中国经济网","https://finance.sina.com.cn/jjxw/2026-04-05/doc-inhtkvri2282450.shtml?froms=ggmp"
"B","17","主观题","必修三","接诉即办与基层协商","北京市政府网","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html"
"B","18","主观题","必修四","北京中轴线活化","央视网","https://news.cctv.cn/2026/01/16/ARTIpB5RMv4ndzhv7TxWUBGC260116.shtml"
"B","19","主观题","选必一","WTO改革与东盟自贸区","商务部","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html"
"B","20","主观题","选必二","文创知识产权侵权","国家知识产权局","https://www.cnipa.gov.cn/art/2026/2/11/art_55_204620.html"
"B","21","主观题","选必三","阅读空间与条件判断","央视网","https://book.cctv.com/2026/02/01/ARTIc9sqo4U0oGweeQeBaMVQ260201.shtml"
"C","1","选择题","必修一","新时代青年担当","新华社","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html"
"C","2","选择题","必修四","AI时代深度阅读","人民网","https://cpc.people.com.cn/n1/2026/0420/c64387-40704588.html"
"C","3","选择题","必修三","基层居民议事","北京市政府网","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html"
"C","4","选择题","必修二","新质生产力与产业转型","新华网","https://www.xinhuanet.com/politics/20260308/05d28fb3f67c4159b8cae3cd5f297ce0/c.html"
"C","5","选择题","必修二","以旧换新与绿色转型","央视网","https://news.cctv.com/2026/03/22/ARTIQPqR1S3KumY62uFFjk3h260322.shtml"
"C","6","选择题","必修四","智慧农业与实践检验","央视网","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml"
"C","7","选择题","必修三","生态环境法典法治保障","最高人民法院","https://www.court.gov.cn/zixun/xiangqing/498351.html"
"C","8","选择题","选必二","恶意商标注册治理","国家知识产权局","https://www.cnipa.gov.cn/art/2025/12/30/art_66_203339.html"
"C","9","选择题","必修三","两会与全过程人民民主","新华社","https://www.xinhuanet.com/politics/leaders/20260301/a6c84ac4886f4645a820adc2e0b48b28/c.html"
"C","10","选择题","必修二","长期护理保险制度建设","央视网","https://news.cctv.com/2026/03/26/ARTIFjC5QQtKdbBg1UCdgiIh260326.shtml"
"C","11","选择题","必修四","全民阅读制度保障","央视网","https://book.cctv.com/2026/02/01/ARTIc9sqo4U0oGweeQeBaMVQ260201.shtml"
"C","12","选择题","选必一","WTO改革原则","商务部","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html"
"C","13","选择题","选必三","必要条件推理","最高人民法院","https://www.court.gov.cn/zixun/xiangqing/466231.html"
"C","14","选择题","选必一","东盟自贸区与共同利益","人民网","https://cpc.people.com.cn/n1/2025/1210/c64387-40621155.html"
"C","15","选择题","必修三","基层治理闭环","北京市政府网","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html"
"C","16","主观题","必修二","农业新质生产力","央视网","https://news.cctv.com/2026/03/19/ARTIvsaOoqQMSG3UFfSR3P2H260319.shtml"
"C","17","主观题","必修三","基层治理数字化与全过程民主","北京市政府网","https://www.beijing.gov.cn/ywdt/yaowen/202601/t20260123_4458128.html"
"C","18","主观题","必修四","传统文化保存与活化","央视网","https://news.cctv.com/2026/02/08/ARTIhL6Ss8hzc48za3eNDRXu260208.shtml"
"C","19","主观题","选必一","开放包容普惠共赢的经济全球化","商务部","https://www.mofcom.gov.cn/bnjg/art/2026/art_e7da0ca6ec794daea7e9282c3947546b.html"
"C","20","主观题","选必二","养老服务合同与侵权责任","央视网","https://news.cctv.com/2026/03/26/ARTIFjC5QQtKdbBg1UCdgiIh260326.shtml"
"C","21","主观题","选必三","智能经济概念外延与联言条件","新华网","https://www.xinhuanet.com/tech/20260313/028b29a534424410bda84fb52f1e08ae/c.html"
