"source_id","年份","区","场次","题号/小问","题型","材料关键词","涉及法律关系","框架节点","原文件路径","页码/位置","答案依据类型","是否评分细则","source_type","rubric_level","核查状态","风险备注","训练价值"
"S03","2024","西城","二模","16","主观题","黄芪薏米饼干、食品标签、广告宣传、惩罚性赔偿、理性维权","消费者权益/食品安全/欺诈/惩罚性赔偿","消费者权益触发词表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\f2e1772f20ed2085_2024西城二模细则.txt","lines 8-17","评分细则","是","评分细则","评分细则","已核","惩罚性赔偿必须按欺诈或特别规定写，不得写成消费者受损即赔","母题/综合材料"
"S06","2025","海淀","期末","19","主观题","土地所有权、土地经营权、三权分置、他项权利","物权/用益物权/土地权属","物权与财产权路由","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b22b6c78aaddb3e_2025海淀期末细则.txt","lines 300-319","评分细则","是","评分细则","评分细则","已核","作为物权客体识别和权属边界素材，不挤占合同主线","母题/客体识别"
"S07","2025","海淀","期末","20","主观题","产品责任、危险动物致害、责任类型","侵权责任/无过错/过错推定","侵权责任分流表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt","lines 222-227","教师版答案","否","教师版答案","参考答案","降级使用","教师版答案不是评分细则；用于归责类型错项训练","错项/变式"
"S07","2025","海淀","期末","21","主观题","商业秘密保护、劳动者择业、竞业限制","劳动关系/商业秘密/竞业限制","劳动争议五问表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt","lines 222-227","教师版答案","否","教师版答案","参考答案","降级使用","教师版答案不是评分细则；竞业限制要看保密义务和补偿边界","劳动变式/边界"
"S19","2025","丰台","期末","19","主观题","主管调岗、消极怠工、无故旷工、解除劳动合同","劳动关系/劳动纪律/解除劳动合同","劳动争议五问表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt","lines 215-240, 581-585","教师版试题+答案","否","教师版答案","参考答案","已核","非评分细则；可作为劳动解除主例的参考答案边界","母题/劳动"
"S08","2025","房山","一模","19","主观题","新能源技术秘密、挖走核心技术人员、2倍惩罚性赔偿","技术秘密/商业秘密/不正当竞争/惩罚性赔偿","商业秘密三要件与惩罚性赔偿","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\17cdecfbd774ee79_2025房山一模细则.txt","lines 96-119","评分细则","是","评分细则","评分细则","已核","技术秘密应写成商业秘密中的技术信息，惩罚性赔偿不泛化","母题/IP"
"S09","2025","丰台","一模","19","主观题","最高法技术秘密案、6.4亿余元判赔、科技创新保护","技术秘密/商业秘密/创新保护","知识产权客体表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e8823e6dc1a71cac_2025北京丰台高三一模政治_教师版.txt","lines 214-222","教师版题干","否","教师版试题","未知","降级使用","题干素材，细则以2025房山一模19为主；不得冒充评分细则","补充情境/意义类"
"S11","2025","海淀","二模","18(实体)","主观题小问","老字号商标、未经许可使用、恶意抢注、在先权利","商标权/不正当竞争/公平竞争","商标与不正当竞争分流表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fc56fdd304fde118_2025海淀二模细则.txt","lines 36-48","评分细则","是","评分细则+讲评互证","评分细则","已核","原矩阵合并过粗，已拆为实体商标条；部分文本编码污染但与讲评互证","母题/IP"
"S11","2025","海淀","二模","18(程序)","主观题小问","回避申请、书证物证证词、证据价值、法庭审理","回避/证据/举证责任/诉讼程序","程序与证据得分链表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fc56fdd304fde118_2025海淀二模细则.txt","lines 36-48","评分细则","是","评分细则+讲评互证","评分细则","已核","同题程序分值独立入表；不得和商标答案混成万能案例","程序补点"
"S20","2025","西城","二模","10","选择题","网购页面须知、付款交付、个人信息保护","网购合同/格式条款/消费者个人信息","合同条款有效性与消费者权益","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\06c08602a2f5c20b_2025北京西城高三二模政治_教师版.txt","lines 100-107","教师版试题","否","教师版试题","未知","降级使用","用于选择题错项，不作为主观题细则；需另核答案页","错项/格式条款"
"S12","2026","东城","期末","10","选择题","质权、专利公开换保护、捆绑安装、自主选择权、著作财产权、劳动关系成立","物权/知识产权/消费者权利/劳动关系","错项索引","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e4d67789c91d1b92_2026东城期末细则.txt","lines 59-75","评分细则","是","评分细则","评分细则","已核","选择题多点汇总，用于错项索引，不作为单一案例主例","错项"
"S12","2026","东城","期末","18","主观题","全新原装无人机、展示机损伤、坠毁砸伤、商业拍摄损失","合同违约/侵权责任/产品责任竞合","合同成立/有效/履行/违约/侵权分流表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e4d67789c91d1b92_2026东城期末细则.txt","lines 305-350","评分细则","是","评分细则","评分细则","已核","主例；责任竞合不等于重复赔偿，销售者/生产者归责不得错配","母题/综合材料"
"S13","2026","朝阳","一模","18","主观题","知识产权护航新质生产力、调解、惩罚性赔偿、规制权利滥用","知识产权保护/纠纷解决/惩罚性赔偿/权利边界","知识产权客体表与价值意义路由","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3a11db4bade216d1_2026朝阳一模细则.txt","lines 61-70","评分细则","是","评分细则","评分细则","已核","措施+价值设问，不能写成空泛保护创新；需扣调解、赔偿、规制","母题/意义类"
"S14","2026","丰台","一模","20","主观题","公共场所摔倒、合理安全保障义务、证据表明无过错","安全保障义务/一般侵权/举证责任/受害人过错","侵权责任四要件+举证边界表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt","lines 186-188","评分细则","是","评分细则","评分细则","已核","主例；安全保障义务不是绝对保险义务","母题/边界"
"S15","2026","海淀","一模","18(3)","主观题小问","包间监控公开、聊天信息、治疗功效虚假宣传、糖尿病并发症","隐私权/消费者知情权/欺诈/惩罚性赔偿","消费者权益触发词表与人格权","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9b5ac8fd0cfe59cb_2026海淀一模细则.txt","lines 49-68","评分细则","是","评分细则","评分细则","已核","原矩阵题号缺失，已核为18(3)；隐私权与消费者虚假宣传需拆点","母题/综合材料"
"S16","2026","延庆","一模","18(1)","主观题小问","AI合成李某形象、虚假直播营销、攫取流量","肖像权/名誉权/消费者知情权/不正当竞争","AI/直播营销综合路由","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\2e0f67df1ab78a60_2026延庆一模细则.txt","lines 68-77","评分细则","是","评分细则","评分细则","已核","一材多点，必须看设问取点，不得全盘堆砌","母题/综合材料"
"S14","2026","朝阳","期末复练","复练题","复练题","直播小叶紫檀手串、保真、假一赔十、大叶紫檀冒充","直播买卖合同/消费欺诈/约定违约金","消费者权益与合同条款有效性","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt","lines 205-215","复练参考答案","否","复练题/参考答案","参考答案","边界使用","明确为复练题，不能冒充朝阳期末正式评分细则；只用于迁移训练","变式/复练"
"S17","2026","通州","期末","12","选择题","遗赠扶养协议、遗嘱、法定继承顺位","遗赠扶养协议/继承优先级","家庭继承路径表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt","教师版12题","教师版试题","否","教师版试题","未知","降级使用","选择题素材；用于继承路径触发，不作评分细则","错项/家庭缺口补点"
"S21","2026","顺义","一模","18(材料二)","主观题材料","A公司总经理、竞业限制、妻子投资竞争公司、社保由关联公司缴纳","劳动关系/竞业限制/商业秘密保护/劳动仲裁","劳动争议五问表","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8d19592ca0679f21_2026顺义一模.txt","lines 254-276","正式试题","否","正式试题","未知","待核答案","仅核到试题事实和法条，未见答案细则；框架中只作待核扩展例","待补/劳动"
